Dataset,Record_ID,Transaction_Date,Customer_ID,Product_ID,Additional_Entity,Transaction_Amount,Discount,Refund,Net_Profit,Anomaly_Score,Priority,Anomaly_Reason,Recommended_Action
Inventory,P00560-W020-2026-07-27,2026-07-27,,P00560,W020,-1643180.0,0.0,0.0,0.0,98.95,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-03-29,2026-03-29,,P00060,W020,-1636390.0,0.0,0.0,0.0,98.94,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2025-12-09,2025-12-09,,P00560,W020,-1636390.0,0.0,0.0,0.0,98.94,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-07-17,2026-07-17,,P00560,W020,-1636390.0,0.0,0.0,0.0,98.94,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2025-11-29,2025-11-29,,P00560,W020,-1629600.0,0.0,0.0,0.0,98.92,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-03-19,2026-03-19,,P00060,W020,-1629600.0,0.0,0.0,0.0,98.92,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2026-07-10,2026-07-10,,P00058,W018,-1563660.0,0.0,0.0,0.0,98.89,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2025-12-02,2025-12-02,,P00058,W018,-1563660.0,0.0,0.0,0.0,98.89,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-03-22,2026-03-22,,P00558,W018,-1563660.0,0.0,0.0,0.0,98.89,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2025-10-28,2025-10-28,,P00558,W018,-1563660.0,0.0,0.0,0.0,98.89,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2025-12-03,2025-12-03,,P00059,W019,-1609880.0,0.0,0.0,0.0,98.89,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2026-03-23,2026-03-23,,P00559,W019,-1609880.0,0.0,0.0,0.0,98.89,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-03-09,2026-03-09,,P00060,W020,-1670340.0,0.0,0.0,0.0,98.86,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-06-27,2026-06-27,,P00560,W020,-1670340.0,0.0,0.0,0.0,98.86,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2025-11-23,2025-11-23,,P00059,W019,-1603200.0,0.0,0.0,0.0,98.85,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2026-08-05,2026-08-05,,P00559,W019,-1603200.0,0.0,0.0,0.0,98.85,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2026-06-30,2026-06-30,,P00058,W018,-1557090.0,0.0,0.0,0.0,98.85,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-03-12,2026-03-12,,P00558,W018,-1557090.0,0.0,0.0,0.0,98.85,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-02-27,2026-02-27,,P00060,W020,-1663550.0,0.0,0.0,0.0,98.85,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2025-11-09,2025-11-09,,P00560,W020,-1663550.0,0.0,0.0,0.0,98.85,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2025-10-30,2025-10-30,,P00560,W020,-1656760.0,0.0,0.0,0.0,98.83,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-07-12,2026-07-12,,P00060,W020,-1656760.0,0.0,0.0,0.0,98.83,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-04-07,2026-04-07,,P00059,W019,-1596520.0,0.0,0.0,0.0,98.83,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2025-11-13,2025-11-13,,P00059,W019,-1596520.0,0.0,0.0,0.0,98.83,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2026-07-26,2026-07-26,,P00559,W019,-1596520.0,0.0,0.0,0.0,98.83,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-03-02,2026-03-02,,P00558,W018,-1550520.0,0.0,0.0,0.0,98.83,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2025-09-20,2025-09-20,,P00060,W020,-1649970.0,0.0,0.0,0.0,98.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-07-02,2026-07-02,,P00060,W020,-1649970.0,0.0,0.0,0.0,98.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-02-12,2026-02-12,,P00060,W020,-1649970.0,0.0,0.0,0.0,98.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2025-10-25,2025-10-25,,P00560,W020,-1649970.0,0.0,0.0,0.0,98.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-03-14,2026-03-14,,P00560,W020,-1649970.0,0.0,0.0,0.0,98.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-06-02,2026-06-02,,P00560,W020,-1649970.0,0.0,0.0,0.0,98.82,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2026-06-15,2026-06-15,,P00058,W018,-1543950.0,0.0,0.0,0.0,98.81,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2025-11-02,2025-11-02,,P00058,W018,-1543950.0,0.0,0.0,0.0,98.81,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2025-10-03,2025-10-03,,P00558,W018,-1543950.0,0.0,0.0,0.0,98.81,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-02-25,2026-02-25,,P00558,W018,-1543950.0,0.0,0.0,0.0,98.81,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2025-12-08,2025-12-08,,P00559,W019,-1589840.0,0.0,0.0,0.0,98.81,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-03-28,2026-03-28,,P00059,W019,-1589840.0,0.0,0.0,0.0,98.81,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2026-07-16,2026-07-16,,P00559,W019,-1589840.0,0.0,0.0,0.0,98.81,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-05-23,2026-05-23,,P00560,W020,-1643180.0,0.0,0.0,0.0,98.8,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2025-11-28,2025-11-28,,P00559,W019,-1583160.0,0.0,0.0,0.0,98.79,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-03-18,2026-03-18,,P00059,W019,-1583160.0,0.0,0.0,0.0,98.79,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-01-23,2026-01-23,,P00060,W020,-1636390.0,0.0,0.0,0.0,98.78,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-08-26,2026-08-26,,P00060,W020,-1629600.0,0.0,0.0,0.0,98.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-05-08,2026-05-08,,P00560,W020,-1629600.0,0.0,0.0,0.0,98.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2025-09-25,2025-09-25,,P00560,W020,-1629600.0,0.0,0.0,0.0,98.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-01-18,2026-01-18,,P00060,W020,-1629600.0,0.0,0.0,0.0,98.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2025-12-14,2025-12-14,,P00560,W020,-1629600.0,0.0,0.0,0.0,98.77,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2025-11-18,2025-11-18,,P00559,W019,-1576480.0,0.0,0.0,0.0,98.76,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-07-31,2026-07-31,,P00059,W019,-1576480.0,0.0,0.0,0.0,98.76,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-08-16,2026-08-16,,P00060,W020,-1622810.0,0.0,0.0,0.0,98.74,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2025-11-08,2025-11-08,,P00559,W019,-1616560.0,0.0,0.0,0.0,98.73,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-02-26,2026-02-26,,P00059,W019,-1616560.0,0.0,0.0,0.0,98.73,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-04-18,2026-04-18,,P00560,W020,-1616020.0,0.0,0.0,0.0,98.72,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-07-11,2026-07-11,,P00059,W019,-1609880.0,0.0,0.0,0.0,98.71,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2025-10-29,2025-10-29,,P00559,W019,-1609880.0,0.0,0.0,0.0,98.71,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2025-11-22,2025-11-22,,P00058,W018,-1557090.0,0.0,0.0,0.0,98.71,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-08-04,2026-08-04,,P00558,W018,-1557090.0,0.0,0.0,0.0,98.71,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2025-12-19,2025-12-19,,P00060,W020,-1609230.0,0.0,0.0,0.0,98.69,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-04-08,2026-04-08,,P00560,W020,-1609230.0,0.0,0.0,0.0,98.69,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-07-01,2026-07-01,,P00059,W019,-1603200.0,0.0,0.0,0.0,98.69,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2026-03-13,2026-03-13,,P00559,W019,-1603200.0,0.0,0.0,0.0,98.69,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2025-11-12,2025-11-12,,P00058,W018,-1550520.0,0.0,0.0,0.0,98.69,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2026-04-06,2026-04-06,,P00058,W018,-1550520.0,0.0,0.0,0.0,98.69,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-07-25,2026-07-25,,P00558,W018,-1550520.0,0.0,0.0,0.0,98.69,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2026-03-27,2026-03-27,,P00058,W018,-1543950.0,0.0,0.0,0.0,98.67,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-07-15,2026-07-15,,P00558,W018,-1543950.0,0.0,0.0,0.0,98.67,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2025-12-07,2025-12-07,,P00558,W018,-1543950.0,0.0,0.0,0.0,98.67,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-06-26,2026-06-26,,P00059,W019,-1596520.0,0.0,0.0,0.0,98.66,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2026-05-22,2026-05-22,,P00559,W019,-1596520.0,0.0,0.0,0.0,98.66,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2026-03-03,2026-03-03,,P00559,W019,-1596520.0,0.0,0.0,0.0,98.66,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2025-10-14,2025-10-14,,P00559,W019,-1596520.0,0.0,0.0,0.0,98.66,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-01-22,2026-01-22,,P00059,W019,-1589840.0,0.0,0.0,0.0,98.65,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-02-15,2026-02-15,,P00558,W018,-1537380.0,0.0,0.0,0.0,98.64,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2025-10-28,2025-10-28,,P00058,W018,-1537380.0,0.0,0.0,0.0,98.64,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2026-06-05,2026-06-05,,P00058,W018,-1537380.0,0.0,0.0,0.0,98.64,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-07-05,2026-07-05,,P00558,W018,-1537380.0,0.0,0.0,0.0,98.64,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2025-11-27,2025-11-27,,P00558,W018,-1537380.0,0.0,0.0,0.0,98.64,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2026-03-17,2026-03-17,,P00058,W018,-1537380.0,0.0,0.0,0.0,98.64,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2025-09-24,2025-09-24,,P00559,W019,-1583160.0,0.0,0.0,0.0,98.63,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2025-11-17,2025-11-17,,P00558,W018,-1530810.0,0.0,0.0,0.0,98.62,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2026-07-30,2026-07-30,,P00058,W018,-1530810.0,0.0,0.0,0.0,98.62,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2025-10-18,2025-10-18,,P00058,W018,-1530810.0,0.0,0.0,0.0,98.62,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-06-25,2026-06-25,,P00558,W018,-1530810.0,0.0,0.0,0.0,98.62,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00558-W018-2026-02-05,2026-02-05,,P00558,W018,-1530810.0,0.0,0.0,0.0,98.62,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00058-W018-2026-03-07,2026-03-07,,P00058,W018,-1530810.0,0.0,0.0,0.0,98.62,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
