Supplier_ID,Supplier_Name,Supplier_Region,Purchase_Order_Count,Product_Count,Purchase_Quantity,Purchase_Value,Average_Delivery_Time_Days,Average_Delivery_Delay_Days,On_Time_Deliveries,Total_Deliveries,Rejected_Quantity,Average_Quality_Score,On_Time_Delivery_Percentage,Rejection_Rate_Percentage,Average_Unit_Cost,Unit_Cost_Standard_Deviation,Minimum_Unit_Cost,Maximum_Unit_Cost,Price_Variation_Percentage,On_Time_Score,Quality_Score,Lead_Time_Score,Price_Stability_Score,Rejection_Score,Supplier_Performance_Score,Supplier_Rank,Supplier_Status,Unit_Cost_Change_Percentage,Delivery_Time_Change_Days,On_Time_Change_Percentage_Points,Rejection_Rate_Change,Quality_Change,Decline_Factor_Count,Trend_Status,Review_Priority,Recommended_Action
S00087,Supplier 087,R008,123,5,35278,365903571.2,24.15,4.15,27,123,0,100.0,21.95,0.0,10348.77,321.99,9955.2,10736.0,3.11,21.95,100.0,77.12,46.14,100.0,63.93,35,Monitor,0.06,0.36,-1.27,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00031,Supplier 031,R012,123,5,34390,131439600.0,24.1,4.1,28,123,2825,91.71,22.76,8.21,3813.66,118.03,3672.0,3960.0,3.1,22.76,91.71,81.61,57.29,91.79,63.85,36,Monitor,-0.13,-0.26,1.11,-0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00093,Supplier 093,R014,121,5,34982,380211628.8,24.02,4.02,27,121,0,100.0,22.31,0.0,10843.69,340.25,10420.0,11253.6,3.14,22.31,100.0,89.08,28.28,100.0,63.75,37,Monitor,0.0,-0.56,2.76,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00071,Supplier 071,R012,123,5,33210,282372800.0,24.11,4.11,28,123,2706,91.79,22.76,8.15,8480.0,262.35,8160.0,8800.0,3.09,22.76,91.79,80.11,58.16,91.85,63.71,38,Monitor,0.0,-0.36,3.62,0.0,-0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00131,Supplier 131,R012,123,5,34190,130895280.0,24.13,4.13,28,123,2809,91.71,22.76,8.22,3818.34,118.03,3672.0,3960.0,3.09,22.76,91.71,78.62,59.86,91.78,63.64,39,Monitor,0.13,0.46,-2.14,-0.01,0.01,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00057,Supplier 057,R018,123,5,31388,211603760.0,23.97,3.97,28,123,0,100.0,22.76,0.0,6722.6,211.8,6460.0,6976.8,3.15,22.76,100.0,93.6,19.53,100.0,63.48,40,Monitor,0.13,-0.52,0.37,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00023,Supplier 023,R004,123,5,33606,96463059.2,24.28,4.28,27,123,0,100.0,21.95,0.0,2883.2,89.2,2774.4,2992.0,3.09,21.95,100.0,65.14,58.16,100.0,63.34,41,Monitor,0.12,-0.55,1.98,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00099,Supplier 099,R020,97,4,29156,343029708.8,24.1,4.1,21,97,0,100.0,21.65,0.0,11744.8,367.48,11301.6,12188.0,3.13,21.65,100.0,81.1,34.28,100.0,62.86,42,Monitor,0.0,0.13,-0.72,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00107,Supplier 107,R008,97,4,24382,24901824.0,24.12,4.12,21,97,0,100.0,21.65,0.0,1018.39,31.83,979.2,1056.0,3.13,21.65,100.0,79.2,36.6,100.0,62.82,43,Monitor,0.16,-0.48,0.17,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00005,Supplier 005,R006,120,5,30430,23464571.2,24.2,4.2,27,120,0,100.0,22.5,0.0,769.11,23.96,740.0,799.2,3.12,22.5,100.0,72.18,43.57,100.0,62.72,44,Monitor,-0.0,-0.12,-0.17,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00159,Supplier 159,R020,121,5,30768,218245219.2,24.17,4.17,26,121,0,100.0,21.49,0.0,7076.38,220.83,6813.6,7348.0,3.12,21.49,100.0,75.37,39.83,100.0,62.5,45,Monitor,-0.0,-0.12,-2.24,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00129,Supplier 129,R010,121,5,33538,118248083.2,23.98,3.98,28,121,0,100.0,23.14,0.0,3516.32,111.07,3380.0,3650.4,3.16,23.14,100.0,92.12,13.99,100.0,62.47,46,Monitor,0.19,-0.56,1.15,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00029,Supplier 029,R010,122,5,33766,118923272.0,24.15,4.15,28,122,0,100.0,22.95,0.0,3512.98,109.91,3380.0,3650.4,3.13,22.95,100.0,77.01,34.41,100.0,62.45,47,Monitor,-0.13,0.5,-1.78,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00195,Supplier 195,R016,121,5,35674,403383254.4,24.2,4.2,26,121,0,100.0,21.49,0.0,11285.43,351.75,10852.8,11704.0,3.12,21.49,100.0,72.33,42.47,100.0,62.28,48,Monitor,0.13,-0.85,4.37,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00185,Supplier 185,R006,123,5,34832,346243996.8,24.13,4.13,28,123,0,100.0,22.76,0.0,9918.5,310.92,9540.0,10303.2,3.13,22.76,100.0,78.62,30.3,100.0,62.1,49,Monitor,-0.19,0.33,0.37,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00177,Supplier 177,R018,97,4,26672,239197513.6,24.1,4.1,21,97,0,100.0,21.65,0.0,9013.54,282.74,8660.0,9352.8,3.14,21.65,100.0,81.1,28.86,100.0,62.04,50,Monitor,0.0,-0.7,3.4,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00053,Supplier 053,R014,122,5,30444,189640595.2,24.16,4.16,27,122,0,100.0,22.13,0.0,6260.8,195.8,6020.0,6501.6,3.13,22.13,100.0,75.5,35.31,100.0,62.04,51,Monitor,-0.13,-0.91,5.65,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00135,Supplier 135,R016,122,5,34398,146589460.8,24.16,4.16,26,122,0,100.0,21.31,0.0,4281.08,133.83,4120.8,4444.0,3.13,21.31,100.0,75.5,36.12,100.0,61.91,52,Monitor,-0.06,-0.12,-1.88,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00111,Supplier 111,R012,123,5,31830,47000520.0,24.0,4.0,27,123,2571,91.89,21.95,8.08,1484.0,46.47,1428.0,1540.0,3.13,21.95,91.89,90.6,32.7,91.92,61.77,53,Monitor,0.0,-1.24,5.24,0.0,-0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00009,Supplier 009,R010,122,5,31526,38517182.4,24.18,4.18,26,122,0,100.0,21.31,0.0,1227.97,38.37,1180.0,1274.4,3.12,21.31,100.0,73.99,37.09,100.0,61.75,54,Monitor,0.0,-0.88,3.98,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00077,Supplier 077,R018,123,5,33748,302588713.6,24.15,4.15,27,123,0,100.0,21.95,0.0,9009.22,282.24,8660.0,9352.8,3.13,21.95,100.0,77.12,31.63,100.0,61.75,55,Monitor,-0.06,0.36,-1.27,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00091,Supplier 091,R012,122,5,35330,380017320.0,24.13,4.13,27,122,2924,91.63,22.13,8.28,10805.31,335.81,10404.0,11220.0,3.11,22.13,91.63,78.52,48.61,91.72,61.72,56,Monitor,-0.0,0.46,-4.19,0.01,-0.01,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00151,Supplier 151,R012,122,5,30550,188227400.0,24.15,4.15,27,122,2444,92.0,22.13,8.0,6148.0,190.99,5916.0,6380.0,3.11,22.13,92.0,77.01,49.5,92.0,61.67,57,Monitor,-0.12,-0.36,1.64,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00033,Supplier 033,R014,123,5,34386,136142049.6,24.16,4.16,26,123,0,100.0,21.14,0.0,3976.53,124.45,3820.0,4125.6,3.13,21.14,100.0,75.62,33.81,100.0,61.54,58,Monitor,0.19,0.53,-5.48,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00171,Supplier 171,R012,123,5,33010,280667200.0,24.15,4.15,27,123,2690,91.79,21.95,8.15,8482.6,263.93,8160.0,8800.0,3.11,21.95,91.79,77.12,46.14,91.85,61.06,59,Monitor,0.06,-0.16,-0.56,-0.01,0.01,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00001,Supplier 001,R002,122,5,30850,9646800.0,23.98,3.98,28,122,2468,92.0,22.95,8.0,312.1,9.82,300.0,324.0,3.15,22.95,92.0,92.11,22.87,92.0,60.94,60,Monitor,-0.06,0.03,0.0,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00113,Supplier 113,R014,122,5,31814,53716089.6,24.13,4.13,28,122,0,100.0,22.95,0.0,1684.27,53.02,1620.0,1749.6,3.15,22.95,100.0,78.52,21.52,100.0,60.82,61,Monitor,0.06,-0.26,0.75,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00137,Supplier 137,R018,122,5,34892,154860542.4,24.13,4.13,28,122,0,100.0,22.95,0.0,4429.0,139.41,4260.0,4600.8,3.15,22.95,100.0,78.52,21.52,100.0,60.82,62,Monitor,-0.07,-0.19,1.51,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00069,Supplier 069,R010,121,5,32478,263408393.6,24.17,4.17,27,121,0,100.0,22.31,0.0,8091.2,254.09,7780.0,8402.4,3.14,22.31,100.0,75.37,26.49,100.0,60.74,63,Monitor,0.0,-0.12,0.19,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00045,Supplier 045,R006,121,5,35724,190112974.4,24.17,4.17,27,121,0,100.0,22.31,0.0,5345.6,167.87,5140.0,5551.2,3.14,22.31,100.0,75.37,26.49,100.0,60.74,63,Monitor,0.13,-0.19,-0.55,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00063,Supplier 063,R004,123,5,32326,244643484.8,24.31,4.31,26,123,0,100.0,21.14,0.0,7549.52,234.9,7262.4,7832.0,3.11,21.14,100.0,62.14,46.14,100.0,60.69,64,Monitor,0.06,0.18,-2.22,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00073,Supplier 073,R014,123,5,33456,286633372.8,24.11,4.11,28,123,0,100.0,22.76,0.0,8548.8,269.56,8220.0,8877.6,3.15,22.76,100.0,80.11,17.77,100.0,60.52,65,Monitor,0.13,0.36,-2.88,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00097,Supplier 097,R018,122,5,35962,407188315.2,24.15,4.15,27,122,0,100.0,22.13,0.0,11297.96,355.4,10860.0,11728.8,3.15,22.13,100.0,77.01,22.87,100.0,60.47,66,Monitor,0.07,-0.81,3.09,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00165,Supplier 165,R006,122,5,32158,244413779.2,24.15,4.15,27,122,0,100.0,22.13,0.0,7636.01,240.21,7340.0,7927.2,3.15,22.13,100.0,77.01,22.87,100.0,60.47,67,Monitor,0.06,-0.82,2.37,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00117,Supplier 117,R018,122,5,32002,68751923.2,24.15,4.15,27,122,0,100.0,22.13,0.0,2143.08,67.41,2060.0,2224.8,3.15,22.13,100.0,77.01,22.87,100.0,60.47,68,Monitor,0.06,0.3,-1.64,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00189,Supplier 189,R010,121,5,34748,359349460.8,24.18,4.18,26,121,0,100.0,21.49,0.0,10385.8,325.88,9980.0,10778.4,3.14,21.49,100.0,73.85,28.28,100.0,60.46,69,Monitor,0.0,0.43,-2.95,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00089,Supplier 089,R010,120,5,34510,356359452.8,24.15,4.15,28,120,0,100.0,23.33,0.0,10372.55,327.24,9980.0,10778.4,3.15,23.33,100.0,76.78,16.62,100.0,59.85,70,Monitor,-0.0,-0.22,1.56,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00065,Supplier 065,R006,121,5,31694,240716768.0,24.13,4.13,28,121,0,100.0,23.14,0.0,7631.17,241.2,7340.0,7927.2,3.16,23.14,100.0,78.42,12.63,100.0,59.52,71,Monitor,-0.07,-0.19,1.92,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00049,Supplier 049,R010,120,5,35910,208772352.0,24.17,4.17,27,120,0,100.0,22.5,0.0,5803.2,183.01,5580.0,6026.4,3.15,22.5,100.0,75.25,17.55,100.0,59.43,72,Monitor,0.0,-0.33,2.42,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00025,Supplier 025,R006,120,5,32880,100751448.0,24.17,4.17,27,120,0,100.0,22.5,0.0,3057.6,96.42,2940.0,3175.2,3.15,22.5,100.0,75.25,17.55,100.0,59.43,72,Monitor,-0.13,-0.26,3.17,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00161,Supplier 161,R002,123,5,31730,228216120.0,24.13,4.13,28,123,2563,91.89,22.76,8.08,7173.76,224.88,6900.0,7452.0,3.13,22.76,91.89,78.62,30.3,91.92,59.26,73,Monitor,-0.19,0.33,0.37,0.0,-0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00149,Supplier 149,R010,122,5,36306,211115059.2,24.11,4.11,28,122,0,100.0,22.95,0.0,5803.2,183.74,5580.0,6026.4,3.17,22.95,100.0,80.03,8.94,100.0,59.23,74,Monitor,0.0,-0.23,0.75,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00125,Supplier 125,R006,122,5,33228,101839012.8,24.11,4.11,28,122,0,100.0,22.95,0.0,3057.6,96.81,2940.0,3175.2,3.17,22.95,100.0,80.03,8.94,100.0,59.23,74,Monitor,0.0,-0.23,0.75,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
