Return_ID,Order_ID,Order_Item_ID,Customer_ID,Product_ID,Return_Date,Return_Quantity,Refund_Amount,Reason,Status
RT0000038,O0000495,OI00000495,C000496,P00496,2026-02-16,1,1243.038357015457,Changed mind,Rejected
RT0000039,O0000508,OI00000508,C000509,P00509,2026-03-02,1,137.91374471996312,Changed mind,Refunded
RT0000040,O0000521,OI00000521,C000522,P00522,2026-03-16,1,303.0473074767611,Quality issue,Pending
RT0000041,O0000534,OI00000534,C000535,P00535,2026-03-30,1,468.180870233559,Damaged,Refunded
RT0000042,O0000547,OI00000547,C000548,P00548,2026-04-13,1,633.314432990357,Quality issue,Refunded
RT0000043,O0000560,OI00000560,C000561,P00561,2026-04-27,1,798.4479957471549,Quality issue,Refunded
RT0000044,O0000573,OI00000573,C000574,P00574,2026-05-11,1,963.5815585039528,Damaged,Refunded
RT0000045,O0000586,OI00000586,C000587,P00587,2026-05-25,1,1128.7151212607507,Quality issue,Rejected
RT0000046,O0000599,OI00000599,C000600,P00600,2026-06-08,1,1293.8486840175487,Damaged,Refunded
RT0000047,O0000612,OI00000612,C000613,P00613,2026-06-22,1,188.7240717220548,Wrong item,Rejected
RT0000048,O0000625,OI00000625,C000626,P00626,2026-07-06,1,353.8576344788528,Late delivery,Rejected
RT0000049,O0000638,OI00000638,C000639,P00639,2026-07-20,1,518.9911972356507,Quality issue,Refunded
RT0000050,O0000651,OI00000651,C000652,P00652,2026-08-03,1,684.1247599924486,Late delivery,Refunded
RT0000051,O0000664,OI00000664,C000665,P00665,2026-08-17,1,849.2583227492466,Changed mind,Rejected
RT0000052,O0000677,OI00000677,C000678,P00678,2026-08-31,1,1014.3918855060446,Quality issue,Pending
RT0000053,O0000690,OI00000690,C000691,P00691,2025-09-14,1,1179.5254482628425,Damaged,Refunded
RT0000054,O0000703,OI00000703,C000704,P00704,2025-09-28,1,74.40083596734853,Late delivery,Refunded
RT0000055,O0000716,OI00000716,C000717,P00717,2025-10-12,1,239.53439872414648,Quality issue,Pending
RT0000056,O0000729,OI00000729,C000730,P00730,2025-10-26,1,404.6679614809444,Wrong item,Refunded
RT0000057,O0000742,OI00000742,C000743,P00743,2025-11-09,1,569.8015242377423,Wrong item,Rejected
RT0000058,O0000755,OI00000755,C000756,P00756,2025-11-23,1,734.9350869945404,Changed mind,Rejected
RT0000059,O0000768,OI00000768,C000769,P00769,2025-12-07,1,900.0686497513383,Quality issue,Rejected
RT0000060,O0000781,OI00000781,C000782,P00782,2025-12-21,1,1065.2022125081362,Late delivery,Pending
RT0000061,O0000794,OI00000794,C000795,P00795,2026-01-04,1,1230.3357752649342,Damaged,Pending
RT0000062,O0000807,OI00000807,C000808,P00808,2026-01-18,1,125.2111629694402,Changed mind,Pending
RT0000063,O0000820,OI00000820,C000821,P00821,2026-02-01,1,290.3447257262381,Quality issue,Pending
RT0000064,O0000833,OI00000833,C000834,P00834,2026-02-15,1,455.4782884830361,Late delivery,Refunded
RT0000065,O0000846,OI00000846,C000847,P00847,2026-03-01,1,620.6118512398341,Wrong item,Refunded
RT0000066,O0000859,OI00000859,C000860,P00860,2026-03-15,1,785.745413996632,Damaged,Refunded
RT0000067,O0000872,OI00000872,C000873,P00873,2026-03-29,1,950.87897675343,Wrong item,Rejected
RT0000068,O0000885,OI00000885,C000886,P00886,2026-04-12,1,1116.012539510228,Late delivery,Refunded
RT0000069,O0000898,OI00000898,C000899,P00899,2026-04-26,1,1281.1461022670258,Damaged,Pending
RT0000070,O0000911,OI00000911,C000912,P00912,2026-05-10,1,176.02148997153188,Late delivery,Refunded
RT0000071,O0000924,OI00000924,C000925,P00925,2026-05-24,1,341.15505272832985,Wrong item,Refunded
RT0000072,O0000937,OI00000937,C000938,P00938,2026-06-07,1,506.28861548512776,Changed mind,Rejected
RT0000073,O0000950,OI00000950,C000951,P00951,2026-06-21,1,671.4221782419257,Late delivery,Refunded
RT0000074,O0000963,OI00000963,C000964,P00964,2026-07-05,1,836.5557409987236,Damaged,Pending
RT0000075,O0000976,OI00000976,C000977,P00977,2026-07-19,1,1001.6893037555216,Quality issue,Pending
RT0000076,O0000989,OI00000989,C000990,P00990,2026-08-02,1,1166.8228665123197,Changed mind,Pending
RT0000077,O0001002,OI00001002,C001003,P00003,2026-08-16,1,61.69825421682561,Late delivery,Pending
RT0000078,O0001015,OI00001015,C001016,P00016,2026-08-30,1,226.83181697362355,Damaged,Rejected
RT0000079,O0001028,OI00001028,C001029,P00029,2025-09-13,1,391.9653797304215,Changed mind,Refunded
RT0000080,O0001041,OI00001041,C001042,P00042,2025-09-27,1,557.0989424872195,Quality issue,Refunded
RT0000081,O0001054,OI00001054,C001055,P00055,2025-10-11,1,722.2325052440174,Wrong item,Refunded
RT0000082,O0001067,OI00001067,C001068,P00068,2025-10-25,1,887.3660680008154,Changed mind,Refunded
RT0000083,O0001080,OI00001080,C001081,P00081,2025-11-08,1,1052.4996307576132,Damaged,Refunded
RT0000084,O0001093,OI00001093,C001094,P00094,2025-11-22,1,1217.6331935144112,Changed mind,Refunded
RT0000085,O0001106,OI00001106,C001107,P00107,2025-12-06,1,112.50858121891729,Late delivery,Pending
RT0000086,O0001119,OI00001119,C001120,P00120,2025-12-20,1,277.6421439757152,Damaged,Refunded
RT0000087,O0001132,OI00001132,C001133,P00133,2026-01-03,1,442.7757067325132,Damaged,Refunded
RT0000088,O0001145,OI00001145,C001146,P00146,2026-01-17,1,607.9092694893111,Late delivery,Pending
RT0000089,O0001158,OI00001158,C001159,P00159,2026-01-31,1,773.0428322461091,Late delivery,Rejected
RT0000090,O0001171,OI00001171,C001172,P00172,2026-02-14,1,938.176395002907,Wrong item,Rejected
RT0000091,O0001184,OI00001184,C001185,P00185,2026-02-28,1,1103.309957759705,Late delivery,Refunded
RT0000092,O0001197,OI00001197,C001198,P00198,2026-03-14,1,1268.443520516503,Changed mind,Rejected
RT0000093,O0001210,OI00001210,C001211,P00211,2026-03-28,1,163.31890822100897,Quality issue,Pending
RT0000094,O0001223,OI00001223,C001224,P00224,2026-04-11,1,328.4524709778069,Wrong item,Pending
RT0000095,O0001236,OI00001236,C001237,P00237,2026-04-25,1,493.5860337346049,Quality issue,Refunded
RT0000096,O0001249,OI00001249,C001250,P00250,2026-05-09,1,658.7195964914029,Changed mind,Pending
RT0000097,O0001262,OI00001262,C001263,P00263,2026-05-23,1,823.8531592482008,Quality issue,Refunded
RT0000098,O0001275,OI00001275,C001276,P00276,2026-06-06,1,988.9867220049988,Damaged,Rejected
RT0000099,O0001288,OI00001288,C001289,P00289,2026-06-20,1,1154.1202847617967,Changed mind,Pending
RT0000100,O0001301,OI00001301,C001302,P00302,2026-07-04,1,48.995672466302686,Damaged,Rejected
RT0000101,O0001314,OI00001314,C001315,P00315,2026-07-18,1,214.12923522310064,Wrong item,Pending
RT0000102,O0001327,OI00001327,C001328,P00328,2026-08-01,1,379.2627979798986,Damaged,Rejected
RT0000103,O0001340,OI00001340,C001341,P00341,2026-08-15,1,544.3963607366966,Late delivery,Refunded
RT0000104,O0001353,OI00001353,C001354,P00354,2026-08-29,1,709.5299234934945,Damaged,Rejected
RT0000105,O0001366,OI00001366,C001367,P00367,2025-09-12,1,874.6634862502924,Wrong item,Refunded
RT0000106,O0001379,OI00001379,C001380,P00380,2025-09-26,1,1039.7970490070904,Quality issue,Refunded
RT0000107,O0001392,OI00001392,C001393,P00393,2025-10-10,1,1204.9306117638882,Damaged,Pending
RT0000108,O0001405,OI00001405,C001406,P00406,2025-10-24,1,99.80599946839436,Damaged,Refunded
RT0000109,O0001418,OI00001418,C001419,P00419,2025-11-07,1,264.93956222519233,Damaged,Refunded
RT0000110,O0001431,OI00001431,C001432,P00432,2025-11-21,1,430.0731249819903,Late delivery,Rejected
RT0000111,O0001444,OI00001444,C001445,P00445,2025-12-05,1,595.2066877387882,Changed mind,Refunded
RT0000112,O0001457,OI00001457,C001458,P00458,2025-12-19,1,760.3402504955861,Quality issue,Refunded
RT0000113,O0001470,OI00001470,C001471,P00471,2026-01-02,1,925.4738132523842,Changed mind,Refunded
RT0000114,O0001483,OI00001483,C001484,P00484,2026-01-16,1,1090.607376009182,Quality issue,Rejected
RT0000115,O0001496,OI00001496,C001497,P00497,2026-01-30,1,1255.74093876598,Wrong item,Refunded
RT0000116,O0001509,OI00001509,C001510,P00510,2026-02-13,1,150.61632647048603,Changed mind,Rejected
RT0000117,O0001522,OI00001522,C001523,P00523,2026-02-27,1,315.749889227284,Late delivery,Pending
RT0000118,O0001535,OI00001535,C001536,P00536,2026-03-13,1,480.88345198408194,Late delivery,Pending
RT0000119,O0001548,OI00001548,C001549,P00549,2026-03-27,1,646.0170147408799,Wrong item,Rejected
RT0000120,O0001561,OI00001561,C001562,P00562,2026-04-10,1,811.1505774976779,Damaged,Rejected
RT0000121,O0001574,OI00001574,C001575,P00575,2026-04-24,1,976.2841402544758,Changed mind,Refunded
RT0000122,O0001587,OI00001587,C001588,P00588,2026-05-08,1,1141.4177030112735,Damaged,Pending
RT0000123,O0001600,OI00001600,C001601,P00601,2026-05-22,1,36.29309071577977,Damaged,Rejected
RT0000125,O0001626,OI00001626,C001627,P00627,2026-06-19,1,366.56021622937567,Quality issue,Pending
RT0000126,O0001639,OI00001639,C001640,P00640,2026-07-03,1,531.6937789861736,Quality issue,Pending
RT0000127,O0001652,OI00001652,C001653,P00653,2026-07-17,1,696.8273417429716,Changed mind,Pending
RT0000128,O0001665,OI00001665,C001666,P00666,2026-07-31,1,861.9609044997695,Changed mind,Rejected
RT0000129,O0001678,OI00001678,C001679,P00679,2026-08-14,1,1027.0944672565674,Damaged,Rejected
RT0000130,O0001691,OI00001691,C001692,P00692,2026-08-28,1,1192.2280300133657,Quality issue,Refunded
RT0000131,O0001704,OI00001704,C001705,P00705,2025-09-11,1,87.10341771787145,Damaged,Rejected
RT0000132,O0001717,OI00001717,C001718,P00718,2025-09-25,1,252.2369804746694,Quality issue,Rejected
RT0000133,O0001730,OI00001730,C001731,P00731,2025-10-09,1,417.37054323146737,Late delivery,Pending
RT0000134,O0001743,OI00001743,C001744,P00744,2025-10-23,1,582.5041059882653,Quality issue,Pending
RT0000135,O0001756,OI00001756,C001757,P00757,2025-11-06,1,747.6376687450633,Quality issue,Refunded
RT0000136,O0001769,OI00001769,C001770,P00770,2025-11-20,1,912.7712315018612,Quality issue,Rejected
RT0000137,O0001782,OI00001782,C001783,P00783,2025-12-04,1,1077.9047942586592,Late delivery,Pending
RT0000138,O0001795,OI00001795,C001796,P00796,2025-12-18,1,1243.038357015457,Changed mind,Rejected
RT0000139,O0001808,OI00001808,C001809,P00809,2026-01-01,1,137.91374471996312,Quality issue,Rejected
RT0000140,O0001821,OI00001821,C001822,P00822,2026-01-15,1,303.0473074767611,Wrong item,Pending
RT0000141,O0001834,OI00001834,C001835,P00835,2026-01-29,1,468.180870233559,Changed mind,Rejected
RT0000142,O0001847,OI00001847,C001848,P00848,2026-02-12,1,633.314432990357,Quality issue,Pending
RT0000143,O0001860,OI00001860,C001861,P00861,2026-02-26,1,798.4479957471549,Wrong item,Rejected
RT0000144,O0001873,OI00001873,C001874,P00874,2026-03-12,1,963.5815585039528,Late delivery,Refunded
RT0000145,O0001886,OI00001886,C001887,P00887,2026-03-26,1,1128.7151212607507,Wrong item,Rejected
RT0000146,O0001899,OI00001899,C001900,P00900,2026-04-09,1,1293.8486840175487,Changed mind,Refunded
RT0000147,O0001912,OI00001912,C001913,P00913,2026-04-23,1,188.7240717220548,Late delivery,Rejected
RT0000148,O0001925,OI00001925,C001926,P00926,2026-05-07,1,353.8576344788528,Changed mind,Rejected
RT0000149,O0001938,OI00001938,C001939,P00939,2026-05-21,1,518.9911972356507,Late delivery,Refunded
RT0000150,O0001951,OI00001951,C001952,P00952,2026-06-04,1,684.1247599924486,Quality issue,Pending
RT0000151,O0001964,OI00001964,C001965,P00965,2026-06-18,1,849.2583227492466,Changed mind,Rejected
RT0000152,O0001977,OI00001977,C001978,P00978,2026-07-02,1,1014.3918855060446,Late delivery,Pending
RT0000153,O0001990,OI00001990,C001991,P00991,2026-07-16,1,1179.5254482628425,Damaged,Pending
RT0000154,O0002003,OI00002003,C002004,P00004,2026-07-30,1,74.40083596734853,Damaged,Refunded
RT0000155,O0002016,OI00002016,C002017,P00017,2026-08-13,1,239.53439872414648,Quality issue,Pending
RT0000156,O0002029,OI00002029,C002030,P00030,2026-08-27,1,404.6679614809444,Wrong item,Pending
RT0000157,O0002042,OI00002042,C002043,P00043,2025-09-10,1,569.8015242377423,Damaged,Rejected
RT0000158,O0002055,OI00002055,C002056,P00056,2025-09-24,1,734.9350869945404,Changed mind,Pending
RT0000159,O0002068,OI00002068,C002069,P00069,2025-10-08,1,900.0686497513383,Changed mind,Pending
RT0000160,O0002081,OI00002081,C002082,P00082,2025-10-22,1,1065.2022125081362,Damaged,Pending
RT0000161,O0002094,OI00002094,C002095,P00095,2025-11-05,1,1230.3357752649342,Quality issue,Rejected
RT0000162,O0002107,OI00002107,C002108,P00108,2025-11-19,1,125.2111629694402,Changed mind,Rejected
RT0000163,O0002120,OI00002120,C002121,P00121,2025-12-03,1,290.3447257262381,Late delivery,Refunded
RT0000164,O0002133,OI00002133,C002134,P00134,2025-12-17,1,455.4782884830361,Wrong item,Refunded
RT0000165,O0002146,OI00002146,C002147,P00147,2025-12-31,1,620.6118512398341,Changed mind,Refunded
RT0000166,O0002159,OI00002159,C002160,P00160,2026-01-14,1,785.745413996632,Late delivery,Refunded
RT0000167,O0002172,OI00002172,C002173,P00173,2026-01-28,1,950.87897675343,Changed mind,Refunded
RT0000168,O0002185,OI00002185,C002186,P00186,2026-02-11,1,1116.012539510228,Wrong item,Rejected
RT0000169,O0002198,OI00002198,C002199,P00199,2026-02-25,1,1281.1461022670258,Quality issue,Rejected
RT0000170,O0002211,OI00002211,C002212,P00212,2026-03-11,1,176.02148997153188,Damaged,Pending
RT0000171,O0002224,OI00002224,C002225,P00225,2026-03-25,1,341.15505272832985,Changed mind,Refunded
RT0000172,O0002237,OI00002237,C002238,P00238,2026-04-08,1,506.28861548512776,Changed mind,Pending
RT0000174,O0002263,OI00002263,C002264,P00264,2026-05-06,1,836.5557409987236,Quality issue,Refunded
RT0000175,O0002276,OI00002276,C002277,P00277,2026-05-20,1,1001.6893037555216,Damaged,Pending
RT0000176,O0002289,OI00002289,C002290,P00290,2026-06-03,1,1166.8228665123197,Quality issue,Refunded
RT0000177,O0002302,OI00002302,C002303,P00303,2026-06-17,1,61.69825421682561,Late delivery,Pending
RT0000178,O0002315,OI00002315,C002316,P00316,2026-07-01,1,226.83181697362355,Late delivery,Rejected
RT0000179,O0002328,OI00002328,C002329,P00329,2026-07-15,1,391.9653797304215,Wrong item,Refunded
RT0000180,O0002341,OI00002341,C002342,P00342,2026-07-29,1,557.0989424872195,Damaged,Rejected
RT0000181,O0002354,OI00002354,C002355,P00355,2026-08-12,1,722.2325052440174,Damaged,Rejected
RT0000182,O0002367,OI00002367,C002368,P00368,2026-08-26,1,887.3660680008154,Late delivery,Rejected
RT0000183,O0002380,OI00002380,C002381,P00381,2025-09-09,1,1052.4996307576132,Late delivery,Rejected
RT0000184,O0002393,OI00002393,C002394,P00394,2025-09-23,1,1217.6331935144112,Damaged,Rejected
RT0000185,O0002406,OI00002406,C002407,P00407,2025-10-07,1,112.50858121891729,Damaged,Refunded
RT0000186,O0002419,OI00002419,C002420,P00420,2025-10-21,1,277.6421439757152,Changed mind,Pending
RT0000187,O0002432,OI00002432,C002433,P00433,2025-11-04,1,442.7757067325132,Late delivery,Pending
RT0000188,O0002445,OI00002445,C002446,P00446,2025-11-18,1,607.9092694893111,Changed mind,Refunded
RT0000189,O0002458,OI00002458,C002459,P00459,2025-12-02,1,773.0428322461091,Quality issue,Refunded
RT0000190,O0002471,OI00002471,C002472,P00472,2025-12-16,1,938.176395002907,Quality issue,Rejected
RT0000191,O0002484,OI00002484,C002485,P00485,2025-12-30,1,1103.309957759705,Late delivery,Pending
RT0000192,O0002497,OI00002497,C002498,P00498,2026-01-13,1,1268.443520516503,Wrong item,Pending
RT0000193,O0002510,OI00002510,C002511,P00511,2026-01-27,1,163.31890822100897,Damaged,Pending
RT0000194,O0002523,OI00002523,C002524,P00524,2026-02-10,1,328.4524709778069,Changed mind,Refunded
RT0000195,O0002536,OI00002536,C002537,P00537,2026-02-24,1,493.5860337346049,Damaged,Pending
RT0000196,O0002549,OI00002549,C002550,P00550,2026-03-10,1,658.7195964914029,Wrong item,Pending
RT0000197,O0002562,OI00002562,C002563,P00563,2026-03-24,1,823.8531592482008,Late delivery,Pending
RT0000198,O0002575,OI00002575,C002576,P00576,2026-04-07,1,988.9867220049988,Wrong item,Pending
RT0000199,O0002588,OI00002588,C002589,P00589,2026-04-21,1,1154.1202847617967,Late delivery,Pending
RT0000200,O0002601,OI00002601,C002602,P00602,2026-05-05,1,48.995672466302686,Changed mind,Pending
RT0000201,O0002614,OI00002614,C002615,P00615,2026-05-19,1,214.12923522310064,Quality issue,Rejected
RT0000202,O0002627,OI00002627,C002628,P00628,2026-06-02,1,379.2627979798986,Wrong item,Refunded
RT0000203,O0002640,OI00002640,C002641,P00641,2026-06-16,1,544.3963607366966,Late delivery,Pending
RT0000204,O0002653,OI00002653,C002654,P00654,2026-06-30,1,709.5299234934945,Changed mind,Rejected
RT0000205,O0002666,OI00002666,C002667,P00667,2026-07-14,1,874.6634862502924,Changed mind,Pending
RT0000206,O0002679,OI00002679,C002680,P00680,2026-07-28,1,1039.7970490070904,Late delivery,Pending
RT0000207,O0002692,OI00002692,C002693,P00693,2026-08-11,1,1204.9306117638882,Wrong item,Rejected
RT0000208,O0002705,OI00002705,C002706,P00706,2026-08-25,1,99.80599946839436,Quality issue,Rejected
RT0000209,O0002718,OI00002718,C002719,P00719,2025-09-08,1,264.93956222519233,Late delivery,Pending
RT0000210,O0002731,OI00002731,C002732,P00732,2025-09-22,1,430.0731249819903,Late delivery,Rejected
RT0000211,O0002744,OI00002744,C002745,P00745,2025-10-06,1,595.2066877387882,Wrong item,Pending
RT0000212,O0002757,OI00002757,C002758,P00758,2025-10-20,1,760.3402504955861,Quality issue,Rejected
RT0000213,O0002770,OI00002770,C002771,P00771,2025-11-03,1,925.4738132523842,Changed mind,Rejected
RT0000214,O0002783,OI00002783,C002784,P00784,2025-11-17,1,1090.607376009182,Late delivery,Pending
RT0000215,O0002796,OI00002796,C002797,P00797,2025-12-01,1,1255.74093876598,Quality issue,Rejected
RT0000216,O0002809,OI00002809,C002810,P00810,2025-12-15,1,150.61632647048603,Wrong item,Refunded
RT0000217,O0002822,OI00002822,C002823,P00823,2025-12-29,1,315.749889227284,Wrong item,Pending
RT0000218,O0002835,OI00002835,C002836,P00836,2026-01-12,1,480.88345198408194,Changed mind,Rejected
RT0000219,O0002848,OI00002848,C002849,P00849,2026-01-26,1,646.0170147408799,Changed mind,Rejected
RT0000220,O0002861,OI00002861,C002862,P00862,2026-02-09,1,811.1505774976779,Wrong item,Pending
RT0000221,O0002874,OI00002874,C002875,P00875,2026-02-23,1,976.2841402544758,Quality issue,Rejected
RT0000222,O0002887,OI00002887,C002888,P00888,2026-03-09,1,1141.4177030112735,Late delivery,Pending
RT0000223,O0002900,OI00002900,C002901,P00901,2026-03-23,1,36.29309071577977,Damaged,Pending
RT0000224,O0002913,OI00002913,C002914,P00914,2026-04-06,1,201.42665347257773,Damaged,Refunded
RT0000225,O0002926,OI00002926,C002927,P00927,2026-04-20,1,366.56021622937567,Quality issue,Rejected
RT0000226,O0002939,OI00002939,C002940,P00940,2026-05-04,1,531.6937789861736,Wrong item,Refunded
RT0000227,O0002952,OI00002952,C002953,P00953,2026-05-18,1,696.8273417429716,Quality issue,Pending
RT0000228,O0002965,OI00002965,C002966,P00966,2026-06-01,1,861.9609044997695,Wrong item,Pending
RT0000229,O0002978,OI00002978,C002979,P00979,2026-06-15,1,1027.0944672565674,Damaged,Rejected
RT0000230,O0002991,OI00002991,C002992,P00992,2026-06-29,1,1192.2280300133657,Quality issue,Pending
RT0000231,O0003004,OI00003004,C003005,P00005,2026-07-13,1,87.10341771787145,Late delivery,Pending
RT0000232,O0003017,OI00003017,C003018,P00018,2026-07-27,1,252.2369804746694,Quality issue,Pending
RT0000233,O0003030,OI00003030,C003031,P00031,2026-08-10,1,417.37054323146737,Quality issue,Pending
RT0000234,O0003043,OI00003043,C003044,P00044,2026-08-24,1,582.5041059882653,Wrong item,Refunded
RT0000235,O0003056,OI00003056,C003057,P00057,2025-09-07,1,747.6376687450633,Changed mind,Pending
RT0000236,O0003069,OI00003069,C003070,P00070,2025-09-21,1,912.7712315018612,Late delivery,Pending
RT0000237,O0003082,OI00003082,C003083,P00083,2025-10-05,1,1077.9047942586592,Late delivery,Rejected
RT0000238,O0003095,OI00003095,C003096,P00096,2025-10-19,1,1243.038357015457,Quality issue,Pending
RT0000239,O0003108,OI00003108,C003109,P00109,2025-11-02,1,137.91374471996312,Changed mind,Rejected
RT0000240,O0003121,OI00003121,C003122,P00122,2025-11-16,1,303.0473074767611,Quality issue,Refunded
RT0000241,O0003134,OI00003134,C003135,P00135,2025-11-30,1,468.180870233559,Damaged,Refunded
RT0000243,O0003160,OI00003160,C003161,P00161,2025-12-28,1,798.4479957471549,Quality issue,Refunded
RT0000244,O0003173,OI00003173,C003174,P00174,2026-01-11,1,963.5815585039528,Changed mind,Rejected
RT0000245,O0003186,OI00003186,C003187,P00187,2026-01-25,1,1128.7151212607507,Wrong item,Refunded
RT0000246,O0003199,OI00003199,C003200,P00200,2026-02-08,1,1293.8486840175487,Wrong item,Pending
RT0000247,O0003212,OI00003212,C003213,P00213,2026-02-22,1,188.7240717220548,Damaged,Refunded
RT0000248,O0003225,OI00003225,C003226,P00226,2026-03-08,1,353.8576344788528,Wrong item,Rejected
RT0000249,O0003238,OI00003238,C003239,P00239,2026-03-22,1,518.9911972356507,Wrong item,Pending
RT0000250,O0003251,OI00003251,C003252,P00252,2026-04-05,1,684.1247599924486,Changed mind,Refunded
RT0000251,O0003264,OI00003264,C003265,P00265,2026-04-19,1,849.2583227492466,Quality issue,Pending
RT0000252,O0003277,OI00003277,C003278,P00278,2026-05-03,1,1014.3918855060446,Wrong item,Pending
RT0000253,O0003290,OI00003290,C003291,P00291,2026-05-17,1,1179.5254482628425,Late delivery,Refunded
RT0000254,O0003303,OI00003303,C003304,P00304,2026-05-31,1,74.40083596734853,Changed mind,Rejected
RT0000255,O0003316,OI00003316,C003317,P00317,2026-06-14,1,239.53439872414648,Changed mind,Refunded
RT0000256,O0003329,OI00003329,C003330,P00330,2026-06-28,1,404.6679614809444,Late delivery,Rejected
RT0000257,O0003342,OI00003342,C003343,P00343,2026-07-12,1,569.8015242377423,Quality issue,Rejected
RT0000258,O0003355,OI00003355,C003356,P00356,2026-07-26,1,734.9350869945404,Quality issue,Rejected
RT0000259,O0003368,OI00003368,C003369,P00369,2026-08-09,1,900.0686497513383,Damaged,Pending
RT0000260,O0003381,OI00003381,C003382,P00382,2026-08-23,1,1065.2022125081362,Wrong item,Refunded
RT0000261,O0003394,OI00003394,C003395,P00395,2025-09-06,1,1230.3357752649342,Wrong item,Rejected
RT0000262,O0003407,OI00003407,C003408,P00408,2025-09-20,1,125.2111629694402,Late delivery,Refunded
RT0000264,O0003433,OI00003433,C003434,P00434,2025-10-18,1,455.4782884830361,Damaged,Pending
RT0000265,O0003446,OI00003446,C003447,P00447,2025-11-01,1,620.6118512398341,Damaged,Pending
RT0000266,O0003459,OI00003459,C003460,P00460,2025-11-15,1,785.745413996632,Damaged,Rejected
RT0000267,O0003472,OI00003472,C003473,P00473,2025-11-29,1,950.87897675343,Wrong item,Pending
