Inventory_ID,Snapshot_Date,Warehouse_ID,Product_ID,Opening_Stock,Purchases,Units_Sold,Returns_In,Adjustments,Closing_Stock,Unit_Cost,Stock_Value,Stockout_Flag
ST00000075,2025-11-15,W016,P00076,125,75,105,3,2,100,8550,855000.0,0
ST00000076,2025-11-16,W017,P00077,126,76,112,4,3,97,8660,840020.0,0
ST00000077,2025-11-17,W018,P00078,127,77,119,5,-3,87,8770,762990.0,0
ST00000078,2025-11-18,W019,P00079,128,78,126,6,-2,84,8880,745920.0,0
ST00000079,2025-11-19,W020,P00080,129,79,133,7,-1,81,8990,728190.0,0
ST00000080,2025-11-20,W001,P00081,130,80,140,8,0,78,9100,709800.0,0
ST00000081,2025-11-21,W002,P00082,131,81,147,0,1,66,9210,607860.0,0
ST00000082,2025-11-22,W003,P00083,132,82,154,1,2,63,9320,587160.0,0
ST00000083,2025-11-23,W004,P00084,133,83,161,2,3,60,9430,565800.0,0
ST00000084,2025-11-24,W005,P00085,134,84,168,3,-3,50,9540,477000.0,0
ST00000085,2025-11-25,W006,P00086,135,85,175,4,-2,47,9650,453550.0,0
ST00000086,2025-11-26,W007,P00087,136,86,182,5,-1,44,9760,429440.0,0
ST00000087,2025-11-27,W008,P00088,137,87,189,6,0,41,9870,404670.0,0
ST00000088,2025-11-28,W009,P00089,138,88,196,7,1,38,9980,379240.0,0
ST00000089,2025-11-29,W010,P00090,139,89,203,8,2,35,10090,353150.0,0
ST00000090,2025-11-30,W011,P00091,140,90,210,0,3,23,10200,234600.0,0
ST00000091,2025-12-01,W012,P00092,141,91,217,1,-3,13,10310,134030.0,0
ST00000092,2025-12-02,W013,P00093,142,92,224,2,-2,10,10420,104200.0,0
ST00000093,2025-12-03,W014,P00094,143,93,231,3,-1,7,10530,73710.0,0
ST00000094,2025-12-04,W015,P00095,144,94,238,4,0,4,10640,42560.0,0
ST00000095,2025-12-05,W016,P00096,145,95,245,5,1,1,10750,10750.0,0
ST00000096,2025-12-06,W017,P00097,146,96,252,6,2,-2,10860,-21720.0,1
ST00000097,2025-12-07,W018,P00098,147,97,259,7,3,-5,10970,-54850.0,1
ST00000098,2025-12-08,W019,P00099,148,98,266,8,-3,-15,11080,-166200.0,1
ST00000099,2025-12-09,W020,P00100,149,99,273,0,-2,-27,11190,-302130.0,1
ST00000100,2025-12-10,W001,P00101,150,100,280,1,-1,-30,300,-9000.0,1
ST00000101,2025-12-11,W002,P00102,151,101,287,2,0,-33,410,-13530.0,1
ST00000102,2025-12-12,W003,P00103,152,102,294,3,1,-36,520,-18720.0,1
ST00000103,2025-12-13,W004,P00104,153,103,301,4,2,-39,630,-24570.0,1
ST00000104,2025-12-14,W005,P00105,154,104,308,5,3,-42,740,-31080.0,1
ST00000105,2025-12-15,W006,P00106,155,105,315,6,-3,-52,850,-44200.0,1
ST00000106,2025-12-16,W007,P00107,156,106,322,7,-2,-55,960,-52800.0,1
ST00000107,2025-12-17,W008,P00108,157,107,329,8,-1,-58,1070,-62060.0,1
ST00000108,2025-12-18,W009,P00109,158,108,336,0,0,-70,1180,-82600.0,1
ST00000109,2025-12-19,W010,P00110,159,109,343,1,1,-73,1290,-94170.0,1
ST00000110,2025-12-20,W011,P00111,160,110,350,2,2,-76,1400,-106400.0,1
ST00000111,2025-12-21,W012,P00112,161,111,357,3,3,-79,1510,-119290.0,1
ST00000112,2025-12-22,W013,P00113,162,112,364,4,-3,-89,1620,-144180.0,1
ST00000113,2025-12-23,W014,P00114,163,113,371,5,-2,-92,1730,-159160.0,1
ST00000114,2025-12-24,W015,P00115,164,114,378,6,-1,-95,1840,-174800.0,1
ST00000115,2025-12-25,W016,P00116,165,115,385,7,0,-98,1950,-191100.0,1
ST00000116,2025-12-26,W017,P00117,166,116,392,8,1,-101,2060,-208060.0,1
ST00000117,2025-12-27,W018,P00118,167,117,399,0,2,-113,2170,-245210.0,1
ST00000118,2025-12-28,W019,P00119,168,118,406,1,3,-116,2280,-264480.0,1
ST00000119,2025-12-29,W020,P00120,169,119,413,2,-3,-126,2390,-301140.0,1
ST00000120,2025-12-30,W001,P00121,170,120,0,3,-2,291,2500,727500.0,0
ST00000121,2025-12-31,W002,P00122,171,121,7,4,-1,288,2610,751680.0,0
ST00000122,2026-01-01,W003,P00123,172,122,14,5,0,285,2720,775200.0,0
ST00000123,2026-01-02,W004,P00124,173,123,21,6,1,282,2830,798060.0,0
ST00000124,2026-01-03,W005,P00125,174,124,28,7,2,279,2940,820260.0,0
ST00000125,2026-01-04,W006,P00126,175,125,35,8,3,276,3050,841800.0,0
ST00000126,2026-01-05,W007,P00127,176,126,42,0,-3,257,3160,812120.0,0
ST00000127,2026-01-06,W008,P00128,177,127,49,1,-2,254,3270,830580.0,0
ST00000128,2026-01-07,W009,P00129,178,128,56,2,-1,251,3380,848380.0,0
ST00000129,2026-01-08,W010,P00130,179,129,63,3,0,248,3490,865520.0,0
ST00000130,2026-01-09,W011,P00131,180,130,70,4,1,245,3600,882000.0,0
ST00000131,2026-01-10,W012,P00132,181,131,77,5,2,242,3710,897820.0,0
ST00000132,2026-01-11,W013,P00133,182,132,84,6,3,239,3820,912980.0,0
ST00000133,2026-01-12,W014,P00134,183,133,91,7,-3,229,3930,899970.0,0
ST00000134,2026-01-13,W015,P00135,184,134,98,8,-2,226,4040,913040.0,0
ST00000135,2026-01-14,W016,P00136,185,135,105,0,-1,214,4150,888100.0,0
ST00000136,2026-01-15,W017,P00137,186,136,112,1,0,211,4260,898860.0,0
ST00000137,2026-01-16,W018,P00138,187,137,119,2,1,208,4370,908960.0,0
ST00000138,2026-01-17,W019,P00139,188,138,126,3,2,205,4480,918400.0,0
ST00000139,2026-01-18,W020,P00140,189,139,133,4,3,202,4590,927180.0,0
ST00000140,2026-01-19,W001,P00141,190,140,140,5,-3,192,4700,902400.0,0
ST00000141,2026-01-20,W002,P00142,191,141,147,6,-2,189,4810,909090.0,0
ST00000142,2026-01-21,W003,P00143,192,142,154,7,-1,186,4920,915120.0,0
ST00000143,2026-01-22,W004,P00144,193,143,161,8,0,183,5030,920490.0,0
ST00000144,2026-01-23,W005,P00145,194,144,168,0,1,171,5140,878940.0,0
ST00000145,2026-01-24,W006,P00146,195,145,175,1,2,168,5250,882000.0,0
ST00000146,2026-01-25,W007,P00147,196,146,182,2,3,165,5360,884400.0,0
ST00000147,2026-01-26,W008,P00148,197,147,189,3,-3,155,5470,847850.0,0
ST00000148,2026-01-27,W009,P00149,198,148,196,4,-2,152,5580,848160.0,0
ST00000149,2026-01-28,W010,P00150,199,149,203,5,-1,149,5690,847810.0,0
ST00000150,2026-01-29,W011,P00151,200,150,210,6,0,146,5800,846800.0,0
ST00000151,2026-01-30,W012,P00152,201,151,217,7,1,143,5910,845130.0,0
ST00000152,2026-01-31,W013,P00153,202,152,224,8,2,140,6020,842800.0,0
ST00000153,2026-02-01,W014,P00154,203,153,231,0,3,128,6130,784640.0,0
ST00000154,2026-02-02,W015,P00155,204,154,238,1,-3,118,6240,736320.0,0
ST00000155,2026-02-03,W016,P00156,205,155,245,2,-2,115,6350,730250.0,0
ST00000156,2026-02-04,W017,P00157,206,156,252,3,-1,112,6460,723520.0,0
ST00000157,2026-02-05,W018,P00158,207,157,259,4,0,109,6570,716130.0,0
ST00000158,2026-02-06,W019,P00159,208,158,266,5,1,106,6680,708080.0,0
ST00000159,2026-02-07,W020,P00160,209,159,273,6,2,103,6790,699370.0,0
ST00000160,2026-02-08,W001,P00161,210,160,280,7,3,100,6900,690000.0,0
ST00000161,2026-02-09,W002,P00162,211,161,287,8,-3,90,7010,630900.0,0
ST00000162,2026-02-10,W003,P00163,212,162,294,0,-2,78,7120,555360.0,0
ST00000163,2026-02-11,W004,P00164,213,163,301,1,-1,75,7230,542250.0,0
ST00000164,2026-02-12,W005,P00165,214,164,308,2,0,72,7340,528480.0,0
ST00000165,2026-02-13,W006,P00166,215,165,315,3,1,69,7450,514050.0,0
ST00000166,2026-02-14,W007,P00167,216,166,322,4,2,66,7560,498960.0,0
ST00000167,2026-02-15,W008,P00168,217,167,329,5,3,63,7670,483210.0,0
ST00000168,2026-02-16,W009,P00169,218,168,336,6,-3,53,7780,412340.0,0
ST00000169,2026-02-17,W010,P00170,219,169,343,7,-2,50,7890,394500.0,0
ST00000170,2026-02-18,W011,P00171,220,170,350,8,-1,47,8000,376000.0,0
ST00000171,2026-02-19,W012,P00172,221,171,357,0,0,35,8110,283850.0,0
ST00000172,2026-02-20,W013,P00173,222,172,364,1,1,32,8220,263040.0,0
ST00000173,2026-02-21,W014,P00174,223,173,371,2,2,29,8330,241570.0,0
ST00000174,2026-02-22,W015,P00175,224,174,378,3,3,26,8440,219440.0,0
ST00000175,2026-02-23,W016,P00176,225,175,385,4,-3,16,8550,136800.0,0
ST00000176,2026-02-24,W017,P00177,226,176,392,5,-2,13,8660,112580.0,0
ST00000177,2026-02-25,W018,P00178,227,177,399,6,-1,10,8770,87700.0,0
ST00000178,2026-02-26,W019,P00179,228,178,406,7,0,7,8880,62160.0,0
ST00000179,2026-02-27,W020,P00180,229,179,413,8,1,4,8990,35960.0,0
ST00000180,2026-02-28,W001,P00181,230,180,0,0,2,412,9100,3749200.0,0
ST00000181,2026-03-01,W002,P00182,231,181,7,1,3,409,9210,3766890.0,0
ST00000182,2026-03-02,W003,P00183,232,182,14,2,-3,399,9320,3718680.0,0
ST00000183,2026-03-03,W004,P00184,233,183,21,3,-2,396,9430,3734280.0,0
ST00000184,2026-03-04,W005,P00185,234,184,28,4,-1,393,9540,3749220.0,0
ST00000185,2026-03-05,W006,P00186,235,185,35,5,0,390,9650,3763500.0,0
ST00000186,2026-03-06,W007,P00187,236,186,42,6,1,387,9760,3777120.0,0
ST00000187,2026-03-07,W008,P00188,237,187,49,7,2,384,9870,3790080.0,0
ST00000188,2026-03-08,W009,P00189,238,188,56,8,3,381,9980,3802380.0,0
ST00000189,2026-03-09,W010,P00190,239,189,63,0,-3,362,10090,3652580.0,0
ST00000190,2026-03-10,W011,P00191,240,190,70,1,-2,359,10200,3661800.0,0
ST00000191,2026-03-11,W012,P00192,241,191,77,2,-1,356,10310,3670360.0,0
ST00000192,2026-03-12,W013,P00193,242,192,84,3,0,353,10420,3678260.0,0
ST00000193,2026-03-13,W014,P00194,243,193,91,4,1,350,10530,3685500.0,0
ST00000194,2026-03-14,W015,P00195,244,194,98,5,2,347,10640,3692080.0,0
ST00000195,2026-03-15,W016,P00196,245,195,105,6,3,344,10750,3698000.0,0
ST00000196,2026-03-16,W017,P00197,246,196,112,7,-3,334,10860,3627240.0,0
ST00000197,2026-03-17,W018,P00198,247,197,119,8,-2,331,10970,3631070.0,0
ST00000198,2026-03-18,W019,P00199,248,198,126,0,-1,319,11080,3534520.0,0
ST00000199,2026-03-19,W020,P00200,249,199,133,1,0,316,11190,3536040.0,0
ST00000200,2026-03-20,W001,P00201,250,200,140,2,1,313,300,93900.0,0
ST00000201,2026-03-21,W002,P00202,251,201,147,3,2,310,410,127100.0,0
ST00000202,2026-03-22,W003,P00203,252,202,154,4,3,307,520,159640.0,0
ST00000203,2026-03-23,W004,P00204,253,203,161,5,-3,297,630,187110.0,0
ST00000204,2026-03-24,W005,P00205,254,204,168,6,-2,294,740,217560.0,0
ST00000205,2026-03-25,W006,P00206,255,205,175,7,-1,291,850,247350.0,0
ST00000206,2026-03-26,W007,P00207,256,206,182,8,0,288,960,276480.0,0
ST00000207,2026-03-27,W008,P00208,257,207,189,0,1,276,1070,295320.0,0
ST00000208,2026-03-28,W009,P00209,258,208,196,1,2,273,1180,322140.0,0
ST00000209,2026-03-29,W010,P00210,259,209,203,2,3,270,1290,348300.0,0
ST00000210,2026-03-30,W011,P00211,260,210,210,3,-3,260,1400,364000.0,0
ST00000211,2026-03-31,W012,P00212,261,211,217,4,-2,257,1510,388070.0,0
ST00000212,2026-04-01,W013,P00213,262,212,224,5,-1,254,1620,411480.0,0
ST00000213,2026-04-02,W014,P00214,263,213,231,6,0,251,1730,434230.0,0
ST00000214,2026-04-03,W015,P00215,264,214,238,7,1,248,1840,456320.0,0
ST00000215,2026-04-04,W016,P00216,265,215,245,8,2,245,1950,477750.0,0
ST00000216,2026-04-05,W017,P00217,266,216,252,0,3,233,2060,479980.0,0
ST00000217,2026-04-06,W018,P00218,267,217,259,1,-3,223,2170,483910.0,0
ST00000218,2026-04-07,W019,P00219,268,218,266,2,-2,220,2280,501600.0,0
ST00000219,2026-04-08,W020,P00220,269,219,273,3,-1,217,2390,518630.0,0
ST00000220,2026-04-09,W001,P00221,270,220,280,4,0,214,2500,535000.0,0
ST00000221,2026-04-10,W002,P00222,271,221,287,5,1,211,2610,550710.0,0
ST00000222,2026-04-11,W003,P00223,272,222,294,6,2,208,2720,565760.0,0
ST00000223,2026-04-12,W004,P00224,273,223,301,7,3,205,2830,580150.0,0
ST00000224,2026-04-13,W005,P00225,274,224,308,8,-3,195,2940,573300.0,0
ST00000225,2026-04-14,W006,P00226,275,225,315,0,-2,183,3050,558150.0,0
ST00000226,2026-04-15,W007,P00227,276,226,322,1,-1,180,3160,568800.0,0
ST00000227,2026-04-16,W008,P00228,277,227,329,2,0,177,3270,578790.0,0
ST00000228,2026-04-17,W009,P00229,278,228,336,3,1,174,3380,588120.0,0
ST00000229,2026-04-18,W010,P00230,279,229,343,4,2,171,3490,596790.0,0
ST00000230,2026-04-19,W011,P00231,280,230,350,5,3,168,3600,604800.0,0
ST00000231,2026-04-20,W012,P00232,281,231,357,6,-3,158,3710,586180.0,0
ST00000232,2026-04-21,W013,P00233,282,232,364,7,-2,155,3820,592100.0,0
ST00000233,2026-04-22,W014,P00234,283,233,371,8,-1,152,3930,597360.0,0
ST00000234,2026-04-23,W015,P00235,284,234,378,0,0,140,4040,565600.0,0
ST00000235,2026-04-24,W016,P00236,285,235,385,1,1,137,4150,568550.0,0
ST00000236,2026-04-25,W017,P00237,286,236,392,2,2,134,4260,570840.0,0
ST00000237,2026-04-26,W018,P00238,287,237,399,3,3,131,4370,572470.0,0
ST00000238,2026-04-27,W019,P00239,288,238,406,4,-3,121,4480,542080.0,0
ST00000239,2026-04-28,W020,P00240,289,239,413,5,-2,118,4590,541620.0,0
ST00000240,2026-04-29,W001,P00241,290,240,0,6,-1,535,4700,2514500.0,0
ST00000241,2026-04-30,W002,P00242,291,241,7,7,0,532,4810,2558920.0,0
ST00000242,2026-05-01,W003,P00243,292,242,14,8,1,529,4920,2602680.0,0
ST00000243,2026-05-02,W004,P00244,293,243,21,0,2,517,5030,2600510.0,0
ST00000244,2026-05-03,W005,P00245,294,244,28,1,3,514,5140,2641960.0,0
ST00000245,2026-05-04,W006,P00246,295,245,35,2,-3,504,5250,2646000.0,0
ST00000246,2026-05-05,W007,P00247,296,246,42,3,-2,501,5360,2685360.0,0
ST00000247,2026-05-06,W008,P00248,297,247,49,4,-1,498,5470,2724060.0,0
ST00000248,2026-05-07,W009,P00249,298,248,56,5,0,495,5580,2762100.0,0
ST00000249,2026-05-08,W010,P00250,299,249,63,6,1,492,5690,2799480.0,0
ST00000250,2026-05-09,W011,P00251,300,250,70,7,2,489,5800,2836200.0,0
ST00000251,2026-05-10,W012,P00252,301,251,77,8,3,486,5910,2872260.0,0
ST00000252,2026-05-11,W013,P00253,302,252,84,0,-3,467,6020,2811340.0,0
ST00000253,2026-05-12,W014,P00254,303,253,91,1,-2,464,6130,2844320.0,0
ST00000254,2026-05-13,W015,P00255,304,254,98,2,-1,461,6240,2876640.0,0
ST00000255,2026-05-14,W016,P00256,305,255,105,3,0,458,6350,2908300.0,0
ST00000256,2026-05-15,W017,P00257,306,256,112,4,1,455,6460,2939300.0,0
ST00000257,2026-05-16,W018,P00258,307,257,119,5,2,452,6570,2969640.0,0
ST00000258,2026-05-17,W019,P00259,308,258,126,6,3,449,6680,2999320.0,0
ST00000259,2026-05-18,W020,P00260,309,259,133,7,-3,439,6790,2980810.0,0
ST00000260,2026-05-19,W001,P00261,310,260,140,8,-2,436,6900,3008400.0,0
ST00000261,2026-05-20,W002,P00262,311,261,147,0,-1,424,7010,2972240.0,0
ST00000262,2026-05-21,W003,P00263,312,262,154,1,0,421,7120,2997520.0,0
ST00000263,2026-05-22,W004,P00264,313,263,161,2,1,418,7230,3022140.0,0
ST00000264,2026-05-23,W005,P00265,314,264,168,3,2,415,7340,3046100.0,0
ST00000265,2026-05-24,W006,P00266,315,265,175,4,3,412,7450,3069400.0,0
ST00000266,2026-05-25,W007,P00267,316,266,182,5,-3,402,7560,3039120.0,0
ST00000267,2026-05-26,W008,P00268,317,267,189,6,-2,399,7670,3060330.0,0
ST00000268,2026-05-27,W009,P00269,318,268,196,7,-1,396,7780,3080880.0,0
ST00000269,2026-05-28,W010,P00270,319,269,203,8,0,393,7890,3100770.0,0
ST00000270,2026-05-29,W011,P00271,320,270,210,0,1,381,8000,3048000.0,0
ST00000271,2026-05-30,W012,P00272,321,271,217,1,2,378,8110,3065580.0,0
ST00000272,2026-05-31,W013,P00273,322,272,224,2,3,375,8220,3082500.0,0
ST00000273,2026-06-01,W014,P00274,323,273,231,3,-3,365,8330,3040450.0,0
ST00000274,2026-06-02,W015,P00275,324,274,238,4,-2,362,8440,3055280.0,0
ST00000275,2026-06-03,W016,P00276,325,275,245,5,-1,359,8550,3069450.0,0
ST00000276,2026-06-04,W017,P00277,326,276,252,6,0,356,8660,3082960.0,0
ST00000277,2026-06-05,W018,P00278,327,277,259,7,1,353,8770,3095810.0,0
ST00000278,2026-06-06,W019,P00279,328,278,266,8,2,350,8880,3108000.0,0
ST00000279,2026-06-07,W020,P00280,329,279,273,0,3,338,8990,3038620.0,0
ST00000280,2026-06-08,W001,P00281,330,280,280,1,-3,328,9100,2984800.0,0
ST00000281,2026-06-09,W002,P00282,331,281,287,2,-2,325,9210,2993250.0,0
ST00000282,2026-06-10,W003,P00283,332,282,294,3,-1,322,9320,3001040.0,0
ST00000283,2026-06-11,W004,P00284,333,283,301,4,0,319,9430,3008170.0,0
ST00000284,2026-06-12,W005,P00285,334,284,308,5,1,316,9540,3014640.0,0
ST00000285,2026-06-13,W006,P00286,335,285,315,6,2,313,9650,3020450.0,0
ST00000286,2026-06-14,W007,P00287,336,286,322,7,3,310,9760,3025600.0,0
ST00000287,2026-06-15,W008,P00288,337,287,329,8,-3,300,9870,2961000.0,0
ST00000288,2026-06-16,W009,P00289,338,288,336,0,-2,288,9980,2874240.0,0
ST00000289,2026-06-17,W010,P00290,339,289,343,1,-1,285,10090,2875650.0,0
ST00000290,2026-06-18,W011,P00291,340,290,350,2,0,282,10200,2876400.0,0
ST00000291,2026-06-19,W012,P00292,341,291,357,3,1,279,10310,2876490.0,0
ST00000292,2026-06-20,W013,P00293,342,292,364,4,2,276,10420,2875920.0,0
ST00000293,2026-06-21,W014,P00294,343,293,371,5,3,273,10530,2874690.0,0
ST00000294,2026-06-22,W015,P00295,344,294,378,6,-3,263,10640,2798320.0,0
ST00000295,2026-06-23,W016,P00296,345,295,385,7,-2,260,10750,2795000.0,0
ST00000296,2026-06-24,W017,P00297,346,296,392,8,-1,257,10860,2791020.0,0
ST00000297,2026-06-25,W018,P00298,347,297,399,0,0,245,10970,2687650.0,0
ST00000298,2026-06-26,W019,P00299,348,298,406,1,1,242,11080,2681360.0,0
ST00000299,2026-06-27,W020,P00300,349,299,413,2,2,239,11190,2674410.0,0
ST00000300,2026-06-28,W001,P00301,350,0,0,3,3,356,300,106800.0,0
ST00000301,2026-06-29,W002,P00302,351,1,7,4,-3,346,410,141860.0,0
ST00000302,2026-06-30,W003,P00303,352,2,14,5,-2,343,520,178360.0,0
ST00000303,2026-07-01,W004,P00304,353,3,21,6,-1,340,630,214200.0,0
ST00000304,2026-07-02,W005,P00305,354,4,28,7,0,337,740,249380.0,0
ST00000305,2026-07-03,W006,P00306,355,5,35,8,1,334,850,283900.0,0
ST00000307,2026-07-05,W008,P00308,357,7,49,1,3,319,1070,341330.0,0
ST00000308,2026-07-06,W009,P00309,358,8,56,2,-3,309,1180,364620.0,0
ST00000309,2026-07-07,W010,P00310,359,9,63,3,-2,306,1290,394740.0,0
ST00000310,2026-07-08,W011,P00311,360,10,70,4,-1,303,1400,424200.0,0
ST00000311,2026-07-09,W012,P00312,361,11,77,5,0,300,1510,453000.0,0
ST00000312,2026-07-10,W013,P00313,362,12,84,6,1,297,1620,481140.0,0
ST00000313,2026-07-11,W014,P00314,363,13,91,7,2,294,1730,508620.0,0
ST00000314,2026-07-12,W015,P00315,364,14,98,8,3,291,1840,535440.0,0
ST00000315,2026-07-13,W016,P00316,365,15,105,0,-3,272,1950,530400.0,0
ST00000316,2026-07-14,W017,P00317,366,16,112,1,-2,269,2060,554140.0,0
ST00000317,2026-07-15,W018,P00318,367,17,119,2,-1,266,2170,577220.0,0
ST00000318,2026-07-16,W019,P00319,368,18,126,3,0,263,2280,599640.0,0
ST00000319,2026-07-17,W020,P00320,369,19,133,4,1,260,2390,621400.0,0
ST00000320,2026-07-18,W001,P00321,370,20,140,5,2,257,2500,642500.0,0
ST00000321,2026-07-19,W002,P00322,371,21,147,6,3,254,2610,662940.0,0
