Product_ID,Product_Name,Category,Subcategory,Supplier_ID,List_Price,Standard_Cost,Launch_Date,Lead_Time_Days,Status
P00077,IT Equipment Product 0077,IT Equipment,Subcategory 5,S00078,13975,8770,2025-11-17,27,Active
P00078,Electronics Product 0078,Electronics,Subcategory 6,S00079,14150,8880,2025-11-18,28,Active
P00079,Furniture Product 0079,Furniture,Subcategory 7,S00080,14325,8990,2025-11-19,29,Active
P00080,Office Supplies Product 0080,Office Supplies,Subcategory 8,S00081,14500,9100,2025-11-20,30,Active
P00081,Home Appliances Product 0081,Home Appliances,Subcategory 9,S00082,14675,9210,2025-11-21,31,Active
P00082,Accessories Product 0082,Accessories,Subcategory 10,S00083,14850,9320,2025-11-22,32,Active
P00083,IT Equipment Product 0083,IT Equipment,Subcategory 11,S00084,15025,9430,2025-11-23,33,Active
P00084,Electronics Product 0084,Electronics,Subcategory 12,S00085,15200,9540,2025-11-24,34,Active
P00085,Furniture Product 0085,Furniture,Subcategory 13,S00086,15375,9650,2025-11-25,35,Active
P00086,Office Supplies Product 0086,Office Supplies,Subcategory 14,S00087,15550,9760,2025-11-26,36,Discontinued
P00087,Home Appliances Product 0087,Home Appliances,Subcategory 15,S00088,15725,9870,2025-11-27,37,Active
P00088,Accessories Product 0088,Accessories,Subcategory 16,S00089,15900,9980,2025-11-28,38,Active
P00089,IT Equipment Product 0089,IT Equipment,Subcategory 17,S00090,16075,10090,2025-11-29,39,Active
P00090,Electronics Product 0090,Electronics,Subcategory 18,S00091,16250,10200,2025-11-30,40,Active
P00091,Furniture Product 0091,Furniture,Subcategory 19,S00092,16425,10310,2025-12-01,41,Active
P00092,Office Supplies Product 0092,Office Supplies,Subcategory 20,S00093,16600,10420,2025-12-02,42,Active
P00093,Home Appliances Product 0093,Home Appliances,Subcategory 21,S00094,16775,10530,2025-12-03,43,Active
P00094,Accessories Product 0094,Accessories,Subcategory 22,S00095,16950,10640,2025-12-04,44,Active
P00095,IT Equipment Product 0095,IT Equipment,Subcategory 23,S00096,17125,10750,2025-12-05,45,Active
P00096,Electronics Product 0096,Electronics,Subcategory 0,S00097,17300,10860,2025-12-06,46,Active
P00097,Furniture Product 0097,Furniture,Subcategory 1,S00098,17475,10970,2025-12-07,47,Active
P00098,Office Supplies Product 0098,Office Supplies,Subcategory 2,S00099,17650,11080,2025-12-08,48,Active
P00099,Home Appliances Product 0099,Home Appliances,Subcategory 3,S00100,17825,11190,2025-12-09,49,Active
P00100,Accessories Product 0100,Accessories,Subcategory 4,S00101,500,300,2025-12-10,50,Active
P00101,IT Equipment Product 0101,IT Equipment,Subcategory 5,S00102,675,410,2025-12-11,51,Active
P00102,Electronics Product 0102,Electronics,Subcategory 6,S00103,850,520,2025-12-12,52,Active
P00103,Furniture Product 0103,Furniture,Subcategory 7,S00104,1025,630,2025-12-13,53,Active
P00104,Office Supplies Product 0104,Office Supplies,Subcategory 8,S00105,1200,740,2025-12-14,54,Active
P00105,Home Appliances Product 0105,Home Appliances,Subcategory 9,S00106,1375,850,2025-12-15,55,Active
P00106,Accessories Product 0106,Accessories,Subcategory 10,S00107,1550,960,2025-12-16,56,Active
P00107,IT Equipment Product 0107,IT Equipment,Subcategory 11,S00108,1725,1070,2025-12-17,57,Active
P00108,Electronics Product 0108,Electronics,Subcategory 12,S00109,1900,1180,2025-12-18,58,Active
P00109,Furniture Product 0109,Furniture,Subcategory 13,S00110,2075,1290,2025-12-19,59,Active
P00110,Office Supplies Product 0110,Office Supplies,Subcategory 14,S00111,2250,1400,2025-12-20,5,Active
P00111,Home Appliances Product 0111,Home Appliances,Subcategory 15,S00112,2425,1510,2025-12-21,6,Active
P00112,Accessories Product 0112,Accessories,Subcategory 16,S00113,2600,1620,2025-12-22,7,Active
P00113,IT Equipment Product 0113,IT Equipment,Subcategory 17,S00114,2775,1730,2025-12-23,8,Active
P00114,Electronics Product 0114,Electronics,Subcategory 18,S00115,2950,1840,2025-12-24,9,Active
P00115,Furniture Product 0115,Furniture,Subcategory 19,S00116,3125,1950,2025-12-25,10,Active
P00116,Office Supplies Product 0116,Office Supplies,Subcategory 20,S00117,3300,2060,2025-12-26,11,Active
P00117,Home Appliances Product 0117,Home Appliances,Subcategory 21,S00118,3475,2170,2025-12-27,12,Active
P00118,Accessories Product 0118,Accessories,Subcategory 22,S00119,3650,2280,2025-12-28,13,Active
P00119,IT Equipment Product 0119,IT Equipment,Subcategory 23,S00120,3825,2390,2025-12-29,14,Active
P00120,Electronics Product 0120,Electronics,Subcategory 0,S00121,4000,2500,2025-12-30,15,Active
P00121,Furniture Product 0121,Furniture,Subcategory 1,S00122,4175,2610,2025-12-31,16,Active
P00122,Office Supplies Product 0122,Office Supplies,Subcategory 2,S00123,4350,2720,2026-01-01,17,Active
P00123,Home Appliances Product 0123,Home Appliances,Subcategory 3,S00124,4525,2830,2026-01-02,18,Active
P00124,Accessories Product 0124,Accessories,Subcategory 4,S00125,4700,2940,2026-01-03,19,Active
P00125,IT Equipment Product 0125,IT Equipment,Subcategory 5,S00126,4875,3050,2026-01-04,20,Active
P00126,Electronics Product 0126,Electronics,Subcategory 6,S00127,5050,3160,2026-01-05,21,Active
P00127,Furniture Product 0127,Furniture,Subcategory 7,S00128,5225,3270,2026-01-06,22,Active
P00128,Office Supplies Product 0128,Office Supplies,Subcategory 8,S00129,5400,3380,2026-01-07,23,Active
P00129,Home Appliances Product 0129,Home Appliances,Subcategory 9,S00130,5575,3490,2026-01-08,24,Discontinued
P00130,Accessories Product 0130,Accessories,Subcategory 10,S00131,5750,3600,2026-01-09,25,Active
P00131,IT Equipment Product 0131,IT Equipment,Subcategory 11,S00132,5925,3710,2026-01-10,26,Active
P00132,Electronics Product 0132,Electronics,Subcategory 12,S00133,6100,3820,2026-01-11,27,Active
P00133,Furniture Product 0133,Furniture,Subcategory 13,S00134,6275,3930,2026-01-12,28,Active
P00134,Office Supplies Product 0134,Office Supplies,Subcategory 14,S00135,6450,4040,2026-01-13,29,Active
P00135,Home Appliances Product 0135,Home Appliances,Subcategory 15,S00136,6625,4150,2026-01-14,30,Active
P00136,Accessories Product 0136,Accessories,Subcategory 16,S00137,6800,4260,2026-01-15,31,Active
P00137,IT Equipment Product 0137,IT Equipment,Subcategory 17,S00138,6975,4370,2026-01-16,32,Active
P00138,Electronics Product 0138,Electronics,Subcategory 18,S00139,7150,4480,2026-01-17,33,Active
P00139,Furniture Product 0139,Furniture,Subcategory 19,S00140,7325,4590,2026-01-18,34,Active
P00140,Office Supplies Product 0140,Office Supplies,Subcategory 20,S00141,7500,4700,2026-01-19,35,Active
P00141,Home Appliances Product 0141,Home Appliances,Subcategory 21,S00142,7675,4810,2026-01-20,36,Active
P00142,Accessories Product 0142,Accessories,Subcategory 22,S00143,7850,4920,2026-01-21,37,Active
P00143,IT Equipment Product 0143,IT Equipment,Subcategory 23,S00144,8025,5030,2026-01-22,38,Active
P00144,Electronics Product 0144,Electronics,Subcategory 0,S00145,8200,5140,2026-01-23,39,Active
P00145,Furniture Product 0145,Furniture,Subcategory 1,S00146,8375,5250,2026-01-24,40,Active
P00146,Office Supplies Product 0146,Office Supplies,Subcategory 2,S00147,8550,5360,2026-01-25,41,Active
P00147,Home Appliances Product 0147,Home Appliances,Subcategory 3,S00148,8725,5470,2026-01-26,42,Active
P00148,Accessories Product 0148,Accessories,Subcategory 4,S00149,8900,5580,2026-01-27,43,Active
P00149,IT Equipment Product 0149,IT Equipment,Subcategory 5,S00150,9075,5690,2026-01-28,44,Active
P00150,Electronics Product 0150,Electronics,Subcategory 6,S00151,9250,5800,2026-01-29,45,Active
P00151,Furniture Product 0151,Furniture,Subcategory 7,S00152,9425,5910,2026-01-30,46,Active
P00152,Office Supplies Product 0152,Office Supplies,Subcategory 8,S00153,9600,6020,2026-01-31,47,Active
P00153,Home Appliances Product 0153,Home Appliances,Subcategory 9,S00154,9775,6130,2026-02-01,48,Active
P00154,Accessories Product 0154,Accessories,Subcategory 10,S00155,9950,6240,2026-02-02,49,Active
P00155,IT Equipment Product 0155,IT Equipment,Subcategory 11,S00156,10125,6350,2026-02-03,50,Active
P00156,Electronics Product 0156,Electronics,Subcategory 12,S00157,10300,6460,2026-02-04,51,Active
P00157,Furniture Product 0157,Furniture,Subcategory 13,S00158,10475,6570,2026-02-05,52,Active
P00158,Office Supplies Product 0158,Office Supplies,Subcategory 14,S00159,10650,6680,2026-02-06,53,Active
P00159,Home Appliances Product 0159,Home Appliances,Subcategory 15,S00160,10825,6790,2026-02-07,54,Active
P00160,Accessories Product 0160,Accessories,Subcategory 16,S00161,11000,6900,2026-02-08,55,Active
P00161,IT Equipment Product 0161,IT Equipment,Subcategory 17,S00162,11175,7010,2026-02-09,56,Active
P00162,Electronics Product 0162,Electronics,Subcategory 18,S00163,11350,7120,2026-02-10,57,Active
P00163,Furniture Product 0163,Furniture,Subcategory 19,S00164,11525,7230,2026-02-11,58,Active
P00164,Office Supplies Product 0164,Office Supplies,Subcategory 20,S00165,11700,7340,2026-02-12,59,Active
P00165,Home Appliances Product 0165,Home Appliances,Subcategory 21,S00166,11875,7450,2026-02-13,5,Active
P00166,Accessories Product 0166,Accessories,Subcategory 22,S00167,12050,7560,2026-02-14,6,Active
P00167,IT Equipment Product 0167,IT Equipment,Subcategory 23,S00168,12225,7670,2026-02-15,7,Active
P00168,Electronics Product 0168,Electronics,Subcategory 0,S00169,12400,7780,2026-02-16,8,Active
P00169,Furniture Product 0169,Furniture,Subcategory 1,S00170,12575,7890,2026-02-17,9,Active
P00170,Office Supplies Product 0170,Office Supplies,Subcategory 2,S00171,12750,8000,2026-02-18,10,Active
P00171,Home Appliances Product 0171,Home Appliances,Subcategory 3,S00172,12925,8110,2026-02-19,11,Active
P00172,Accessories Product 0172,Accessories,Subcategory 4,S00173,13100,8220,2026-02-20,12,Discontinued
P00173,IT Equipment Product 0173,IT Equipment,Subcategory 5,S00174,13275,8330,2026-02-21,13,Active
P00174,Electronics Product 0174,Electronics,Subcategory 6,S00175,13450,8440,2026-02-22,14,Active
P00175,Furniture Product 0175,Furniture,Subcategory 7,S00176,13625,8550,2026-02-23,15,Active
P00176,Office Supplies Product 0176,Office Supplies,Subcategory 8,S00177,13800,8660,2026-02-24,16,Active
P00177,Home Appliances Product 0177,Home Appliances,Subcategory 9,S00178,13975,8770,2026-02-25,17,Active
P00178,Accessories Product 0178,Accessories,Subcategory 10,S00179,14150,8880,2026-02-26,18,Active
P00179,IT Equipment Product 0179,IT Equipment,Subcategory 11,S00180,14325,8990,2026-02-27,19,Active
P00180,Electronics Product 0180,Electronics,Subcategory 12,S00181,14500,9100,2026-02-28,20,Active
P00181,Furniture Product 0181,Furniture,Subcategory 13,S00182,14675,9210,2026-03-01,21,Active
P00182,Office Supplies Product 0182,Office Supplies,Subcategory 14,S00183,14850,9320,2026-03-02,22,Active
P00183,Home Appliances Product 0183,Home Appliances,Subcategory 15,S00184,15025,9430,2026-03-03,23,Active
P00184,Accessories Product 0184,Accessories,Subcategory 16,S00185,15200,9540,2026-03-04,24,Active
P00185,IT Equipment Product 0185,IT Equipment,Subcategory 17,S00186,15375,9650,2026-03-05,25,Active
P00186,Electronics Product 0186,Electronics,Subcategory 18,S00187,15550,9760,2026-03-06,26,Active
P00187,Furniture Product 0187,Furniture,Subcategory 19,S00188,15725,9870,2026-03-07,27,Active
P00188,Office Supplies Product 0188,Office Supplies,Subcategory 20,S00189,15900,9980,2026-03-08,28,Active
P00189,Home Appliances Product 0189,Home Appliances,Subcategory 21,S00190,16075,10090,2026-03-09,29,Active
P00190,Accessories Product 0190,Accessories,Subcategory 22,S00191,16250,10200,2026-03-10,30,Active
P00191,IT Equipment Product 0191,IT Equipment,Subcategory 23,S00192,16425,10310,2026-03-11,31,Active
P00192,Electronics Product 0192,Electronics,Subcategory 0,S00193,16600,10420,2026-03-12,32,Active
P00193,Furniture Product 0193,Furniture,Subcategory 1,S00194,16775,10530,2026-03-13,33,Active
P00194,Office Supplies Product 0194,Office Supplies,Subcategory 2,S00195,16950,10640,2026-03-14,34,Active
P00195,Home Appliances Product 0195,Home Appliances,Subcategory 3,S00196,17125,10750,2026-03-15,35,Active
P00196,Accessories Product 0196,Accessories,Subcategory 4,S00197,17300,10860,2026-03-16,36,Active
P00197,IT Equipment Product 0197,IT Equipment,Subcategory 5,S00198,17475,10970,2026-03-17,37,Active
P00198,Electronics Product 0198,Electronics,Subcategory 6,S00199,17650,11080,2026-03-18,38,Active
P00199,Furniture Product 0199,Furniture,Subcategory 7,S00200,17825,11190,2026-03-19,39,Active
P00200,Office Supplies Product 0200,Office Supplies,Subcategory 8,S00001,500,300,2026-03-20,40,Active
P00201,Home Appliances Product 0201,Home Appliances,Subcategory 9,S00002,675,410,2026-03-21,41,Active
P00202,Accessories Product 0202,Accessories,Subcategory 10,S00003,850,520,2026-03-22,42,Active
P00203,IT Equipment Product 0203,IT Equipment,Subcategory 11,S00004,1025,630,2026-03-23,43,Active
P00204,Electronics Product 0204,Electronics,Subcategory 12,S00005,1200,740,2026-03-24,44,Active
P00205,Furniture Product 0205,Furniture,Subcategory 13,S00006,1375,850,2026-03-25,45,Active
P00206,Office Supplies Product 0206,Office Supplies,Subcategory 14,S00007,1550,960,2026-03-26,46,Active
P00207,Home Appliances Product 0207,Home Appliances,Subcategory 15,S00008,1725,1070,2026-03-27,47,Active
P00208,Accessories Product 0208,Accessories,Subcategory 16,S00009,1900,1180,2026-03-28,48,Active
P00209,IT Equipment Product 0209,IT Equipment,Subcategory 17,S00010,2075,1290,2026-03-29,49,Active
P00210,Electronics Product 0210,Electronics,Subcategory 18,S00011,2250,1400,2026-03-30,50,Active
P00211,Furniture Product 0211,Furniture,Subcategory 19,S00012,2425,1510,2026-03-31,51,Active
P00212,Office Supplies Product 0212,Office Supplies,Subcategory 20,S00013,2600,1620,2026-04-01,52,Active
P00213,Home Appliances Product 0213,Home Appliances,Subcategory 21,S00014,2775,1730,2026-04-02,53,Active
P00214,Accessories Product 0214,Accessories,Subcategory 22,S00015,2950,1840,2026-04-03,54,Active
P00215,IT Equipment Product 0215,IT Equipment,Subcategory 23,S00016,3125,1950,2026-04-04,55,Discontinued
P00216,Electronics Product 0216,Electronics,Subcategory 0,S00017,3300,2060,2026-04-05,56,Active
P00217,Furniture Product 0217,Furniture,Subcategory 1,S00018,3475,2170,2026-04-06,57,Active
P00218,Office Supplies Product 0218,Office Supplies,Subcategory 2,S00019,3650,2280,2026-04-07,58,Active
P00219,Home Appliances Product 0219,Home Appliances,Subcategory 3,S00020,3825,2390,2026-04-08,59,Active
P00220,Accessories Product 0220,Accessories,Subcategory 4,S00021,4000,2500,2026-04-09,5,Active
P00221,IT Equipment Product 0221,IT Equipment,Subcategory 5,S00022,4175,2610,2026-04-10,6,Active
P00222,Electronics Product 0222,Electronics,Subcategory 6,S00023,4350,2720,2026-04-11,7,Active
P00223,Furniture Product 0223,Furniture,Subcategory 7,S00024,4525,2830,2026-04-12,8,Active
P00224,Office Supplies Product 0224,Office Supplies,Subcategory 8,S00025,4700,2940,2026-04-13,9,Active
P00225,Home Appliances Product 0225,Home Appliances,Subcategory 9,S00026,4875,3050,2026-04-14,10,Active
P00226,Accessories Product 0226,Accessories,Subcategory 10,S00027,5050,3160,2026-04-15,11,Active
P00227,IT Equipment Product 0227,IT Equipment,Subcategory 11,S00028,5225,3270,2026-04-16,12,Active
P00228,Electronics Product 0228,Electronics,Subcategory 12,S00029,5400,3380,2026-04-17,13,Active
P00229,Furniture Product 0229,Furniture,Subcategory 13,S00030,5575,3490,2026-04-18,14,Active
P00230,Office Supplies Product 0230,Office Supplies,Subcategory 14,S00031,5750,3600,2026-04-19,15,Active
P00231,Home Appliances Product 0231,Home Appliances,Subcategory 15,S00032,5925,3710,2026-04-20,16,Active
P00232,Accessories Product 0232,Accessories,Subcategory 16,S00033,6100,3820,2026-04-21,17,Active
P00233,IT Equipment Product 0233,IT Equipment,Subcategory 17,S00034,6275,3930,2026-04-22,18,Active
P00234,Electronics Product 0234,Electronics,Subcategory 18,S00035,6450,4040,2026-04-23,19,Active
P00235,Furniture Product 0235,Furniture,Subcategory 19,S00036,6625,4150,2026-04-24,20,Active
P00236,Office Supplies Product 0236,Office Supplies,Subcategory 20,S00037,6800,4260,2026-04-25,21,Active
P00237,Home Appliances Product 0237,Home Appliances,Subcategory 21,S00038,6975,4370,2026-04-26,22,Active
P00238,Accessories Product 0238,Accessories,Subcategory 22,S00039,7150,4480,2026-04-27,23,Active
P00239,IT Equipment Product 0239,IT Equipment,Subcategory 23,S00040,7325,4590,2026-04-28,24,Active
P00240,Electronics Product 0240,Electronics,Subcategory 0,S00041,7500,4700,2026-04-29,25,Active
P00241,Furniture Product 0241,Furniture,Subcategory 1,S00042,7675,4810,2026-04-30,26,Active
P00242,Office Supplies Product 0242,Office Supplies,Subcategory 2,S00043,7850,4920,2026-05-01,27,Active
P00243,Home Appliances Product 0243,Home Appliances,Subcategory 3,S00044,8025,5030,2026-05-02,28,Active
P00244,Accessories Product 0244,Accessories,Subcategory 4,S00045,8200,5140,2026-05-03,29,Active
P00245,IT Equipment Product 0245,IT Equipment,Subcategory 5,S00046,8375,5250,2026-05-04,30,Active
P00246,Electronics Product 0246,Electronics,Subcategory 6,S00047,8550,5360,2026-05-05,31,Active
P00247,Furniture Product 0247,Furniture,Subcategory 7,S00048,8725,5470,2026-05-06,32,Active
P00248,Office Supplies Product 0248,Office Supplies,Subcategory 8,S00049,8900,5580,2026-05-07,33,Active
P00249,Home Appliances Product 0249,Home Appliances,Subcategory 9,S00050,9075,5690,2026-05-08,34,Active
P00250,Accessories Product 0250,Accessories,Subcategory 10,S00051,9250,5800,2026-05-09,35,Active
P00251,IT Equipment Product 0251,IT Equipment,Subcategory 11,S00052,9425,5910,2026-05-10,36,Active
P00252,Electronics Product 0252,Electronics,Subcategory 12,S00053,9600,6020,2026-05-11,37,Active
P00253,Furniture Product 0253,Furniture,Subcategory 13,S00054,9775,6130,2026-05-12,38,Active
P00254,Office Supplies Product 0254,Office Supplies,Subcategory 14,S00055,9950,6240,2026-05-13,39,Active
P00255,Home Appliances Product 0255,Home Appliances,Subcategory 15,S00056,10125,6350,2026-05-14,40,Active
P00256,Accessories Product 0256,Accessories,Subcategory 16,S00057,10300,6460,2026-05-15,41,Active
P00257,IT Equipment Product 0257,IT Equipment,Subcategory 17,S00058,10475,6570,2026-05-16,42,Active
P00258,Electronics Product 0258,Electronics,Subcategory 18,S00059,10650,6680,2026-05-17,43,Discontinued
P00259,Furniture Product 0259,Furniture,Subcategory 19,S00060,10825,6790,2026-05-18,44,Active
P00260,Office Supplies Product 0260,Office Supplies,Subcategory 20,S00061,11000,6900,2026-05-19,45,Active
P00261,Home Appliances Product 0261,Home Appliances,Subcategory 21,S00062,11175,7010,2026-05-20,46,Active
P00262,Accessories Product 0262,Accessories,Subcategory 22,S00063,11350,7120,2026-05-21,47,Active
P00263,IT Equipment Product 0263,IT Equipment,Subcategory 23,S00064,11525,7230,2026-05-22,48,Active
P00264,Electronics Product 0264,Electronics,Subcategory 0,S00065,11700,7340,2026-05-23,49,Active
P00265,Furniture Product 0265,Furniture,Subcategory 1,S00066,11875,7450,2026-05-24,50,Active
P00266,Office Supplies Product 0266,Office Supplies,Subcategory 2,S00067,12050,7560,2026-05-25,51,Active
P00267,Home Appliances Product 0267,Home Appliances,Subcategory 3,S00068,12225,7670,2026-05-26,52,Active
P00268,Accessories Product 0268,Accessories,Subcategory 4,S00069,12400,7780,2026-05-27,53,Active
P00269,IT Equipment Product 0269,IT Equipment,Subcategory 5,S00070,12575,7890,2026-05-28,54,Active
P00270,Electronics Product 0270,Electronics,Subcategory 6,S00071,12750,8000,2026-05-29,55,Active
P00271,Furniture Product 0271,Furniture,Subcategory 7,S00072,12925,8110,2026-05-30,56,Active
P00272,Office Supplies Product 0272,Office Supplies,Subcategory 8,S00073,13100,8220,2026-05-31,57,Active
