Event_ID,Customer_ID,Session_ID,Event_Time,Channel,Event_Type,Page,Experiment_Group,Converted,Order_ID
EV00000111,C000112,SES00000028,2025-12-21 15:51:00,Instagram,Checkout,/home,Control,0,
EV00000112,C000113,SES00000029,2025-12-22 16:52:00,Email,Checkout,/cart,Treatment,0,
EV00000113,C000114,SES00000029,2025-12-23 17:53:00,Referral,Add to Cart,/product,Control,0,
EV00000114,C000115,SES00000029,2025-12-24 18:54:00,Organic Search,Product View,/product,Treatment,0,
EV00000115,C000116,SES00000029,2025-12-25 19:55:00,Google Ads,Purchase,/checkout,Control,1,O0000116
EV00000116,C000117,SES00000030,2025-12-26 20:56:00,Instagram,Page View,/checkout,Treatment,0,
EV00000117,C000118,SES00000030,2025-12-27 21:57:00,Email,Add to Cart,/product,Control,0,
EV00000118,C000119,SES00000030,2025-12-28 22:58:00,Referral,Add to Cart,/product,Treatment,0,
EV00000119,,SES00000030,2025-12-29 23:59:00,Organic Search,Page View,/home,Control,0,
EV00000120,C000121,SES00000031,2025-12-30 00:00:00,Google Ads,Page View,/cart,Treatment,0,
EV00000121,C000122,SES00000031,2025-12-31 01:01:00,Instagram,Add to Cart,/cart,Control,0,
EV00000122,C000123,SES00000031,2026-01-01 02:02:00,Email,Checkout,/home,Treatment,0,
EV00000123,C000124,SES00000031,2026-01-02 03:03:00,Referral,Product View,/home,Control,0,
EV00000124,C000125,SES00000032,2026-01-03 04:04:00,Organic Search,Product View,/home,Treatment,0,
EV00000125,C000126,SES00000032,2026-01-04 05:05:00,Google Ads,Product View,/home,Control,0,
EV00000126,C000127,SES00000032,2026-01-05 06:06:00,Instagram,Checkout,/cart,Treatment,0,
EV00000127,C000128,SES00000032,2026-01-06 07:07:00,Email,Page View,/product,Control,0,
EV00000128,C000129,SES00000033,2026-01-07 08:08:00,Referral,Add to Cart,/cart,Treatment,0,
EV00000129,C000130,SES00000033,2026-01-08 09:09:00,Organic Search,Checkout,/home,Control,0,
EV00000130,C000131,SES00000033,2026-01-09 10:10:00,Google Ads,Add to Cart,/product,Treatment,0,
EV00000131,C000132,SES00000033,2026-01-10 11:11:00,Instagram,Checkout,/product,Control,0,
EV00000132,C000133,SES00000034,2026-01-11 12:12:00,Email,Product View,/checkout,Treatment,0,
EV00000133,C000134,SES00000034,2026-01-12 13:13:00,Referral,Checkout,/home,Control,0,
EV00000134,C000135,SES00000034,2026-01-13 14:14:00,Organic Search,Page View,/home,Treatment,0,
EV00000135,C000136,SES00000034,2026-01-14 15:15:00,Google Ads,Product View,/cart,Control,0,
EV00000136,,SES00000035,2026-01-15 16:16:00,Instagram,Page View,/checkout,Treatment,0,
EV00000137,C000138,SES00000035,2026-01-16 17:17:00,Email,Product View,/cart,Control,0,
EV00000138,C000139,SES00000035,2026-01-17 18:18:00,Referral,Purchase,/cart,Treatment,1,O0000139
EV00000139,C000140,SES00000035,2026-01-18 19:19:00,Organic Search,Page View,/home,Control,0,
EV00000140,C000141,SES00000036,2026-01-19 20:20:00,Google Ads,Add to Cart,/home,Treatment,0,
EV00000141,C000142,SES00000036,2026-01-20 21:21:00,Instagram,Product View,/home,Control,0,
EV00000142,C000143,SES00000036,2026-01-21 22:22:00,Email,Product View,/checkout,Treatment,0,
EV00000143,C000144,SES00000036,2026-01-22 23:23:00,Referral,Page View,/cart,Control,0,
EV00000144,C000145,SES00000037,2026-01-23 00:24:00,Organic Search,Add to Cart,/home,Treatment,0,
EV00000145,C000146,SES00000037,2026-01-24 01:25:00,Google Ads,Page View,/product,Control,0,
EV00000146,C000147,SES00000037,2026-01-25 02:26:00,Instagram,Page View,/product,Treatment,0,
EV00000147,C000148,SES00000037,2026-01-26 03:27:00,Email,Checkout,/home,Control,0,
EV00000148,C000149,SES00000038,2026-01-27 04:28:00,Referral,Add to Cart,/home,Treatment,0,
EV00000149,C000150,SES00000038,2026-01-28 05:29:00,Organic Search,Checkout,/home,Control,0,
EV00000150,C000151,SES00000038,2026-01-29 06:30:00,Google Ads,Checkout,/checkout,Treatment,0,
EV00000151,C000152,SES00000038,2026-01-30 07:31:00,Instagram,Add to Cart,/cart,Control,0,
EV00000152,C000153,SES00000039,2026-01-31 08:32:00,Email,Add to Cart,/product,Treatment,0,
EV00000153,,SES00000039,2026-02-01 09:33:00,Referral,Page View,/checkout,Control,0,
EV00000154,C000155,SES00000039,2026-02-02 10:34:00,Organic Search,Add to Cart,/cart,Treatment,0,
EV00000155,C000156,SES00000039,2026-02-03 11:35:00,Google Ads,Product View,/cart,Control,0,
EV00000156,C000157,SES00000040,2026-02-04 12:36:00,Instagram,Page View,/cart,Treatment,0,
EV00000157,C000158,SES00000040,2026-02-05 13:37:00,Email,Add to Cart,/product,Control,0,
EV00000158,C000159,SES00000040,2026-02-06 14:38:00,Referral,Page View,/checkout,Treatment,0,
EV00000159,C000160,SES00000040,2026-02-07 15:39:00,Organic Search,Add to Cart,/cart,Control,0,
EV00000160,C000161,SES00000041,2026-02-08 16:40:00,Google Ads,Checkout,/cart,Treatment,0,
EV00000161,C000162,SES00000041,2026-02-09 17:41:00,Instagram,Purchase,/product,Control,1,O0000162
EV00000162,C000163,SES00000041,2026-02-10 18:42:00,Email,Add to Cart,/cart,Treatment,0,
EV00000163,C000164,SES00000041,2026-02-11 19:43:00,Referral,Product View,/cart,Control,0,
EV00000164,C000165,SES00000042,2026-02-12 20:44:00,Organic Search,Checkout,/checkout,Treatment,0,
EV00000165,C000166,SES00000042,2026-02-13 21:45:00,Google Ads,Product View,/checkout,Control,0,
EV00000166,C000167,SES00000042,2026-02-14 22:46:00,Instagram,Add to Cart,/home,Treatment,0,
EV00000167,C000168,SES00000042,2026-02-15 23:47:00,Email,Page View,/home,Control,0,
EV00000168,C000169,SES00000043,2026-02-16 00:48:00,Referral,Page View,/checkout,Treatment,0,
EV00000169,C000170,SES00000043,2026-02-17 01:49:00,Organic Search,Checkout,/home,Control,0,
EV00000170,,SES00000043,2026-02-18 02:50:00,Google Ads,Add to Cart,/cart,Treatment,0,
EV00000171,C000172,SES00000043,2026-02-19 03:51:00,Instagram,Product View,/home,Control,0,
EV00000172,C000173,SES00000044,2026-02-20 04:52:00,Email,Checkout,/cart,Treatment,0,
EV00000173,C000174,SES00000044,2026-02-21 05:53:00,Referral,Add to Cart,/home,Control,0,
EV00000174,C000175,SES00000044,2026-02-22 06:54:00,Organic Search,Checkout,/checkout,Treatment,0,
EV00000175,C000176,SES00000044,2026-02-23 07:55:00,Google Ads,Add to Cart,/product,Control,0,
EV00000176,C000177,SES00000045,2026-02-24 08:56:00,Instagram,Add to Cart,/home,Treatment,0,
EV00000177,C000178,SES00000045,2026-02-25 09:57:00,Email,Checkout,/cart,Control,0,
EV00000178,C000179,SES00000045,2026-02-26 10:58:00,Referral,Page View,/checkout,Treatment,0,
EV00000179,C000180,SES00000045,2026-02-27 11:59:00,Organic Search,Product View,/product,Control,0,
EV00000180,C000181,SES00000046,2026-02-28 12:00:00,Google Ads,Product View,/cart,Treatment,0,
EV00000181,C000182,SES00000046,2026-03-01 13:01:00,Instagram,Checkout,/home,Control,0,
EV00000182,C000183,SES00000046,2026-03-02 14:02:00,Email,Add to Cart,/product,Treatment,0,
EV00000183,C000184,SES00000046,2026-03-03 15:03:00,Referral,Checkout,/cart,Control,0,
EV00000184,C000185,SES00000047,2026-03-04 16:04:00,Organic Search,Purchase,/product,Treatment,1,O0000185
EV00000185,C000186,SES00000047,2026-03-05 17:05:00,Google Ads,Add to Cart,/home,Control,0,
EV00000186,C000187,SES00000047,2026-03-06 18:06:00,Instagram,Page View,/home,Treatment,0,
EV00000187,,SES00000047,2026-03-07 19:07:00,Email,Checkout,/home,Control,0,
EV00000188,C000189,SES00000048,2026-03-08 20:08:00,Referral,Add to Cart,/cart,Treatment,0,
EV00000189,C000190,SES00000048,2026-03-09 21:09:00,Organic Search,Page View,/product,Control,0,
EV00000190,C000191,SES00000048,2026-03-10 22:10:00,Google Ads,Add to Cart,/checkout,Treatment,0,
EV00000191,C000192,SES00000048,2026-03-11 23:11:00,Instagram,Checkout,/cart,Control,0,
EV00000192,C000193,SES00000049,2026-03-12 00:12:00,Email,Product View,/checkout,Treatment,0,
EV00000193,C000194,SES00000049,2026-03-13 01:13:00,Referral,Add to Cart,/product,Control,0,
EV00000194,C000195,SES00000049,2026-03-14 02:14:00,Organic Search,Add to Cart,/home,Treatment,0,
EV00000195,C000196,SES00000049,2026-03-15 03:15:00,Google Ads,Page View,/home,Control,0,
EV00000196,C000197,SES00000050,2026-03-16 04:16:00,Instagram,Add to Cart,/cart,Treatment,0,
EV00000197,C000198,SES00000050,2026-03-17 05:17:00,Email,Add to Cart,/product,Control,0,
EV00000198,C000199,SES00000050,2026-03-18 06:18:00,Referral,Product View,/home,Treatment,0,
EV00000199,C000200,SES00000050,2026-03-19 07:19:00,Organic Search,Add to Cart,/checkout,Control,0,
EV00000200,C000201,SES00000051,2026-03-20 08:20:00,Google Ads,Product View,/cart,Treatment,0,
EV00000201,C000202,SES00000051,2026-03-21 09:21:00,Instagram,Add to Cart,/checkout,Control,0,
EV00000202,C000203,SES00000051,2026-03-22 10:22:00,Email,Product View,/checkout,Treatment,0,
EV00000203,C000204,SES00000051,2026-03-23 11:23:00,Referral,Checkout,/checkout,Control,0,
EV00000204,,SES00000052,2026-03-24 12:24:00,Organic Search,Add to Cart,/checkout,Treatment,0,
EV00000205,C000206,SES00000052,2026-03-25 13:25:00,Google Ads,Add to Cart,/cart,Control,0,
EV00000206,C000207,SES00000052,2026-03-26 14:26:00,Instagram,Checkout,/home,Treatment,0,
EV00000207,C000208,SES00000052,2026-03-27 15:27:00,Email,Purchase,/home,Control,1,O0000208
EV00000208,C000209,SES00000053,2026-03-28 16:28:00,Referral,Checkout,/checkout,Treatment,0,
EV00000209,C000210,SES00000053,2026-03-29 17:29:00,Organic Search,Product View,/home,Control,0,
EV00000210,C000211,SES00000053,2026-03-30 18:30:00,Google Ads,Product View,/cart,Treatment,0,
EV00000211,C000212,SES00000053,2026-03-31 19:31:00,Instagram,Page View,/cart,Control,0,
EV00000212,C000213,SES00000054,2026-04-01 20:32:00,Email,Product View,/cart,Treatment,0,
EV00000213,C000214,SES00000054,2026-04-02 21:33:00,Referral,Page View,/home,Control,0,
EV00000214,C000215,SES00000054,2026-04-03 22:34:00,Organic Search,Product View,/checkout,Treatment,0,
EV00000215,C000216,SES00000054,2026-04-04 23:35:00,Google Ads,Product View,/cart,Control,0,
EV00000216,C000217,SES00000055,2026-04-05 00:36:00,Instagram,Add to Cart,/home,Treatment,0,
EV00000217,C000218,SES00000055,2026-04-06 01:37:00,Email,Product View,/home,Control,0,
EV00000218,C000219,SES00000055,2026-04-07 02:38:00,Referral,Add to Cart,/cart,Treatment,0,
EV00000219,C000220,SES00000055,2026-04-08 03:39:00,Organic Search,Add to Cart,/cart,Control,0,
EV00000220,C000221,SES00000056,2026-04-09 04:40:00,Google Ads,Page View,/cart,Treatment,0,
EV00000221,,SES00000056,2026-04-10 05:41:00,Instagram,Product View,/checkout,Control,0,
EV00000222,C000223,SES00000056,2026-04-11 06:42:00,Email,Checkout,/product,Treatment,0,
EV00000223,C000224,SES00000056,2026-04-12 07:43:00,Referral,Product View,/cart,Control,0,
EV00000224,C000225,SES00000057,2026-04-13 08:44:00,Organic Search,Checkout,/cart,Treatment,0,
EV00000225,C000226,SES00000057,2026-04-14 09:45:00,Google Ads,Checkout,/product,Control,0,
EV00000226,C000227,SES00000057,2026-04-15 10:46:00,Instagram,Add to Cart,/home,Treatment,0,
EV00000227,C000228,SES00000057,2026-04-16 11:47:00,Email,Page View,/home,Control,0,
EV00000228,C000229,SES00000058,2026-04-17 12:48:00,Referral,Product View,/checkout,Treatment,0,
EV00000229,C000230,SES00000058,2026-04-18 13:49:00,Organic Search,Add to Cart,/cart,Control,0,
EV00000230,C000231,SES00000058,2026-04-19 14:50:00,Google Ads,Purchase,/cart,Treatment,1,O0000231
EV00000231,C000232,SES00000058,2026-04-20 15:51:00,Instagram,Checkout,/product,Control,0,
EV00000232,C000233,SES00000059,2026-04-21 16:52:00,Email,Product View,/product,Treatment,0,
EV00000233,C000234,SES00000059,2026-04-22 17:53:00,Referral,Page View,/home,Control,0,
EV00000234,C000235,SES00000059,2026-04-23 18:54:00,Organic Search,Product View,/product,Treatment,0,
EV00000235,C000236,SES00000059,2026-04-24 19:55:00,Google Ads,Add to Cart,/product,Control,0,
EV00000236,C000237,SES00000060,2026-04-25 20:56:00,Instagram,Product View,/cart,Treatment,0,
EV00000237,C000238,SES00000060,2026-04-26 21:57:00,Email,Add to Cart,/home,Control,0,
EV00000238,,SES00000060,2026-04-27 22:58:00,Referral,Product View,/cart,Treatment,0,
EV00000239,C000240,SES00000060,2026-04-28 23:59:00,Organic Search,Page View,/checkout,Control,0,
EV00000240,C000241,SES00000061,2026-04-29 00:00:00,Google Ads,Checkout,/home,Treatment,0,
EV00000241,C000242,SES00000061,2026-04-30 01:01:00,Instagram,Checkout,/cart,Control,0,
EV00000242,C000243,SES00000061,2026-05-01 02:02:00,Email,Page View,/cart,Treatment,0,
EV00000243,C000244,SES00000061,2026-05-02 03:03:00,Referral,Product View,/product,Control,0,
EV00000244,C000245,SES00000062,2026-05-03 04:04:00,Organic Search,Page View,/home,Treatment,0,
EV00000245,C000246,SES00000062,2026-05-04 05:05:00,Google Ads,Checkout,/product,Control,0,
EV00000246,C000247,SES00000062,2026-05-05 06:06:00,Instagram,Page View,/product,Treatment,0,
EV00000247,C000248,SES00000062,2026-05-06 07:07:00,Email,Product View,/checkout,Control,0,
EV00000248,C000249,SES00000063,2026-05-07 08:08:00,Referral,Checkout,/checkout,Treatment,0,
EV00000249,C000250,SES00000063,2026-05-08 09:09:00,Organic Search,Product View,/cart,Control,0,
EV00000250,C000251,SES00000063,2026-05-09 10:10:00,Google Ads,Page View,/checkout,Treatment,0,
EV00000251,C000252,SES00000063,2026-05-10 11:11:00,Instagram,Product View,/cart,Control,0,
EV00000252,C000253,SES00000064,2026-05-11 12:12:00,Email,Page View,/home,Treatment,0,
EV00000253,C000254,SES00000064,2026-05-12 13:13:00,Referral,Purchase,/product,Control,1,O0000254
EV00000254,C000255,SES00000064,2026-05-13 14:14:00,Organic Search,Page View,/cart,Treatment,0,
EV00000255,,SES00000064,2026-05-14 15:15:00,Google Ads,Add to Cart,/home,Control,0,
EV00000256,C000257,SES00000065,2026-05-15 16:16:00,Instagram,Product View,/product,Treatment,0,
EV00000257,C000258,SES00000065,2026-05-16 17:17:00,Email,Page View,/home,Control,0,
EV00000258,C000259,SES00000065,2026-05-17 18:18:00,Referral,Product View,/checkout,Treatment,0,
EV00000259,C000260,SES00000065,2026-05-18 19:19:00,Organic Search,Page View,/cart,Control,0,
EV00000260,C000261,SES00000066,2026-05-19 20:20:00,Google Ads,Add to Cart,/product,Treatment,0,
EV00000261,C000262,SES00000066,2026-05-20 21:21:00,Instagram,Product View,/product,Control,0,
EV00000262,C000263,SES00000066,2026-05-21 22:22:00,Email,Checkout,/product,Treatment,0,
EV00000263,C000264,SES00000066,2026-05-22 23:23:00,Referral,Checkout,/checkout,Control,0,
EV00000264,C000265,SES00000067,2026-05-23 00:24:00,Organic Search,Checkout,/product,Treatment,0,
EV00000265,C000266,SES00000067,2026-05-24 01:25:00,Google Ads,Page View,/product,Control,0,
EV00000266,C000267,SES00000067,2026-05-25 02:26:00,Instagram,Checkout,/checkout,Treatment,0,
EV00000267,C000268,SES00000067,2026-05-26 03:27:00,Email,Add to Cart,/home,Control,0,
EV00000268,C000269,SES00000068,2026-05-27 04:28:00,Referral,Add to Cart,/home,Treatment,0,
EV00000269,C000270,SES00000068,2026-05-28 05:29:00,Organic Search,Add to Cart,/cart,Control,0,
EV00000270,C000271,SES00000068,2026-05-29 06:30:00,Google Ads,Product View,/checkout,Treatment,0,
EV00000271,C000272,SES00000068,2026-05-30 07:31:00,Instagram,Page View,/cart,Control,0,
EV00000272,,SES00000069,2026-05-31 08:32:00,Email,Checkout,/checkout,Treatment,0,
EV00000273,C000274,SES00000069,2026-06-01 09:33:00,Referral,Product View,/product,Control,0,
EV00000274,C000275,SES00000069,2026-06-02 10:34:00,Organic Search,Page View,/cart,Treatment,0,
EV00000275,C000276,SES00000069,2026-06-03 11:35:00,Google Ads,Product View,/product,Control,0,
EV00000276,C000277,SES00000070,2026-06-04 12:36:00,Instagram,Purchase,/checkout,Treatment,1,O0000277
EV00000277,C000278,SES00000070,2026-06-05 13:37:00,Email,Add to Cart,/product,Control,0,
EV00000278,C000279,SES00000070,2026-06-06 14:38:00,Referral,Add to Cart,/checkout,Treatment,0,
EV00000279,C000280,SES00000070,2026-06-07 15:39:00,Organic Search,Page View,/home,Control,0,
