Order_ID,Customer_ID,Order_Date,Region_ID,Sales_Employee_ID,Channel,Order_Status,Management_Order_Value
O0000054,C000055,2025-10-25,R015,E00055,Organic Search,Completed,11151.86
O0000055,C000056,2025-10-26,R016,E00056,Organic Search,Completed,2246.2
O0000056,C000057,2025-10-27,R017,E00057,Referral,Completed,4633.52
O0000057,C000058,2025-10-28,R018,E00058,Organic Search,Cancelled,6995.75
O0000058,C000059,2025-10-29,R019,E00059,Instagram,Completed,9614.76
O0000059,C000060,2025-10-30,R020,E00060,Google Ads,Completed,12090.86
O0000060,C000061,2025-10-31,R001,E00061,Organic Search,Completed,2491.16
O0000061,C000062,2025-11-01,R002,E00062,Google Ads,Completed,5009.93
O0000062,C000063,2025-11-02,R003,E00063,Instagram,Completed,7553.89
O0000063,C000064,2025-11-03,R004,E00064,Organic Search,Completed,10369.19
O0000064,C000065,2025-11-04,R005,E00065,Instagram,Completed,13023.12
O0000065,C000066,2025-11-05,R006,E00066,Google Ads,Returned,2680.17
O0000066,C000067,2025-11-06,R007,E00067,Organic Search,Completed,5383.64
O0000067,C000068,2025-11-07,R008,E00068,Email,Completed,8305.75
O0000068,C000069,2025-11-08,R009,E00069,Organic Search,Completed,11118.24
O0000069,C000070,2025-11-09,R010,E00070,Organic Search,Completed,13948.63
O0000070,C000071,2025-11-10,R011,E00071,Google Ads,Completed,2867.84
O0000071,C000072,2025-11-11,R012,E00072,Referral,Completed,5754.66
O0000072,C000073,2025-11-12,R013,E00073,Email,Completed,8869.95
O0000073,C000074,2025-11-13,R014,E00074,Google Ads,Completed,11861.89
O0000074,C000075,2025-11-14,R015,E00075,Google Ads,Completed,15230.03
O0000075,C000076,2025-11-15,R016,E00076,Google Ads,Completed,3054.15
O0000076,C000077,2025-11-16,R017,E00077,Referral,Cancelled,6122.98
O0000077,C000078,2025-11-17,R018,E00078,Google Ads,Completed,9430.12
O0000078,C000079,2025-11-18,R019,E00079,Instagram,Returned,12600.14
O0000079,C000080,2025-11-19,R020,E00080,Instagram,Completed,16165.66
O0000080,C000081,2025-11-20,R001,E00081,Referral,Completed,3239.12
O0000081,C000082,2025-11-21,R002,E00082,Organic Search,Completed,6646.86
O0000082,C000083,2025-11-22,R003,E00083,Referral,Completed,9986.24
O0000083,C000084,2025-11-23,R004,E00084,Referral,Completed,13333.01
O0000084,C000085,2025-11-24,R005,E00085,Email,Completed,17094.55
O0000085,C000086,2025-11-25,R006,E00086,Organic Search,Completed,3422.74
O0000086,C000087,2025-11-26,R007,E00087,Referral,Completed,7019.23
O0000087,C000088,2025-11-27,R008,E00088,Google Ads,Completed,10538.31
O0000088,C000089,2025-11-28,R009,E00089,Referral,Completed,14403.42
O0000089,C000090,2025-11-29,R010,E00090,Instagram,Completed,18016.7
O0000090,C000091,2025-11-30,R011,E00091,Google Ads,Completed,3605.01
O0000091,C000092,2025-12-01,R012,E00092,Organic Search,Returned,7388.89
O0000092,C000093,2025-12-02,R013,E00093,Google Ads,Completed,11086.35
O0000093,C000094,2025-12-03,R014,E00094,Instagram,Completed,15144.37
O0000094,C000095,2025-12-04,R015,E00095,Referral,Completed,18932.11
O0000095,C000096,2025-12-05,R016,E00096,Email,Cancelled,3878.28
O0000096,C000097,2025-12-06,R017,E00097,Google Ads,Completed,7755.87
O0000097,C000098,2025-12-07,R018,E00098,Instagram,Completed,11630.33
O0000098,C000099,2025-12-08,R019,E00099,Email,Completed,15879.94
O0000099,C000100,2025-12-09,R020,E00100,Referral,Completed,19840.77
O0000100,C000101,2025-12-10,R001,E00101,Organic Search,Completed,112.85
O0000101,C000102,2025-12-11,R002,E00102,Referral,Completed,301.57
O0000102,C000103,2025-12-12,R003,E00103,Referral,Completed,577.5
O0000103,C000104,2025-12-13,R004,E00104,Instagram,Completed,919.05
O0000104,C000105,2025-12-14,R005,E00105,Instagram,Returned,1331.08
O0000105,C000106,2025-12-15,R006,E00106,Referral,Completed,309.28
O0000106,C000107,2025-12-16,R007,E00107,Referral,Completed,690.11
O0000107,C000108,2025-12-17,R008,E00108,Organic Search,Completed,1167.99
O0000108,C000109,2025-12-18,R009,E00109,Referral,Completed,1697.75
O0000109,C000110,2025-12-19,R010,E00110,Instagram,Completed,2349.61
O0000110,C000111,2025-12-20,R011,E00111,Instagram,Completed,504.36
O0000111,C000112,2025-12-21,R012,E00112,Organic Search,Completed,1075.96
O0000112,C000113,2025-12-22,R013,E00113,Organic Search,Completed,1754.44
O0000113,C000114,2025-12-23,R014,E00114,Referral,Completed,2471.05
O0000114,C000115,2025-12-24,R015,E00115,Google Ads,Cancelled,3329.05
O0000115,C000116,2025-12-25,R016,E00116,Instagram,Completed,698.09
O0000116,C000117,2025-12-26,R017,E00117,Email,Completed,1494.69
O0000117,C000118,2025-12-27,R018,E00118,Google Ads,Returned,2336.85
O0000118,C000119,2025-12-28,R019,E00119,Organic Search,Completed,3238.97
O0000119,C000120,2025-12-29,R020,E00120,Google Ads,Completed,4301.75
O0000120,C000121,2025-12-30,R001,E00121,Instagram,Completed,890.47
O0000121,C000122,2025-12-31,R002,E00122,Email,Completed,1884.58
O0000122,C000123,2026-01-01,R003,E00123,Email,Completed,2915.21
O0000123,C000124,2026-01-02,R004,E00124,Referral,Completed,4099.09
O0000124,C000125,2026-01-03,R005,E00125,Google Ads,Completed,5267.71
O0000125,C000126,2026-01-04,R006,E00126,Google Ads,Completed,1081.5
O0000126,C000127,2026-01-05,R007,E00127,Google Ads,Completed,2271.78
O0000127,C000128,2026-01-06,R008,E00128,Instagram,Completed,3489.53
O0000128,C000129,2026-01-07,R009,E00129,Google Ads,Completed,4875.09
O0000129,C000130,2026-01-08,R010,E00130,Instagram,Completed,6226.93
O0000130,C000131,2026-01-09,R011,E00131,Organic Search,Returned,1302.2
O0000131,C000132,2026-01-10,R012,E00132,Instagram,Completed,2656.27
O0000132,C000133,2026-01-11,R013,E00133,Email,Completed,4059.8
O0000133,C000134,2026-01-12,R014,E00134,Email,Cancelled,5645.7
O0000134,C000135,2026-01-13,R015,E00135,Email,Completed,7179.41
O0000135,C000136,2026-01-14,R016,E00136,Google Ads,Completed,1495.25
O0000136,C000137,2026-01-15,R017,E00137,Referral,Completed,3038.07
O0000137,C000138,2026-01-16,R018,E00138,Google Ads,Completed,4738.86
O0000138,C000139,2026-01-17,R019,E00139,Organic Search,Completed,6410.92
O0000139,C000140,2026-01-18,R020,E00140,Instagram,Completed,8125.15
O0000140,C000141,2026-01-19,R001,E00141,Organic Search,Completed,1686.96
O0000141,C000142,2026-01-20,R002,E00142,Email,Completed,3417.18
O0000142,C000143,2026-01-21,R003,E00143,Referral,Completed,5315.2
O0000143,C000144,2026-01-22,R004,E00144,Instagram,Returned,7170.74
O0000144,C000145,2026-01-23,R005,E00145,Referral,Completed,9285.22
O0000145,C000146,2026-01-24,R006,E00146,Email,Completed,1877.32
O0000146,C000147,2026-01-25,R007,E00147,Instagram,Completed,3793.58
O0000147,C000148,2026-01-26,R008,E00148,Instagram,Completed,5887.5
O0000148,C000149,2026-01-27,R009,E00149,Email,Completed,7925.18
O0000149,C000150,2026-01-28,R010,E00150,Organic Search,Completed,10241.07
O0000150,C000151,2026-01-29,R011,E00151,Referral,Completed,2066.34
O0000151,C000152,2026-01-30,R012,E00152,Instagram,Completed,4268.94
O0000152,C000153,2026-01-31,R013,E00153,Instagram,Cancelled,6455.75
O0000153,C000154,2026-02-01,R014,E00154,Email,Completed,8674.22
O0000154,C000155,2026-02-02,R015,E00155,Organic Search,Completed,11190.18
O0000155,C000156,2026-02-03,R016,E00156,Organic Search,Completed,2254.0
O0000156,C000157,2026-02-04,R017,E00157,Organic Search,Returned,4649.39
O0000157,C000158,2026-02-05,R018,E00158,Email,Completed,7019.96
O0000158,C000159,2026-02-06,R019,E00159,Instagram,Completed,9647.57
O0000159,C000160,2026-02-07,R020,E00160,Referral,Completed,12132.55
O0000160,C000161,2026-02-08,R001,E00161,Instagram,Completed,2440.32
O0000161,C000162,2026-02-09,R002,E00162,Google Ads,Completed,5027.15
O0000162,C000163,2026-02-10,R003,E00163,Instagram,Completed,7580.12
O0000163,C000164,2026-02-11,R004,E00164,Instagram,Completed,10404.7
O0000164,C000165,2026-02-12,R005,E00165,Email,Completed,13068.18
O0000165,C000166,2026-02-13,R006,E00166,Google Ads,Completed,2689.32
O0000166,C000167,2026-02-14,R007,E00167,Organic Search,Completed,5402.21
O0000167,C000168,2026-02-15,R008,E00168,Referral,Completed,8136.24
O0000168,C000169,2026-02-16,R009,E00169,Instagram,Completed,11156.44
O0000169,C000170,2026-02-17,R010,E00170,Referral,Returned,13997.07
O0000170,C000171,2026-02-18,R011,E00171,Organic Search,Completed,2877.66
O0000171,C000172,2026-02-19,R012,E00172,Email,Cancelled,5774.57
O0000172,C000173,2026-02-20,R013,E00173,Organic Search,Completed,8900.23
O0000173,C000174,2026-02-21,R014,E00174,Referral,Completed,11902.79
O0000174,C000175,2026-02-22,R015,E00175,Referral,Completed,14919.22
O0000175,C000176,2026-02-23,R016,E00176,Instagram,Completed,3064.65
O0000176,C000177,2026-02-24,R017,E00177,Organic Search,Completed,6144.24
O0000177,C000178,2026-02-25,R018,E00178,Email,Completed,9462.41
O0000178,C000179,2026-02-26,R019,E00179,Organic Search,Completed,12643.74
O0000179,C000180,2026-02-27,R020,E00180,Organic Search,Completed,16220.83
O0000180,C000181,2026-02-28,R001,E00181,Organic Search,Completed,3250.29
O0000181,C000182,2026-03-01,R002,E00182,Referral,Completed,6511.21
O0000182,C000183,2026-03-02,R003,E00183,Instagram,Returned,10020.55
O0000183,C000184,2026-03-03,R004,E00184,Instagram,Completed,13379.3
O0000184,C000185,2026-03-04,R005,E00185,Google Ads,Completed,17153.09
O0000185,C000186,2026-03-05,R006,E00186,Referral,Completed,3434.59
O0000186,C000187,2026-03-06,R007,E00187,Instagram,Completed,7043.18
O0000187,C000188,2026-03-07,R008,E00188,Referral,Completed,10574.65
O0000188,C000189,2026-03-08,R009,E00189,Referral,Completed,14109.47
O0000189,C000190,2026-03-09,R010,E00190,Google Ads,Completed,18078.61
O0000190,C000191,2026-03-10,R011,E00191,Instagram,Cancelled,3617.53
O0000191,C000192,2026-03-11,R012,E00192,Referral,Completed,7414.2
O0000192,C000193,2026-03-12,R013,E00193,Instagram,Completed,11124.71
O0000193,C000194,2026-03-13,R014,E00194,Referral,Completed,15196.06
O0000194,C000195,2026-03-14,R015,E00195,Instagram,Completed,18997.39
O0000195,C000196,2026-03-15,R016,E00196,Google Ads,Returned,3799.13
O0000196,C000197,2026-03-16,R017,E00197,Instagram,Completed,7782.52
O0000197,C000198,2026-03-17,R018,E00198,Instagram,Completed,11670.72
O0000198,C000199,2026-03-18,R019,E00199,Organic Search,Completed,15934.32
O0000199,C000200,2026-03-19,R020,E00200,Organic Search,Completed,19909.43
O0000200,C000201,2026-03-20,R001,E00201,Google Ads,Completed,113.23
O0000201,C000202,2026-03-21,R002,E00202,Organic Search,Completed,302.61
O0000202,C000203,2026-03-22,R003,E00203,Referral,Completed,565.71
O0000203,C000204,2026-03-23,R004,E00204,Google Ads,Completed,922.21
O0000204,C000205,2026-03-24,R005,E00205,Instagram,Completed,1335.7
O0000205,C000206,2026-03-25,R006,E00206,Google Ads,Completed,310.34
O0000206,C000207,2026-03-26,R007,E00207,Organic Search,Completed,692.5
O0000207,C000208,2026-03-27,R008,E00208,Google Ads,Completed,1171.98
O0000208,C000209,2026-03-28,R009,E00209,Organic Search,Returned,1703.6
O0000209,C000210,2026-03-29,R010,E00210,Instagram,Cancelled,2301.66
O0000210,C000211,2026-03-30,R011,E00211,Email,Completed,506.09
O0000211,C000212,2026-03-31,R012,E00212,Instagram,Completed,1079.69
O0000212,C000213,2026-04-01,R013,E00213,Instagram,Completed,1760.45
O0000213,C000214,2026-04-02,R014,E00214,Google Ads,Completed,2479.6
O0000214,C000215,2026-04-03,R015,E00215,Referral,Completed,3340.42
O0000215,C000216,2026-04-04,R016,E00216,Organic Search,Completed,700.49
O0000216,C000217,2026-04-05,R017,E00217,Email,Completed,1464.19
O0000217,C000218,2026-04-06,R018,E00218,Email,Completed,2344.88
O0000218,C000219,2026-04-07,R019,E00219,Google Ads,Completed,3250.21
O0000219,C000220,2026-04-08,R020,E00220,Organic Search,Completed,4316.49
O0000220,C000221,2026-04-09,R001,E00221,Referral,Completed,893.55
O0000221,C000222,2026-04-10,R002,E00222,Instagram,Returned,1891.02
O0000222,C000223,2026-04-11,R003,E00223,Organic Search,Completed,2925.26
O0000223,C000224,2026-04-12,R004,E00224,Google Ads,Completed,4015.43
O0000224,C000225,2026-04-13,R005,E00225,Instagram,Completed,5285.81
O0000225,C000226,2026-04-14,R006,E00226,Email,Completed,1085.26
O0000226,C000227,2026-04-15,R007,E00227,Referral,Completed,2279.56
O0000227,C000228,2026-04-16,R008,E00228,Instagram,Completed,3501.6
O0000228,C000229,2026-04-17,R009,E00229,Referral,Cancelled,4891.73
O0000229,C000230,2026-04-18,R010,E00230,Instagram,Completed,6248.4
O0000230,C000231,2026-04-19,R011,E00231,Referral,Completed,1275.62
O0000231,C000232,2026-04-20,R012,E00232,Email,Completed,2665.4
O0000232,C000233,2026-04-21,R013,E00233,Instagram,Completed,4073.9
O0000233,C000234,2026-04-22,R014,E00234,Organic Search,Completed,5665.03
O0000234,C000235,2026-04-23,R015,E00235,Instagram,Returned,7204.25
O0000235,C000236,2026-04-24,R016,E00236,Google Ads,Completed,1500.36
O0000236,C000237,2026-04-25,R017,E00237,Email,Completed,3048.55
O0000237,C000238,2026-04-26,R018,E00238,Referral,Completed,4642.15
O0000238,C000239,2026-04-27,R019,E00239,Organic Search,Completed,6432.95
O0000239,C000240,2026-04-28,R020,E00240,Instagram,Completed,8153.36
O0000240,C000241,2026-04-29,R001,E00241,Instagram,Completed,1692.74
O0000241,C000242,2026-04-30,R002,E00242,Referral,Completed,3429.0
O0000242,C000243,2026-05-01,R003,E00243,Google Ads,Completed,5333.34
O0000243,C000244,2026-05-02,R004,E00244,Instagram,Completed,7195.47
O0000244,C000245,2026-05-03,R005,E00245,Organic Search,Completed,9095.73
O0000245,C000246,2026-05-04,R006,E00246,Organic Search,Completed,1883.77
O0000246,C000247,2026-05-05,R007,E00247,Referral,Completed,3806.76
O0000247,C000248,2026-05-06,R008,E00248,Google Ads,Cancelled,5907.66
O0000248,C000249,2026-05-07,R009,E00249,Instagram,Completed,7952.6
O0000249,C000250,2026-05-08,R010,E00250,Instagram,Completed,10276.03
O0000251,C000252,2026-05-10,R012,E00252,Instagram,Completed,4181.82
O0000252,C000253,2026-05-11,R013,E00253,Referral,Completed,6477.93
O0000253,C000254,2026-05-12,R014,E00254,Organic Search,Completed,8704.34
O0000254,C000255,2026-05-13,R015,E00255,Referral,Completed,11228.5
O0000255,C000256,2026-05-14,R016,E00256,Email,Completed,2261.8
O0000256,C000257,2026-05-15,R017,E00257,Referral,Completed,4665.26
O0000257,C000258,2026-05-16,R018,E00258,Google Ads,Completed,7044.16
O0000258,C000259,2026-05-17,R019,E00259,Email,Completed,9450.69
O0000259,C000260,2026-05-18,R020,E00260,Google Ads,Completed,12174.24
O0000260,C000261,2026-05-19,R001,E00261,Email,Returned,2448.79
O0000261,C000262,2026-05-20,R002,E00262,Google Ads,Completed,5044.36
O0000262,C000263,2026-05-21,R003,E00263,Referral,Completed,7606.35
O0000263,C000264,2026-05-22,R004,E00264,Google Ads,Completed,10440.22
O0000264,C000265,2026-05-23,R005,E00265,Google Ads,Completed,13113.24
O0000265,C000266,2026-05-24,R006,E00266,Referral,Completed,2634.43
O0000266,C000267,2026-05-25,R007,E00267,Google Ads,Cancelled,5420.77
O0000267,C000268,2026-05-26,R008,E00268,Google Ads,Completed,8164.49
O0000268,C000269,2026-05-27,R009,E00269,Google Ads,Completed,11194.65
O0000269,C000270,2026-05-28,R010,E00270,Email,Completed,14045.5
O0000270,C000271,2026-05-29,R011,E00271,Email,Completed,2887.48
O0000271,C000272,2026-05-30,R012,E00272,Organic Search,Completed,5794.48
O0000272,C000273,2026-05-31,R013,E00273,Organic Search,Completed,8718.59
O0000273,C000274,2026-06-01,R014,E00274,Email,Returned,11943.69
O0000274,C000275,2026-06-02,R015,E00275,Instagram,Completed,14971.02
O0000275,C000276,2026-06-03,R016,E00276,Email,Completed,3075.14
O0000276,C000277,2026-06-04,R017,E00277,Google Ads,Completed,6165.5
O0000277,C000278,2026-06-05,R018,E00278,Email,Completed,9494.71
O0000278,C000279,2026-06-06,R019,E00279,Google Ads,Completed,12687.34
O0000279,C000280,2026-06-07,R020,E00280,Instagram,Completed,15889.8
O0000280,C000281,2026-06-08,R001,E00281,Google Ads,Completed,3261.46
O0000281,C000282,2026-06-09,R002,E00282,Google Ads,Completed,6533.82
O0000282,C000283,2026-06-10,R003,E00283,Google Ads,Completed,10054.87
O0000283,C000284,2026-06-11,R004,E00284,Instagram,Completed,13425.6
O0000284,C000285,2026-06-12,R005,E00285,Email,Completed,17211.64
O0000285,C000286,2026-06-13,R006,E00286,Referral,Cancelled,3446.43
O0000286,C000287,2026-06-14,R007,E00287,Instagram,Returned,6899.44
O0000287,C000288,2026-06-15,R008,E00288,Google Ads,Completed,10610.99
O0000288,C000289,2026-06-16,R009,E00289,Organic Search,Completed,14158.47
O0000289,C000290,2026-06-17,R010,E00290,Email,Completed,18140.52
O0000290,C000291,2026-06-18,R011,E00291,Instagram,Completed,3630.05
O0000291,C000292,2026-06-19,R012,E00292,Email,Completed,7439.5
O0000292,C000293,2026-06-20,R013,E00293,Referral,Completed,11163.07
O0000293,C000294,2026-06-21,R014,E00294,Google Ads,Completed,14885.94
O0000294,C000295,2026-06-22,R015,E00295,Referral,Completed,19062.67
O0000295,C000296,2026-06-23,R016,E00296,Google Ads,Completed,3812.32
O0000296,C000297,2026-06-24,R017,E00297,Referral,Completed,7809.17
O0000297,C000298,2026-06-25,R018,E00298,Google Ads,Completed,11711.1
O0000298,C000299,2026-06-26,R019,E00299,Referral,Completed,15988.7
O0000299,C000300,2026-06-27,R020,E00300,Google Ads,Returned,19978.08
O0000300,C000301,2026-06-28,R001,E00301,Email,Completed,110.92
O0000301,C000302,2026-06-29,R002,E00302,Email,Completed,303.65
O0000302,C000303,2026-06-30,R003,E00303,Instagram,Completed,567.67
O0000303,C000304,2026-07-01,R004,E00304,Email,Completed,925.36
O0000304,C000305,2026-07-02,R005,E00305,Instagram,Cancelled,1340.33
O0000305,C000306,2026-07-03,R006,E00306,Google Ads,Completed,311.39
O0000306,C000307,2026-07-04,R007,E00307,Email,Completed,694.89
O0000307,C000308,2026-07-05,R008,E00308,Instagram,Completed,1148.06
O0000308,C000309,2026-07-06,R009,E00309,Google Ads,Completed,1709.45
O0000309,C000310,2026-07-07,R010,E00310,Instagram,Completed,2309.66
O0000310,C000311,2026-07-08,R011,E00311,Email,Completed,507.82
O0000311,C000312,2026-07-09,R012,E00312,Instagram,Completed,1083.43
O0000312,C000313,2026-07-10,R013,E00313,Referral,Returned,1766.46
O0000313,C000314,2026-07-11,R014,E00314,Referral,Completed,2488.15
O0000314,C000315,2026-07-12,R015,E00315,Referral,Completed,3272.24
O0000315,C000316,2026-07-13,R016,E00316,Email,Completed,702.9
O0000316,C000317,2026-07-14,R017,E00317,Instagram,Completed,1469.27
O0000317,C000318,2026-07-15,R018,E00318,Email,Completed,2352.91
O0000318,C000319,2026-07-16,R019,E00319,Google Ads,Completed,3261.46
O0000319,C000320,2026-07-17,R020,E00320,Organic Search,Completed,4331.22
O0000320,C000321,2026-07-18,R001,E00321,Email,Completed,896.63
O0000321,C000322,2026-07-19,R002,E00322,Email,Completed,1852.42
O0000322,C000323,2026-07-20,R003,E00323,Email,Completed,2935.31
O0000323,C000324,2026-07-21,R004,E00324,Instagram,Cancelled,4029.37
O0000324,C000325,2026-07-22,R005,E00325,Organic Search,Completed,5303.92
O0000325,C000326,2026-07-23,R006,E00326,Referral,Returned,1089.01
O0000326,C000327,2026-07-24,R007,E00327,Instagram,Completed,2287.34
O0000327,C000328,2026-07-25,R008,E00328,Google Ads,Completed,3513.68
O0000328,C000329,2026-07-26,R009,E00329,Instagram,Completed,4791.9
O0000329,C000330,2026-07-27,R010,E00330,Google Ads,Completed,6269.88
O0000330,C000331,2026-07-28,R011,E00331,Email,Completed,1280.05
O0000331,C000332,2026-07-29,R012,E00332,Email,Completed,2674.53
O0000332,C000333,2026-07-30,R013,E00333,Email,Completed,4087.99
O0000333,C000334,2026-07-31,R014,E00334,Email,Completed,5684.37
O0000334,C000335,2026-08-01,R015,E00335,Email,Completed,7229.09
O0000335,C000336,2026-08-02,R016,E00336,Instagram,Completed,1469.74
O0000336,C000337,2026-08-03,R017,E00337,Organic Search,Completed,3059.02
O0000337,C000338,2026-08-04,R018,E00338,Email,Completed,4658.27
O0000338,C000339,2026-08-05,R019,E00339,Email,Returned,6454.98
O0000339,C000340,2026-08-06,R020,E00340,Organic Search,Completed,8181.57
O0000340,C000341,2026-08-07,R001,E00341,Organic Search,Completed,1698.52
O0000341,C000342,2026-08-08,R002,E00342,Google Ads,Completed,3440.82
O0000342,C000343,2026-08-09,R003,E00343,Email,Cancelled,5224.5
O0000343,C000344,2026-08-10,R004,E00344,Instagram,Completed,7220.2
O0000344,C000345,2026-08-11,R005,E00345,Email,Completed,9127.31
O0000345,C000346,2026-08-12,R006,E00346,Email,Completed,1890.23
O0000346,C000347,2026-08-13,R007,E00347,Referral,Completed,3819.93
O0000347,C000348,2026-08-14,R008,E00348,Organic Search,Completed,5927.82
O0000348,C000349,2026-08-15,R009,E00349,Referral,Completed,7980.02
O0000349,C000350,2026-08-16,R010,E00350,Email,Completed,10066.31
O0000350,C000351,2026-08-17,R011,E00351,Instagram,Completed,2080.59
O0000351,C000352,2026-08-18,R012,E00352,Referral,Returned,4196.34
O0000352,C000353,2026-08-19,R013,E00353,Instagram,Completed,6500.12
O0000353,C000354,2026-08-20,R014,E00354,Instagram,Completed,8734.46
O0000354,C000355,2026-08-21,R015,E00355,Google Ads,Completed,11266.83
O0000355,C000356,2026-08-22,R016,E00356,Referral,Completed,2269.6
O0000356,C000357,2026-08-23,R017,E00357,Organic Search,Completed,4570.05
O0000357,C000358,2026-08-24,R018,E00358,Instagram,Completed,7068.37
O0000358,C000359,2026-08-25,R019,E00359,Referral,Completed,9483.5
O0000359,C000360,2026-08-26,R020,E00360,Email,Completed,12215.94
O0000360,C000361,2026-08-27,R001,E00361,Instagram,Completed,2457.26
O0000361,C000362,2026-08-28,R002,E00362,Instagram,Cancelled,5061.58
O0000362,C000363,2026-08-29,R003,E00363,Instagram,Completed,7632.58
O0000363,C000364,2026-08-30,R004,E00364,Referral,Completed,10227.15
O0000364,C000365,2026-08-31,R005,E00365,Instagram,Returned,13158.3
O0000365,C000366,2025-09-01,R006,E00366,Email,Completed,2643.58
O0000366,C000367,2025-09-02,R007,E00367,Instagram,Completed,5439.34
O0000367,C000368,2025-09-03,R008,E00368,Google Ads,Completed,8192.74
O0000368,C000369,2025-09-04,R009,E00369,Organic Search,Completed,11232.86
O0000369,C000370,2025-09-05,R010,E00370,Instagram,Completed,14093.93
O0000370,C000371,2025-09-06,R011,E00371,Google Ads,Completed,2828.55
O0000371,C000372,2025-09-07,R012,E00372,Organic Search,Completed,5814.4
O0000372,C000373,2025-09-08,R013,E00373,Referral,Completed,8748.86
O0000373,C000374,2025-09-09,R014,E00374,Organic Search,Completed,11984.59
O0000374,C000375,2025-09-10,R015,E00375,Email,Completed,15022.82
O0000375,C000376,2025-09-11,R016,E00376,Google Ads,Completed,3085.64
O0000376,C000377,2025-09-12,R017,E00377,Referral,Completed,6186.76
O0000377,C000378,2025-09-13,R018,E00378,Organic Search,Returned,9300.94
O0000378,C000379,2025-09-14,R019,E00379,Organic Search,Completed,12730.94
