"Campaign_ID","Campaign_Date","Channel","Campaign_Name","Spend","Impressions","Clicks","Leads","Conversions","Attributed_Revenue","Attributed_Profit"
"MC000030","2025-10-01","Google Ads","Campaign 0030","25000","20030","1030","130","40","81200","-2263.9999999999964"
"MC000031","2025-10-02","Instagram","Campaign 0031","25500","20031","1031","131","41","83271","-2184.119999999999"
"MC000032","2025-10-03","Email","Campaign 0032","26000","20032","1032","132","42","85344","-2103.6799999999967"
"MC000033","2025-10-04","Referral","Campaign 0033","26500","20033","1033","133","43","87419","-2022.6799999999967"
"MC000034","2025-10-05","Organic Search","Campaign 0034","27000","20034","1034","134","44","89496","-1941.119999999999"
"MC000035","2025-10-06","Google Ads","Campaign 0035","27500","20035","1035","135","45","91575","-1858.9999999999964"
"MC000036","2025-10-07","Instagram","Campaign 0036","28000","20036","1036","136","46","93656","-1776.319999999996"
"MC000037","2025-10-08","Email","Campaign 0037","28500","20037","1037","137","47","95739","-1693.079999999998"
"MC000038","2025-10-09","Referral","Campaign 0038","29000","20038","1038","138","48","97824","-1609.2799999999988"
"MC000039","2025-10-10","Organic Search","Campaign 0039","29500","20039","1039","139","49","99911","-1524.9199999999983"
"MC000040","2025-10-11","Google Ads","Campaign 0040","30000","20040","1040","140","50","102000","-1439.9999999999964"
"MC000041","2025-10-12","Instagram","Campaign 0041","30500","20041","1041","141","51","104091","-1354.5199999999968"
"MC000042","2025-10-13","Email","Campaign 0042","31000","20042","1042","142","52","106184","-1268.479999999996"
"MC000043","2025-10-14","Referral","Campaign 0043","31500","20043","1043","143","53","108279","-1181.8799999999974"
"MC000044","2025-10-15","Organic Search","Campaign 0044","32000","20044","1044","144","54","110376","-1094.7199999999975"
"MC000045","2025-10-16","Google Ads","Campaign 0045","32500","20045","1045","145","55","112475","-1006.9999999999964"
"MC000046","2025-10-17","Instagram","Campaign 0046","33000","20046","1046","146","56","114576","-918.7199999999975"
"MC000047","2025-10-18","Email","Campaign 0047","33500","20047","1047","147","57","116679","-829.8799999999974"
"MC000048","2025-10-19","Referral","Campaign 0048","34000","20048","1048","148","58","118784","-740.4799999999959"
"MC000049","2025-10-20","Organic Search","Campaign 0049","34500","20049","1049","149","59","120891","-650.5199999999968"
"MC000050","2025-10-21","Google Ads","Campaign 0050","35000","20050","1050","150","60","123000","-560"
"MC000051","2025-10-22","Instagram","Campaign 0051","35500","20051","1051","151","61","125111","-468.91999999999825"
"MC000052","2025-10-23","Email","Campaign 0052","36000","20052","1052","152","62","127224","-377.27999999999884"
"MC000053","2025-10-24","Referral","Campaign 0053","36500","20053","1053","153","63","129339","-285.07999999999447"
"MC000054","2025-10-25","Organic Search","Campaign 0054","37000","20054","1054","154","64","131456","-192.3199999999997"
"MC000055","2025-10-26","Google Ads","Campaign 0055","37500","20055","1055","155","65","133575","-99"
"MC000056","2025-10-27","Instagram","Campaign 0056","38000","20056","1056","156","66","135696","-5.119999999995343"
"MC000057","2025-10-28","Email","Campaign 0057","38500","20057","1057","157","67","137819","89.32000000000698"
"MC000058","2025-10-29","Referral","Campaign 0058","39000","20058","1058","158","68","139944","184.32000000000698"
"MC000059","2025-10-30","Organic Search","Campaign 0059","39500","20059","1059","159","69","142071","279.88000000000466"
"MC000060","2025-10-31","Google Ads","Campaign 0060","40000","20060","1060","160","70","144200","376.0000000000073"
"MC000061","2025-11-01","Instagram","Campaign 0061","40500","20061","1061","161","71","146331","472.6800000000003"
"MC000062","2025-11-02","Email","Campaign 0062","41000","20062","1062","162","72","148464","569.9200000000055"
"MC000063","2025-11-03","Referral","Campaign 0063","41500","20063","1063","163","73","150599","667.7200000000012"
"MC000064","2025-11-04","Organic Search","Campaign 0064","42000","20064","1064","164","74","152736","766.0800000000017"
"MC000065","2025-11-05","Google Ads","Campaign 0065","42500","20065","1065","165","75","154875","865.0000000000073"
"MC000066","2025-11-06","Instagram","Campaign 0066","43000","20066","1066","166","76","157016","964.4800000000032"
"MC000067","2025-11-07","Email","Campaign 0067","43500","20067","1067","167","77","159159","1064.520000000004"
"MC000068","2025-11-08","Referral","Campaign 0068","44000","20068","1068","168","78","161304","1165.1200000000026"
"MC000069","2025-11-09","Organic Search","Campaign 0069","44500","20069","1069","169","79","163451","1266.280000000006"
"MC000070","2025-11-10","Google Ads","Campaign 0070","45000","20070","1070","170","80","165600","1368.0000000000073"
"MC000071","2025-11-11","Instagram","Campaign 0071","45500","20071","1071","171","81","167751","1470.280000000006"
"MC000072","2025-11-12","Email","Campaign 0072","46000","20072","1072","172","82","169904","1573.1200000000026"
"MC000073","2025-11-13","Referral","Campaign 0073","46500","20073","1073","173","83","172059","1676.520000000004"
"MC000074","2025-11-14","Organic Search","Campaign 0074","47000","20074","1074","174","84","174216","1780.4800000000032"
"MC000075","2025-11-15","Google Ads","Campaign 0075","47500","20075","1075","175","85","176375","1885.0000000000073"
"MC000076","2025-11-16","Instagram","Campaign 0076","48000","20076","1076","176","86","178536","1990.0800000000017"
"MC000077","2025-11-17","Email","Campaign 0077","48500","20077","1077","177","87","180699","2095.7200000000084"
"MC000078","2025-11-18","Referral","Campaign 0078","49000","20078","1078","178","88","182864","2201.9200000000055"
"MC000079","2025-11-19","Organic Search","Campaign 0079","49500","20079","1079","179","89","185031","2308.6800000000076"
"MC000080","2025-11-20","Google Ads","Campaign 0080","50000","20080","1080","180","90","187200","2416.0000000000073"
"MC000081","2025-11-21","Instagram","Campaign 0081","50500","20081","1081","181","91","189371","2523.8800000000047"
"MC000082","2025-11-22","Email","Campaign 0082","51000","20082","1082","182","92","191544","2632.320000000007"
"MC000083","2025-11-23","Referral","Campaign 0083","51500","20083","1083","183","93","193719","2741.320000000007"
"MC000084","2025-11-24","Organic Search","Campaign 0084","52000","20084","1084","184","94","195896","2850.8800000000047"
"MC000085","2025-11-25","Google Ads","Campaign 0085","52500","20085","1085","185","95","198075","2961.0000000000073"
"MC000086","2025-11-26","Instagram","Campaign 0086","53000","20086","1086","186","96","200256","3071.6800000000076"
"MC000087","2025-11-27","Email","Campaign 0087","53500","20087","1087","187","97","202439","3182.9200000000055"
"MC000088","2025-11-28","Referral","Campaign 0088","54000","20088","1088","188","98","204624","3294.7200000000084"
"MC000089","2025-11-29","Organic Search","Campaign 0089","54500","20089","1089","189","99","206811","3407.080000000009"
"MC000090","2025-11-30","Google Ads","Campaign 0090","55000","20090","1090","190","10","20900","-49148"
"MC000091","2025-12-01","Instagram","Campaign 0091","55500","20091","1091","191","11","23001","-49059.72"
"MC000092","2025-12-02","Email","Campaign 0092","56000","20092","1092","192","12","25104","-48970.88"
"MC000093","2025-12-03","Referral","Campaign 0093","56500","20093","1093","193","13","27209","-48881.479999999996"
"MC000094","2025-12-04","Organic Search","Campaign 0094","57000","20094","1094","194","14","29316","-48791.52"
"MC000095","2025-12-05","Google Ads","Campaign 0095","57500","20095","1095","195","15","31425","-48701"
"MC000096","2025-12-06","Instagram","Campaign 0096","58000","20096","1096","196","16","33536","-48609.92"
"MC000097","2025-12-07","Email","Campaign 0097","58500","20097","1097","197","17","35649","-48518.28"
"MC000098","2025-12-08","Referral","Campaign 0098","59000","20098","1098","198","18","37764","-48426.08"
"MC000099","2025-12-09","Organic Search","Campaign 0099","59500","20099","1099","199","19","39881","-48333.32"
"MC000100","2025-12-10","Google Ads","Campaign 0100","10000","20100","1100","200","20","42000","1760.0000000000018"
"MC000101","2025-12-11","Instagram","Campaign 0101","10500","20101","1101","201","21","44121","1853.880000000001"
"MC000102","2025-12-12","Email","Campaign 0102","11000","20102","1102","202","22","46244","1948.3200000000015"
"MC000103","2025-12-13","Referral","Campaign 0103","11500","20103","1103","203","23","48369","2043.3200000000015"
"MC000104","2025-12-14","Organic Search","Campaign 0104","12000","20104","1104","204","24","50496","2138.880000000001"
"MC000105","2025-12-15","Google Ads","Campaign 0105","12500","20105","1105","205","25","52625","2235.000000000002"
"MC000106","2025-12-16","Instagram","Campaign 0106","13000","20106","1106","206","26","54756","2331.680000000002"
"MC000107","2025-12-17","Email","Campaign 0107","13500","20107","1107","207","27","56889","2428.920000000002"
"MC000108","2025-12-18","Referral","Campaign 0108","14000","20108","1108","208","28","59024","2526.720000000001"
"MC000109","2025-12-19","Organic Search","Campaign 0109","14500","20109","1109","209","29","61161","2625.0800000000017"
"MC000110","2025-12-20","Google Ads","Campaign 0110","15000","20110","1110","210","30","63300","2724"
"MC000111","2025-12-21","Instagram","Campaign 0111","15500","20111","1111","211","31","65441","2823.480000000003"
"MC000112","2025-12-22","Email","Campaign 0112","16000","20112","1112","212","32","67584","2923.5200000000004"
"MC000113","2025-12-23","Referral","Campaign 0113","16500","20113","1113","213","33","69729","3024.1200000000026"
"MC000114","2025-12-24","Organic Search","Campaign 0114","17000","20114","1114","214","34","71876","3125.2800000000025"
"MC000115","2025-12-25","Google Ads","Campaign 0115","17500","20115","1115","215","35","74025","3227.0000000000036"
"MC000116","2025-12-26","Instagram","Campaign 0116","18000","20116","1116","216","36","76176","3329.2800000000025"
"MC000117","2025-12-27","Email","Campaign 0117","18500","20117","1117","217","37","78329","3432.1200000000026"
"MC000118","2025-12-28","Referral","Campaign 0118","19000","20118","1118","218","38","80484","3535.5200000000004"
"MC000119","2025-12-29","Organic Search","Campaign 0119","19500","20119","1119","219","39","82641","3639.480000000003"
"MC000120","2025-12-30","Google Ads","Campaign 0120","20000","20120","1120","220","40","84800","3744.0000000000036"
"MC000121","2025-12-31","Instagram","Campaign 0121","20500","20121","1121","221","41","86961","3849.0800000000017"
"MC000122","2026-01-01","Email","Campaign 0122","21000","20122","1122","222","42","89124","3954.720000000001"
"MC000123","2026-01-02","Referral","Campaign 0123","21500","20123","1123","223","43","91289","4060.920000000002"
"MC000124","2026-01-03","Organic Search","Campaign 0124","22000","20124","1124","224","44","93456","4167.680000000004"
"MC000125","2026-01-04","Google Ads","Campaign 0125","22500","20125","1125","225","45","95625","4275.000000000004"
"MC000126","2026-01-05","Instagram","Campaign 0126","23000","20126","1126","226","46","97796","4382.880000000001"
"MC000127","2026-01-06","Email","Campaign 0127","23500","20127","1127","227","47","99969","4491.320000000003"
"MC000128","2026-01-07","Referral","Campaign 0128","24000","20128","1128","228","48","102144","4600.320000000003"
"MC000129","2026-01-08","Organic Search","Campaign 0129","24500","20129","1129","229","49","104321","4709.880000000001"
"MC000130","2026-01-09","Google Ads","Campaign 0130","25000","20130","1130","230","50","106500","4820.000000000004"
"MC000131","2026-01-10","Instagram","Campaign 0131","25500","20131","1131","231","51","108681","4930.680000000004"
"MC000132","2026-01-11","Email","Campaign 0132","26000","20132","1132","232","52","110864","5041.920000000002"
"MC000133","2026-01-12","Referral","Campaign 0133","26500","20133","1133","233","53","113049","5153.720000000005"
"MC000134","2026-01-13","Organic Search","Campaign 0134","27000","20134","1134","234","54","115236","5266.080000000002"
"MC000135","2026-01-14","Google Ads","Campaign 0135","27500","20135","1135","235","55","117425","5379"
"MC000136","2026-01-15","Instagram","Campaign 0136","28000","20136","1136","236","56","119616","5492.480000000003"
"MC000137","2026-01-16","Email","Campaign 0137","28500","20137","1137","237","57","121809","5606.520000000004"
"MC000138","2026-01-17","Referral","Campaign 0138","29000","20138","1138","238","58","124004","5721.120000000003"
"MC000139","2026-01-18","Organic Search","Campaign 0139","29500","20139","1139","239","59","126201","5836.280000000006"
"MC000140","2026-01-19","Google Ads","Campaign 0140","30000","20140","1140","240","60","128400","5952"
"MC000141","2026-01-20","Instagram","Campaign 0141","30500","20141","1141","241","61","130601","6068.280000000006"
"MC000142","2026-01-21","Email","Campaign 0142","31000","20142","1142","242","62","132804","6185.120000000003"
"MC000143","2026-01-22","Referral","Campaign 0143","31500","20143","1143","243","63","135009","6302.520000000004"
"MC000144","2026-01-23","Organic Search","Campaign 0144","32000","20144","1144","244","64","137216","6420.480000000003"
"MC000145","2026-01-24","Google Ads","Campaign 0145","32500","20145","1145","245","65","139425","6539.000000000007"
"MC000146","2026-01-25","Instagram","Campaign 0146","33000","20146","1146","246","66","141636","6658.080000000002"
"MC000147","2026-01-26","Email","Campaign 0147","33500","20147","1147","247","67","143849","6777.720000000001"
"MC000148","2026-01-27","Referral","Campaign 0148","34000","20148","1148","248","68","146064","6897.9200000000055"
"MC000149","2026-01-28","Organic Search","Campaign 0149","34500","20149","1149","249","69","148281","7018.680000000008"
"MC000150","2026-01-29","Google Ads","Campaign 0150","35000","20150","1150","250","70","150500","7140.000000000007"
"MC000151","2026-01-30","Instagram","Campaign 0151","35500","20151","1151","251","71","152721","7261.880000000005"
"MC000152","2026-01-31","Email","Campaign 0152","36000","20152","1152","252","72","154944","7384.320000000007"
"MC000153","2026-02-01","Referral","Campaign 0153","36500","20153","1153","253","73","157169","7507.320000000007"
"MC000154","2026-02-02","Organic Search","Campaign 0154","37000","20154","1154","254","74","159396","7630.880000000005"
"MC000155","2026-02-03","Google Ads","Campaign 0155","37500","20155","1155","255","75","161625","7755.000000000007"
"MC000156","2026-02-04","Instagram","Campaign 0156","38000","20156","1156","256","76","163856","7879.680000000008"
"MC000157","2026-02-05","Email","Campaign 0157","38500","20157","1157","257","77","166089","8004.9200000000055"
"MC000158","2026-02-06","Referral","Campaign 0158","39000","20158","1158","258","78","168324","8130.720000000001"
"MC000159","2026-02-07","Organic Search","Campaign 0159","39500","20159","1159","259","79","170561","8257.080000000002"
"MC000160","2026-02-08","Google Ads","Campaign 0160","40000","20160","1160","260","80","172800","8384.000000000007"
"MC000161","2026-02-09","Instagram","Campaign 0161","40500","20161","1161","261","81","175041","8511.480000000003"
"MC000162","2026-02-10","Email","Campaign 0162","41000","20162","1162","262","82","177284","8639.520000000004"
"MC000163","2026-02-11","Referral","Campaign 0163","41500","20163","1163","263","83","179529","8768.120000000003"
"MC000164","2026-02-12","Organic Search","Campaign 0164","42000","20164","1164","264","84","181776","8897.280000000006"
"MC000165","2026-02-13","Google Ads","Campaign 0165","42500","20165","1165","265","85","184025","9027.000000000007"
"MC000166","2026-02-14","Instagram","Campaign 0166","43000","20166","1166","266","86","186276","9157.280000000006"
"MC000167","2026-02-15","Email","Campaign 0167","43500","20167","1167","267","87","188529","9288.120000000003"
"MC000168","2026-02-16","Referral","Campaign 0168","44000","20168","1168","268","88","190784","9419.520000000004"
"MC000169","2026-02-17","Organic Search","Campaign 0169","44500","20169","1169","269","89","193041","9551.480000000003"
"MC000170","2026-02-18","Google Ads","Campaign 0170","45000","20170","1170","270","90","195300","9684.000000000007"
"MC000171","2026-02-19","Instagram","Campaign 0171","45500","20171","1171","271","91","197561","9817.080000000002"
"MC000172","2026-02-20","Email","Campaign 0172","46000","20172","1172","272","92","199824","9950.720000000008"
"MC000173","2026-02-21","Referral","Campaign 0173","46500","20173","1173","273","93","202089","10084.920000000006"
"MC000174","2026-02-22","Organic Search","Campaign 0174","47000","20174","1174","274","94","204356","10219.680000000008"
"MC000175","2026-02-23","Google Ads","Campaign 0175","47500","20175","1175","275","95","206625","10355.000000000007"
"MC000176","2026-02-24","Instagram","Campaign 0176","48000","20176","1176","276","96","208896","10490.880000000005"
"MC000177","2026-02-25","Email","Campaign 0177","48500","20177","1177","277","97","211169","10627.320000000007"
"MC000178","2026-02-26","Referral","Campaign 0178","49000","20178","1178","278","98","213444","10764.320000000007"
"MC000179","2026-02-27","Organic Search","Campaign 0179","49500","20179","1179","279","99","215721","10901.880000000005"
"MC000180","2026-02-28","Google Ads","Campaign 0180","50000","20180","1180","280","10","21800","-43896"
"MC000181","2026-03-01","Instagram","Campaign 0181","50500","20181","1181","281","11","23991","-43782.52"
"MC000182","2026-03-02","Email","Campaign 0182","51000","20182","1182","282","12","26184","-43668.479999999996"
"MC000183","2026-03-03","Referral","Campaign 0183","51500","20183","1183","283","13","28379","-43553.88"
"MC000184","2026-03-04","Organic Search","Campaign 0184","52000","20184","1184","284","14","30576","-43438.72"
"MC000185","2026-03-05","Google Ads","Campaign 0185","52500","20185","1185","285","15","32775","-43323"
"MC000186","2026-03-06","Instagram","Campaign 0186","53000","20186","1186","286","16","34976","-43206.72"
"MC000187","2026-03-07","Email","Campaign 0187","53500","20187","1187","287","17","37179","-43089.88"
"MC000188","2026-03-08","Referral","Campaign 0188","54000","20188","1188","288","18","39384","-42972.479999999996"
"MC000189","2026-03-09","Organic Search","Campaign 0189","54500","20189","1189","289","19","41591","-42854.52"
"MC000190","2026-03-10","Google Ads","Campaign 0190","55000","20190","1190","290","20","43800","-42736"
"MC000191","2026-03-11","Instagram","Campaign 0191","55500","20191","1191","291","21","46011","-42616.92"
"MC000192","2026-03-12","Email","Campaign 0192","56000","20192","1192","292","22","48224","-42497.28"
"MC000193","2026-03-13","Referral","Campaign 0193","56500","20193","1193","293","23","50439","-42377.08"
"MC000194","2026-03-14","Organic Search","Campaign 0194","57000","20194","1194","294","24","52656","-42256.32"
"MC000195","2026-03-15","Google Ads","Campaign 0195","57500","20195","1195","295","25","54875","-42135"
"MC000196","2026-03-16","Instagram","Campaign 0196","58000","20196","1196","296","26","57096","-42013.119999999995"
"MC000197","2026-03-17","Email","Campaign 0197","58500","20197","1197","297","27","59319","-41890.67999999999"
"MC000198","2026-03-18","Referral","Campaign 0198","59000","20198","1198","298","28","61544","-41767.67999999999"
"MC000199","2026-03-19","Organic Search","Campaign 0199","59500","20199","1199","299","29","63771","-41644.119999999995"
"MC000200","2026-03-20","Google Ads","Campaign 0200","10000","20200","1200","300","30","66000","8480"
"MC000201","2026-03-21","Instagram","Campaign 0201","10500","20201","1201","301","31","68231","8604.68"
"MC000202","2026-03-22","Email","Campaign 0202","11000","20202","1202","302","32","70464","8729.920000000002"
"MC000203","2026-03-23","Referral","Campaign 0203","11500","20203","1203","303","33","72699","8855.720000000001"
"MC000204","2026-03-24","Organic Search","Campaign 0204","12000","20204","1204","304","34","74936","8982.080000000002"
"MC000205","2026-03-25","Google Ads","Campaign 0205","12500","20205","1205","305","35","77175","9109.000000000004"
"MC000206","2026-03-26","Instagram","Campaign 0206","13000","20206","1206","306","36","79416","9236.480000000003"
"MC000207","2026-03-27","Email","Campaign 0207","13500","20207","1207","307","37","81659","9364.52"
"MC000208","2026-03-28","Referral","Campaign 0208","14000","20208","1208","308","38","83904","9493.120000000003"
"MC000209","2026-03-29","Organic Search","Campaign 0209","14500","20209","1209","309","39","86151","9622.280000000002"
"MC000210","2026-03-30","Google Ads","Campaign 0210","15000","20210","1210","310","40","88400","9752.000000000004"
"MC000211","2026-03-31","Instagram","Campaign 0211","15500","20211","1211","311","41","90651","9882.280000000002"
"MC000212","2026-04-01","Email","Campaign 0212","16000","20212","1212","312","42","92904","10013.120000000003"
"MC000213","2026-04-02","Referral","Campaign 0213","16500","20213","1213","313","43","95159","10144.520000000004"
"MC000214","2026-04-03","Organic Search","Campaign 0214","17000","20214","1214","314","44","97416","10276.480000000003"
"MC000215","2026-04-04","Google Ads","Campaign 0215","17500","20215","1215","315","45","99675","10409.000000000004"
"MC000216","2026-04-05","Instagram","Campaign 0216","18000","20216","1216","316","46","101936","10542.080000000002"
"MC000217","2026-04-06","Email","Campaign 0217","18500","20217","1217","317","47","104199","10675.720000000001"
"MC000218","2026-04-07","Referral","Campaign 0218","19000","20218","1218","318","48","106464","10809.920000000002"
"MC000219","2026-04-08","Organic Search","Campaign 0219","19500","20219","1219","319","49","108731","10944.680000000004"
"MC000220","2026-04-09","Google Ads","Campaign 0220","20000","20220","1220","320","50","111000","11080.000000000004"
"MC000221","2026-04-10","Instagram","Campaign 0221","20500","20221","1221","321","51","113271","11215.880000000005"
"MC000222","2026-04-11","Email","Campaign 0222","21000","20222","1222","322","52","115544","11352.320000000003"
"MC000223","2026-04-12","Referral","Campaign 0223","21500","20223","1223","323","53","117819","11489.32"
"MC000224","2026-04-13","Organic Search","Campaign 0224","22000","20224","1224","324","54","120096","11626.880000000005"
"MC000225","2026-04-14","Google Ads","Campaign 0225","22500","20225","1225","325","55","122375","11765"
"MC000226","2026-04-15","Instagram","Campaign 0226","23000","20226","1226","326","56","124656","11903.68"
"MC000227","2026-04-16","Email","Campaign 0227","23500","20227","1227","327","57","126939","12042.920000000006"
"MC000228","2026-04-17","Referral","Campaign 0228","24000","20228","1228","328","58","129224","12182.720000000001"
"MC000229","2026-04-18","Organic Search","Campaign 0229","24500","20229","1229","329","59","131511","12323.080000000002"
"MC000230","2026-04-19","Google Ads","Campaign 0230","25000","20230","1230","330","60","133800","12464"
"MC000231","2026-04-20","Instagram","Campaign 0231","25500","20231","1231","331","61","136091","12605.480000000003"
"MC000232","2026-04-21","Email","Campaign 0232","26000","20232","1232","332","62","138384","12747.520000000004"
"MC000233","2026-04-22","Referral","Campaign 0233","26500","20233","1233","333","63","140679","12890.120000000003"
"MC000234","2026-04-23","Organic Search","Campaign 0234","27000","20234","1234","334","64","142976","13033.280000000006"
"MC000235","2026-04-24","Google Ads","Campaign 0235","27500","20235","1235","335","65","145275","13177.000000000007"
"MC000236","2026-04-25","Instagram","Campaign 0236","28000","20236","1236","336","66","147576","13321.280000000006"
"MC000237","2026-04-26","Email","Campaign 0237","28500","20237","1237","337","67","149879","13466.120000000003"
"MC000238","2026-04-27","Referral","Campaign 0238","29000","20238","1238","338","68","152184","13611.520000000004"
"MC000239","2026-04-28","Organic Search","Campaign 0239","29500","20239","1239","339","69","154491","13757.480000000003"
"MC000240","2026-04-29","Google Ads","Campaign 0240","30000","20240","1240","340","70","156800","13904.000000000007"
"MC000241","2026-04-30","Instagram","Campaign 0241","30500","20241","1241","341","71","159111","14051.080000000002"
"MC000242","2026-05-01","Email","Campaign 0242","31000","20242","1242","342","72","161424","14198.720000000001"
"MC000243","2026-05-02","Referral","Campaign 0243","31500","20243","1243","343","73","163739","14346.920000000006"
"MC000244","2026-05-03","Organic Search","Campaign 0244","32000","20244","1244","344","74","166056","14495.680000000008"
"MC000245","2026-05-04","Google Ads","Campaign 0245","32500","20245","1245","345","75","168375","14645.000000000007"
"MC000246","2026-05-05","Instagram","Campaign 0246","33000","20246","1246","346","76","170696","14794.880000000005"
"MC000247","2026-05-06","Email","Campaign 0247","33500","20247","1247","347","77","173019","14945.320000000007"
"MC000248","2026-05-07","Referral","Campaign 0248","34000","20248","1248","348","78","175344","15096.320000000007"
"MC000249","2026-05-08","Organic Search","Campaign 0249","34500","20249","1249","349","79","177671","15247.880000000005"
"MC000250","2026-05-09","Google Ads","Campaign 0250","35000","20250","1250","350","80","180000","15400.000000000007"
"MC000251","2026-05-10","Instagram","Campaign 0251","35500","20251","1251","351","81","182331","15552.680000000008"
"MC000252","2026-05-11","Email","Campaign 0252","36000","20252","1252","352","82","184664","15705.920000000006"
"MC000253","2026-05-12","Referral","Campaign 0253","36500","20253","1253","353","83","186999","15859.720000000008"
"MC000254","2026-05-13","Organic Search","Campaign 0254","37000","20254","1254","354","84","189336","16014.080000000002"
"MC000255","2026-05-14","Google Ads","Campaign 0255","37500","20255","1255","355","85","191675","16169.000000000007"
"MC000256","2026-05-15","Instagram","Campaign 0256","38000","20256","1256","356","86","194016","16324.480000000003"
"MC000257","2026-05-16","Email","Campaign 0257","38500","20257","1257","357","87","196359","16480.520000000004"
"MC000258","2026-05-17","Referral","Campaign 0258","39000","20258","1258","358","88","198704","16637.120000000003"
"MC000259","2026-05-18","Organic Search","Campaign 0259","39500","20259","1259","359","89","201051","16794.280000000006"
"MC000260","2026-05-19","Google Ads","Campaign 0260","40000","20260","1260","360","90","203400","16952.000000000007"
"MC000261","2026-05-20","Instagram","Campaign 0261","40500","20261","1261","361","91","205751","17110.280000000006"
"MC000262","2026-05-21","Email","Campaign 0262","41000","20262","1262","362","92","208104","17269.120000000003"
"MC000263","2026-05-22","Referral","Campaign 0263","41500","20263","1263","363","93","210459","17428.520000000004"
"MC000264","2026-05-23","Organic Search","Campaign 0264","42000","20264","1264","364","94","212816","17588.480000000003"
"MC000265","2026-05-24","Google Ads","Campaign 0265","42500","20265","1265","365","95","215175","17749.000000000007"
"MC000266","2026-05-25","Instagram","Campaign 0266","43000","20266","1266","366","96","217536","17910.08000000001"
"MC000267","2026-05-26","Email","Campaign 0267","43500","20267","1267","367","97","219899","18071.72000000001"
"MC000268","2026-05-27","Referral","Campaign 0268","44000","20268","1268","368","98","222264","18233.920000000006"
"MC000269","2026-05-28","Organic Search","Campaign 0269","44500","20269","1269","369","99","224631","18396.680000000008"
"MC000270","2026-05-29","Google Ads","Campaign 0270","45000","20270","1270","370","10","22700","-38644"
"MC000271","2026-05-30","Instagram","Campaign 0271","45500","20271","1271","371","11","24981","-38505.32"
"MC000272","2026-05-31","Email","Campaign 0272","46000","20272","1272","372","12","27264","-38366.08"
"MC000273","2026-06-01","Referral","Campaign 0273","46500","20273","1273","373","13","29549","-38226.28"
