"Complaint_ID","Customer_ID","Order_ID","Complaint_Date","Category","Severity","Resolution_Date","Resolution_Status","Satisfaction_Score"
"CP0000076","C000077","O0000077","2025-11-16","Delivery","Medium","2025-11-20","Resolved","2"
"CP0000077","C000078","O0000078","2025-11-17","Refund","Medium","2025-11-22","Resolved","3"
"CP0000078","C000079","O0000079","2025-11-18","Payment","Critical","2025-11-24","Resolved","4"
"CP0000079","C000080","O0000080","2025-11-19","Delivery","Medium","2025-11-26","Resolved","5"
"CP0000080","C000081","O0000081","2025-11-20","Delivery","High","","Open",""
"CP0000081","C000082","O0000082","2025-11-21","Payment","Low","2025-11-30","Resolved","2"
"CP0000082","C000083","O0000083","2025-11-22","Payment","Low","2025-12-02","Resolved","3"
"CP0000083","C000084","O0000084","2025-11-23","Refund","High","2025-12-04","Resolved","4"
"CP0000084","C000085","O0000085","2025-11-24","Product","Low","2025-11-24","Resolved","5"
"CP0000085","C000086","O0000086","2025-11-25","Product","Critical","2025-11-26","Resolved","1"
"CP0000086","C000087","O0000087","2025-11-26","Product","Low","2025-11-28","Resolved","2"
"CP0000087","C000088","O0000088","2025-11-27","Product","High","2025-11-30","Resolved","3"
"CP0000088","C000089","O0000089","2025-11-28","Refund","Low","","Open",""
"CP0000089","C000090","O0000090","2025-11-29","Delivery","Low","2025-12-04","Resolved","5"
"CP0000090","C000091","O0000091","2025-11-30","Product","Low","2025-12-06","Resolved","1"
"CP0000091","C000092","O0000092","2025-12-01","Delivery","Medium","2025-12-08","Resolved","2"
"CP0000092","C000093","O0000093","2025-12-02","Delivery","Critical","2025-12-10","Resolved","3"
"CP0000093","C000094","O0000094","2025-12-03","Payment","Medium","2025-12-12","Resolved","4"
"CP0000094","C000095","O0000095","2025-12-04","Delivery","Critical","2025-12-14","Resolved","5"
"CP0000095","C000096","O0000096","2025-12-05","Payment","High","2025-12-16","Resolved","1"
"CP0000096","C000097","O0000097","2025-12-06","Payment","Critical","","Open",""
"CP0000097","C000098","O0000098","2025-12-07","Delivery","High","2025-12-08","Resolved","3"
"CP0000098","C000099","O0000099","2025-12-08","Product","Low","2025-12-10","Resolved","4"
"CP0000099","C000100","O0000100","2025-12-09","Support","Low","2025-12-12","Resolved","5"
"CP0000100","C000101","O0000101","2025-12-10","Refund","Critical","2025-12-14","Resolved","1"
"CP0000101","C000102","O0000102","2025-12-11","Payment","Medium","2025-12-16","Resolved","2"
"CP0000102","C000103","O0000103","2025-12-12","Delivery","Critical","2025-12-18","Resolved","3"
"CP0000103","C000104","O0000104","2025-12-13","Delivery","Low","2025-12-20","Resolved","4"
"CP0000104","C000105","O0000105","2025-12-14","Payment","Low","","Open",""
"CP0000105","C000106","O0000106","2025-12-15","Payment","Low","2025-12-24","Resolved","1"
"CP0000106","C000107","O0000107","2025-12-16","Refund","Low","2025-12-26","Resolved","2"
"CP0000107","C000108","O0000108","2025-12-17","Payment","Low","2025-12-28","Resolved","3"
"CP0000108","C000109","O0000109","2025-12-18","Support","Medium","2025-12-18","Resolved","4"
"CP0000109","C000110","O0000110","2025-12-19","Product","Critical","2025-12-20","Resolved","5"
"CP0000110","C000111","O0000111","2025-12-20","Product","High","2025-12-22","Resolved","1"
"CP0000111","C000112","O0000112","2025-12-21","Delivery","Medium","2025-12-24","Resolved","2"
"CP0000112","C000113","O0000113","2025-12-22","Product","Medium","","Open",""
"CP0000113","C000114","O0000114","2025-12-23","Product","Low","2025-12-28","Resolved","4"
"CP0000114","C000115","O0000115","2025-12-24","Product","Critical","2025-12-30","Resolved","5"
"CP0000115","C000116","O0000116","2025-12-25","Payment","High","2026-01-01","Resolved","1"
"CP0000116","C000117","O0000117","2025-12-26","Support","Medium","2026-01-03","Resolved","2"
"CP0000117","C000118","O0000118","2025-12-27","Payment","Medium","2026-01-05","Resolved","3"
"CP0000118","C000119","O0000119","2025-12-28","Delivery","Medium","2026-01-07","Resolved","4"
"CP0000119","C000120","O0000120","2025-12-29","Support","Medium","2026-01-09","Resolved","5"
"CP0000120","C000121","O0000121","2025-12-30","Refund","Low","","Open",""
"CP0000121","C000122","O0000122","2025-12-31","Refund","Medium","2026-01-01","Resolved","2"
"CP0000122","C000123","O0000123","2026-01-01","Product","Critical","2026-01-03","Resolved","3"
"CP0000123","C000124","O0000124","2026-01-02","Product","Low","2026-01-05","Resolved","4"
"CP0000124","C000125","O0000125","2026-01-03","Product","High","2026-01-07","Resolved","5"
"CP0000125","C000126","O0000126","2026-01-04","Product","High","2026-01-09","Resolved","1"
"CP0000126","C000127","O0000127","2026-01-05","Delivery","Low","2026-01-11","Resolved","2"
"CP0000127","C000128","O0000128","2026-01-06","Product","Critical","2026-01-13","Resolved","3"
"CP0000128","C000129","O0000129","2026-01-07","Delivery","Low","","Open",""
"CP0000129","C000130","O0000130","2026-01-08","Refund","Critical","2026-01-17","Resolved","5"
"CP0000130","C000131","O0000131","2026-01-09","Refund","Medium","2026-01-19","Resolved","1"
"CP0000131","C000132","O0000132","2026-01-10","Support","Critical","2026-01-21","Resolved","2"
"CP0000132","C000133","O0000133","2026-01-11","Delivery","Critical","2026-01-11","Resolved","3"
"CP0000133","C000134","O0000134","2026-01-12","Delivery","High","2026-01-13","Resolved","4"
"CP0000134","C000135","O0000135","2026-01-13","Refund","Medium","2026-01-15","Resolved","5"
"CP0000135","C000136","O0000136","2026-01-14","Support","High","2026-01-17","Resolved","1"
"CP0000136","C000137","O0000137","2026-01-15","Product","High","","Open",""
"CP0000137","C000138","O0000138","2026-01-16","Payment","Critical","2026-01-21","Resolved","3"
"CP0000138","C000139","O0000139","2026-01-17","Delivery","Low","2026-01-23","Resolved","4"
"CP0000139","C000140","O0000140","2026-01-18","Product","Critical","2026-01-25","Resolved","5"
"CP0000140","C000141","O0000141","2026-01-19","Delivery","Medium","2026-01-27","Resolved","1"
"CP0000141","C000142","O0000142","2026-01-20","Delivery","Critical","2026-01-29","Resolved","2"
"CP0000142","C000143","O0000143","2026-01-21","Support","Critical","2026-01-31","Resolved","3"
"CP0000143","C000144","O0000144","2026-01-22","Product","Low","2026-02-02","Resolved","4"
"CP0000144","C000145","O0000145","2026-01-23","Support","Medium","","Open",""
"CP0000145","C000146","O0000146","2026-01-24","Payment","High","2026-01-25","Resolved","1"
"CP0000146","C000147","O0000147","2026-01-25","Support","Medium","2026-01-27","Resolved","2"
"CP0000147","C000148","O0000148","2026-01-26","Payment","Critical","2026-01-29","Resolved","3"
"CP0000148","C000149","O0000149","2026-01-27","Product","High","2026-01-31","Resolved","4"
"CP0000149","C000150","O0000150","2026-01-28","Delivery","Medium","2026-02-02","Resolved","5"
"CP0000150","C000151","O0000151","2026-01-29","Payment","High","2026-02-04","Resolved","1"
"CP0000151","C000152","O0000152","2026-01-30","Delivery","Medium","2026-02-06","Resolved","2"
"CP0000152","C000153","O0000153","2026-01-31","Refund","Medium","","Open",""
"CP0000153","C000154","O0000154","2026-02-01","Product","Medium","2026-02-10","Resolved","4"
"CP0000154","C000155","O0000155","2026-02-02","Refund","Low","2026-02-12","Resolved","5"
"CP0000155","C000156","O0000156","2026-02-03","Delivery","High","2026-02-14","Resolved","1"
"CP0000156","C000157","O0000157","2026-02-04","Refund","Medium","2026-02-04","Resolved","2"
"CP0000157","C000158","O0000158","2026-02-05","Delivery","High","2026-02-06","Resolved","3"
"CP0000158","C000159","O0000159","2026-02-06","Support","Low","2026-02-08","Resolved","4"
"CP0000159","C000160","O0000160","2026-02-07","Delivery","High","2026-02-10","Resolved","5"
"CP0000160","C000161","O0000161","2026-02-08","Support","High","","Open",""
"CP0000161","C000162","O0000162","2026-02-09","Refund","Low","2026-02-14","Resolved","2"
"CP0000162","C000163","O0000163","2026-02-10","Payment","High","2026-02-16","Resolved","3"
"CP0000163","C000164","O0000164","2026-02-11","Product","Critical","2026-02-18","Resolved","4"
"CP0000164","C000165","O0000165","2026-02-12","Support","Low","2026-02-20","Resolved","5"
"CP0000165","C000166","O0000166","2026-02-13","Refund","Medium","2026-02-22","Resolved","1"
"CP0000166","C000167","O0000167","2026-02-14","Delivery","High","2026-02-24","Resolved","2"
"CP0000167","C000168","O0000168","2026-02-15","Refund","Medium","2026-02-26","Resolved","3"
"CP0000168","C000169","O0000169","2026-02-16","Payment","Low","","Open",""
"CP0000169","C000170","O0000170","2026-02-17","Delivery","Low","2026-02-18","Resolved","5"
"CP0000170","C000171","O0000171","2026-02-18","Delivery","Medium","2026-02-20","Resolved","1"
"CP0000171","C000172","O0000172","2026-02-19","Support","Critical","2026-02-22","Resolved","2"
"CP0000172","C000173","O0000173","2026-02-20","Product","High","2026-02-24","Resolved","3"
"CP0000173","C000174","O0000174","2026-02-21","Payment","Medium","2026-02-26","Resolved","4"
"CP0000174","C000175","O0000175","2026-02-22","Delivery","High","2026-02-28","Resolved","5"
"CP0000175","C000176","O0000176","2026-02-23","Refund","High","2026-03-02","Resolved","1"
"CP0000176","C000177","O0000177","2026-02-24","Delivery","Low","","Open",""
"CP0000177","C000178","O0000178","2026-02-25","Product","Low","2026-03-06","Resolved","3"
"CP0000178","C000179","O0000179","2026-02-26","Delivery","Medium","2026-03-08","Resolved","4"
"CP0000179","C000180","O0000180","2026-02-27","Support","Critical","2026-03-10","Resolved","5"
"CP0000180","C000181","O0000181","2026-02-28","Refund","High","2026-02-28","Resolved","1"
"CP0000181","C000182","O0000182","2026-03-01","Delivery","Critical","2026-03-02","Resolved","2"
"CP0000182","C000183","O0000183","2026-03-02","Refund","Medium","2026-03-04","Resolved","3"
"CP0000183","C000184","O0000184","2026-03-03","Support","Medium","2026-03-06","Resolved","4"
"CP0000184","C000185","O0000185","2026-03-04","Refund","Medium","","Open",""
"CP0000185","C000186","O0000186","2026-03-05","Support","Medium","2026-03-10","Resolved","1"
"CP0000186","C000187","O0000187","2026-03-06","Refund","Critical","2026-03-12","Resolved","2"
"CP0000187","C000188","O0000188","2026-03-07","Support","High","2026-03-14","Resolved","3"
"CP0000188","C000189","O0000189","2026-03-08","Support","Low","2026-03-16","Resolved","4"
"CP0000189","C000190","O0000190","2026-03-09","Payment","Low","2026-03-18","Resolved","5"
"CP0000190","C000191","O0000191","2026-03-10","Product","Critical","2026-03-20","Resolved","1"
"CP0000191","C000192","O0000192","2026-03-11","Product","Critical","2026-03-22","Resolved","2"
"CP0000192","C000193","O0000193","2026-03-12","Product","Critical","","Open",""
"CP0000193","C000194","O0000194","2026-03-13","Support","Medium","2026-03-14","Resolved","4"
"CP0000194","C000195","O0000195","2026-03-14","Product","High","2026-03-16","Resolved","5"
"CP0000195","C000196","O0000196","2026-03-15","Support","Critical","2026-03-18","Resolved","1"
"CP0000196","C000197","O0000197","2026-03-16","Payment","Critical","2026-03-20","Resolved","2"
"CP0000197","C000198","O0000198","2026-03-17","Payment","High","2026-03-22","Resolved","3"
"CP0000198","C000199","O0000199","2026-03-18","Payment","Low","2026-03-24","Resolved","4"
"CP0000199","C000200","O0000200","2026-03-19","Refund","Critical","2026-03-26","Resolved","5"
"CP0000200","C000201","O0000201","2026-03-20","Support","Low","","Open",""
"CP0000201","C000202","O0000202","2026-03-21","Support","High","2026-03-30","Resolved","2"
"CP0000202","C000203","O0000203","2026-03-22","Delivery","Medium","2026-04-01","Resolved","3"
"CP0000203","C000204","O0000204","2026-03-23","Product","Critical","2026-04-03","Resolved","4"
"CP0000204","C000205","O0000205","2026-03-24","Delivery","Medium","2026-03-24","Resolved","5"
"CP0000205","C000206","O0000206","2026-03-25","Delivery","Low","2026-03-26","Resolved","1"
"CP0000206","C000207","O0000207","2026-03-26","Refund","Low","2026-03-28","Resolved","2"
"CP0000207","C000208","O0000208","2026-03-27","Payment","Low","2026-03-30","Resolved","3"
"CP0000208","C000209","O0000209","2026-03-28","Product","Critical","","Open",""
"CP0000209","C000210","O0000210","2026-03-29","Payment","High","2026-04-03","Resolved","5"
"CP0000210","C000211","O0000211","2026-03-30","Payment","High","2026-04-05","Resolved","1"
"CP0000211","C000212","O0000212","2026-03-31","Support","High","2026-04-07","Resolved","2"
"CP0000212","C000213","O0000213","2026-04-01","Payment","Critical","2026-04-09","Resolved","3"
"CP0000213","C000214","O0000214","2026-04-02","Refund","High","2026-04-11","Resolved","4"
"CP0000214","C000215","O0000215","2026-04-03","Product","High","2026-04-13","Resolved","5"
"CP0000215","C000216","O0000216","2026-04-04","Delivery","Low","2026-04-15","Resolved","1"
"CP0000216","C000217","O0000217","2026-04-05","Payment","Low","","Open",""
"CP0000217","C000218","O0000218","2026-04-06","Delivery","Medium","2026-04-07","Resolved","3"
"CP0000218","C000219","O0000219","2026-04-07","Payment","Critical","2026-04-09","Resolved","4"
"CP0000219","C000220","O0000220","2026-04-08","Delivery","Low","2026-04-11","Resolved","5"
"CP0000220","C000221","O0000221","2026-04-09","Payment","High","2026-04-13","Resolved","1"
"CP0000221","C000222","O0000222","2026-04-10","Support","High","2026-04-15","Resolved","2"
"CP0000222","C000223","O0000223","2026-04-11","Product","Critical","2026-04-17","Resolved","3"
"CP0000223","C000224","O0000224","2026-04-12","Payment","Critical","2026-04-19","Resolved","4"
"CP0000224","C000225","O0000225","2026-04-13","Support","Critical","","Open",""
"CP0000225","C000226","O0000226","2026-04-14","Support","Low","2026-04-23","Resolved","1"
"CP0000226","C000227","O0000227","2026-04-15","Product","Critical","2026-04-25","Resolved","2"
"CP0000227","C000228","O0000228","2026-04-16","Payment","Medium","2026-04-27","Resolved","3"
"CP0000228","C000229","O0000229","2026-04-17","Product","Medium","2026-04-17","Resolved","4"
"CP0000229","C000230","O0000230","2026-04-18","Payment","Critical","2026-04-19","Resolved","5"
"CP0000230","C000231","O0000231","2026-04-19","Support","Medium","2026-04-21","Resolved","1"
"CP0000231","C000232","O0000232","2026-04-20","Product","Low","2026-04-23","Resolved","2"
"CP0000232","C000233","O0000233","2026-04-21","Delivery","Medium","","Open",""
"CP0000233","C000234","O0000234","2026-04-22","Payment","High","2026-04-27","Resolved","4"
"CP0000234","C000235","O0000235","2026-04-23","Product","High","2026-04-29","Resolved","5"
"CP0000235","C000236","O0000236","2026-04-24","Delivery","Medium","2026-05-01","Resolved","1"
"CP0000236","C000237","O0000237","2026-04-25","Support","Low","2026-05-03","Resolved","2"
"CP0000237","C000238","O0000238","2026-04-26","Product","Low","2026-05-05","Resolved","3"
"CP0000238","C000239","O0000239","2026-04-27","Delivery","High","2026-05-07","Resolved","4"
"CP0000239","C000240","O0000240","2026-04-28","Refund","Critical","2026-05-09","Resolved","5"
"CP0000240","C000241","O0000241","2026-04-29","Support","Critical","","Open",""
"CP0000241","C000242","O0000242","2026-04-30","Product","Low","2026-05-01","Resolved","2"
"CP0000242","C000243","O0000243","2026-05-01","Support","Medium","2026-05-03","Resolved","3"
"CP0000243","C000244","O0000244","2026-05-02","Product","Low","2026-05-05","Resolved","4"
"CP0000244","C000245","O0000245","2026-05-03","Refund","Critical","2026-05-07","Resolved","5"
"CP0000245","C000246","O0000246","2026-05-04","Payment","Medium","2026-05-09","Resolved","1"
"CP0000246","C000247","O0000247","2026-05-05","Delivery","Critical","2026-05-11","Resolved","2"
"CP0000247","C000248","O0000248","2026-05-06","Delivery","Medium","2026-05-13","Resolved","3"
"CP0000248","C000249","O0000249","2026-05-07","Payment","Medium","","Open",""
"CP0000249","C000250","O0000250","2026-05-08","Support","Critical","2026-05-17","Resolved","5"
"CP0000250","C000251","O0000251","2026-05-09","Product","High","2026-05-19","Resolved","1"
"CP0000251","C000252","O0000252","2026-05-10","Product","Medium","2026-05-21","Resolved","2"
"CP0000252","C000253","O0000253","2026-05-11","Payment","High","2026-05-11","Resolved","3"
"CP0000253","C000254","O0000254","2026-05-12","Delivery","Medium","2026-05-13","Resolved","4"
"CP0000254","C000255","O0000255","2026-05-13","Delivery","Critical","2026-05-15","Resolved","5"
"CP0000255","C000256","O0000256","2026-05-14","Payment","Critical","2026-05-17","Resolved","1"
"CP0000256","C000257","O0000257","2026-05-15","Refund","Critical","","Open",""
"CP0000257","C000258","O0000258","2026-05-16","Refund","Low","2026-05-21","Resolved","3"
"CP0000258","C000259","O0000259","2026-05-17","Refund","Medium","2026-05-23","Resolved","4"
"CP0000259","C000260","O0000260","2026-05-18","Refund","Low","2026-05-25","Resolved","5"
"CP0000260","C000261","O0000261","2026-05-19","Delivery","Critical","2026-05-27","Resolved","1"
"CP0000261","C000262","O0000262","2026-05-20","Delivery","Low","2026-05-29","Resolved","2"
"CP0000262","C000263","O0000263","2026-05-21","Support","Medium","2026-05-31","Resolved","3"
"CP0000263","C000264","O0000264","2026-05-22","Delivery","Medium","2026-06-02","Resolved","4"
"CP0000264","C000265","O0000265","2026-05-23","Support","High","","Open",""
"CP0000265","C000266","O0000266","2026-05-24","Support","Critical","2026-05-25","Resolved","1"
"CP0000266","C000267","O0000267","2026-05-25","Support","Low","2026-05-27","Resolved","2"
"CP0000267","C000268","O0000268","2026-05-26","Support","Medium","2026-05-29","Resolved","3"
"CP0000268","C000269","O0000269","2026-05-27","Refund","Low","2026-05-31","Resolved","4"
"CP0000269","C000270","O0000270","2026-05-28","Support","High","2026-06-02","Resolved","5"
"CP0000270","C000271","O0000271","2026-05-29","Refund","Critical","2026-06-04","Resolved","1"
"CP0000271","C000272","O0000272","2026-05-30","Product","High","2026-06-06","Resolved","2"
"CP0000272","C000273","O0000273","2026-05-31","Product","Low","","Open",""
"CP0000273","C000274","O0000274","2026-06-01","Delivery","High","2026-06-10","Resolved","4"
"CP0000274","C000275","O0000275","2026-06-02","Product","Medium","2026-06-12","Resolved","5"
"CP0000275","C000276","O0000276","2026-06-03","Delivery","Medium","2026-06-14","Resolved","1"
"CP0000276","C000277","O0000277","2026-06-04","Support","Critical","2026-06-04","Resolved","2"
"CP0000277","C000278","O0000278","2026-06-05","Product","Critical","2026-06-06","Resolved","3"
"CP0000278","C000279","O0000279","2026-06-06","Payment","Medium","2026-06-08","Resolved","4"
"CP0000279","C000280","O0000280","2026-06-07","Refund","High","2026-06-10","Resolved","5"
"CP0000280","C000281","O0000281","2026-06-08","Product","High","","Open",""
"CP0000281","C000282","O0000282","2026-06-09","Support","Medium","2026-06-14","Resolved","2"
"CP0000282","C000283","O0000283","2026-06-10","Support","Critical","2026-06-16","Resolved","3"
"CP0000283","C000284","O0000284","2026-06-11","Delivery","Low","2026-06-18","Resolved","4"
"CP0000284","C000285","O0000285","2026-06-12","Refund","Low","2026-06-20","Resolved","5"
"CP0000285","C000286","O0000286","2026-06-13","Delivery","Medium","2026-06-22","Resolved","1"
"CP0000286","C000287","O0000287","2026-06-14","Refund","Medium","2026-06-24","Resolved","2"
"CP0000287","C000288","O0000288","2026-06-15","Refund","Critical","2026-06-26","Resolved","3"
"CP0000288","C000289","O0000289","2026-06-16","Delivery","Low","","Open",""
"CP0000289","C000290","O0000290","2026-06-17","Delivery","Medium","2026-06-18","Resolved","5"
"CP0000290","C000291","O0000291","2026-06-18","Support","Medium","2026-06-20","Resolved","1"
"CP0000291","C000292","O0000292","2026-06-19","Delivery","High","2026-06-22","Resolved","2"
"CP0000292","C000293","O0000293","2026-06-20","Delivery","Low","2026-06-24","Resolved","3"
"CP0000293","C000294","O0000294","2026-06-21","Support","High","2026-06-26","Resolved","4"
"CP0000294","C000295","O0000295","2026-06-22","Payment","Medium","2026-06-28","Resolved","5"
"CP0000295","C000296","O0000296","2026-06-23","Support","High","2026-06-30","Resolved","1"
"CP0000296","C000297","O0000297","2026-06-24","Refund","High","","Open",""
"CP0000297","C000298","O0000298","2026-06-25","Delivery","High","2026-07-04","Resolved","3"
"CP0000298","C000299","O0000299","2026-06-26","Support","Medium","2026-07-06","Resolved","4"
"CP0000299","C000300","O0000300","2026-06-27","Product","Low","2026-07-08","Resolved","5"
"CP0000300","C000301","O0000301","2026-06-28","Support","Medium","2026-06-28","Resolved","1"
"CP0000301","C000302","O0000302","2026-06-29","Product","High","2026-06-30","Resolved","2"
"CP0000302","C000303","O0000303","2026-06-30","Refund","Low","2026-07-02","Resolved","3"
"CP0000303","C000304","O0000304","2026-07-01","Refund","Low","2026-07-04","Resolved","4"
"CP0000304","C000305","O0000305","2026-07-02","Delivery","High","","Open",""
"CP0000305","C000306","O0000306","2026-07-03","Delivery","Low","2026-07-08","Resolved","1"
"CP0000306","C000307","O0000307","2026-07-04","Product","Critical","2026-07-10","Resolved","2"
"CP0000307","C000308","O0000308","2026-07-05","Refund","Medium","2026-07-12","Resolved","3"
"CP0000308","C000309","O0000309","2026-07-06","Product","Medium","2026-07-14","Resolved","4"
"CP0000309","C000310","O0000310","2026-07-07","Refund","Medium","2026-07-16","Resolved","5"
"CP0000310","C000311","O0000311","2026-07-08","Product","Low","2026-07-18","Resolved","1"
"CP0000311","C000312","O0000312","2026-07-09","Payment","Medium","2026-07-20","Resolved","2"
"CP0000312","C000313","O0000313","2026-07-10","Delivery","High","","Open",""
"CP0000313","C000314","O0000314","2026-07-11","Payment","Critical","2026-07-12","Resolved","4"
"CP0000314","C000315","O0000315","2026-07-12","Product","Low","2026-07-14","Resolved","5"
"CP0000315","C000316","O0000316","2026-07-13","Support","Medium","2026-07-16","Resolved","1"
