"Payment_ID","Invoice_ID","Customer_ID","Payment_Date","Payment_Method","Payment_Amount","Payment_Fee","Payment_Status"
"PAY0000066","INV0000066","C000067","2025-11-26","UPI","11222.00","202.00","Successful"
"PAY0000067","INV0000067","C000068","2025-11-27","Wallet","11339.00","204.10","Successful"
"PAY0000068","INV0000068","C000069","2025-11-28","Card","11456.00","206.21","Failed"
"PAY0000069","INV0000069","C000070","2025-11-29","Wallet","11573.00","208.31","Successful"
"PAY0000070","INV0000070","C000071","2025-11-30","UPI","11690.00","210.42","Successful"
"PAY0000071","INV0000071","C000072","2025-12-01","UPI","11807.00","212.53","Successful"
"PAY0000072","INV0000072","C000073","2025-12-02","Card","11924.00","214.63","Successful"
"PAY0000073","INV0000073","C000074","2025-12-03","UPI","12041.00","216.74","Successful"
"PAY0000074","INV0000074","C000075","2025-12-04","Card","12158.00","218.84","Successful"
"PAY0000075","INV0000075","C000076","2025-12-05","UPI","12275.00","220.95","Successful"
"PAY0000076","INV0000076","C000077","2025-12-06","UPI","12392.00","223.06","Successful"
"PAY0000077","INV0000077","C000078","2025-12-07","UPI","12509.00","225.16","Successful"
"PAY0000078","INV0000078","C000079","2025-12-08","Card","12626.00","227.27","Successful"
"PAY0000079","INV0000079","C000080","2025-12-09","UPI","12743.00","229.37","Successful"
"PAY0000080","INV0000080","C000081","2025-12-10","Wallet","12860.00","231.48","Successful"
"PAY0000081","INV0000081","C000082","2025-12-11","UPI","12977.00","233.59","Successful"
"PAY0000082","INV0000082","C000083","2025-12-12","Card","13094.00","235.69","Successful"
"PAY0000083","INV0000083","C000084","2025-12-13","Card","13211.00","237.80","Successful"
"PAY0000084","INV0000084","C000085","2025-12-14","Card","13328.00","239.90","Successful"
"PAY0000085","INV0000085","C000086","2025-12-15","Wallet","13445.00","242.01","Failed"
"PAY0000086","INV0000086","C000087","2025-12-16","Wallet","13562.00","244.12","Successful"
"PAY0000087","INV0000087","C000088","2025-12-17","Wallet","13679.00","246.22","Successful"
"PAY0000088","INV0000088","C000089","2025-12-18","UPI","13796.00","248.33","Successful"
"PAY0000089","INV0000089","C000090","2025-12-19","Card","13913.00","250.43","Successful"
"PAY0000090","INV0000090","C000091","2025-12-20","Card","14030.00","252.54","Successful"
"PAY0000091","INV0000091","C000092","2025-12-21","Wallet","14147.00","254.65","Successful"
"PAY0000092","INV0000092","C000093","2025-12-22","Bank Transfer","14264.00","256.75","Successful"
"PAY0000093","INV0000093","C000094","2025-12-23","Bank Transfer","14381.00","258.86","Successful"
"PAY0000094","INV0000094","C000095","2025-12-24","UPI","14498.00","260.96","Successful"
"PAY0000095","INV0000095","C000096","2025-12-25","Card","14615.00","263.07","Successful"
"PAY0000096","INV0000096","C000097","2025-12-26","Bank Transfer","14732.00","265.18","Successful"
"PAY0000097","INV0000097","C000098","2025-12-27","Card","14849.00","267.28","Successful"
"PAY0000098","INV0000098","C000099","2025-12-28","Card","14966.00","269.39","Successful"
"PAY0000099","INV0000099","C000100","2025-12-29","Bank Transfer","15083.00","271.49","Successful"
"PAY0000100","INV0000100","C000101","2025-12-30","Card","15200.00","273.60","Successful"
"PAY0000101","INV0000101","C000102","2025-12-31","Wallet","15317.00","275.71","Successful"
"PAY0000102","INV0000102","C000103","2026-01-01","Bank Transfer","15434.00","277.81","Failed"
"PAY0000103","INV0000103","C000104","2026-01-02","Bank Transfer","15551.00","279.92","Successful"
"PAY0000104","INV0000104","C000105","2026-01-03","Card","15668.00","282.02","Successful"
"PAY0000105","INV0000105","C000106","2026-01-04","Card","15785.00","284.13","Successful"
"PAY0000106","INV0000106","C000107","2026-01-05","Card","15902.00","286.24","Successful"
"PAY0000107","INV0000107","C000108","2026-01-06","Card","16019.00","288.34","Successful"
"PAY0000108","INV0000108","C000109","2026-01-07","UPI","16136.00","290.45","Successful"
"PAY0000109","INV0000109","C000110","2026-01-08","UPI","16253.00","292.55","Successful"
"PAY0000110","INV0000110","C000111","2026-01-09","Card","16370.00","294.66","Successful"
"PAY0000111","INV0000111","C000112","2026-01-10","UPI","16487.00","296.77","Successful"
"PAY0000112","INV0000112","C000113","2026-01-11","Bank Transfer","16604.00","298.87","Successful"
"PAY0000113","INV0000113","C000114","2026-01-12","Card","16721.00","300.98","Successful"
"PAY0000114","INV0000114","C000115","2026-01-13","UPI","16838.00","303.08","Successful"
"PAY0000115","INV0000115","C000116","2026-01-14","Bank Transfer","16955.00","305.19","Successful"
"PAY0000116","INV0000116","C000117","2026-01-15","Wallet","17072.00","307.30","Successful"
"PAY0000117","INV0000117","C000118","2026-01-16","UPI","17189.00","309.40","Successful"
"PAY0000118","INV0000118","C000119","2026-01-17","Bank Transfer","17306.00","311.51","Successful"
"PAY0000119","INV0000119","C000120","2026-01-18","Bank Transfer","17423.00","313.61","Failed"
"PAY0000120","INV0000120","C000121","2026-01-19","Card","17540.00","315.72","Successful"
"PAY0000121","INV0000121","C000122","2026-01-20","Bank Transfer","17657.00","317.83","Successful"
"PAY0000122","INV0000122","C000123","2026-01-21","Wallet","17774.00","319.93","Successful"
"PAY0000123","INV0000123","C000124","2026-01-22","Bank Transfer","17891.00","322.04","Successful"
"PAY0000124","INV0000124","C000125","2026-01-23","Wallet","18008.00","324.14","Successful"
"PAY0000125","INV0000125","C000126","2026-01-24","UPI","18125.00","326.25","Successful"
"PAY0000126","INV0000126","C000127","2026-01-25","Wallet","18242.00","328.36","Successful"
"PAY0000127","INV0000127","C000128","2026-01-26","UPI","18359.00","330.46","Successful"
"PAY0000128","INV0000128","C000129","2026-01-27","UPI","18476.00","332.57","Successful"
"PAY0000129","INV0000129","C000130","2026-01-28","Card","18593.00","334.67","Successful"
"PAY0000130","INV0000130","C000131","2026-01-29","Wallet","18710.00","336.78","Successful"
"PAY0000131","INV0000131","C000132","2026-01-30","Card","18827.00","338.89","Successful"
"PAY0000132","INV0000132","C000133","2026-01-31","Bank Transfer","18944.00","340.99","Successful"
"PAY0000133","INV0000133","C000134","2026-02-01","Wallet","19061.00","343.10","Successful"
"PAY0000134","INV0000134","C000135","2026-02-02","Bank Transfer","19178.00","345.20","Successful"
"PAY0000135","INV0000135","C000136","2026-02-03","Card","19295.00","347.31","Successful"
"PAY0000136","INV0000136","C000137","2026-02-04","UPI","19412.00","349.42","Failed"
"PAY0000137","INV0000137","C000138","2026-02-05","Card","19529.00","351.52","Successful"
"PAY0000138","INV0000138","C000139","2026-02-06","UPI","19646.00","353.63","Successful"
"PAY0000139","INV0000139","C000140","2026-02-07","Wallet","19763.00","355.73","Successful"
"PAY0000140","INV0000140","C000141","2026-02-08","Wallet","19880.00","357.84","Successful"
"PAY0000141","INV0000141","C000142","2026-02-09","UPI","19997.00","359.95","Successful"
"PAY0000142","INV0000142","C000143","2026-02-10","Card","20114.00","362.05","Successful"
"PAY0000143","INV0000143","C000144","2026-02-11","Bank Transfer","20231.00","364.16","Successful"
"PAY0000144","INV0000144","C000145","2026-02-12","Card","20348.00","366.26","Successful"
"PAY0000145","INV0000145","C000146","2026-02-13","Card","20465.00","368.37","Successful"
"PAY0000146","INV0000146","C000147","2026-02-14","Card","20582.00","370.48","Successful"
"PAY0000147","INV0000147","C000148","2026-02-15","Wallet","20699.00","372.58","Successful"
"PAY0000148","INV0000148","C000149","2026-02-16","Bank Transfer","20816.00","374.69","Successful"
"PAY0000149","INV0000149","C000150","2026-02-17","UPI","20933.00","376.79","Successful"
"PAY0000150","INV0000150","C000151","2026-02-18","Card","21050.00","378.90","Successful"
"PAY0000151","INV0000151","C000152","2026-02-19","Bank Transfer","21167.00","381.01","Successful"
"PAY0000152","INV0000152","C000153","2026-02-20","UPI","21284.00","383.11","Successful"
"PAY0000153","INV0000153","C000154","2026-02-21","Bank Transfer","21401.00","385.22","Failed"
"PAY0000154","INV0000154","C000155","2026-02-22","Wallet","21518.00","387.32","Successful"
"PAY0000155","INV0000155","C000156","2026-02-23","Bank Transfer","21635.00","389.43","Successful"
"PAY0000156","INV0000156","C000157","2026-02-24","Card","21752.00","391.54","Successful"
"PAY0000157","INV0000157","C000158","2026-02-25","UPI","21869.00","393.64","Successful"
"PAY0000158","INV0000158","C000159","2026-02-26","Wallet","21986.00","395.75","Successful"
"PAY0000159","INV0000159","C000160","2026-02-27","Wallet","22103.00","397.85","Successful"
"PAY0000160","INV0000160","C000161","2026-02-28","Bank Transfer","22220.00","399.96","Successful"
"PAY0000161","INV0000161","C000162","2026-03-01","UPI","22337.00","402.07","Successful"
"PAY0000162","INV0000162","C000163","2026-03-02","Wallet","22454.00","404.17","Successful"
"PAY0000163","INV0000163","C000164","2026-03-03","Bank Transfer","22571.00","406.28","Successful"
"PAY0000164","INV0000164","C000165","2026-03-04","Card","22688.00","408.38","Successful"
"PAY0000165","INV0000165","C000166","2026-03-05","Wallet","22805.00","410.49","Successful"
"PAY0000166","INV0000166","C000167","2026-03-06","Bank Transfer","22922.00","412.60","Successful"
"PAY0000167","INV0000167","C000168","2026-03-07","Bank Transfer","23039.00","414.70","Successful"
"PAY0000168","INV0000168","C000169","2026-03-08","Wallet","23156.00","416.81","Successful"
"PAY0000169","INV0000169","C000170","2026-03-09","UPI","23273.00","418.91","Successful"
"PAY0000170","INV0000170","C000171","2026-03-10","Card","23390.00","421.02","Failed"
"PAY0000171","INV0000171","C000172","2026-03-11","Bank Transfer","23507.00","423.13","Successful"
"PAY0000172","INV0000172","C000173","2026-03-12","UPI","23624.00","425.23","Successful"
"PAY0000173","INV0000173","C000174","2026-03-13","UPI","23741.00","427.34","Successful"
"PAY0000174","INV0000174","C000175","2026-03-14","Card","23858.00","429.44","Successful"
"PAY0000175","INV0000175","C000176","2026-03-15","Card","23975.00","431.55","Successful"
"PAY0000176","INV0000176","C000177","2026-03-16","Bank Transfer","24092.00","433.66","Successful"
"PAY0000177","INV0000177","C000178","2026-03-17","Bank Transfer","24209.00","435.76","Successful"
"PAY0000178","INV0000178","C000179","2026-03-18","Bank Transfer","24326.00","437.87","Successful"
"PAY0000179","INV0000179","C000180","2026-03-19","Bank Transfer","24443.00","439.97","Successful"
"PAY0000180","INV0000180","C000181","2026-03-20","Bank Transfer","24560.00","442.08","Successful"
"PAY0000181","INV0000181","C000182","2026-03-21","Card","24677.00","444.19","Successful"
"PAY0000182","INV0000182","C000183","2026-03-22","Card","24794.00","446.29","Successful"
"PAY0000183","INV0000183","C000184","2026-03-23","UPI","24911.00","448.40","Successful"
"PAY0000184","INV0000184","C000185","2026-03-24","Wallet","25028.00","450.50","Successful"
"PAY0000185","INV0000185","C000186","2026-03-25","UPI","25145.00","452.61","Successful"
"PAY0000186","INV0000186","C000187","2026-03-26","Card","25262.00","454.72","Successful"
"PAY0000187","INV0000187","C000188","2026-03-27","Wallet","25379.00","456.82","Failed"
"PAY0000188","INV0000188","C000189","2026-03-28","Bank Transfer","25496.00","458.93","Successful"
"PAY0000189","INV0000189","C000190","2026-03-29","Bank Transfer","25613.00","461.03","Successful"
"PAY0000190","INV0000190","C000191","2026-03-30","Wallet","25730.00","463.14","Successful"
"PAY0000191","INV0000191","C000192","2026-03-31","Card","25847.00","465.25","Successful"
"PAY0000192","INV0000192","C000193","2026-04-01","Bank Transfer","25964.00","467.35","Successful"
"PAY0000193","INV0000193","C000194","2026-04-02","Bank Transfer","26081.00","469.46","Successful"
"PAY0000194","INV0000194","C000195","2026-04-03","Wallet","26198.00","471.56","Successful"
"PAY0000195","INV0000195","C000196","2026-04-04","Bank Transfer","26315.00","473.67","Successful"
"PAY0000196","INV0000196","C000197","2026-04-05","Card","26432.00","475.78","Successful"
"PAY0000197","INV0000197","C000198","2026-04-06","Wallet","26549.00","477.88","Successful"
"PAY0000198","INV0000198","C000199","2026-04-07","Wallet","26666.00","479.99","Successful"
"PAY0000199","INV0000199","C000200","2026-04-08","UPI","26783.00","482.09","Successful"
"PAY0000200","INV0000200","C000201","2026-04-09","Wallet","3500.00","63.00","Successful"
"PAY0000201","INV0000201","C000202","2026-04-10","Card","3617.00","65.11","Successful"
"PAY0000202","INV0000202","C000203","2026-04-11","Card","3734.00","67.21","Successful"
"PAY0000203","INV0000203","C000204","2026-04-12","UPI","3851.00","69.32","Successful"
"PAY0000204","INV0000204","C000205","2026-04-13","Bank Transfer","3968.00","71.42","Failed"
"PAY0000205","INV0000205","C000206","2026-04-14","UPI","4085.00","73.53","Successful"
"PAY0000206","INV0000206","C000207","2026-04-15","Wallet","4202.00","75.64","Successful"
"PAY0000207","INV0000207","C000208","2026-04-16","Bank Transfer","4319.00","77.74","Successful"
"PAY0000208","INV0000208","C000209","2026-04-17","Wallet","4436.00","79.85","Successful"
"PAY0000209","INV0000209","C000210","2026-04-18","Card","4553.00","81.95","Successful"
"PAY0000210","INV0000210","C000211","2026-04-19","UPI","4670.00","84.06","Successful"
"PAY0000211","INV0000211","C000212","2026-04-20","Bank Transfer","4787.00","86.17","Successful"
"PAY0000212","INV0000212","C000213","2026-04-21","Card","4904.00","88.27","Successful"
"PAY0000213","INV0000213","C000214","2026-04-22","Bank Transfer","5021.00","90.38","Successful"
"PAY0000214","INV0000214","C000215","2026-04-23","UPI","5138.00","92.48","Successful"
"PAY0000215","INV0000215","C000216","2026-04-24","Card","5255.00","94.59","Successful"
"PAY0000216","INV0000216","C000217","2026-04-25","Card","5372.00","96.70","Successful"
"PAY0000217","INV0000217","C000218","2026-04-26","Card","5489.00","98.80","Successful"
"PAY0000218","INV0000218","C000219","2026-04-27","UPI","5606.00","100.91","Successful"
"PAY0000219","INV0000219","C000220","2026-04-28","Card","5723.00","103.01","Successful"
"PAY0000220","INV0000220","C000221","2026-04-29","Wallet","5840.00","105.12","Successful"
"PAY0000221","INV0000221","C000222","2026-04-30","UPI","5957.00","107.23","Failed"
"PAY0000222","INV0000222","C000223","2026-05-01","Bank Transfer","6074.00","109.33","Successful"
"PAY0000223","INV0000223","C000224","2026-05-02","UPI","6191.00","111.44","Successful"
"PAY0000224","INV0000224","C000225","2026-05-03","Card","6308.00","113.54","Successful"
"PAY0000225","INV0000225","C000226","2026-05-04","Card","6425.00","115.65","Successful"
"PAY0000226","INV0000226","C000227","2026-05-05","Card","6542.00","117.76","Successful"
"PAY0000227","INV0000227","C000228","2026-05-06","Wallet","6659.00","119.86","Successful"
"PAY0000228","INV0000228","C000229","2026-05-07","Bank Transfer","6776.00","121.97","Successful"
"PAY0000229","INV0000229","C000230","2026-05-08","Card","6893.00","124.07","Successful"
"PAY0000230","INV0000230","C000231","2026-05-09","UPI","7010.00","126.18","Successful"
"PAY0000231","INV0000231","C000232","2026-05-10","Bank Transfer","7127.00","128.29","Successful"
"PAY0000232","INV0000232","C000233","2026-05-11","UPI","7244.00","130.39","Successful"
"PAY0000233","INV0000233","C000234","2026-05-12","Bank Transfer","7361.00","132.50","Successful"
"PAY0000234","INV0000234","C000235","2026-05-13","Card","7478.00","134.60","Successful"
"PAY0000235","INV0000235","C000236","2026-05-14","Card","7595.00","136.71","Successful"
"PAY0000236","INV0000236","C000237","2026-05-15","Bank Transfer","7712.00","138.82","Successful"
"PAY0000237","INV0000237","C000238","2026-05-16","UPI","7829.00","140.92","Successful"
"PAY0000238","INV0000238","C000239","2026-05-17","Card","7946.00","143.03","Failed"
"PAY0000239","INV0000239","C000240","2026-05-18","Bank Transfer","8063.00","145.13","Successful"
"PAY0000240","INV0000240","C000241","2026-05-19","Wallet","8180.00","147.24","Successful"
"PAY0000241","INV0000241","C000242","2026-05-20","Card","8297.00","149.35","Successful"
"PAY0000242","INV0000242","C000243","2026-05-21","Bank Transfer","8414.00","151.45","Successful"
"PAY0000243","INV0000243","C000244","2026-05-22","Wallet","8531.00","153.56","Successful"
"PAY0000244","INV0000244","C000245","2026-05-23","Card","8648.00","155.66","Successful"
"PAY0000245","INV0000245","C000246","2026-05-24","Wallet","8765.00","157.77","Successful"
"PAY0000246","INV0000246","C000247","2026-05-25","Bank Transfer","8882.00","159.88","Successful"
"PAY0000247","INV0000247","C000248","2026-05-26","Wallet","8999.00","161.98","Successful"
"PAY0000248","INV0000248","C000249","2026-05-27","Wallet","9116.00","164.09","Successful"
"PAY0000249","INV0000249","C000250","2026-05-28","Bank Transfer","9233.00","166.19","Successful"
"PAY0000250","INV0000250","C000251","2026-05-29","Bank Transfer","9350.00","168.30","Successful"
"PAY0000251","INV0000251","C000252","2026-05-30","Wallet","9467.00","170.41","Successful"
"PAY0000252","INV0000252","C000253","2026-05-31","Bank Transfer","9584.00","172.51","Successful"
"PAY0000253","INV0000253","C000254","2026-06-01","UPI","9701.00","174.62","Successful"
"PAY0000254","INV0000254","C000255","2026-06-02","Bank Transfer","9818.00","176.72","Successful"
"PAY0000255","INV0000255","C000256","2026-06-03","Bank Transfer","9935.00","178.83","Failed"
"PAY0000256","INV0000256","C000257","2026-06-04","Bank Transfer","10052.00","180.94","Successful"
"PAY0000257","INV0000257","C000258","2026-06-05","Bank Transfer","10169.00","183.04","Successful"
"PAY0000258","INV0000258","C000259","2026-06-06","Bank Transfer","10286.00","185.15","Successful"
"PAY0000259","INV0000259","C000260","2026-06-07","Wallet","10403.00","187.25","Successful"
"PAY0000260","INV0000260","C000261","2026-06-08","Bank Transfer","10520.00","189.36","Successful"
"PAY0000261","INV0000261","C000262","2026-06-09","Card","10637.00","191.47","Successful"
"PAY0000262","INV0000262","C000263","2026-06-10","Bank Transfer","10754.00","193.57","Successful"
"PAY0000263","INV0000263","C000264","2026-06-11","Bank Transfer","10871.00","195.68","Successful"
"PAY0000264","INV0000264","C000265","2026-06-12","Bank Transfer","10988.00","197.78","Successful"
"PAY0000265","INV0000265","C000266","2026-06-13","UPI","11105.00","199.89","Successful"
"PAY0000266","INV0000266","C000267","2026-06-14","Wallet","11222.00","202.00","Successful"
"PAY0000267","INV0000267","C000268","2026-06-15","Card","11339.00","204.10","Successful"
"PAY0000268","INV0000268","C000269","2026-06-16","Card","11456.00","206.21","Successful"
"PAY0000269","INV0000269","C000270","2026-06-17","Bank Transfer","11573.00","208.31","Successful"
"PAY0000270","INV0000270","C000271","2026-06-18","UPI","11690.00","210.42","Successful"
"PAY0000271","INV0000271","C000272","2026-06-19","Bank Transfer","11807.00","212.53","Successful"
"PAY0000272","INV0000272","C000273","2026-06-20","Card","11924.00","214.63","Failed"
"PAY0000273","INV0000273","C000274","2026-06-21","Card","12041.00","216.74","Successful"
"PAY0000274","INV0000274","C000275","2026-06-22","Wallet","12158.00","218.84","Successful"
"PAY0000275","INV0000275","C000276","2026-06-23","Card","12275.00","220.95","Successful"
"PAY0000276","INV0000276","C000277","2026-06-24","UPI","12392.00","223.06","Successful"
"PAY0000277","INV0000277","C000278","2026-06-25","Card","12509.00","225.16","Successful"
"PAY0000278","INV0000278","C000279","2026-06-26","Card","12626.00","227.27","Successful"
"PAY0000279","INV0000279","C000280","2026-06-27","Wallet","12743.00","229.37","Successful"
"PAY0000280","INV0000280","C000281","2026-06-28","Card","12860.00","231.48","Successful"
"PAY0000281","INV0000281","C000282","2026-06-29","Card","12977.00","233.59","Successful"
"PAY0000282","INV0000282","C000283","2026-06-30","UPI","13094.00","235.69","Successful"
"PAY0000283","INV0000283","C000284","2026-07-01","Bank Transfer","13211.00","237.80","Successful"
"PAY0000284","INV0000284","C000285","2026-07-02","Card","13328.00","239.90","Successful"
"PAY0000285","INV0000285","C000286","2026-07-03","Card","13445.00","242.01","Successful"
"PAY0000286","INV0000286","C000287","2026-07-04","Wallet","13562.00","244.12","Successful"
"PAY0000287","INV0000287","C000288","2026-07-05","Bank Transfer","13679.00","246.22","Successful"
"PAY0000288","INV0000288","C000289","2026-07-06","UPI","13796.00","248.33","Successful"
"PAY0000289","INV0000289","C000290","2026-07-07","Card","13913.00","250.43","Failed"
"PAY0000290","INV0000290","C000291","2026-07-08","UPI","14030.00","252.54","Successful"
"PAY0000291","INV0000291","C000292","2026-07-09","Card","14147.00","254.65","Successful"
"PAY0000292","INV0000292","C000293","2026-07-10","Card","14264.00","256.75","Successful"
"PAY0000293","INV0000293","C000294","2026-07-11","Wallet","14381.00","258.86","Successful"
"PAY0000294","INV0000294","C000295","2026-07-12","UPI","14498.00","260.96","Successful"
"PAY0000295","INV0000295","C000296","2026-07-13","Card","14615.00","263.07","Successful"
"PAY0000296","INV0000296","C000297","2026-07-14","Wallet","14732.00","265.18","Successful"
"PAY0000297","INV0000297","C000298","2026-07-15","Bank Transfer","14849.00","267.28","Successful"
"PAY0000298","INV0000298","C000299","2026-07-16","Wallet","14966.00","269.39","Successful"
"PAY0000299","INV0000299","C000300","2026-07-17","Card","15083.00","271.49","Successful"
"PAY0000300","INV0000300","C000301","2026-07-18","Bank Transfer","15200.00","273.60","Successful"
"PAY0000301","INV0000301","C000302","2026-07-19","Bank Transfer","15317.00","275.71","Successful"
"PAY0000302","INV0000302","C000303","2026-07-20","Wallet","15434.00","277.81","Successful"
"PAY0000303","INV0000303","C000304","2026-07-21","Card","15551.00","279.92","Successful"
"PAY0000304","INV0000304","C000305","2026-07-22","Wallet","15668.00","282.02","Successful"
"PAY0000305","INV0000305","C000306","2026-07-23","Wallet","15785.00","284.13","Successful"
"PAY0000306","INV0000306","C000307","2026-07-24","Bank Transfer","15902.00","286.24","Failed"
"PAY0000307","INV0000307","C000308","2026-07-25","Wallet","16019.00","288.34","Successful"
"PAY0000308","INV0000308","C000309","2026-07-26","Wallet","16136.00","290.45","Successful"
"PAY0000309","INV0000309","C000310","2026-07-27","Wallet","16253.00","292.55","Successful"
"PAY0000310","INV0000310","C000311","2026-07-28","Card","16370.00","294.66","Successful"
"PAY0000311","INV0000311","C000312","2026-07-29","Card","16487.00","296.77","Successful"
"PAY0000312","INV0000312","C000313","2026-07-30","Bank Transfer","16604.00","298.87","Successful"
"PAY0000313","INV0000313","C000314","2026-07-31","Card","16721.00","300.98","Successful"
"PAY0000314","INV0000314","C000315","2026-08-01","UPI","16838.00","303.08","Successful"
"PAY0000315","INV0000315","C000316","2026-08-02","Bank Transfer","16955.00","305.19","Successful"
