"Target_ID","Month","Region_ID","Department","Revenue_Target","Profit_Target","Orders_Target","Collection_Target","Inventory_Target","Management_Reported_Revenue"
"TG00066","2025-11","R006","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00067","2025-11","R007","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00068","2025-11","R008","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00069","2025-11","R009","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00070","2025-11","R010","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00071","2025-11","R011","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00072","2025-11","R012","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00073","2025-11","R013","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00074","2025-11","R014","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00075","2025-11","R015","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00076","2025-11","R016","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00077","2025-11","R017","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00078","2025-11","R018","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00079","2025-11","R019","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00080","2025-11","R020","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00081","2025-12","R001","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00082","2025-12","R002","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00083","2025-12","R003","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00084","2025-12","R004","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00085","2025-12","R005","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00086","2025-12","R006","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00087","2025-12","R007","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00088","2025-12","R008","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00089","2025-12","R009","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00090","2025-12","R010","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00091","2025-12","R011","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00092","2025-12","R012","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00093","2025-12","R013","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00094","2025-12","R014","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00095","2025-12","R015","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00096","2025-12","R016","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00097","2025-12","R017","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00098","2025-12","R018","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00099","2025-12","R019","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00100","2025-12","R020","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00101","2026-01","R001","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00102","2026-01","R002","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00103","2026-01","R003","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00104","2026-01","R004","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00105","2026-01","R005","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00106","2026-01","R006","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00107","2026-01","R007","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00108","2026-01","R008","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00109","2026-01","R009","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00110","2026-01","R010","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00111","2026-01","R011","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00112","2026-01","R012","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00113","2026-01","R013","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00114","2026-01","R014","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00115","2026-01","R015","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00116","2026-01","R016","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00117","2026-01","R017","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00118","2026-01","R018","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00119","2026-01","R019","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00120","2026-01","R020","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00121","2026-02","R001","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00122","2026-02","R002","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00123","2026-02","R003","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00124","2026-02","R004","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00125","2026-02","R005","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00126","2026-02","R006","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00127","2026-02","R007","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00128","2026-02","R008","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00129","2026-02","R009","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00130","2026-02","R010","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00131","2026-02","R011","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00132","2026-02","R012","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00133","2026-02","R013","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00134","2026-02","R014","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00135","2026-02","R015","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00136","2026-02","R016","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00137","2026-02","R017","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00138","2026-02","R018","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00139","2026-02","R019","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00140","2026-02","R020","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00141","2026-03","R001","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00142","2026-03","R002","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00143","2026-03","R003","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00144","2026-03","R004","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00145","2026-03","R005","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00146","2026-03","R006","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00147","2026-03","R007","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00148","2026-03","R008","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00149","2026-03","R009","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00150","2026-03","R010","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00151","2026-03","R011","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00152","2026-03","R012","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00153","2026-03","R013","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00154","2026-03","R014","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00155","2026-03","R015","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00156","2026-03","R016","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00157","2026-03","R017","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00158","2026-03","R018","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00159","2026-03","R019","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00160","2026-03","R020","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00161","2026-04","R001","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00162","2026-04","R002","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00163","2026-04","R003","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00164","2026-04","R004","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00165","2026-04","R005","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00166","2026-04","R006","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00167","2026-04","R007","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00168","2026-04","R008","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00169","2026-04","R009","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00170","2026-04","R010","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00171","2026-04","R011","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00172","2026-04","R012","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00173","2026-04","R013","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00174","2026-04","R014","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00175","2026-04","R015","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00176","2026-04","R016","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00177","2026-04","R017","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00178","2026-04","R018","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00179","2026-04","R019","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00180","2026-04","R020","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00181","2026-05","R001","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00182","2026-05","R002","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00183","2026-05","R003","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00184","2026-05","R004","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00185","2026-05","R005","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00186","2026-05","R006","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00187","2026-05","R007","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00188","2026-05","R008","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00189","2026-05","R009","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00190","2026-05","R010","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00191","2026-05","R011","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00192","2026-05","R012","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00193","2026-05","R013","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00194","2026-05","R014","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00195","2026-05","R015","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00196","2026-05","R016","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00197","2026-05","R017","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00198","2026-05","R018","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00199","2026-05","R019","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00200","2026-05","R020","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00201","2026-06","R001","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00202","2026-06","R002","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00203","2026-06","R003","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00204","2026-06","R004","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00205","2026-06","R005","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00206","2026-06","R006","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00207","2026-06","R007","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00208","2026-06","R008","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00209","2026-06","R009","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00210","2026-06","R010","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00211","2026-06","R011","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00212","2026-06","R012","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00213","2026-06","R013","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00214","2026-06","R014","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00215","2026-06","R015","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00216","2026-06","R016","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00217","2026-06","R017","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00218","2026-06","R018","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00219","2026-06","R019","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00220","2026-06","R020","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00221","2026-07","R001","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00222","2026-07","R002","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00223","2026-07","R003","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00224","2026-07","R004","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00225","2026-07","R005","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00226","2026-07","R006","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00227","2026-07","R007","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00228","2026-07","R008","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00229","2026-07","R009","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00230","2026-07","R010","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00231","2026-07","R011","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00232","2026-07","R012","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00233","2026-07","R013","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00234","2026-07","R014","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00235","2026-07","R015","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00236","2026-07","R016","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00237","2026-07","R017","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00238","2026-07","R018","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00239","2026-07","R019","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00240","2026-07","R020","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
