"Order_Item_ID","Order_ID","Product_ID","Quantity","Unit_Price","Discount_Pct","Gross_Amount","Net_Amount"
"OI00000069","O0000069","P00070","5","12575.00","0.06","62875.00","4552.68"
"OI00000070","O0000070","P00071","1","12750.00","0.00","12750.00","982.14"
"OI00000071","O0000071","P00072","2","12925.00","0.01","25850.00","1971.32"
"OI00000072","O0000072","P00073","3","13100.00","0.02","39300.00","2966.74"
"OI00000073","O0000073","P00074","4","13275.00","0.03","53100.00","3967.60"
"OI00000074","O0000074","P00075","5","13450.00","0.04","67250.00","4973.07"
"OI00000075","O0000075","P00076","1","13625.00","0.05","13625.00","997.06"
"OI00000076","O0000076","P00077","2","13800.00","0.06","27600.00","1998.47"
"OI00000077","O0000077","P00078","3","13975.00","0.00","41925.00","3229.49"
"OI00000078","O0000078","P00079","4","14150.00","0.01","56600.00","4316.31"
"OI00000079","O0000079","P00080","5","14325.00","0.02","71625.00","5406.94"
"OI00000080","O0000080","P00081","1","14500.00","0.03","14500.00","1083.43"
"OI00000081","O0000081","P00082","2","14675.00","0.04","29350.00","2170.40"
"OI00000082","O0000082","P00083","3","14850.00","0.05","44550.00","3260.11"
"OI00000083","O0000083","P00084","4","15025.00","0.06","60100.00","4351.75"
"OI00000084","O0000084","P00085","5","15200.00","0.00","76000.00","5854.30"
"OI00000085","O0000085","P00086","1","15375.00","0.01","15375.00","1172.50"
"OI00000086","O0000086","P00087","2","15550.00","0.02","31100.00","2347.73"
"OI00000087","O0000087","P00088","3","15725.00","0.03","47175.00","3524.88"
"OI00000088","O0000088","P00089","4","15900.00","0.04","63600.00","4703.16"
"OI00000089","O0000089","P00090","5","16075.00","0.05","80375.00","5881.74"
"OI00000090","O0000090","P00091","1","16250.00","0.06","16250.00","1176.64"
"OI00000091","O0000091","P00092","2","16425.00","0.00","32850.00","2530.44"
"OI00000092","O0000092","P00093","3","16600.00","0.01","49800.00","3797.74"
"OI00000093","O0000093","P00094","4","16775.00","0.02","67100.00","5065.35"
"OI00000094","O0000094","P00095","5","16950.00","0.03","84750.00","6332.46"
"OI00000095","O0000095","P00096","1","17125.00","0.04","17125.00","1266.38"
"OI00000096","O0000096","P00097","2","17300.00","0.05","34600.00","2531.98"
"OI00000097","O0000097","P00098","3","17475.00","0.06","52425.00","3796.01"
"OI00000098","O0000098","P00099","4","17650.00","0.00","70600.00","5438.33"
"OI00000099","O0000099","P00100","5","17825.00","0.01","89125.00","6796.67"
"OI00000100","O0000100","P00101","1","500.00","0.02","500.00","37.74"
"OI00000101","O0000101","P00102","2","675.00","0.03","1350.00","100.87"
"OI00000102","O0000102","P00103","3","850.00","0.04","2550.00","188.57"
"OI00000103","O0000103","P00104","4","1025.00","0.05","4100.00","300.03"
"OI00000104","O0000104","P00105","5","1200.00","0.06","6000.00","434.45"
"OI00000105","O0000105","P00106","1","1375.00","0.00","1375.00","105.92"
"OI00000106","O0000106","P00107","2","1550.00","0.01","3100.00","236.41"
"OI00000107","O0000107","P00108","3","1725.00","0.02","5175.00","390.66"
"OI00000108","O0000108","P00109","4","1900.00","0.03","7600.00","567.87"
"OI00000109","O0000109","P00110","5","2075.00","0.04","10375.00","767.22"
"OI00000110","O0000110","P00111","1","2250.00","0.05","2250.00","164.65"
"OI00000111","O0000111","P00112","2","2425.00","0.06","4850.00","351.18"
"OI00000112","O0000112","P00113","3","2600.00","0.00","7800.00","600.84"
"OI00000113","O0000113","P00114","4","2775.00","0.01","11100.00","846.49"
"OI00000114","O0000114","P00115","5","2950.00","0.02","14750.00","1113.47"
"OI00000115","O0000115","P00116","1","3125.00","0.03","3125.00","233.50"
"OI00000116","O0000116","P00117","2","3300.00","0.04","6600.00","488.06"
"OI00000117","O0000117","P00118","3","3475.00","0.05","10425.00","762.89"
"OI00000118","O0000118","P00119","4","3650.00","0.06","14600.00","1057.16"
"OI00000119","O0000119","P00120","5","3825.00","0.00","19125.00","1473.20"
"OI00000120","O0000120","P00121","1","4000.00","0.01","4000.00","305.04"
"OI00000121","O0000121","P00122","2","4175.00","0.02","8350.00","630.34"
"OI00000122","O0000122","P00123","3","4350.00","0.03","13050.00","975.09"
"OI00000123","O0000123","P00124","4","4525.00","0.04","18100.00","1338.48"
"OI00000124","O0000124","P00125","5","4700.00","0.05","23500.00","1719.70"
"OI00000125","O0000125","P00126","1","4875.00","0.06","4875.00","352.99"
"OI00000126","O0000126","P00127","2","5050.00","0.00","10100.00","778.01"
"OI00000127","O0000127","P00128","3","5225.00","0.01","15675.00","1195.37"
"OI00000128","O0000128","P00129","4","5400.00","0.02","21600.00","1630.58"
"OI00000129","O0000129","P00130","5","5575.00","0.03","27875.00","2082.80"
"OI00000130","O0000130","P00131","1","5750.00","0.04","5750.00","425.21"
"OI00000131","O0000131","P00132","2","5925.00","0.05","11850.00","867.17"
"OI00000132","O0000132","P00133","3","6100.00","0.06","18300.00","1325.07"
"OI00000133","O0000133","P00134","4","6275.00","0.00","25100.00","1933.46"
"OI00000134","O0000134","P00135","5","6450.00","0.01","32250.00","2459.38"
"OI00000135","O0000135","P00136","1","6625.00","0.02","6625.00","500.12"
"OI00000136","O0000136","P00137","2","6800.00","0.03","13600.00","1016.18"
"OI00000137","O0000137","P00138","3","6975.00","0.04","20925.00","1547.38"
"OI00000138","O0000138","P00139","4","7150.00","0.05","28600.00","2092.91"
"OI00000139","O0000139","P00140","5","7325.00","0.06","36625.00","2651.96"
"OI00000140","O0000140","P00141","1","7500.00","0.00","7500.00","577.73"
"OI00000141","O0000141","P00142","2","7675.00","0.01","15350.00","1170.59"
"OI00000142","O0000142","P00143","3","7850.00","0.02","23550.00","1777.78"
"OI00000143","O0000143","P00144","4","8025.00","0.03","32100.00","2398.49"
"OI00000144","O0000144","P00145","5","8200.00","0.04","41000.00","3031.91"
"OI00000145","O0000145","P00146","1","8375.00","0.05","8375.00","612.87"
"OI00000146","O0000146","P00147","2","8550.00","0.06","17100.00","1238.18"
"OI00000147","O0000147","P00148","3","8725.00","0.00","26175.00","2016.27"
"OI00000148","O0000148","P00149","4","8900.00","0.01","35600.00","2714.85"
"OI00000149","O0000149","P00150","5","9075.00","0.02","45375.00","3425.34"
"OI00000150","O0000150","P00151","1","9250.00","0.03","9250.00","691.15"
"OI00000151","O0000151","P00152","2","9425.00","0.04","18850.00","1393.94"
"OI00000152","O0000152","P00153","3","9600.00","0.05","28800.00","2107.55"
"OI00000153","O0000153","P00154","4","9775.00","0.06","39100.00","2831.17"
"OI00000154","O0000154","P00155","5","9950.00","0.00","49750.00","3832.25"
"OI00000155","O0000155","P00156","1","10125.00","0.01","10125.00","772.13"
"OI00000156","O0000156","P00157","2","10300.00","0.02","20600.00","1555.09"
"OI00000157","O0000157","P00158","3","10475.00","0.03","31425.00","2348.05"
"OI00000158","O0000158","P00159","4","10650.00","0.04","42600.00","3150.23"
"OI00000159","O0000159","P00160","5","10825.00","0.05","54125.00","3960.80"
"OI00000160","O0000160","P00161","1","11000.00","0.06","11000.00","796.49"
"OI00000161","O0000161","P00162","2","11175.00","0.00","22350.00","1721.63"
"OI00000162","O0000162","P00163","3","11350.00","0.01","34050.00","2596.65"
"OI00000163","O0000163","P00164","4","11525.00","0.02","46100.00","3480.07"
"OI00000164","O0000164","P00165","5","11700.00","0.03","58500.00","4371.08"
"OI00000165","O0000165","P00166","1","11875.00","0.04","11875.00","878.14"
"OI00000166","O0000166","P00167","2","12050.00","0.05","24100.00","1763.61"
"OI00000167","O0000167","P00168","3","12225.00","0.06","36675.00","2655.58"
"OI00000168","O0000168","P00169","4","12400.00","0.00","49600.00","3820.70"
"OI00000169","O0000169","P00170","5","12575.00","0.01","62875.00","4794.84"
"OI00000170","O0000170","P00171","1","12750.00","0.02","12750.00","962.49"
"OI00000171","O0000171","P00172","2","12925.00","0.03","25850.00","1931.49"
"OI00000172","O0000172","P00173","3","13100.00","0.04","39300.00","2906.20"
"OI00000173","O0000173","P00174","4","13275.00","0.05","53100.00","3885.79"
"OI00000174","O0000174","P00175","5","13450.00","0.06","67250.00","4869.47"
"OI00000175","O0000175","P00176","1","13625.00","0.00","13625.00","1049.54"
"OI00000176","O0000176","P00177","2","13800.00","0.01","27600.00","2104.77"
"OI00000177","O0000177","P00178","3","13975.00","0.02","41925.00","3164.90"
"OI00000178","O0000178","P00179","4","14150.00","0.03","56600.00","4229.11"
"OI00000179","O0000179","P00180","5","14325.00","0.04","71625.00","5296.60"
"OI00000180","O0000180","P00181","1","14500.00","0.05","14500.00","1061.09"
"OI00000181","O0000181","P00182","2","14675.00","0.06","29350.00","2125.19"
"OI00000182","O0000182","P00183","3","14850.00","0.00","44550.00","3431.70"
"OI00000183","O0000183","P00184","4","15025.00","0.01","60100.00","4583.22"
"OI00000184","O0000184","P00185","5","15200.00","0.02","76000.00","5737.21"
"OI00000185","O0000185","P00186","1","15375.00","0.03","15375.00","1148.81"
"OI00000186","O0000186","P00187","2","15550.00","0.04","31100.00","2299.81"
"OI00000187","O0000187","P00188","3","15725.00","0.05","47175.00","3452.21"
"OI00000188","O0000188","P00189","4","15900.00","0.06","63600.00","4605.18"
"OI00000189","O0000189","P00190","5","16075.00","0.00","80375.00","6191.31"
"OI00000190","O0000190","P00191","1","16250.00","0.01","16250.00","1239.22"
"OI00000191","O0000191","P00192","2","16425.00","0.02","32850.00","2479.83"
"OI00000192","O0000192","P00193","3","16600.00","0.03","49800.00","3721.02"
"OI00000193","O0000193","P00194","4","16775.00","0.04","67100.00","4961.98"
"OI00000194","O0000194","P00195","5","16950.00","0.05","84750.00","6201.90"
"OI00000195","O0000195","P00196","1","17125.00","0.06","17125.00","1239.99"
"OI00000196","O0000196","P00197","2","17300.00","0.00","34600.00","2665.25"
"OI00000197","O0000197","P00198","3","17475.00","0.01","52425.00","3997.93"
"OI00000198","O0000198","P00199","4","17650.00","0.02","70600.00","5329.57"
"OI00000199","O0000199","P00200","5","17825.00","0.03","89125.00","6659.36"
"OI00000200","O0000200","P00201","1","500.00","0.04","500.00","36.97"
"OI00000201","O0000201","P00202","2","675.00","0.05","1350.00","98.79"
"OI00000202","O0000202","P00203","3","850.00","0.06","2550.00","184.64"
"OI00000203","O0000203","P00204","4","1025.00","0.00","4100.00","315.82"
"OI00000204","O0000204","P00205","5","1200.00","0.01","6000.00","457.56"
"OI00000205","O0000205","P00206","1","1375.00","0.02","1375.00","103.80"
"OI00000206","O0000206","P00207","2","1550.00","0.03","3100.00","231.63"
"OI00000207","O0000207","P00208","3","1725.00","0.04","5175.00","382.69"
"OI00000208","O0000208","P00209","4","1900.00","0.05","7600.00","556.16"
"OI00000209","O0000209","P00210","5","2075.00","0.06","10375.00","751.24"
"OI00000210","O0000210","P00211","1","2250.00","0.00","2250.00","173.32"
"OI00000211","O0000211","P00212","2","2425.00","0.01","4850.00","369.86"
"OI00000212","O0000212","P00213","3","2600.00","0.02","7800.00","588.82"
"OI00000213","O0000213","P00214","4","2775.00","0.03","11100.00","829.38"
"OI00000214","O0000214","P00215","5","2950.00","0.04","14750.00","1090.75"
"OI00000215","O0000215","P00216","1","3125.00","0.05","3125.00","228.68"
"OI00000216","O0000216","P00217","2","3300.00","0.06","6600.00","477.90"
"OI00000217","O0000217","P00218","3","3475.00","0.00","10425.00","803.04"
"OI00000218","O0000218","P00219","4","3650.00","0.01","14600.00","1113.39"
"OI00000219","O0000219","P00220","5","3825.00","0.02","19125.00","1443.74"
"OI00000220","O0000220","P00221","1","4000.00","0.03","4000.00","298.88"
"OI00000221","O0000221","P00222","2","4175.00","0.04","8350.00","617.47"
"OI00000222","O0000222","P00223","3","4350.00","0.05","13050.00","954.98"
"OI00000223","O0000223","P00224","4","4525.00","0.06","18100.00","1310.59"
"OI00000224","O0000224","P00225","5","4700.00","0.00","23500.00","1810.21"
"OI00000225","O0000225","P00226","1","4875.00","0.01","4875.00","371.77"
"OI00000226","O0000226","P00227","2","5050.00","0.02","10100.00","762.45"
"OI00000227","O0000227","P00228","3","5225.00","0.03","15675.00","1171.23"
"OI00000228","O0000228","P00229","4","5400.00","0.04","21600.00","1597.30"
"OI00000229","O0000229","P00230","5","5575.00","0.05","27875.00","2039.86"
"OI00000230","O0000230","P00231","1","5750.00","0.06","5750.00","416.35"
"OI00000231","O0000231","P00232","2","5925.00","0.00","11850.00","912.81"
"OI00000232","O0000232","P00233","3","6100.00","0.01","18300.00","1395.56"
"OI00000233","O0000233","P00234","4","6275.00","0.02","25100.00","1894.79"
"OI00000234","O0000234","P00235","5","6450.00","0.03","32250.00","2409.70"
"OI00000235","O0000235","P00236","1","6625.00","0.04","6625.00","489.91"
"OI00000236","O0000236","P00237","2","6800.00","0.05","13600.00","995.23"
"OI00000237","O0000237","P00238","3","6975.00","0.06","20925.00","1515.15"
"OI00000238","O0000238","P00239","4","7150.00","0.00","28600.00","2203.06"
"OI00000239","O0000239","P00240","5","7325.00","0.01","36625.00","2793.02"
"OI00000240","O0000240","P00241","1","7500.00","0.02","7500.00","566.17"
"OI00000241","O0000241","P00242","2","7675.00","0.03","15350.00","1146.94"
"OI00000242","O0000242","P00243","3","7850.00","0.04","23550.00","1741.50"
"OI00000243","O0000243","P00244","4","8025.00","0.05","32100.00","2349.04"
"OI00000244","O0000244","P00245","5","8200.00","0.06","41000.00","2968.75"
"OI00000245","O0000245","P00246","1","8375.00","0.00","8375.00","645.13"
"OI00000246","O0000246","P00247","2","8550.00","0.01","17100.00","1304.04"
"OI00000247","O0000247","P00248","3","8725.00","0.02","26175.00","1975.94"
"OI00000248","O0000248","P00249","4","8900.00","0.03","35600.00","2660.01"
"OI00000249","O0000249","P00250","5","9075.00","0.04","45375.00","3355.44"
"OI00000250","O0000250","P00251","1","9250.00","0.05","9250.00","676.90"
"OI00000251","O0000251","P00252","2","9425.00","0.06","18850.00","1364.90"
"OI00000252","O0000252","P00253","3","9600.00","0.00","28800.00","2218.47"
"OI00000253","O0000253","P00254","4","9775.00","0.01","39100.00","2981.76"
"OI00000254","O0000254","P00255","5","9950.00","0.02","49750.00","3755.61"
"OI00000255","O0000255","P00256","1","10125.00","0.03","10125.00","756.53"
"OI00000256","O0000256","P00257","2","10300.00","0.04","20600.00","1523.35"
"OI00000257","O0000257","P00258","3","10475.00","0.05","31425.00","2299.64"
"OI00000258","O0000258","P00259","4","10650.00","0.06","42600.00","3084.60"
"OI00000259","O0000259","P00260","5","10825.00","0.00","54125.00","4169.26"
"OI00000260","O0000260","P00261","1","11000.00","0.01","11000.00","838.86"
"OI00000261","O0000261","P00262","2","11175.00","0.02","22350.00","1687.19"
"OI00000262","O0000262","P00263","3","11350.00","0.03","34050.00","2544.19"
"OI00000263","O0000263","P00264","4","11525.00","0.04","46100.00","3409.05"
"OI00000264","O0000264","P00265","5","11700.00","0.05","58500.00","4280.96"
"OI00000265","O0000265","P00266","1","11875.00","0.06","11875.00","859.85"
"OI00000266","O0000266","P00267","2","12050.00","0.00","24100.00","1856.43"
"OI00000267","O0000267","P00268","3","12225.00","0.01","36675.00","2796.83"
"OI00000268","O0000268","P00269","4","12400.00","0.02","49600.00","3744.29"
"OI00000269","O0000269","P00270","5","12575.00","0.03","62875.00","4697.98"
"OI00000270","O0000270","P00271","1","12750.00","0.04","12750.00","942.85"
"OI00000271","O0000271","P00272","2","12925.00","0.05","25850.00","1891.67"
"OI00000272","O0000272","P00273","3","13100.00","0.06","39300.00","2845.65"
"OI00000273","O0000273","P00274","4","13275.00","0.00","53100.00","4090.31"
"OI00000274","O0000274","P00275","5","13450.00","0.01","67250.00","5128.48"
"OI00000275","O0000275","P00276","1","13625.00","0.02","13625.00","1028.55"
"OI00000276","O0000276","P00277","2","13800.00","0.03","27600.00","2062.25"
"OI00000277","O0000277","P00278","3","13975.00","0.04","41925.00","3100.31"
"OI00000278","O0000278","P00279","4","14150.00","0.05","56600.00","4141.92"
"OI00000279","O0000279","P00280","5","14325.00","0.06","71625.00","5186.25"
"OI00000280","O0000280","P00281","1","14500.00","0.00","14500.00","1116.94"
"OI00000281","O0000281","P00282","2","14675.00","0.01","29350.00","2238.23"
"OI00000282","O0000282","P00283","3","14850.00","0.02","44550.00","3363.06"
"OI00000283","O0000283","P00284","4","15025.00","0.03","60100.00","4490.63"
"OI00000284","O0000284","P00285","5","15200.00","0.04","76000.00","5620.13"
"OI00000285","O0000285","P00286","1","15375.00","0.05","15375.00","1125.12"
"OI00000286","O0000286","P00287","2","15550.00","0.06","31100.00","2251.90"
"OI00000287","O0000287","P00288","3","15725.00","0.00","47175.00","3633.90"
"OI00000288","O0000288","P00289","4","15900.00","0.01","63600.00","4850.13"
"OI00000289","O0000289","P00290","5","16075.00","0.02","80375.00","6067.48"
"OI00000290","O0000290","P00291","1","16250.00","0.03","16250.00","1214.19"
"OI00000291","O0000291","P00292","2","16425.00","0.04","32850.00","2429.23"
"OI00000292","O0000292","P00293","3","16600.00","0.05","49800.00","3644.30"
"OI00000293","O0000293","P00294","4","16775.00","0.06","67100.00","4858.60"
"OI00000294","O0000294","P00295","5","16950.00","0.00","84750.00","6528.31"
"OI00000295","O0000295","P00296","1","17125.00","0.01","17125.00","1305.95"
"OI00000296","O0000296","P00297","2","17300.00","0.02","34600.00","2611.94"
"OI00000297","O0000297","P00298","3","17475.00","0.03","52425.00","3917.16"
"OI00000298","O0000298","P00299","4","17650.00","0.04","70600.00","5220.80"
"OI00000299","O0000299","P00300","5","17825.00","0.05","89125.00","6522.05"
"OI00000300","O0000300","P00301","1","500.00","0.06","500.00","36.20"
"OI00000301","O0000301","P00302","2","675.00","0.00","1350.00","103.99"
"OI00000302","O0000302","P00303","3","850.00","0.01","2550.00","194.46"
"OI00000303","O0000303","P00304","4","1025.00","0.02","4100.00","309.51"
"OI00000304","O0000304","P00305","5","1200.00","0.03","6000.00","448.32"
"OI00000305","O0000305","P00306","1","1375.00","0.04","1375.00","101.68"
"OI00000306","O0000306","P00307","2","1550.00","0.05","3100.00","226.85"
"OI00000307","O0000307","P00308","3","1725.00","0.06","5175.00","374.71"
"OI00000308","O0000308","P00309","4","1900.00","0.00","7600.00","585.43"
"OI00000309","O0000309","P00310","5","2075.00","0.01","10375.00","791.20"
"OI00000310","O0000310","P00311","1","2250.00","0.02","2250.00","169.85"
"OI00000311","O0000311","P00312","2","2425.00","0.03","4850.00","362.39"
"OI00000312","O0000312","P00313","3","2600.00","0.04","7800.00","576.80"
"OI00000313","O0000313","P00314","4","2775.00","0.05","11100.00","812.28"
"OI00000314","O0000314","P00315","5","2950.00","0.06","14750.00","1068.02"
"OI00000315","O0000315","P00316","1","3125.00","0.00","3125.00","240.72"
"OI00000316","O0000316","P00317","2","3300.00","0.01","6600.00","503.32"
"OI00000317","O0000317","P00318","3","3475.00","0.02","10425.00","786.98"
"OI00000318","O0000318","P00319","4","3650.00","0.03","14600.00","1090.90"
"OI00000319","O0000319","P00320","5","3825.00","0.04","19125.00","1414.28"
"OI00000320","O0000320","P00321","1","4000.00","0.05","4000.00","292.71"
"OI00000321","O0000321","P00322","2","4175.00","0.06","8350.00","604.61"
"OI00000322","O0000322","P00323","3","4350.00","0.00","13050.00","1005.24"
"OI00000323","O0000323","P00324","4","4525.00","0.01","18100.00","1380.30"
"OI00000324","O0000324","P00325","5","4700.00","0.02","23500.00","1774.01"
"OI00000325","O0000325","P00326","1","4875.00","0.03","4875.00","364.26"
"OI00000326","O0000326","P00327","2","5050.00","0.04","10100.00","746.89"
"OI00000327","O0000327","P00328","3","5225.00","0.05","15675.00","1147.08"
"OI00000328","O0000328","P00329","4","5400.00","0.06","21600.00","1564.02"
"OI00000329","O0000329","P00330","5","5575.00","0.00","27875.00","2147.22"
"OI00000330","O0000330","P00331","1","5750.00","0.01","5750.00","438.49"
"OI00000331","O0000331","P00332","2","5925.00","0.02","11850.00","894.55"
"OI00000332","O0000332","P00333","3","6100.00","0.03","18300.00","1367.36"
"OI00000333","O0000333","P00334","4","6275.00","0.04","25100.00","1856.12"
"OI00000334","O0000334","P00335","5","6450.00","0.05","32250.00","2360.01"
"OI00000335","O0000335","P00336","1","6625.00","0.06","6625.00","479.71"
"OI00000336","O0000336","P00337","2","6800.00","0.00","13600.00","1047.61"
"OI00000337","O0000337","P00338","3","6975.00","0.01","20925.00","1595.74"
"OI00000338","O0000338","P00339","4","7150.00","0.02","28600.00","2159.00"
"OI00000339","O0000339","P00340","5","7325.00","0.03","36625.00","2736.60"
"OI00000340","O0000340","P00341","1","7500.00","0.04","7500.00","554.62"
"OI00000341","O0000341","P00342","2","7675.00","0.05","15350.00","1123.29"
"OI00000342","O0000342","P00343","3","7850.00","0.06","23550.00","1705.22"
"OI00000343","O0000343","P00344","4","8025.00","0.00","32100.00","2472.67"
"OI00000344","O0000344","P00345","5","8200.00","0.01","41000.00","3126.66"
"OI00000345","O0000345","P00346","1","8375.00","0.02","8375.00","632.23"
"OI00000346","O0000346","P00347","2","8550.00","0.03","17100.00","1277.70"
"OI00000347","O0000347","P00348","3","8725.00","0.04","26175.00","1935.62"
"OI00000348","O0000348","P00349","4","8900.00","0.05","35600.00","2605.16"
"OI00000349","O0000349","P00350","5","9075.00","0.06","45375.00","3285.53"
"OI00000350","O0000350","P00351","1","9250.00","0.00","9250.00","712.53"
"OI00000351","O0000351","P00352","2","9425.00","0.01","18850.00","1437.50"
"OI00000352","O0000352","P00353","3","9600.00","0.02","28800.00","2174.10"
"OI00000353","O0000353","P00354","4","9775.00","0.03","39100.00","2921.53"
"OI00000354","O0000354","P00355","5","9950.00","0.04","49750.00","3678.96"
"OI00000355","O0000355","P00356","1","10125.00","0.05","10125.00","740.93"
"OI00000356","O0000356","P00357","2","10300.00","0.06","20600.00","1491.61"
"OI00000357","O0000357","P00358","3","10475.00","0.00","31425.00","2420.68"
"OI00000358","O0000358","P00359","4","10650.00","0.01","42600.00","3248.67"
"OI00000359","O0000359","P00360","5","10825.00","0.02","54125.00","4085.88"
"OI00000360","O0000360","P00361","1","11000.00","0.03","11000.00","821.91"
"OI00000361","O0000361","P00362","2","11175.00","0.04","22350.00","1652.76"
"OI00000362","O0000362","P00363","3","11350.00","0.05","34050.00","2491.74"
"OI00000363","O0000363","P00364","4","11525.00","0.06","46100.00","3338.03"
"OI00000364","O0000364","P00365","5","11700.00","0.00","58500.00","4506.27"
"OI00000365","O0000365","P00366","1","11875.00","0.01","11875.00","905.59"
"OI00000366","O0000366","P00367","2","12050.00","0.02","24100.00","1819.30"
"OI00000367","O0000367","P00368","3","12225.00","0.03","36675.00","2740.33"
"OI00000368","O0000368","P00369","4","12400.00","0.04","49600.00","3667.87"
"OI00000369","O0000369","P00370","5","12575.00","0.05","62875.00","4601.11"
