"Supplier_ID","Supplier_Name","Category","Region_ID","Contract_Start","Standard_Lead_Days","Quality_Target","Status"
"S00153","Supplier 153","Home Appliances","R014","2026-02-01","25","95","Active"
"S00154","Supplier 154","Accessories","R015","2026-02-02","26","95","Active"
"S00155","Supplier 155","IT Equipment","R016","2026-02-03","27","95","Active"
"S00156","Supplier 156","Electronics","R017","2026-02-04","28","95","Active"
"S00157","Supplier 157","Furniture","R018","2026-02-05","29","95","Active"
"S00158","Supplier 158","Office Supplies","R019","2026-02-06","30","95","Active"
"S00159","Supplier 159","Home Appliances","R020","2026-02-07","31","95","Active"
"S00160","Supplier 160","Accessories","R001","2026-02-08","32","95","Active"
"S00161","Supplier 161","IT Equipment","R002","2026-02-09","33","95","Active"
"S00162","Supplier 162","Electronics","R003","2026-02-10","34","95","Active"
"S00163","Supplier 163","Furniture","R004","2026-02-11","35","95","Active"
"S00164","Supplier 164","Office Supplies","R005","2026-02-12","36","95","Active"
"S00165","Supplier 165","Home Appliances","R006","2026-02-13","37","95","Active"
"S00166","Supplier 166","Accessories","R007","2026-02-14","38","95","Active"
"S00167","Supplier 167","IT Equipment","R008","2026-02-15","39","95","Active"
"S00168","Supplier 168","Electronics","R009","2026-02-16","40","95","Active"
"S00169","Supplier 169","Furniture","R010","2026-02-17","41","95","Active"
"S00170","Supplier 170","Office Supplies","R011","2026-02-18","42","95","Active"
"S00171","Supplier 171","Home Appliances","R012","2026-02-19","43","95","Active"
"S00172","Supplier 172","Accessories","R013","2026-02-20","44","95","Active"
"S00173","Supplier 173","IT Equipment","R014","2026-02-21","45","95","Active"
"S00174","Supplier 174","Electronics","R015","2026-02-22","46","95","Review"
"S00175","Supplier 175","Furniture","R016","2026-02-23","47","95","Active"
"S00176","Supplier 176","Office Supplies","R017","2026-02-24","48","95","Active"
"S00177","Supplier 177","Home Appliances","R018","2026-02-25","49","95","Active"
"S00178","Supplier 178","Accessories","R019","2026-02-26","50","95","Active"
"S00179","Supplier 179","IT Equipment","R020","2026-02-27","51","95","Active"
"S00180","Supplier 180","Electronics","R001","2026-02-28","7","95","Active"
"S00181","Supplier 181","Furniture","R002","2026-03-01","8","95","Active"
"S00182","Supplier 182","Office Supplies","R003","2026-03-02","9","95","Active"
"S00183","Supplier 183","Home Appliances","R004","2026-03-03","10","95","Active"
"S00184","Supplier 184","Accessories","R005","2026-03-04","11","95","Active"
"S00185","Supplier 185","IT Equipment","R006","2026-03-05","12","95","Active"
"S00186","Supplier 186","Electronics","R007","2026-03-06","13","95","Active"
"S00187","Supplier 187","Furniture","R008","2026-03-07","14","95","Active"
"S00188","Supplier 188","Office Supplies","R009","2026-03-08","15","95","Active"
"S00189","Supplier 189","Home Appliances","R010","2026-03-09","16","95","Active"
"S00190","Supplier 190","Accessories","R011","2026-03-10","17","95","Active"
"S00191","Supplier 191","IT Equipment","R012","2026-03-11","18","95","Active"
"S00192","Supplier 192","Electronics","R013","2026-03-12","19","95","Active"
"S00193","Supplier 193","Furniture","R014","2026-03-13","20","95","Active"
"S00194","Supplier 194","Office Supplies","R015","2026-03-14","21","95","Active"
"S00195","Supplier 195","Home Appliances","R016","2026-03-15","22","95","Active"
"S00196","Supplier 196","Accessories","R017","2026-03-16","23","95","Active"
"S00197","Supplier 197","IT Equipment","R018","2026-03-17","24","95","Active"
"S00198","Supplier 198","Electronics","R019","2026-03-18","25","95","Active"
"S00199","Supplier 199","Furniture","R020","2026-03-19","26","95","Active"
"S00200","Supplier 200","Office Supplies","R001","2026-03-20","27","95","Active"
