Source_Row,Reject_Reasons,Sale_ID,Order_ID,Order_Item_ID,Sale_Date,Customer_ID,Product_ID,Employee_ID,Region_ID,Quantity,Gross_Sales,Discount,Net_Sales,Product_Cost,Shipping_Cost,Payment_Fee
997,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00000996,O0000996,OI00000996,2026-05-25,C000997,P00997,E00497,R017,2,2511.48,50.23,2461.25,1576.57,61.0,44.3
998,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00000997,O0000997,OI00000997,2026-05-26,C000998,P00998,E00498,R018,3,3805.33,114.16,3691.17,2388.81,62.0,66.44
1251,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00001250,O0001250,OI00001250,2026-02-03,C001251,P00251,E00251,R011,1,671.42,26.86,644.57,421.0,75.0,11.6
1307,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00001306,O0001306,OI00001306,2026-03-31,C001307,P00307,E00307,R007,2,225.02,9.0,216.02,139.37,51.0,3.89
1421,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00001420,O0001420,OI00001420,2026-07-23,C001421,P00421,E00421,R001,1,290.34,17.42,272.92,181.47,85.0,4.91
1499,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00001498,O0001498,OI00001498,2025-10-09,C001499,P00499,E00499,R019,4,5124.58,0.0,5124.58,3217.02,83.0,92.24
1574,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00001573,O0001573,OI00001573,2025-12-23,C001574,P00574,E00074,R014,4,3854.33,192.72,3661.61,2418.57,78.0,65.91
1577,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00001576,O0001576,OI00001576,2025-12-26,C001577,P00577,E00077,R017,2,2003.38,20.03,1983.34,1257.19,81.0,35.7
1614,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00001613,O0001613,OI00001613,2026-02-01,C001614,P00614,E00114,R014,4,805.71,24.17,781.54,502.3,38.0,14.07
1751,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00001750,O0001750,OI00001750,2026-06-18,C001751,P00751,E00251,R011,1,671.42,0.0,671.42,421.0,95.0,12.09
1778,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00001777,O0001777,OI00001777,2026-07-15,C001778,P00778,E00278,R018,3,3043.18,182.59,2860.59,1909.74,42.0,51.49
1842,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00001841,O0001841,OI00001841,2025-09-17,C001842,P00842,E00342,R002,2,1114.2,0.0,1114.2,698.28,26.0,20.06
1921,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00001920,O0001920,OI00001920,2025-12-05,C001921,P00921,E00421,R001,1,290.34,5.81,284.54,181.47,25.0,5.12
1994,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00001993,O0001993,OI00001993,2026-02-16,C001994,P00994,E00494,R014,4,4870.53,243.53,4627.01,3057.33,98.0,83.29
1998,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00001997,O0001997,OI00001997,2026-02-20,C001998,P00998,E00498,R018,3,3805.33,76.11,3729.22,2388.81,102.0,67.13
2202,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00002201,O0002201,OI00002201,2025-09-12,C002202,P00202,E00202,R002,2,97.99,2.94,95.05,59.52,66.0,1.71
2251,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00002250,O0002250,OI00002250,2025-10-31,C002251,P00251,E00251,R011,1,671.42,20.14,651.28,421.0,35.0,11.72
2307,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00002306,O0002306,OI00002306,2025-12-26,C002307,P00307,E00307,R007,2,225.02,6.75,218.27,139.37,91.0,3.93
2361,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00002360,O0002360,OI00002360,2026-02-18,C002361,P00361,E00361,R001,1,798.45,7.98,790.46,500.84,65.0,14.23
2421,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00002420,O0002420,OI00002420,2026-04-19,C002421,P00421,E00421,R001,1,290.34,14.52,275.83,181.47,45.0,4.96
2499,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00002498,O0002498,OI00002498,2026-07-06,C002499,P00499,E00499,R019,4,5124.58,307.48,4817.11,3217.02,43.0,86.71
2577,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00002576,O0002576,OI00002576,2025-09-22,C002577,P00577,E00077,R017,2,2003.38,0.0,2003.38,1257.19,41.0,36.06
2614,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00002613,O0002613,OI00002613,2025-10-29,C002614,P00614,E00114,R014,4,805.71,16.11,789.59,502.3,78.0,14.21
2751,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00002750,O0002750,OI00002750,2026-03-15,C002751,P00751,E00251,R011,1,671.42,40.29,631.14,421.0,55.0,11.36
2842,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00002841,O0002841,OI00002841,2026-06-14,C002842,P00842,E00342,R002,2,1114.2,66.85,1047.35,698.28,66.0,18.85
2921,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00002920,O0002920,OI00002920,2025-09-01,C002921,P00921,E00421,R001,1,290.34,2.9,287.44,181.47,65.0,5.17
2991,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00002990,O0002990,OI00002990,2025-11-10,C002991,P00991,E00491,R011,1,1179.53,11.8,1167.73,740.38,55.0,21.02
2998,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00002997,O0002997,OI00002997,2025-11-17,C002998,P00998,E00498,R018,3,3805.33,38.05,3767.28,2388.81,62.0,67.81
3148,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00003147,O0003147,OI00003147,2026-04-16,C003148,P00148,E00148,R008,3,1899.94,76.0,1823.95,1191.14,52.0,32.83
3204,Invalid Foreign Key: Order_Item_ID,SA00003203,O0003203,OI00003203,2026-06-11,C003204,P00204,E00204,R004,4,297.6,11.9,285.7,182.92,28.0,5.14
3251,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00003250,O0003250,OI00003250,2026-07-28,C003251,P00251,E00251,R011,1,671.42,13.43,657.99,421.0,75.0,11.84
3307,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00003306,O0003306,OI00003306,2025-09-22,C003307,P00307,E00307,R007,2,225.02,4.5,220.52,139.37,51.0,3.97
3332,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00003331,O0003331,OI00003331,2025-10-17,C003332,P00332,E00332,R012,2,860.15,51.61,808.54,538.59,76.0,14.55
3421,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00003420,O0003420,OI00003420,2026-01-14,C003421,P00421,E00421,R001,1,290.34,11.61,278.73,181.47,85.0,5.02
3499,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00003498,O0003498,OI00003498,2026-04-02,C003499,P00499,E00499,R019,4,5124.58,256.23,4868.36,3217.02,83.0,87.63
3555,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00003554,O0003554,OI00003554,2026-05-28,C003555,P00555,E00055,R015,5,3611.16,180.56,3430.6,2264.69,59.0,61.75
3577,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00003576,O0003576,OI00003576,2026-06-19,C003577,P00577,E00077,R017,2,2003.38,120.2,1883.18,1257.19,81.0,33.9
3614,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00003613,O0003613,OI00003613,2026-07-26,C003614,P00614,E00114,R014,4,805.71,8.06,797.65,502.3,38.0,14.36
3751,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00003750,O0003750,OI00003750,2025-12-10,C003751,P00751,E00251,R011,1,671.42,33.57,637.85,421.0,95.0,11.48
3842,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00003841,O0003841,OI00003841,2026-03-11,C003842,P00842,E00342,R002,2,1114.2,55.71,1058.49,698.28,26.0,19.05
3921,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00003920,O0003920,OI00003920,2026-05-29,C003921,P00921,E00421,R001,1,290.34,0.0,290.34,181.47,25.0,5.23
3935,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00003934,O0003934,OI00003934,2026-06-12,C003935,P00935,E00435,R015,5,2340.9,0.0,2340.9,1466.24,39.0,42.14
3988,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00003987,O0003987,OI00003987,2026-08-04,C003988,P00988,E00488,R008,3,3424.25,136.97,3287.28,2149.28,92.0,59.17
3998,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00003997,O0003997,OI00003997,2026-08-14,C003998,P00998,E00498,R018,3,3805.33,0.0,3805.33,2388.81,102.0,68.5
4002,Negative Value: Quantity; Negative Value: Gross_Sales; Negative Value: Net_Sales; Invalid Foreign Key: Order_Item_ID,SA00004001,O0004001,OI00004001,2026-08-18,C004002,P00002,E00002,R002,-2,-97.99,-3.92,-94.07,59.52,26.0,0.0
4251,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00004250,O0004250,OI00004250,2026-04-24,C004251,P00251,E00251,R011,1,671.42,6.71,664.71,421.0,35.0,11.96
4307,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00004306,O0004306,OI00004306,2026-06-19,C004307,P00307,E00307,R007,2,225.02,2.25,222.77,139.37,91.0,4.01
4403,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00004402,O0004402,OI00004402,2025-09-23,C004403,P00403,E00403,R003,3,185.09,11.11,173.99,113.23,27.0,3.13
4421,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00004420,O0004420,OI00004420,2025-10-11,C004421,P00421,E00421,R001,1,290.34,8.71,281.63,181.47,45.0,5.07
4499,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00004498,O0004498,OI00004498,2025-12-28,C004499,P00499,E00499,R019,4,5124.58,204.98,4919.6,3217.02,43.0,88.55
4577,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00004576,O0004576,OI00004576,2026-03-16,C004577,P00577,E00077,R017,2,2003.38,100.17,1903.21,1257.19,41.0,34.26
4614,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00004613,O0004613,OI00004613,2026-04-22,C004614,P00614,E00114,R014,4,805.71,0.0,805.71,502.3,78.0,14.5
4722,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00004721,O0004721,OI00004721,2026-08-08,C004722,P00722,E00222,R002,2,606.09,18.18,587.91,378.9,26.0,10.58
4751,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00004750,O0004750,OI00004750,2025-09-06,C004751,P00751,E00251,R011,1,671.42,26.86,644.57,421.0,55.0,11.6
4842,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00004841,O0004841,OI00004841,2025-12-06,C004842,P00842,E00342,R002,2,1114.2,44.57,1069.63,698.28,66.0,19.25
4921,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00004920,O0004920,OI00004920,2026-02-23,C004921,P00921,E00421,R001,1,290.34,17.42,272.92,181.47,65.0,4.91
4985,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00004984,O0004984,OI00004984,2026-04-28,C004985,P00985,E00485,R005,5,5516.55,0.0,5516.55,3462.36,49.0,99.3
4998,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00004997,O0004997,OI00004997,2026-05-11,C004998,P00998,E00498,R018,3,3805.33,228.32,3577.01,2388.81,62.0,64.39
5004,Invalid Foreign Key: Order_Item_ID,SA00005003,O0005003,OI00005003,2026-05-17,C005004,P00004,E00004,R004,4,297.6,14.88,282.72,182.92,68.0,5.09
5251,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00005250,O0005250,OI00005250,2026-01-19,C005251,P00251,E00251,R011,1,671.42,0.0,671.42,421.0,75.0,12.09
5307,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00005306,O0005306,OI00005306,2026-03-16,C005307,P00307,E00307,R007,2,225.02,0.0,225.02,139.37,51.0,4.05
5332,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00005331,O0005331,OI00005331,2026-04-10,C005332,P00332,E00332,R012,2,860.15,34.41,825.74,538.59,76.0,14.86
5421,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00005420,O0005420,OI00005420,2026-07-08,C005421,P00421,E00421,R001,1,290.34,5.81,284.54,181.47,85.0,5.12
5499,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00005498,O0005498,OI00005498,2025-09-24,C005499,P00499,E00499,R019,4,5124.58,153.74,4970.85,3217.02,83.0,89.48
5509,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00005508,O0005508,OI00005508,2025-10-04,C005509,P00509,E00009,R009,4,551.65,33.1,518.56,342.61,93.0,9.33
5577,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00005576,O0005576,OI00005576,2025-12-11,C005577,P00577,E00077,R017,2,2003.38,80.14,1923.24,1257.19,81.0,34.62
5614,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00005613,O0005613,OI00005613,2026-01-17,C005614,P00614,E00114,R014,4,805.71,48.34,757.36,502.3,38.0,13.63
5751,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00005750,O0005750,OI00005750,2026-06-03,C005751,P00751,E00251,R011,1,671.42,20.14,651.28,421.0,95.0,11.72
5842,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00005841,O0005841,OI00005841,2025-09-02,C005842,P00842,E00342,R002,2,1114.2,33.43,1080.77,698.28,26.0,19.45
5921,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00005920,O0005920,OI00005920,2025-11-20,C005921,P00921,E00421,R001,1,290.34,14.52,275.83,181.47,25.0,4.96
5982,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00005981,O0005981,OI00005981,2026-01-20,C005982,P00982,E00482,R002,2,2130.4,63.91,2066.49,1337.04,86.0,37.2
5998,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00005997,O0005997,OI00005997,2026-02-05,C005998,P00998,E00498,R018,3,3805.33,190.27,3615.06,2388.81,102.0,65.07
6251,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00006250,O0006250,OI00006250,2025-10-16,C006251,P00251,E00251,R011,1,671.42,40.29,631.14,421.0,35.0,11.36
6296,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00006295,O0006295,OI00006295,2025-11-30,C006296,P00296,E00296,R016,1,1243.04,24.86,1218.18,780.3,80.0,21.93
6307,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00006306,O0006306,OI00006306,2025-12-11,C006307,P00307,E00307,R007,2,225.02,13.5,211.52,139.37,91.0,3.81
6407,Invalid Foreign Key: Order_Item_ID,SA00006406,O0006406,OI00006406,2026-03-21,C006407,P00407,E00407,R007,2,225.02,2.25,222.77,139.37,31.0,4.01
6421,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00006420,O0006420,OI00006420,2026-04-04,C006421,P00421,E00421,R001,1,290.34,2.9,287.44,181.47,45.0,5.17
6499,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00006498,O0006498,OI00006498,2026-06-21,C006499,P00499,E00499,R019,4,5124.58,102.49,5022.09,3217.02,43.0,90.4
6577,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00006576,O0006576,OI00006576,2025-09-07,C006577,P00577,E00077,R017,2,2003.38,60.1,1943.28,2388.67,41.0,34.98
6604,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00006603,O0006603,OI00006603,2025-10-04,C006604,P00604,E00104,R004,4,297.6,5.95,291.65,182.92,68.0,5.25
6614,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00006613,O0006613,OI00006613,2025-10-14,C006614,P00614,E00114,R014,4,805.71,40.29,765.42,502.3,78.0,13.78
6663,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00006662,O0006662,OI00006662,2025-12-02,C006663,P00663,E00163,R003,3,2471.56,123.58,2347.98,1550.44,47.0,42.26
6751,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00006750,O0006750,OI00006750,2026-02-28,C006751,P00751,E00251,R011,1,671.42,13.43,657.99,421.0,55.0,11.84
6842,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00006841,O0006841,OI00006841,2026-05-30,C006842,P00842,E00342,R002,2,1114.2,22.28,1091.91,698.28,66.0,19.65
6921,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00006920,O0006920,OI00006920,2026-08-17,C006921,P00921,E00421,R001,1,290.34,11.61,278.73,181.47,65.0,5.02
6979,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00006978,O0006978,OI00006978,2025-10-14,C006979,P00979,E00479,R019,4,4108.38,246.5,3861.88,2578.26,43.0,69.51
6998,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00006997,O0006997,OI00006997,2025-11-02,C006998,P00998,E00498,R018,3,3805.33,152.21,3653.12,2388.81,62.0,65.76
7002,Invalid Foreign Key: Order_Item_ID,SA00007001,O0007001,OI00007001,2025-11-06,C007002,P00002,E00002,R002,2,97.99,0.98,97.01,59.52,66.0,1.75
7083,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00007082,O0007082,OI00007082,2026-01-26,C007083,P00083,E00083,R003,3,3233.71,161.69,3072.03,2029.51,67.0,55.3
7109,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00007108,O0007108,OI00007108,2026-02-21,C007109,P00109,E00109,R009,4,551.65,16.55,535.11,342.61,93.0,9.63
7251,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00007250,O0007250,OI00007250,2026-07-13,C007251,P00251,E00251,R011,1,671.42,33.57,637.85,421.0,75.0,11.48
7307,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00007306,O0007306,OI00007306,2025-09-07,C007307,P00307,E00307,R007,2,225.02,11.25,213.77,139.37,51.0,3.85
7421,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00007420,O0007420,OI00007420,2025-12-30,C007421,P00421,E00421,R001,1,290.34,0.0,290.34,181.47,85.0,5.23
7499,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00007498,O0007498,OI00007498,2026-03-18,C007499,P00499,E00499,R019,4,5124.58,51.25,5073.34,3217.02,83.0,91.32
7577,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00007576,O0007576,OI00007576,2026-06-04,C007577,P00577,E00077,R017,2,2003.38,40.07,1963.31,1257.19,81.0,35.34
7614,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00007613,O0007613,OI00007613,2026-07-11,C007614,P00614,E00114,R014,4,805.71,32.23,773.48,502.3,38.0,13.92
7751,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00007750,O0007750,OI00007750,2025-11-25,C007751,P00751,E00251,R011,1,671.42,6.71,664.71,421.0,95.0,11.96
7842,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00007841,O0007841,OI00007841,2026-02-24,C007842,P00842,E00342,R002,2,1114.2,11.14,1103.06,698.28,26.0,19.86
7870,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00007869,O0007869,OI00007869,2026-03-24,C007870,P00870,E00370,R010,5,4563.86,45.64,4518.22,2863.52,54.0,81.33
7921,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00007920,O0007920,OI00007920,2026-05-14,C007921,P00921,E00421,R001,1,290.34,8.71,281.63,181.47,25.0,5.07
7976,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00007975,O0007975,OI00007975,2026-07-08,C007976,P00976,E00476,R016,1,988.99,19.78,969.21,620.61,80.0,17.45
7998,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00007997,O0007997,OI00007997,2026-07-30,C007998,P00998,E00498,R018,3,3805.33,114.16,3691.17,2388.81,102.0,66.44
8003,Negative Value: Quantity; Negative Value: Gross_Sales; Negative Value: Net_Sales; Invalid Foreign Key: Order_Item_ID,SA00008002,O0008002,OI00008002,2026-08-04,C008003,P00003,E00003,R003,-2,-123.4,-1.23,-122.16,75.49,27.0,0.0
8251,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00008250,O0008250,OI00008250,2026-04-09,C008251,P00251,E00251,R011,1,671.42,26.86,644.57,421.0,35.0,11.6
8307,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00008306,O0008306,OI00008306,2026-06-04,C008307,P00307,E00307,R007,2,225.02,9.0,216.02,139.37,91.0,3.89
8421,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00008420,O0008420,OI00008420,2025-09-26,C008421,P00421,E00421,R001,1,290.34,17.42,272.92,181.47,45.0,4.91
8499,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00008498,O0008498,OI00008498,2025-12-13,C008499,P00499,E00499,R019,4,5124.58,0.0,5124.58,3217.02,43.0,92.24
8577,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00008576,O0008576,OI00008576,2026-03-01,C008577,P00577,E00077,R017,2,2003.38,20.03,1983.34,1257.19,41.0,35.7
8614,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00008613,O0008613,OI00008613,2026-04-07,C008614,P00614,E00114,R014,4,805.71,24.17,781.54,502.3,78.0,14.07
8657,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00008656,O0008656,OI00008656,2026-05-20,C008657,P00657,E00157,R017,2,1495.28,59.81,1435.46,937.81,41.0,25.84
8751,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00008750,O0008750,OI00008750,2026-08-22,C008751,P00751,E00251,R011,1,671.42,0.0,671.42,421.0,55.0,12.09
8805,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,SA00008804,O0008804,OI00008804,2025-10-15,C008805,P00805,E00305,R005,5,435.52,21.78,413.74,268.57,29.0,7.45
8842,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00008841,O0008841,OI00008841,2025-11-21,C008842,P00842,E00342,R002,2,1114.2,0.0,1114.2,698.28,66.0,20.06
