Source_Row,Reject_Reasons,Order_ID,Customer_ID,Order_Date,Region_ID,Sales_Employee_ID,Channel,Order_Status,Management_Order_Value
26751,Invalid Foreign Key: Sales_Employee_ID,O0026750,C006751,2025-12-15,R011,E00251,Referral,Completed,2066.34
26979,Invalid Foreign Key: Customer_ID,O0026978,C006979,2026-07-31,R019,E00479,Referral,Completed,12730.94
27083,Invalid Foreign Key: Customer_ID,O0027082,C007083,2025-11-12,R003,E00083,Organic Search,Completed,9883.29
27251,Invalid Foreign Key: Sales_Employee_ID,O0027250,C007251,2026-04-29,R011,E00251,Instagram,Completed,2052.09
27751,Invalid Foreign Key: Sales_Employee_ID,O0027750,C007751,2025-09-11,R011,E00251,Organic Search,Completed,2087.71
27870,Invalid Foreign Key: Customer_ID,O0027869,C007870,2026-01-08,R010,E00370,Google Ads,Completed,14190.8
27976,Invalid Foreign Key: Customer_ID,O0027975,C007976,2026-04-24,R016,E00476,Organic Search,Completed,3043.66
28251,Invalid Foreign Key: Sales_Employee_ID,O0028250,C008251,2026-01-24,R011,E00251,Email,Completed,2073.46
28433,Invalid Foreign Key: Sales_Employee_ID,O0028432,C008433,2026-07-25,R013,E99999,Email,Completed,4102.09
28614,Invalid Foreign Key: Customer_ID,O0028613,C999999,2026-01-22,R014,E00114,Referral,Returned,2513.8
28657,Invalid Foreign Key: Customer_ID,O0028656,C008657,2026-03-06,R017,E00157,Referral,Completed,4617.65
28751,Invalid Foreign Key: Sales_Employee_ID,O0028750,C008751,2026-06-08,R011,E00251,Google Ads,Completed,2059.21
28973,Invalid Foreign Key: Customer_ID,O0028972,C008973,2026-01-16,R013,E00473,Google Ads,Completed,8718.59
29251,Invalid Foreign Key: Sales_Employee_ID,O0029250,C009251,2025-10-21,R011,E00251,Google Ads,Returned,2094.84
29444,Invalid Foreign Key: Customer_ID,O0029443,C009444,2026-05-02,R004,E00444,Instagram,Completed,7146.02
29751,Invalid Foreign Key: Sales_Employee_ID,O0029750,C009751,2026-03-05,R011,E00251,Instagram,Completed,2080.59
29970,Invalid Foreign Key: Customer_ID,O0029969,C009970,2025-10-10,R010,E00470,Email,Completed,14190.8
29980,Future Date: Order_Date,O0029979,C009980,2027-02-01,R020,E00480,Instagram,Completed,16055.32
30022,Duplicate Primary Key,O0030020,C010022,2025-12-01,R002,E00022,Organic Search,Completed,1871.72
30210,Invalid Foreign Key: Sales_Employee_ID,O0030209,C010210,2026-06-07,R010,E99999,Instagram,Completed,2349.61
30231,Invalid Foreign Key: Customer_ID,O0030230,C010231,2026-06-28,R011,E00231,Organic Search,Completed,1302.2
30251,Invalid Foreign Key: Sales_Employee_ID,O0030250,C010251,2026-07-18,R011,E00251,Google Ads,Completed,2066.34
30751,Invalid Foreign Key: Sales_Employee_ID,O0030750,C010751,2025-11-30,R011,E00251,Email,Completed,2052.09
30815,Invalid Foreign Key: Customer_ID,O0030814,C999999,2026-02-02,R015,E00315,Email,Completed,3317.69
30967,Invalid Foreign Key: Customer_ID,O0030966,C010967,2026-07-04,R007,E00467,Organic Search,Returned,5402.21
31018,Invalid Foreign Key: Customer_ID,O0031017,C011018,2026-08-24,R018,E00018,Google Ads,Completed,2344.88
31251,Invalid Foreign Key: Sales_Employee_ID,O0031250,C011251,2026-04-14,R011,E00251,Referral,Completed,2087.71
31751,Invalid Foreign Key: Sales_Employee_ID,O0031750,C011751,2026-08-27,R011,E00251,Instagram,Completed,2073.46
31805,Invalid Foreign Key: Customer_ID,O0031804,C011805,2025-10-20,R005,E00305,Referral,Completed,1340.33
31964,Invalid Foreign Key: Customer_ID,O0031963,C011964,2026-03-28,R004,E00464,Email,Completed,10262.66
31987,Invalid Foreign Key: Sales_Employee_ID,O0031986,C011987,2026-04-20,R007,E99999,Organic Search,Completed,6947.36
32251,Invalid Foreign Key: Sales_Employee_ID,O0032250,C012251,2026-01-09,R011,E00251,Referral,Completed,2059.21
32592,Invalid Foreign Key: Customer_ID,O0032591,C012592,2025-12-16,R012,E00092,Organic Search,Returned,7287.68
32751,Invalid Foreign Key: Sales_Employee_ID,O0032750,C012751,2026-05-24,R011,E00251,Referral,Completed,2094.84
32961,Invalid Foreign Key: Customer_ID,O0032960,C012961,2025-12-20,R001,E00461,Email,Completed,2491.16
33016,Invalid Foreign Key: Customer_ID,O0033015,C999999,2026-02-13,R016,E00016,Organic Search,Completed,698.09
33251,Invalid Foreign Key: Sales_Employee_ID,O0033250,C013251,2025-10-06,R011,E00251,Google Ads,Cancelled,2080.59
33311,Future Date: Order_Date,O0033310,C013311,2027-02-01,R011,E00311,Google Ads,Completed,509.55
33379,Invalid Foreign Key: Customer_ID,O0033378,C013379,2026-02-11,R019,E00379,Organic Search,Completed,12774.54
33751,Invalid Foreign Key: Sales_Employee_ID,O0033750,C013751,2026-02-18,R011,E00251,Referral,Completed,2066.34
33764,Invalid Foreign Key: Sales_Employee_ID,O0033763,C013764,2026-03-03,R004,E99999,Google Ads,Cancelled,10404.7
33958,Invalid Foreign Key: Customer_ID,O0033957,C013958,2025-09-13,R018,E00458,Google Ads,Completed,7068.37
34166,Invalid Foreign Key: Customer_ID,O0034165,C014166,2026-04-09,R006,E00166,Organic Search,Completed,2661.88
34251,Invalid Foreign Key: Sales_Employee_ID,O0034250,C014251,2026-07-03,R011,E00251,Google Ads,Completed,2052.09
34751,Invalid Foreign Key: Sales_Employee_ID,O0034750,C014751,2025-11-15,R011,E00251,Google Ads,Completed,2087.71
34953,Invalid Foreign Key: Customer_ID,O0034952,C014953,2026-06-05,R013,E00453,Organic Search,Completed,6411.38
34955,Invalid Foreign Key: Customer_ID,O0034954,C014955,2026-06-07,R015,E00455,Instagram,Completed,11113.54
35217,Invalid Foreign Key: Customer_ID,O0035216,C999999,2026-02-24,R017,E00217,Instagram,Completed,1464.19
35251,Invalid Foreign Key: Sales_Employee_ID,O0035250,C015251,2026-03-30,R011,E00251,Instagram,Completed,2073.46
35541,Invalid Foreign Key: Sales_Employee_ID,O0035540,C015541,2026-01-14,R001,E99999,Instagram,Completed,1669.63
35740,Invalid Foreign Key: Customer_ID,O0035739,C015740,2026-08-01,R020,E00240,Organic Search,Cancelled,8294.42
35751,Invalid Foreign Key: Sales_Employee_ID,O0035750,C015751,2026-08-12,R011,E00251,Instagram,Returned,2059.21
35952,Invalid Foreign Key: Customer_ID,O0035951,C015952,2026-03-01,R012,E00452,Email,Completed,4181.82
36251,Invalid Foreign Key: Sales_Employee_ID,O0036250,C016251,2025-12-25,R011,E00251,Organic Search,Completed,2094.84
36527,Invalid Foreign Key: Customer_ID,O0036526,C016527,2025-09-27,R007,E00027,Referral,Completed,2271.78
36642,Future Date: Order_Date,O0036641,C016642,2027-02-01,R002,E00142,Referral,Completed,3429.0
36751,Invalid Foreign Key: Sales_Employee_ID,O0036750,C016751,2026-05-09,R011,E00251,Referral,Completed,2080.59
36949,Invalid Foreign Key: Customer_ID,O0036948,C016949,2025-11-23,R009,E00449,Google Ads,Completed,8034.87
37251,Invalid Foreign Key: Sales_Employee_ID,O0037250,C017251,2025-09-21,R011,E00251,Email,Completed,2066.34
37314,Invalid Foreign Key: Customer_ID,O0037313,C017314,2025-11-23,R014,E00314,Organic Search,Completed,2479.6
37318,Invalid Foreign Key: Sales_Employee_ID,O0037317,C017318,2025-11-27,R018,E99999,Email,Completed,2344.88
37418,Invalid Foreign Key: Customer_ID,O0037417,C999999,2026-03-07,R018,E00418,Organic Search,Completed,2352.91
37751,Invalid Foreign Key: Sales_Employee_ID,O0037750,C017751,2026-02-03,R011,E00251,Instagram,Completed,2052.09
37946,Invalid Foreign Key: Customer_ID,O0037945,C017946,2026-08-17,R006,E00446,Email,Completed,1877.32
38101,Invalid Foreign Key: Customer_ID,O0038100,C018101,2026-01-19,R001,E00101,Instagram,Completed,110.92
38251,Invalid Foreign Key: Sales_Employee_ID,O0038250,C018251,2026-06-18,R011,E00251,Organic Search,Completed,2087.71
38751,Invalid Foreign Key: Sales_Employee_ID,O0038750,C018751,2025-10-31,R011,E00251,Organic Search,Completed,2073.46
38888,Invalid Foreign Key: Customer_ID,O0038887,C018888,2026-03-17,R008,E00388,Referral,Completed,10647.33
38943,Invalid Foreign Key: Customer_ID,O0038942,C018943,2026-05-11,R003,E00443,Instagram,Completed,5242.64
39095,Invalid Foreign Key: Sales_Employee_ID,O0039094,C019095,2025-10-10,R015,E99999,Email,Completed,18801.54
39251,Invalid Foreign Key: Sales_Employee_ID,O0039250,C019251,2026-03-15,R011,E00251,Google Ads,Completed,2059.21
39619,Invalid Foreign Key: Customer_ID,O0039618,C999999,2026-03-18,R019,E00119,Referral,Completed,3272.71
39675,Invalid Foreign Key: Customer_ID,O0039674,C019675,2026-05-13,R015,E00175,Organic Search,Completed,15074.62
39751,Invalid Foreign Key: Sales_Employee_ID,O0039750,C019751,2026-07-28,R011,E00251,Referral,Completed,2094.84
39940,Invalid Foreign Key: Customer_ID,O0039939,C019940,2026-02-02,R020,E00440,Referral,Completed,8294.42
39973,Future Date: Order_Date,O0039972,C019973,2027-02-01,R013,E00473,Email,Completed,8869.95
40029,Duplicate Primary Key,O0040027,C000029,2026-05-02,R009,E00029,Organic Search,Completed,4875.09
40251,Invalid Foreign Key: Sales_Employee_ID,O0040250,C000251,2025-12-10,R011,E00251,Google Ads,Completed,2080.59
40751,Invalid Foreign Key: Sales_Employee_ID,O0040750,C000751,2026-04-24,R011,E00251,Google Ads,Completed,2066.34
40787,Invalid Foreign Key: Customer_ID,O0040786,C000787,2026-05-30,R007,E00287,Email,Completed,7043.18
40872,Invalid Foreign Key: Sales_Employee_ID,O0040871,C000872,2026-08-23,R012,E99999,Organic Search,Completed,5794.48
40997,Invalid Foreign Key: Customer_ID,O0040996,C000997,2025-12-26,R017,E00497,Email,Completed,7835.82
41251,Invalid Foreign Key: Sales_Employee_ID,O0041250,C001251,2025-09-06,R011,E00251,Email,Completed,2052.09
41574,Invalid Foreign Key: Customer_ID,O0041573,C001574,2026-07-26,R014,E00074,Instagram,Completed,11943.69
41751,Invalid Foreign Key: Sales_Employee_ID,O0041750,C001751,2026-01-19,R011,E00251,Email,Completed,2087.71
