Source_Row,Reject_Reasons,Purchase_ID,Supplier_ID,Product_ID,Warehouse_ID,Purchase_Date,Quantity,Unit_Cost,Expected_Date,Delivery_Date,Rejected_Quantity
2551,Future Date: Delivery_Date,PU0002550,S00151,P00551,W011,2026-08-27,350,6148.0,2026-09-16,2026-09-16,28
2552,Future Date: Delivery_Date,PU0002551,S00152,P00552,W012,2026-08-28,351,6323.700000000001,2026-09-17,2026-09-18,0
2553,Future Date: Delivery_Date,PU0002552,S00153,P00553,W013,2026-08-29,352,6501.6,2026-09-18,2026-09-20,0
2554,Future Date: Delivery_Date,PU0002553,S00154,P00554,W014,2026-08-30,353,6681.700000000001,2026-09-19,2026-09-22,0
2555,Future Date: Delivery_Date,PU0002554,S00155,P00555,W015,2026-08-31,354,6864.000000000001,2026-09-20,2026-09-24,0
2577,Invalid Foreign Key: Product_ID,PU0002576,S00177,P00577,W017,2025-09-22,376,9352.8,2025-10-12,2025-10-14,0
2614,Invalid Foreign Key: Product_ID,PU0002613,S00014,P00614,W014,2025-10-29,413,1885.7,2025-11-18,2025-11-21,0
2842,Invalid Foreign Key: Product_ID,PU0002841,S00042,P00842,W002,2026-06-14,191,5242.900000000001,2026-07-04,2026-07-07,0
2899,Future Date: Delivery_Date,PU0002898,S00099,P00899,W019,2026-08-10,248,11744.8,2026-08-30,2026-09-19,0
2908,Future Date: Delivery_Date,PU0002907,S00108,P00908,W008,2026-08-19,257,1102.1,2026-09-08,2026-09-28,0
2914,Future Date: Delivery_Date,PU0002913,S00114,P00914,W014,2026-08-25,263,1885.7,2026-09-14,2026-09-17,0
2915,Future Date: Delivery_Date,PU0002914,S00115,P00915,W015,2026-08-26,264,2024.0,2026-09-15,2026-09-19,0
2916,Future Date: Delivery_Date,PU0002915,S00116,P00916,W016,2026-08-27,265,2164.5,2026-09-16,2026-09-21,0
2917,Future Date: Delivery_Date,PU0002916,S00117,P00917,W017,2026-08-28,266,2060.0,2026-09-17,2026-10-07,0
2918,Future Date: Delivery_Date,PU0002917,S00118,P00918,W018,2026-08-29,267,2191.7,2026-09-18,2026-09-19,0
2919,Future Date: Delivery_Date,PU0002918,S00119,P00919,W019,2026-08-30,268,2325.6,2026-09-19,2026-09-21,0
2920,Future Date: Delivery_Date,PU0002919,S00120,P00920,W020,2026-08-31,269,2461.7000000000003,2026-09-20,2026-09-23,0
2921,Invalid Foreign Key: Product_ID,PU0002920,S00121,P00921,W001,2025-09-01,270,2600.0,2025-09-21,2025-09-25,22
2998,Invalid Foreign Key: Product_ID,PU0002997,S00198,P00998,W018,2025-11-17,347,11957.3,2025-12-07,2025-12-27,0
3268,Future Date: Delivery_Date,PU0003267,S00068,P00268,W008,2026-08-14,167,7900.1,2026-09-03,2026-09-23,0
3276,Future Date: Delivery_Date,PU0003275,S00076,P00276,W016,2026-08-22,175,9490.5,2026-09-11,2026-09-16,0
3277,Future Date: Delivery_Date,PU0003276,S00077,P00277,W017,2026-08-23,176,8660.0,2026-09-12,2026-10-02,0
3279,Future Date: Delivery_Date,PU0003278,S00079,P00279,W019,2026-08-25,178,9057.6,2026-09-14,2026-09-16,0
3280,Future Date: Delivery_Date,PU0003279,S00080,P00280,W020,2026-08-26,179,9259.7,2026-09-15,2026-09-18,0
3281,Future Date: Delivery_Date,PU0003280,S00081,P00281,W001,2026-08-27,180,9464.0,2026-09-16,2026-09-20,15
3282,Future Date: Delivery_Date,PU0003281,S00082,P00282,W002,2026-08-28,181,9670.5,2026-09-17,2026-09-22,0
3283,Future Date: Delivery_Date,PU0003282,S00083,P00283,W003,2026-08-29,182,9879.2,2026-09-18,2026-09-18,0
3284,Future Date: Delivery_Date,PU0003283,S00084,P00284,W004,2026-08-30,183,10090.1,2026-09-19,2026-09-20,0
3285,Future Date: Delivery_Date,PU0003284,S00085,P00285,W005,2026-08-31,184,10303.2,2026-09-20,2026-09-22,0
3307,Invalid Foreign Key: Product_ID,PU0003306,S00107,P00307,W007,2025-09-22,206,1017.6,2025-10-12,2025-10-12,0
3421,Invalid Foreign Key: Product_ID,PU0003420,S00021,P00421,W001,2026-01-14,320,2500.0,2026-02-03,2026-02-23,26
3499,Invalid Foreign Key: Product_ID,PU0003498,S00099,P00499,W019,2026-04-02,398,11744.8,2026-04-22,2026-04-22,0
3577,Invalid Foreign Key: Product_ID,PU0003576,S00177,P00577,W017,2026-06-19,476,8660.0,2026-07-09,2026-07-09,0
3614,Invalid Foreign Key: Product_ID,PU0003613,S00014,P00614,W014,2026-07-26,63,1747.3,2026-08-15,2026-08-16,0
3628,Future Date: Delivery_Date,PU0003627,S00028,P00628,W008,2026-08-09,77,3368.1,2026-08-29,2026-09-18,0
3637,Future Date: Delivery_Date,PU0003636,S00037,P00637,W017,2026-08-18,86,4260.0,2026-09-07,2026-09-27,0
3642,Future Date: Delivery_Date,PU0003641,S00042,P00642,W002,2026-08-23,91,5050.5,2026-09-12,2026-09-17,0
3645,Future Date: Delivery_Date,PU0003644,S00045,P00645,W005,2026-08-26,94,5551.200000000001,2026-09-15,2026-09-17,0
3646,Future Date: Delivery_Date,PU0003645,S00046,P00646,W006,2026-08-27,95,5722.5,2026-09-16,2026-10-06,0
3647,Future Date: Delivery_Date,PU0003646,S00047,P00647,W007,2026-08-28,96,5896.000000000001,2026-09-17,2026-09-21,0
3648,Future Date: Delivery_Date,PU0003647,S00048,P00648,W008,2026-08-29,97,6071.700000000001,2026-09-18,2026-09-23,0
3649,Future Date: Delivery_Date,PU0003648,S00049,P00649,W009,2026-08-30,98,5580.0,2026-09-19,2026-09-19,0
3650,Future Date: Delivery_Date,PU0003649,S00050,P00650,W010,2026-08-31,99,5746.9,2026-09-20,2026-09-21,0
3842,Invalid Foreign Key: Product_ID,PU0003841,S00042,P00842,W002,2026-03-11,291,4858.1,2026-03-31,2026-04-01,0
3921,Invalid Foreign Key: Product_ID,PU0003920,S00121,P00921,W001,2026-05-29,370,2700.0,2026-06-18,2026-06-20,30
3997,Future Date: Delivery_Date,PU0003996,S00197,P00997,W017,2026-08-13,446,10860.0,2026-09-02,2026-09-22,0
3998,Invalid Foreign Key: Product_ID,PU0003997,S00198,P00998,W018,2026-08-14,447,11079.7,2026-09-03,2026-09-04,0
4002,Invalid Foreign Key: Supplier_ID,PU0004001,S99999,P00002,W002,2026-08-18,451,430.5,2026-09-07,2026-09-12,0
4006,Future Date: Delivery_Date,PU0004005,S00006,P00006,W006,2026-08-22,455,926.5,2026-09-11,2026-10-01,0
4007,Future Date: Delivery_Date,PU0004006,S00007,P00007,W007,2026-08-23,456,1056.0,2026-09-12,2026-09-16,0
4008,Future Date: Delivery_Date,PU0004007,S00008,P00008,W008,2026-08-24,457,1187.7,2026-09-13,2026-09-18,0
4010,Future Date: Delivery_Date,PU0004009,S00010,P00010,W010,2026-08-26,459,1302.9,2026-09-15,2026-09-16,0
4011,Future Date: Delivery_Date,PU0004010,S00011,P00011,W011,2026-08-27,460,1428.0,2026-09-16,2026-09-18,37
4012,Future Date: Delivery_Date,PU0004011,S00012,P00012,W012,2026-08-28,461,1555.3,2026-09-17,2026-09-20,0
4013,Future Date: Delivery_Date,PU0004012,S00013,P00013,W013,2026-08-29,462,1684.8,2026-09-18,2026-09-22,0
4014,Future Date: Delivery_Date,PU0004013,S00014,P00014,W014,2026-08-30,463,1816.5,2026-09-19,2026-09-24,0
4015,Future Date: Delivery_Date,PU0004014,S00015,P00015,W015,2026-08-31,464,1950.4,2026-09-20,2026-10-10,0
4307,Invalid Foreign Key: Product_ID,PU0004306,S00107,P00307,W007,2026-06-19,306,1056.0,2026-07-09,2026-07-13,0
4357,Future Date: Delivery_Date,PU0004356,S00157,P00357,W017,2026-08-08,356,6460.0,2026-08-28,2026-09-17,0
4366,Future Date: Delivery_Date,PU0004365,S00166,P00366,W006,2026-08-17,365,8120.500000000001,2026-09-06,2026-09-26,0
4373,Future Date: Delivery_Date,PU0004372,S00173,P00373,W013,2026-08-24,372,8548.800000000001,2026-09-13,2026-09-17,0
4374,Future Date: Delivery_Date,PU0004373,S00174,P00374,W014,2026-08-25,373,8746.5,2026-09-14,2026-09-19,0
4375,Future Date: Delivery_Date,PU0004374,S00175,P00375,W015,2026-08-26,374,8946.4,2026-09-15,2026-10-05,0
4376,Future Date: Delivery_Date,PU0004375,S00176,P00376,W016,2026-08-27,375,9148.5,2026-09-16,2026-09-17,0
4377,Future Date: Delivery_Date,PU0004376,S00177,P00377,W017,2026-08-28,376,9352.8,2026-09-17,2026-09-19,0
4378,Future Date: Delivery_Date,PU0004377,S00178,P00378,W018,2026-08-29,377,9559.3,2026-09-18,2026-09-21,0
4379,Future Date: Delivery_Date,PU0004378,S00179,P00379,W019,2026-08-30,378,9768.0,2026-09-19,2026-09-23,0
4380,Future Date: Delivery_Date,PU0004379,S00180,P00380,W020,2026-08-31,379,9978.9,2026-09-20,2026-09-25,0
4421,Invalid Foreign Key: Product_ID,PU0004420,S00021,P00421,W001,2025-10-11,420,2600.0,2025-10-31,2025-11-04,34
4499,Invalid Foreign Key: Product_ID,PU0004498,S00099,P00499,W019,2025-12-28,498,12188.000000000002,2026-01-17,2026-01-21,0
4577,Invalid Foreign Key: Product_ID,PU0004576,S00177,P00577,W017,2026-03-16,126,9006.4,2026-04-05,2026-04-09,0
4614,Invalid Foreign Key: Product_ID,PU0004613,S00014,P00614,W014,2026-04-22,163,1816.5,2026-05-12,2026-05-17,0
4726,Future Date: Delivery_Date,PU0004725,S00126,P00726,W006,2026-08-12,275,3324.5000000000005,2026-09-01,2026-09-21,0
4735,Future Date: Delivery_Date,PU0004734,S00135,P00735,W015,2026-08-21,284,4282.400000000001,2026-09-10,2026-09-30,0
4738,Future Date: Delivery_Date,PU0004737,S00138,P00738,W018,2026-08-24,287,4763.3,2026-09-13,2026-09-16,0
4739,Future Date: Delivery_Date,PU0004738,S00139,P00739,W019,2026-08-25,288,4928.0,2026-09-14,2026-09-18,0
4740,Future Date: Delivery_Date,PU0004739,S00140,P00740,W020,2026-08-26,289,5094.900000000001,2026-09-15,2026-09-20,0
4741,Future Date: Delivery_Date,PU0004740,S00141,P00741,W001,2026-08-27,290,4700.0,2026-09-16,2026-09-16,24
4742,Future Date: Delivery_Date,PU0004741,S00142,P00742,W002,2026-08-28,291,4858.1,2026-09-17,2026-09-18,0
4743,Future Date: Delivery_Date,PU0004742,S00143,P00743,W003,2026-08-29,292,5018.4,2026-09-18,2026-09-20,0
4744,Future Date: Delivery_Date,PU0004743,S00144,P00744,W004,2026-08-30,293,5180.900000000001,2026-09-19,2026-10-09,0
4745,Future Date: Delivery_Date,PU0004744,S00145,P00745,W005,2026-08-31,294,5345.6,2026-09-20,2026-09-24,0
4842,Invalid Foreign Key: Product_ID,PU0004841,S00042,P00842,W002,2025-12-06,391,5050.5,2025-12-26,2025-12-31,0
4921,Invalid Foreign Key: Product_ID,PU0004920,S00121,P00921,W001,2026-02-23,470,2500.0,2026-03-15,2026-03-15,38
4998,Invalid Foreign Key: Product_ID,PU0004997,S00198,P00998,W018,2026-05-11,97,11518.5,2026-05-31,2026-06-05,0
5004,Negative Value: Quantity,PU0005003,S00004,P00004,W004,2026-05-17,-10,699.3000000000001,2026-06-06,2026-06-11,0
5086,Future Date: Delivery_Date,PU0005085,S00086,P00086,W006,2026-08-07,185,10518.5,2026-08-27,2026-09-16,0
5095,Future Date: Delivery_Date,PU0005094,S00095,P00095,W015,2026-08-16,194,11278.4,2026-09-05,2026-09-25,0
5104,Future Date: Delivery_Date,PU0005103,S00104,P00104,W004,2026-08-25,203,648.9,2026-09-14,2026-10-04,0
5105,Future Date: Delivery_Date,PU0005104,S00105,P00105,W005,2026-08-26,204,769.6,2026-09-15,2026-09-19,0
5106,Future Date: Delivery_Date,PU0005105,S00106,P00106,W006,2026-08-27,205,892.5,2026-09-16,2026-09-21,0
5107,Future Date: Delivery_Date,PU0005106,S00107,P00107,W007,2026-08-28,206,1017.6,2026-09-17,2026-09-17,0
5108,Future Date: Delivery_Date,PU0005107,S00108,P00108,W008,2026-08-29,207,1144.9,2026-09-18,2026-09-19,0
5109,Future Date: Delivery_Date,PU0005108,S00109,P00109,W009,2026-08-30,208,1274.4,2026-09-19,2026-09-21,0
5110,Future Date: Delivery_Date,PU0005109,S00110,P00110,W010,2026-08-31,209,1406.1,2026-09-20,2026-09-23,0
5307,Invalid Foreign Key: Product_ID,PU0005306,S00107,P00307,W007,2026-03-16,406,979.2,2026-04-05,2026-04-07,0
5421,Invalid Foreign Key: Product_ID,PU0005420,S00021,P00421,W001,2026-07-08,70,2700.0,2026-07-28,2026-07-30,6
5455,Future Date: Delivery_Date,PU0005454,S00055,P00455,W015,2026-08-11,104,6614.400000000001,2026-08-31,2026-09-20,0
5464,Future Date: Delivery_Date,PU0005463,S00064,P00464,W004,2026-08-20,113,7446.900000000001,2026-09-09,2026-09-29,0
5466,Future Date: Delivery_Date,PU0005465,S00066,P00466,W006,2026-08-22,115,7822.5,2026-09-11,2026-09-16,0
5469,Future Date: Delivery_Date,PU0005468,S00069,P00469,W009,2026-08-25,118,8402.400000000001,2026-09-14,2026-09-16,0
5470,Future Date: Delivery_Date,PU0005469,S00070,P00470,W010,2026-08-26,119,8600.1,2026-09-15,2026-09-18,0
5471,Future Date: Delivery_Date,PU0005470,S00071,P00471,W011,2026-08-27,120,8800.0,2026-09-16,2026-09-20,10
5472,Future Date: Delivery_Date,PU0005471,S00072,P00472,W012,2026-08-28,121,9002.1,2026-09-17,2026-09-22,0
5473,Future Date: Delivery_Date,PU0005472,S00073,P00473,W013,2026-08-29,122,8220.0,2026-09-18,2026-10-08,0
5474,Future Date: Delivery_Date,PU0005473,S00074,P00474,W014,2026-08-30,123,8413.3,2026-09-19,2026-09-20,0
5475,Future Date: Delivery_Date,PU0005474,S00075,P00475,W015,2026-08-31,124,8608.8,2026-09-20,2026-09-22,0
5499,Invalid Foreign Key: Product_ID,PU0005498,S00099,P00499,W019,2025-09-24,148,11301.6,2025-10-14,2025-10-16,0
5577,Invalid Foreign Key: Product_ID,PU0005576,S00177,P00577,W017,2025-12-11,226,9352.8,2025-12-31,2026-01-02,0
5614,Invalid Foreign Key: Product_ID,PU0005613,S00014,P00614,W014,2026-01-17,263,1885.7,2026-02-06,2026-02-09,0
5824,Future Date: Delivery_Date,PU0005823,S00024,P00824,W004,2026-08-15,473,2914.9,2026-09-04,2026-09-24,0
5832,Future Date: Delivery_Date,PU0005831,S00032,P00832,W012,2026-08-23,481,4118.1,2026-09-12,2026-09-17,0
5833,Future Date: Delivery_Date,PU0005832,S00033,P00833,W013,2026-08-24,482,3820.0,2026-09-13,2026-10-03,0
5835,Future Date: Delivery_Date,PU0005834,S00035,P00835,W015,2026-08-26,484,4120.8,2026-09-15,2026-09-17,0
5836,Future Date: Delivery_Date,PU0005835,S00036,P00836,W016,2026-08-27,485,4274.5,2026-09-16,2026-09-19,0
5837,Future Date: Delivery_Date,PU0005836,S00037,P00837,W017,2026-08-28,486,4430.400000000001,2026-09-17,2026-09-21,0
5838,Future Date: Delivery_Date,PU0005837,S00038,P00838,W018,2026-08-29,487,4588.5,2026-09-18,2026-09-23,0
5839,Future Date: Delivery_Date,PU0005838,S00039,P00839,W019,2026-08-30,488,4748.8,2026-09-19,2026-09-19,0
5840,Future Date: Delivery_Date,PU0005839,S00040,P00840,W020,2026-08-31,489,4911.3,2026-09-20,2026-09-21,0
5842,Invalid Foreign Key: Product_ID,PU0005841,S00042,P00842,W002,2025-09-02,491,5242.900000000001,2025-09-22,2025-10-12,0
5921,Invalid Foreign Key: Product_ID,PU0005920,S00121,P00921,W001,2025-11-20,120,2600.0,2025-12-10,2025-12-14,10
5998,Invalid Foreign Key: Product_ID,PU0005997,S00198,P00998,W018,2026-02-05,197,11957.3,2026-02-25,2026-02-28,0
6184,Future Date: Delivery_Date,PU0006183,S00184,P00184,W004,2026-08-10,383,9712.9,2026-08-30,2026-09-19,0
6193,Future Date: Delivery_Date,PU0006192,S00193,P00193,W013,2026-08-19,392,10420.0,2026-09-08,2026-09-28,0
6197,Future Date: Delivery_Date,PU0006196,S00197,P00197,W017,2026-08-23,396,11294.4,2026-09-12,2026-09-16,0
6198,Future Date: Delivery_Date,PU0006197,S00198,P00198,W018,2026-08-24,397,11518.5,2026-09-13,2026-09-18,0
6200,Future Date: Delivery_Date,PU0006199,S00200,P00200,W020,2026-08-26,399,11973.3,2026-09-15,2026-09-16,0
6201,Future Date: Delivery_Date,PU0006200,S00001,P00201,W001,2026-08-27,400,324.0,2026-09-16,2026-09-18,32
6202,Future Date: Delivery_Date,PU0006201,S00002,P00202,W002,2026-08-28,401,446.9,2026-09-17,2026-10-07,0
6203,Future Date: Delivery_Date,PU0006202,S00003,P00203,W003,2026-08-29,402,572.0,2026-09-18,2026-09-22,0
6204,Future Date: Delivery_Date,PU0006203,S00004,P00204,W004,2026-08-30,403,699.3000000000001,2026-09-19,2026-09-24,0
6205,Future Date: Delivery_Date,PU0006204,S00005,P00205,W005,2026-08-31,404,740.0,2026-09-20,2026-09-20,0
6307,Invalid Foreign Key: Product_ID,PU0006306,S00107,P00307,W007,2025-12-11,56,1017.6,2025-12-31,2025-12-31,0
6421,Invalid Foreign Key: Product_ID,PU0006420,S00021,P00421,W001,2026-04-04,170,2500.0,2026-04-24,2026-04-24,14
