Source_Row,Reject_Reasons,Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount_Pct,Gross_Amount,Net_Amount
1921,Invalid Foreign Key: Product_ID,OI00001920,O0001920,P00921,1,4000.0,0.02,4000.0,301.96
1994,Invalid Foreign Key: Order_ID,OI00001993,O0001993,P00994,4,16775.0,0.05,67100.0,4910.29
1998,Invalid Foreign Key: Product_ID,OI00001997,O0001997,P00998,3,17475.0,0.02,52425.0,3957.54
2202,Invalid Foreign Key: Order_ID,OI00002201,O0002201,P00202,2,675.0,0.03,1350.0,100.87
2251,Invalid Foreign Key: Order_ID,OI00002250,O0002250,P00251,1,9250.0,0.03,9250.0,691.15
2307,Invalid Foreign Key: Product_ID,OI00002306,O0002306,P00307,2,1550.0,0.03,3100.0,231.63
2361,Invalid Foreign Key: Order_ID,OI00002360,O0002360,P00361,1,11000.0,0.01,11000.0,838.86
2421,Invalid Foreign Key: Product_ID,OI00002420,O0002420,P00421,1,4000.0,0.05,4000.0,292.71
2499,Invalid Foreign Key: Product_ID,OI00002498,O0002498,P00499,4,17650.0,0.06,70600.0,5112.03
2577,Invalid Foreign Key: Product_ID,OI00002576,O0002576,P00577,2,13800.0,0.0,27600.0,2126.03
2614,Invalid Foreign Key: Product_ID,OI00002613,O0002613,P00614,4,2775.0,0.02,11100.0,837.93
2751,Invalid Foreign Key: Order_ID,OI00002750,O0002750,P00751,1,9250.0,0.06,9250.0,669.78
2842,Invalid Foreign Key: Product_ID,OI00002841,O0002841,P00842,2,7675.0,0.06,15350.0,1111.47
2921,Invalid Foreign Key: Product_ID,OI00002920,O0002920,P00921,1,4000.0,0.01,4000.0,305.04
2991,Invalid Foreign Key: Order_ID,OI00002990,O0002990,P00991,1,16250.0,0.01,16250.0,1239.22
2998,Invalid Foreign Key: Product_ID,OI00002997,O0002997,P00998,3,17475.0,0.01,52425.0,3997.93
3148,Invalid Foreign Key: Order_ID,OI00003147,O0003147,P00148,3,8725.0,0.04,26175.0,1935.62
3204,Invalid Foreign Key: Product_ID,OI00003203,O0003203,P99999,4,1025.0,0.04,4100.0,303.19
3251,Invalid Foreign Key: Order_ID,OI00003250,O0003250,P00251,1,9250.0,0.02,9250.0,698.28
3307,Invalid Foreign Key: Product_ID,OI00003306,O0003306,P00307,2,1550.0,0.02,3100.0,234.02
3332,Invalid Foreign Key: Order_ID,OI00003331,O0003331,P00332,2,5925.0,0.06,11850.0,858.04
3421,Invalid Foreign Key: Product_ID,OI00003420,O0003420,P00421,1,4000.0,0.04,4000.0,295.8
3499,Invalid Foreign Key: Product_ID,OI00003498,O0003498,P00499,4,17650.0,0.05,70600.0,5166.42
3555,Invalid Foreign Key: Order_ID,OI00003554,O0003554,P00555,5,9950.0,0.05,49750.0,3640.64
3577,Invalid Foreign Key: Product_ID,OI00003576,O0003576,P00577,2,13800.0,0.06,27600.0,1998.47
3614,Invalid Foreign Key: Product_ID,OI00003613,O0003613,P00614,4,2775.0,0.01,11100.0,846.49
3751,Invalid Foreign Key: Order_ID,OI00003750,O0003750,P00751,1,9250.0,0.05,9250.0,676.9
3842,Invalid Foreign Key: Product_ID,OI00003841,O0003841,P00842,2,7675.0,0.05,15350.0,1123.29
3921,Invalid Foreign Key: Product_ID,OI00003920,O0003920,P00921,1,4000.0,0.0,4000.0,308.12
3935,Invalid Foreign Key: Order_ID,OI00003934,O0003934,P00935,5,6450.0,0.0,32250.0,2484.23
3988,Invalid Foreign Key: Order_ID,OI00003987,O0003987,P00988,3,15725.0,0.04,47175.0,3488.55
3998,Invalid Foreign Key: Product_ID,OI00003997,O0003997,P00998,3,17475.0,0.0,52425.0,4038.31
4002,Negative Value: Quantity; Negative Value: Gross_Amount; Negative Value: Net_Amount,OI00004001,O0004001,P00002,-2,675.0,0.04,-1350.0,-99.83
4251,Invalid Foreign Key: Order_ID,OI00004250,O0004250,P00251,1,9250.0,0.01,9250.0,705.4
4307,Invalid Foreign Key: Product_ID,OI00004306,O0004306,P00307,2,1550.0,0.01,3100.0,236.41
4403,Invalid Foreign Key: Order_ID,OI00004402,O0004402,P00403,3,850.0,0.06,2550.0,184.64
4421,Invalid Foreign Key: Product_ID,OI00004420,O0004420,P00421,1,4000.0,0.03,4000.0,298.88
4499,Invalid Foreign Key: Product_ID,OI00004498,O0004498,P00499,4,17650.0,0.04,70600.0,5220.8
4577,Invalid Foreign Key: Product_ID,OI00004576,O0004576,P00577,2,13800.0,0.05,27600.0,2019.73
4614,Invalid Foreign Key: Product_ID,OI00004613,O0004613,P00614,4,2775.0,0.0,11100.0,855.04
4722,Invalid Foreign Key: Order_ID,OI00004721,O0004721,P00722,2,4175.0,0.03,8350.0,623.91
4751,Invalid Foreign Key: Order_ID,OI00004750,O0004750,P00751,1,9250.0,0.04,9250.0,684.03
4842,Invalid Foreign Key: Product_ID,OI00004841,O0004841,P00842,2,7675.0,0.04,15350.0,1135.12
4921,Invalid Foreign Key: Product_ID,OI00004920,O0004920,P00921,1,4000.0,0.06,4000.0,289.63
4985,Invalid Foreign Key: Order_ID,OI00004984,O0004984,P00985,5,15200.0,0.0,76000.0,5854.3
4998,Invalid Foreign Key: Product_ID,OI00004997,O0004997,P00998,3,17475.0,0.06,52425.0,3796.01
5004,Invalid Foreign Key: Order_ID,OI00005003,O9999999,P00004,4,1025.0,0.05,4100.0,300.03
5251,Invalid Foreign Key: Order_ID,OI00005250,O0005250,P00251,1,9250.0,0.0,9250.0,712.53
5307,Invalid Foreign Key: Product_ID,OI00005306,O0005306,P00307,2,1550.0,0.0,3100.0,238.79
5332,Invalid Foreign Key: Order_ID,OI00005331,O0005331,P00332,2,5925.0,0.04,11850.0,876.3
5421,Invalid Foreign Key: Product_ID,OI00005420,O0005420,P00421,1,4000.0,0.02,4000.0,301.96
5499,Invalid Foreign Key: Product_ID,OI00005498,O0005498,P00499,4,17650.0,0.03,70600.0,5275.18
5509,Invalid Foreign Key: Order_ID,OI00005508,O0005508,P00509,4,1900.0,0.06,7600.0,550.3
5577,Invalid Foreign Key: Product_ID,OI00005576,O0005576,P00577,2,13800.0,0.04,27600.0,2040.99
5614,Invalid Foreign Key: Product_ID,OI00005613,O0005613,P00614,4,2775.0,0.06,11100.0,803.73
5751,Invalid Foreign Key: Order_ID,OI00005750,O0005750,P00751,1,9250.0,0.03,9250.0,691.15
5842,Invalid Foreign Key: Product_ID,OI00005841,O0005841,P00842,2,7675.0,0.03,15350.0,1146.94
5921,Invalid Foreign Key: Product_ID,OI00005920,O0005920,P00921,1,4000.0,0.05,4000.0,292.71
5982,Invalid Foreign Key: Order_ID,OI00005981,O0005981,P00982,2,14675.0,0.03,29350.0,2193.01
5998,Invalid Foreign Key: Product_ID,OI00005997,O0005997,P00998,3,17475.0,0.05,52425.0,3836.39
6251,Invalid Foreign Key: Order_ID,OI00006250,O0006250,P00251,1,9250.0,0.06,9250.0,669.78
6296,Invalid Foreign Key: Order_ID,OI00006295,O0006295,P00296,1,17125.0,0.02,17125.0,1292.76
6307,Invalid Foreign Key: Product_ID,OI00006306,O0006306,P00307,2,1550.0,0.06,3100.0,224.47
6407,Invalid Foreign Key: Product_ID,OI00006406,O0006406,P99999,2,1550.0,0.01,3100.0,236.41
6421,Invalid Foreign Key: Product_ID,OI00006420,O0006420,P00421,1,4000.0,0.01,4000.0,305.04
6499,Invalid Foreign Key: Product_ID,OI00006498,O0006498,P00499,4,17650.0,0.02,70600.0,5329.57
6577,Invalid Foreign Key: Product_ID,OI00006576,O0006576,P00577,2,13800.0,0.03,27600.0,2062.25
6604,Invalid Foreign Key: Order_ID,OI00006603,O0006603,P00604,4,1025.0,0.02,4100.0,309.51
6614,Invalid Foreign Key: Product_ID,OI00006613,O0006613,P00614,4,2775.0,0.05,11100.0,812.28
6663,Invalid Foreign Key: Order_ID,OI00006662,O0006662,P00663,3,11350.0,0.05,34050.0,2491.74
6751,Invalid Foreign Key: Order_ID,OI00006750,O0006750,P00751,1,9250.0,0.02,9250.0,698.28
6842,Invalid Foreign Key: Product_ID,OI00006841,O0006841,P00842,2,7675.0,0.02,15350.0,1158.77
6921,Invalid Foreign Key: Product_ID,OI00006920,O0006920,P00921,1,4000.0,0.04,4000.0,295.8
6979,Invalid Foreign Key: Order_ID,OI00006978,O0006978,P00979,4,14150.0,0.06,56600.0,4098.32
6998,Invalid Foreign Key: Product_ID,OI00006997,O0006997,P00998,3,17475.0,0.04,52425.0,3876.78
7002,Negative Value: Unit_Price; Negative Value: Gross_Amount; Negative Value: Net_Amount,OI00007001,O0007001,P00002,2,-500.0,0.01,-1000.0,-76.26
7083,Invalid Foreign Key: Order_ID,OI00007082,O0007082,P00083,3,14850.0,0.05,44550.0,3260.11
7109,Invalid Foreign Key: Order_ID,OI00007108,O0007108,P00109,4,1900.0,0.03,7600.0,567.87
7251,Invalid Foreign Key: Order_ID,OI00007250,O0007250,P00251,1,9250.0,0.05,9250.0,676.9
7307,Invalid Foreign Key: Product_ID,OI00007306,O0007306,P00307,2,1550.0,0.05,3100.0,226.85
7421,Invalid Foreign Key: Product_ID,OI00007420,O0007420,P00421,1,4000.0,0.0,4000.0,308.12
7499,Invalid Foreign Key: Product_ID,OI00007498,O0007498,P00499,4,17650.0,0.01,70600.0,5383.95
7577,Invalid Foreign Key: Product_ID,OI00007576,O0007576,P00577,2,13800.0,0.02,27600.0,2083.51
7614,Invalid Foreign Key: Product_ID,OI00007613,O0007613,P00614,4,2775.0,0.04,11100.0,820.83
7751,Invalid Foreign Key: Order_ID,OI00007750,O0007750,P00751,1,9250.0,0.01,9250.0,705.4
7842,Invalid Foreign Key: Product_ID,OI00007841,O0007841,P00842,2,7675.0,0.01,15350.0,1170.59
7870,Invalid Foreign Key: Order_ID,OI00007869,O0007869,P00870,5,12575.0,0.01,62875.0,4794.84
7921,Invalid Foreign Key: Product_ID,OI00007920,O0007920,P00921,1,4000.0,0.03,4000.0,298.88
7976,Invalid Foreign Key: Order_ID,OI00007975,O0007975,P00976,1,13625.0,0.02,13625.0,1028.55
7998,Invalid Foreign Key: Product_ID,OI00007997,O0007997,P00998,3,17475.0,0.03,52425.0,3917.16
8003,Negative Value: Quantity; Negative Value: Gross_Amount; Negative Value: Net_Amount,OI00008002,O0008002,P00003,-2,850.0,0.01,-1700.0,-129.64
8251,Invalid Foreign Key: Order_ID,OI00008250,O0008250,P00251,1,9250.0,0.04,9250.0,684.03
8307,Invalid Foreign Key: Product_ID,OI00008306,O0008306,P00307,2,1550.0,0.04,3100.0,229.24
8421,Invalid Foreign Key: Product_ID,OI00008420,O0008420,P00421,1,4000.0,0.06,4000.0,289.63
8499,Invalid Foreign Key: Product_ID,OI00008498,O0008498,P00499,4,17650.0,0.0,70600.0,5438.33
8577,Invalid Foreign Key: Product_ID,OI00008576,O0008576,P00577,2,13800.0,0.01,27600.0,2104.77
8614,Invalid Foreign Key: Product_ID,OI00008613,O0008613,P00614,4,2775.0,0.03,11100.0,829.38
8657,Invalid Foreign Key: Order_ID,OI00008656,O0008656,P00657,2,10300.0,0.04,20600.0,1523.35
8751,Invalid Foreign Key: Order_ID,OI00008750,O0008750,P00751,1,9250.0,0.0,9250.0,712.53
8805,Invalid Foreign Key: Order_ID,OI00008804,O0008804,P00805,5,1200.0,0.05,6000.0,439.07
8842,Invalid Foreign Key: Product_ID,OI00008841,O0008841,P00842,2,7675.0,0.0,15350.0,1182.41
8886,Invalid Foreign Key: Order_ID,OI00008885,O0008885,P00886,1,15375.0,0.02,15375.0,1160.65
8921,Invalid Foreign Key: Product_ID,OI00008920,O0008920,P00921,1,4000.0,0.02,4000.0,301.96
8973,Invalid Foreign Key: Order_ID,OI00008972,O0008972,P00973,3,13100.0,0.05,39300.0,2875.92
8998,Invalid Foreign Key: Product_ID,OI00008997,O0008997,P00998,3,17475.0,0.02,52425.0,3957.54
9251,Invalid Foreign Key: Order_ID,OI00009250,O0009250,P00251,1,9250.0,0.03,9250.0,691.15
9307,Invalid Foreign Key: Product_ID,OI00009306,O0009306,P00307,2,1550.0,0.03,3100.0,231.63
9421,Invalid Foreign Key: Product_ID,OI00009420,O0009420,P00421,1,4000.0,0.05,4000.0,292.71
9444,Invalid Foreign Key: Order_ID,OI00009443,O0009443,P00444,4,8025.0,0.0,32100.0,2472.67
9499,Invalid Foreign Key: Product_ID,OI00009498,O0009498,P00499,4,17650.0,0.06,70600.0,5112.03
9577,Invalid Foreign Key: Product_ID,OI00009576,O0009576,P00577,2,13800.0,0.0,27600.0,2126.03
9610,Invalid Foreign Key: Product_ID,OI00009609,O0009609,P99999,5,2075.0,0.05,10375.0,759.23
9614,Invalid Foreign Key: Product_ID,OI00009613,O0009613,P00614,4,2775.0,0.02,11100.0,837.93
9751,Invalid Foreign Key: Order_ID,OI00009750,O0009750,P00751,1,9250.0,0.06,9250.0,669.78
9842,Invalid Foreign Key: Product_ID,OI00009841,O0009841,P00842,2,7675.0,0.06,15350.0,1111.47
9921,Invalid Foreign Key: Product_ID,OI00009920,O0009920,P00921,1,4000.0,0.01,4000.0,305.04
9970,Invalid Foreign Key: Order_ID,OI00009969,O0009969,P00970,5,12575.0,0.01,62875.0,4794.84
9994,Invalid Foreign Key: Order_ID,OI00009993,O0009993,P00994,4,16775.0,0.04,67100.0,4961.98
9998,Invalid Foreign Key: Product_ID,OI00009997,O0009997,P00998,3,17475.0,0.01,52425.0,3997.93
10007,Invalid Foreign Key: Order_ID,OI00010006,O9999999,P00007,2,1550.0,0.03,3100.0,231.63
10008,Invalid Foreign Key: Order_ID,OI00010007,O0010007,P00008,3,1725.0,0.04,5175.0,382.69
10231,Invalid Foreign Key: Order_ID,OI00010230,O0010230,P00231,1,5750.0,0.03,5750.0,429.64
10251,Invalid Foreign Key: Order_ID,OI00010250,O0010250,P00251,1,9250.0,0.02,9250.0,698.28
10307,Invalid Foreign Key: Product_ID,OI00010306,O0010306,P00307,2,1550.0,0.02,3100.0,234.02
10421,Invalid Foreign Key: Product_ID,OI00010420,O0010420,P00421,1,4000.0,0.04,4000.0,295.8
10499,Invalid Foreign Key: Product_ID,OI00010498,O0010498,P00499,4,17650.0,0.05,70600.0,5166.42
10577,Invalid Foreign Key: Product_ID,OI00010576,O0010576,P00577,2,13800.0,0.06,27600.0,1998.47
10614,Invalid Foreign Key: Product_ID,OI00010613,O0010613,P00614,4,2775.0,0.01,11100.0,846.49
10663,Invalid Foreign Key: Order_ID,OI00010662,O0010662,P00663,3,11350.0,0.01,34050.0,2596.65
10751,Invalid Foreign Key: Order_ID,OI00010750,O0010750,P00751,1,9250.0,0.05,9250.0,676.9
10842,Invalid Foreign Key: Product_ID,OI00010841,O0010841,P00842,2,7675.0,0.05,15350.0,1123.29
10921,Invalid Foreign Key: Product_ID,OI00010920,O0010920,P00921,1,4000.0,0.0,4000.0,308.12
10967,Invalid Foreign Key: Order_ID,OI00010966,O0010966,P00967,2,12050.0,0.04,24100.0,1782.17
10998,Invalid Foreign Key: Product_ID,OI00010997,O0010997,P00998,3,17475.0,0.0,52425.0,4038.31
11006,Invalid Foreign Key: Order_ID,OI00011005,O0011005,P00006,1,1375.0,0.01,1375.0,104.86
11018,Invalid Foreign Key: Order_ID,OI00011017,O0011017,P00018,3,3475.0,0.06,10425.0,754.86
11251,Invalid Foreign Key: Order_ID,OI00011250,O0011250,P00251,1,9250.0,0.01,9250.0,705.4
11307,Invalid Foreign Key: Product_ID,OI00011306,O0011306,P00307,2,1550.0,0.01,3100.0,236.41
11421,Invalid Foreign Key: Product_ID,OI00011420,O0011420,P00421,1,4000.0,0.03,4000.0,298.88
11499,Invalid Foreign Key: Product_ID,OI00011498,O0011498,P00499,4,17650.0,0.04,70600.0,5220.8
11577,Invalid Foreign Key: Product_ID,OI00011576,O0011576,P00577,2,13800.0,0.05,27600.0,2019.73
11614,Invalid Foreign Key: Product_ID,OI00011613,O0011613,P00614,4,2775.0,0.0,11100.0,855.04
11751,Invalid Foreign Key: Order_ID,OI00011750,O0011750,P00751,1,9250.0,0.04,9250.0,684.03
11805,Invalid Foreign Key: Order_ID,OI00011804,O0011804,P00805,5,1200.0,0.02,6000.0,452.94
11842,Invalid Foreign Key: Product_ID,OI00011841,O0011841,P00842,2,7675.0,0.04,15350.0,1135.12
11921,Invalid Foreign Key: Product_ID,OI00011920,O0011920,P00921,1,4000.0,0.06,4000.0,289.63
11964,Invalid Foreign Key: Order_ID,OI00011963,O0011963,P00964,4,11525.0,0.0,46100.0,3551.09
11998,Invalid Foreign Key: Product_ID,OI00011997,O0011997,P00998,3,17475.0,0.06,52425.0,3796.01
12004,Negative Value: Quantity; Negative Value: Gross_Amount; Negative Value: Net_Amount,OI00012003,O0012003,P00004,-2,1025.0,0.05,-2050.0,-150.02
12251,Invalid Foreign Key: Order_ID,OI00012250,O0012250,P00251,1,9250.0,0.0,9250.0,712.53
12307,Invalid Foreign Key: Product_ID,OI00012306,O0012306,P00307,2,1550.0,0.0,3100.0,238.79
12421,Invalid Foreign Key: Product_ID,OI00012420,O0012420,P00421,1,4000.0,0.02,4000.0,301.96
12440,Invalid Foreign Key: Order_ID,OI00012439,O0012439,P00440,5,7325.0,0.0,36625.0,2821.23
12499,Invalid Foreign Key: Product_ID,OI00012498,O0012498,P00499,4,17650.0,0.03,70600.0,5275.18
12577,Invalid Foreign Key: Product_ID,OI00012576,O0012576,P00577,2,13800.0,0.04,27600.0,2040.99
12592,Invalid Foreign Key: Order_ID,OI00012591,O0012591,P00592,2,16425.0,0.05,32850.0,2403.92
12614,Invalid Foreign Key: Product_ID,OI00012613,O0012613,P00614,4,2775.0,0.06,11100.0,803.73
12751,Invalid Foreign Key: Order_ID,OI00012750,O0012750,P00751,1,9250.0,0.03,9250.0,691.15
12813,Invalid Foreign Key: Product_ID,OI00012812,O0012812,P99999,3,2600.0,0.02,7800.0,588.82
12842,Invalid Foreign Key: Product_ID,OI00012841,O0012841,P00842,2,7675.0,0.03,15350.0,1146.94
12921,Invalid Foreign Key: Product_ID,OI00012920,O0012920,P00921,1,4000.0,0.05,4000.0,292.71
12961,Invalid Foreign Key: Order_ID,OI00012960,O0012960,P00961,1,11000.0,0.03,11000.0,821.91
12998,Invalid Foreign Key: Product_ID,OI00012997,O0012997,P00998,3,17475.0,0.05,52425.0,3836.39
13207,Invalid Foreign Key: Order_ID,OI00013206,O0013206,P00207,2,1550.0,0.04,3100.0,229.24
13251,Invalid Foreign Key: Order_ID,OI00013250,O0013250,P00251,1,9250.0,0.06,9250.0,669.78
13307,Invalid Foreign Key: Product_ID,OI00013306,O0013306,P00307,2,1550.0,0.06,3100.0,224.47
13325,Invalid Foreign Key: Order_ID,OI00013324,O0013324,P00325,5,4700.0,0.03,23500.0,1755.9
13379,Invalid Foreign Key: Order_ID,OI00013378,O0013378,P00379,4,14150.0,0.01,56600.0,4316.31
13421,Invalid Foreign Key: Product_ID,OI00013420,O0013420,P00421,1,4000.0,0.01,4000.0,305.04
13499,Invalid Foreign Key: Product_ID,OI00013498,O0013498,P00499,4,17650.0,0.02,70600.0,5329.57
13577,Invalid Foreign Key: Product_ID,OI00013576,O0013576,P00577,2,13800.0,0.03,27600.0,2062.25
13614,Invalid Foreign Key: Product_ID,OI00013613,O0013613,P00614,4,2775.0,0.05,11100.0,812.28
13751,Invalid Foreign Key: Order_ID,OI00013750,O0013750,P00751,1,9250.0,0.02,9250.0,698.28
13842,Invalid Foreign Key: Product_ID,OI00013841,O0013841,P00842,2,7675.0,0.02,15350.0,1158.77
13921,Invalid Foreign Key: Product_ID,OI00013920,O0013920,P00921,1,4000.0,0.04,4000.0,295.8
13958,Invalid Foreign Key: Order_ID,OI00013957,O0013957,P00958,3,10475.0,0.06,31425.0,2275.43
13998,Invalid Foreign Key: Product_ID,OI00013997,O0013997,P00998,3,17475.0,0.04,52425.0,3876.78
14003,Negative Value: Unit_Price; Negative Value: Gross_Amount; Negative Value: Net_Amount,OI00014002,O0014002,P00003,3,-500.0,0.02,-1500.0,-113.23
14166,Invalid Foreign Key: Order_ID,OI00014165,O0014165,P00166,1,11875.0,0.04,11875.0,878.14
14217,Invalid Foreign Key: Order_ID,OI00014216,O0014216,P00217,2,3300.0,0.06,6600.0,477.9
14251,Invalid Foreign Key: Order_ID,OI00014250,O0014250,P00251,1,9250.0,0.05,9250.0,676.9
14307,Invalid Foreign Key: Product_ID,OI00014306,O0014306,P00307,2,1550.0,0.05,3100.0,226.85
14421,Invalid Foreign Key: Product_ID,OI00014420,O0014420,P00421,1,4000.0,0.0,4000.0,308.12
14499,Invalid Foreign Key: Product_ID,OI00014498,O0014498,P00499,4,17650.0,0.01,70600.0,5383.95
14577,Invalid Foreign Key: Product_ID,OI00014576,O0014576,P00577,2,13800.0,0.02,27600.0,2083.51
14614,Invalid Foreign Key: Product_ID,OI00014613,O0014613,P00614,4,2775.0,0.04,11100.0,820.83
14751,Invalid Foreign Key: Order_ID,OI00014750,O0014750,P00751,1,9250.0,0.01,9250.0,705.4
14842,Invalid Foreign Key: Product_ID,OI00014841,O0014841,P00842,2,7675.0,0.01,15350.0,1170.59
14921,Invalid Foreign Key: Product_ID,OI00014920,O0014920,P00921,1,4000.0,0.03,4000.0,298.88
14953,Invalid Foreign Key: Order_ID,OI00014952,O0014952,P00953,3,9600.0,0.0,28800.0,2218.47
14955,Invalid Foreign Key: Order_ID,OI00014954,O0014954,P00955,5,9950.0,0.02,49750.0,3755.61
14998,Invalid Foreign Key: Product_ID,OI00014997,O0014997,P00998,3,17475.0,0.03,52425.0,3917.16
15010,Invalid Foreign Key: Order_ID,OI00015009,O9999999,P00010,5,2075.0,0.01,10375.0,791.2
15251,Invalid Foreign Key: Order_ID,OI00015250,O0015250,P00251,1,9250.0,0.04,9250.0,684.03
15307,Invalid Foreign Key: Product_ID,OI00015306,O0015306,P00307,2,1550.0,0.04,3100.0,229.24
15408,Invalid Foreign Key: Order_ID,OI00015407,O0015407,P00408,3,1725.0,0.0,5175.0,398.63
15421,Invalid Foreign Key: Product_ID,OI00015420,O0015420,P00421,1,4000.0,0.06,4000.0,289.63
15499,Invalid Foreign Key: Product_ID,OI00015498,O0015498,P00499,4,17650.0,0.0,70600.0,5438.33
15577,Invalid Foreign Key: Product_ID,OI00015576,O0015576,P00577,2,13800.0,0.01,27600.0,2104.77
15614,Invalid Foreign Key: Product_ID,OI00015613,O0015613,P00614,4,2775.0,0.03,11100.0,829.38
15740,Invalid Foreign Key: Order_ID,OI00015739,O0015739,P00740,5,7325.0,0.03,36625.0,2736.6
15751,Invalid Foreign Key: Order_ID,OI00015750,O0015750,P00751,1,9250.0,0.0,9250.0,712.53
15842,Invalid Foreign Key: Product_ID,OI00015841,O0015841,P00842,2,7675.0,0.0,15350.0,1182.41
15921,Invalid Foreign Key: Product_ID,OI00015920,O0015920,P00921,1,4000.0,0.02,4000.0,301.96
15952,Invalid Foreign Key: Order_ID,OI00015951,O0015951,P00952,2,9425.0,0.05,18850.0,1379.42
15994,Invalid Foreign Key: Order_ID,OI00015993,O0015993,P00994,4,16775.0,0.05,67100.0,4910.29
15998,Invalid Foreign Key: Product_ID,OI00015997,O0015997,P00998,3,17475.0,0.02,52425.0,3957.54
16005,Negative Value: Quantity; Negative Value: Gross_Amount; Negative Value: Net_Amount,OI00016004,O0016004,P00005,-2,1200.0,0.02,-2400.0,-181.18
16016,Invalid Foreign Key: Product_ID,OI00016015,O0016015,P99999,1,3125.0,0.06,3125.0,226.28
16251,Invalid Foreign Key: Order_ID,OI00016250,O0016250,P00251,1,9250.0,0.03,9250.0,691.15
16307,Invalid Foreign Key: Product_ID,OI00016306,O0016306,P00307,2,1550.0,0.03,3100.0,231.63
16421,Invalid Foreign Key: Product_ID,OI00016420,O0016420,P00421,1,4000.0,0.05,4000.0,292.71
16499,Invalid Foreign Key: Product_ID,OI00016498,O0016498,P00499,4,17650.0,0.06,70600.0,5112.03
16527,Invalid Foreign Key: Order_ID,OI00016526,O0016526,P00527,2,5050.0,0.06,10100.0,731.33
16577,Invalid Foreign Key: Product_ID,OI00016576,O0016576,P00577,2,13800.0,0.0,27600.0,2126.03
16614,Invalid Foreign Key: Product_ID,OI00016613,O0016613,P00614,4,2775.0,0.02,11100.0,837.93
16656,Invalid Foreign Key: Order_ID,OI00016655,O0016655,P00656,1,10125.0,0.02,10125.0,764.33
16751,Invalid Foreign Key: Order_ID,OI00016750,O0016750,P00751,1,9250.0,0.06,9250.0,669.78
16842,Invalid Foreign Key: Product_ID,OI00016841,O0016841,P00842,2,7675.0,0.06,15350.0,1111.47
16921,Invalid Foreign Key: Product_ID,OI00016920,O0016920,P00921,1,4000.0,0.01,4000.0,305.04
16949,Invalid Foreign Key: Order_ID,OI00016948,O0016948,P00949,4,8900.0,0.01,35600.0,2714.85
16998,Invalid Foreign Key: Product_ID,OI00016997,O0016997,P00998,3,17475.0,0.01,52425.0,3997.93
17251,Invalid Foreign Key: Order_ID,OI00017250,O0017250,P00251,1,9250.0,0.02,9250.0,698.28
17307,Invalid Foreign Key: Product_ID,OI00017306,O0017306,P00307,2,1550.0,0.02,3100.0,234.02
17314,Invalid Foreign Key: Order_ID,OI00017313,O0017313,P00314,4,2775.0,0.02,11100.0,837.93
