Source_Row,Reject_Reasons,Return_ID,Order_ID,Order_Item_ID,Customer_ID,Product_ID,Return_Date,Return_Quantity,Refund_Amount,Reason,Status
1764,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0001763,O0022920,OI00022920,C002921,P00921,2026-04-17,1,290.3447257262381,Late delivery,Refunded
1842,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0001841,O0023934,OI00023934,C003935,P00935,2026-04-14,1,468.180870233559,Late delivery,Pending
1972,Invalid Foreign Key: Order_Item_ID,RT0001971,O0025624,OI00025624,C005625,P00625,2026-04-09,1,341.15505272832985,Late delivery,Pending
2125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0002124,O0027613,OI00027613,C007614,P00614,2026-02-20,1,201.42665347257773,Quality issue,Rejected
2174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0002173,O0028250,OI00028250,C008251,P00251,2026-01-07,1,671.4221782419257,Late delivery,Rejected
2188,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0002187,O0028432,OI00028432,C008433,P00433,2026-07-22,1,442.7757067325132,Damaged,Refunded
2264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0002263,O0029420,OI00029420,C009421,P00421,2026-06-21,1,290.3447257262381,Quality issue,Refunded
2270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0002269,O0029498,OI00029498,C009499,P00499,2025-09-13,1,1281.1461022670258,Changed mind,Refunded
2276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0002275,O0029576,OI00029576,C009577,P00577,2025-12-06,1,1001.6893037555216,Late delivery,Refunded
2307,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0002306,O0029979,OI00029979,C009980,P00980,2026-02-13,1,1039.7970490070904,Late delivery,Rejected
2310,Invalid Foreign Key: Order_Item_ID,RT0002309,O0030018,OI00030018,C010019,P00019,2026-03-27,1,264.93956222519233,Late delivery,Rejected
2486,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0002485,O0032306,OI00032306,C012307,P00307,2025-12-26,1,112.50858121891729,Changed mind,Rejected
2502,Future Date: Return_Date,RT0002501,O0032514,OI00032514,C012515,P00515,2027-05-01,1,214.12923522310064,Wrong item,Pending
2613,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0002612,O0033957,OI00033957,C013958,P00958,2025-11-09,1,760.3402504955861,Late delivery,Rejected
2629,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0002628,O0034165,OI00034165,C014166,P00166,2026-06-21,1,861.9609044997695,Quality issue,Rejected
2674,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0002673,O0034750,OI00034750,C014751,P00751,2026-03-13,1,671.4221782419257,Late delivery,Refunded
2681,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0002680,O0034841,OI00034841,C014842,P00842,2026-06-19,1,557.0989424872195,Wrong item,Rejected
2693,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0002692,O0034997,OI00034997,C014998,P00998,2025-12-04,1,1268.443520516503,Wrong item,Rejected
2764,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0002763,O0035920,OI00035920,C015921,P00921,2026-08-25,1,290.3447257262381,Damaged,Pending
3002,Duplicate Primary Key,RT0003000,O0039014,OI00039014,C019015,P00015,2025-10-11,1,214.12923522310064,Wrong item,Refunded
3080,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0003079,O0040028,OI00040028,C000029,P00029,2025-10-08,1,391.9653797304215,Changed mind,Refunded
3125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0003124,O0040613,OI00040613,C000614,P00614,2026-06-30,1,201.42665347257773,Damaged,Pending
3174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0003173,O0041250,OI00041250,C001251,P00251,2026-05-17,1,671.4221782419257,Changed mind,Refunded
3264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0003263,O0042420,OI00042420,C002421,P00421,2025-10-29,1,290.3447257262381,Late delivery,Pending
3270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0003269,O0042498,OI00042498,C002499,P00499,2026-01-21,1,1281.1461022670258,Damaged,Rejected
3276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0003275,O0042576,OI00042576,C002577,P00577,2026-04-15,1,1001.6893037555216,Wrong item,Rejected
3441,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0003440,O0044721,OI00044721,C004722,P00722,2026-08-13,1,303.0473074767611,Late delivery,Rejected
3486,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0003485,O0045306,OI00045306,C005307,P00307,2026-05-05,1,112.50858121891729,Wrong item,Refunded
3674,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0003673,O0047750,OI00047750,C007751,P00751,2026-07-21,1,671.4221782419257,Quality issue,Pending
3681,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0003680,O0047841,OI00047841,C007842,P00842,2025-10-27,1,557.0989424872195,Wrong item,Refunded
3693,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0003692,O0047997,OI00047997,C007998,P00998,2026-04-13,1,1268.443520516503,Damaged,Refunded
3764,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0003763,O0048920,OI00048920,C008921,P00921,2026-01-02,1,290.3447257262381,Damaged,Refunded
3768,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0003767,O0048972,OI00048972,C008973,P00973,2026-02-27,1,950.87897675343,Damaged,Refunded
3895,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0003894,O0050623,OI00050623,C010624,P00624,2026-01-11,1,328.4524709778069,Quality issue,Rejected
3965,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0003964,O0051533,OI00051533,C011534,P00534,2025-09-18,1,455.4782884830361,Wrong item,Rejected
4125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0004124,O0053613,OI00053613,C013614,P00614,2025-11-07,1,201.42665347257773,Quality issue,Pending
4174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0004173,O0054250,OI00054250,C014251,P00251,2025-09-24,1,671.4221782419257,Late delivery,Refunded
4228,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0004227,O0054952,OI00054952,C014953,P00953,2025-10-20,1,696.8273417429716,Damaged,Rejected
4264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0004263,O0055420,OI00055420,C015421,P00421,2026-03-08,1,290.3447257262381,Changed mind,Refunded
4270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0004269,O0055498,OI00055498,C015499,P00499,2026-05-31,1,1281.1461022670258,Late delivery,Pending
4276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0004275,O0055576,OI00055576,C015577,P00577,2026-08-23,1,1001.6893037555216,Quality issue,Pending
4486,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0004485,O0058306,OI00058306,C018307,P00307,2025-09-12,1,112.50858121891729,Quality issue,Rejected
4674,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0004673,O0060750,OI00060750,C000751,P00751,2025-11-28,1,671.4221782419257,Late delivery,Pending
4681,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0004680,O0060841,OI00060841,C000842,P00842,2026-03-06,1,557.0989424872195,Wrong item,Pending
4693,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0004692,O0060997,OI00060997,C000998,P00998,2026-08-21,1,1268.443520516503,Damaged,Rejected
4764,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0004763,O0061920,OI00061920,C001921,P00921,2026-05-12,1,290.3447257262381,Late delivery,Rejected
4923,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0004922,O0063987,OI00063987,C003988,P00988,2026-06-17,1,1141.4177030112735,Quality issue,Refunded
5003,Future Date: Return_Date,RT0005002,O0065027,OI00065027,C005028,P00028,2027-05-01,1,379.2627979798986,Wrong item,Pending
5040,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0005039,O0065508,OI00065508,C005509,P00509,2025-12-12,1,137.91374471996312,Wrong item,Pending
5125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0005124,O0066613,OI00066613,C006614,P00614,2026-03-17,1,201.42665347257773,Wrong item,Refunded
5174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0005173,O0067250,OI00067250,C007251,P00251,2026-02-01,1,671.4221782419257,Quality issue,Refunded
5175,Invalid Foreign Key: Order_Item_ID,RT0005174,O0067263,OI00067263,C007264,P00264,2026-02-15,1,836.5557409987236,Quality issue,Rejected
5233,Invalid Foreign Key: Order_Item_ID,RT0005232,O0068017,OI00068017,C008018,P00018,2026-05-08,1,252.2369804746694,Wrong item,Rejected
5264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0005263,O0068420,OI00068420,C008421,P00421,2026-07-16,1,290.3447257262381,Wrong item,Pending
5270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0005269,O0068498,OI00068498,C008499,P00499,2025-10-08,1,1281.1461022670258,Quality issue,Refunded
5276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0005275,O0068576,OI00068576,C008577,P00577,2025-12-31,1,1001.6893037555216,Quality issue,Refunded
5486,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0005485,O0071306,OI00071306,C011307,P00307,2026-01-20,1,112.50858121891729,Wrong item,Refunded
5638,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0005637,O0073282,OI00073282,C013283,P00283,2025-11-19,1,1077.9047942586592,Wrong item,Rejected
5674,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0005673,O0073750,OI00073750,C013751,P00751,2026-04-07,1,671.4221782419257,Late delivery,Refunded
5681,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0005680,O0073841,OI00073841,C013842,P00842,2026-07-14,1,557.0989424872195,Late delivery,Rejected
5693,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0005692,O0073997,OI00073997,C013998,P00998,2025-12-29,1,1268.443520516503,Damaged,Rejected
5742,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0005741,O0074634,OI00074634,C014635,P00635,2025-11-15,1,468.180870233559,Quality issue,Rejected
5764,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0005763,O0074920,OI00074920,C014921,P00921,2025-09-19,1,290.3447257262381,Wrong item,Rejected
5827,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0005826,O0075739,OI00075739,C015740,P00740,2026-02-18,1,531.6937789861736,Damaged,Pending
5920,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0005919,O0076948,OI00076948,C016949,P00949,2025-09-13,1,646.0170147408799,Damaged,Refunded
6003,Duplicate Primary Key,RT0006001,O0078027,OI00078027,C018028,P00028,2025-11-19,1,379.2627979798986,Quality issue,Pending
6096,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0006095,O0079236,OI00079236,C019237,P00237,2026-06-14,1,493.5860337346049,Quality issue,Rejected
6125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0006124,O0079613,OI00079613,C019614,P00614,2026-07-25,1,201.42665347257773,Damaged,Rejected
6174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0006173,O0080250,OI00080250,C000251,P00251,2026-06-11,1,671.4221782419257,Quality issue,Pending
6264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0006263,O0081420,OI00081420,C001421,P00421,2025-11-23,1,290.3447257262381,Wrong item,Rejected
6270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0006269,O0081498,OI00081498,C001499,P00499,2026-02-15,1,1281.1461022670258,Late delivery,Refunded
6276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0006275,O0081576,OI00081576,C001577,P00577,2026-05-10,1,1001.6893037555216,Quality issue,Pending
6486,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0006485,O0084306,OI00084306,C004307,P00307,2026-05-30,1,112.50858121891729,Wrong item,Refunded
6639,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0006638,O0086295,OI00086295,C006296,P00296,2026-04-12,1,1243.038357015457,Changed mind,Refunded
6674,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0006673,O0086750,OI00086750,C006751,P00751,2026-08-15,1,671.4221782419257,Quality issue,Rejected
6681,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0006680,O0086841,OI00086841,C006842,P00842,2025-11-21,1,557.0989424872195,Wrong item,Refunded
6693,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0006692,O0086997,OI00086997,C006998,P00998,2026-05-08,1,1268.443520516503,Wrong item,Refunded
6764,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0006763,O0087920,OI00087920,C007921,P00921,2026-01-27,1,290.3447257262381,Quality issue,Pending
7075,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0007074,O0091963,OI00091963,C011964,P00964,2026-01-01,1,836.5557409987236,Quality issue,Pending
7125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0007124,O0092613,OI00092613,C012614,P00614,2025-12-02,1,201.42665347257773,Wrong item,Refunded
7174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0007173,O0093250,OI00093250,C013251,P00251,2025-10-19,1,671.4221782419257,Wrong item,Refunded
7264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0007263,O0094420,OI00094420,C014421,P00421,2026-04-02,1,290.3447257262381,Wrong item,Rejected
7270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0007269,O0094498,OI00094498,C014499,P00499,2026-06-25,1,1281.1461022670258,Late delivery,Refunded
7276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0007275,O0094576,OI00094576,C014577,P00577,2025-09-17,1,1001.6893037555216,Quality issue,Pending
7313,Invalid Foreign Key: Order_Item_ID,RT0007312,O0095057,OI00095057,C015058,P00058,2026-02-17,1,760.3402504955861,Changed mind,Refunded
7426,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0007425,O0096526,OI00096526,C016527,P00527,2026-06-19,1,366.56021622937567,Quality issue,Rejected
7486,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0007485,O0097306,OI00097306,C017307,P00307,2025-10-07,1,112.50858121891729,Damaged,Pending
7504,Future Date: Return_Date,RT0007503,O0097540,OI00097540,C017541,P00541,2027-05-01,1,544.3963607366966,Damaged,Pending
7519,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0007518,O0097735,OI00097735,C017736,P00736,2026-01-12,1,480.88345198408194,Quality issue,Pending
7674,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0007673,O0099750,OI00099750,C019751,P00751,2025-12-23,1,671.4221782419257,Changed mind,Rejected
7681,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0007680,O0099841,OI00099841,C019842,P00842,2026-03-31,1,557.0989424872195,Late delivery,Pending
7693,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0007692,O0099997,OI00099997,C019998,P00998,2025-09-15,1,1268.443520516503,Quality issue,Pending
7764,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0007763,O0000920,OI00100920,C000921,P00921,2026-06-16,1,290.3447257262381,Quality issue,Pending
8079,Invalid Foreign Key: Order_Item_ID,RT0008078,O0005015,OI00105015,C005016,P00016,2026-07-16,1,226.83181697362355,Quality issue,Refunded
8125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0008124,O0005613,OI00105613,C005614,P00614,2026-04-21,1,201.42665347257773,Changed mind,Rejected
8174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0008173,O0006250,OI00106250,C006251,P00251,2026-03-08,1,671.4221782419257,Late delivery,Rejected
8230,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0008229,O0006978,OI00106978,C006979,P00979,2026-05-01,1,1027.0944672565674,Wrong item,Pending
8238,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0008237,O0007082,OI00107082,C007083,P00083,2026-08-21,1,1077.9047942586592,Wrong item,Refunded
8240,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0008239,O0007108,OI00107108,C007109,P00109,2025-09-18,1,137.91374471996312,Changed mind,Rejected
8264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0008263,O0007420,OI00107420,C007421,P00421,2026-08-20,1,290.3447257262381,Wrong item,Refunded
8270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0008269,O0007498,OI00107498,C007499,P00499,2025-11-12,1,1281.1461022670258,Late delivery,Pending
8276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0008275,O0007576,OI00107576,C007577,P00577,2026-02-04,1,1001.6893037555216,Wrong item,Refunded
8378,Invalid Foreign Key: Order_Item_ID,RT0008377,O0008902,OI00108902,C008903,P00903,2026-01-03,1,61.69825421682561,Damaged,Refunded
8463,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0008462,O0010007,OI00110007,C010008,P00008,2026-04-08,1,125.2111629694402,Late delivery,Pending
8486,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0008485,O0010306,OI00110306,C010307,P00307,2026-02-24,1,112.50858121891729,Late delivery,Refunded
8674,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0008673,O0012750,OI00112750,C012751,P00751,2026-05-12,1,671.4221782419257,Wrong item,Pending
8681,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0008680,O0012841,OI00112841,C012842,P00842,2026-08-18,1,557.0989424872195,Wrong item,Rejected
8693,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0008692,O0012997,OI00112997,C012998,P00998,2026-02-02,1,1268.443520516503,Wrong item,Pending
8764,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0008763,O0013920,OI00113920,C013921,P00921,2025-10-24,1,290.3447257262381,Changed mind,Pending
9004,Duplicate Primary Key,RT0009002,O0017040,OI00117040,C017041,P00041,2026-01-07,1,544.3963607366966,Late delivery,Rejected
9025,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0009024,O0017313,OI00117313,C017314,P00314,2025-10-28,1,201.42665347257773,Damaged,Rejected
9125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0009124,O0018613,OI00118613,C018614,P00614,2026-08-29,1,201.42665347257773,Quality issue,Refunded
9174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0009173,O0019250,OI00119250,C019251,P00251,2026-07-16,1,671.4221782419257,Changed mind,Refunded
9217,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0009216,O0019809,OI00119809,C019810,P00810,2026-03-10,1,150.61632647048603,Quality issue,Pending
9227,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0009226,O0019939,OI00119939,C019940,P00940,2026-07-28,1,531.6937789861736,Changed mind,Rejected
9234,Invalid Foreign Key: Order_Item_ID,RT0009233,O0020030,OI00120030,C000031,P00031,2025-11-03,1,417.37054323146737,Damaged,Pending
9264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0009263,O0020420,OI00120420,C000421,P00421,2025-12-28,1,290.3447257262381,Quality issue,Rejected
9270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0009269,O0020498,OI00120498,C000499,P00499,2026-03-22,1,1281.1461022670258,Damaged,Refunded
9276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0009275,O0020576,OI00120576,C000577,P00577,2026-06-14,1,1001.6893037555216,Changed mind,Refunded
9385,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0009384,O0021993,OI00121993,C001994,P00994,2026-08-19,1,1217.6331935144112,Changed mind,Refunded
