Source_Row,Reject_Reasons,Payment_ID,Invoice_ID,Customer_ID,Payment_Date,Payment_Method,Payment_Amount,Payment_Fee,Payment_Status
8251,Invalid Foreign Key: Invoice_ID,PAY0008250,INV0008250,C008251,2026-04-29,Wallet,9350.0,168.3,Successful
8657,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0008656,INV0008656,C008657,2026-06-09,Wallet,10052.0,180.94,Successful
8751,Invalid Foreign Key: Invoice_ID,PAY0008750,INV0008750,C008751,2025-09-11,Card,21050.0,378.9,Successful
8805,Invalid Foreign Key: Invoice_ID,PAY0008804,INV0008804,C008805,2025-11-04,UPI,3968.0,71.42,Successful
8886,Invalid Foreign Key: Invoice_ID,PAY0008885,INV0008885,C008886,2026-01-24,Wallet,13445.0,242.01,Successful
8973,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0008972,INV0008972,C008973,2026-04-21,Card,23624.0,425.23,Successful
9251,Invalid Foreign Key: Invoice_ID,PAY0009250,INV0009250,C009251,2026-01-24,Card,9350.0,168.3,Successful
9444,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0009443,INV0009443,C009444,2026-08-05,Bank Transfer,8531.0,153.56,Successful
9751,Invalid Foreign Key: Invoice_ID,PAY0009750,INV0009750,C009751,2026-06-08,Wallet,21050.0,378.9,Successful
9970,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0009969,INV0009969,C009970,2026-01-13,UPI,23273.0,418.91,Successful
9994,Invalid Foreign Key: Invoice_ID,PAY0009993,INV0009993,C009994,2026-02-06,Wallet,26081.0,469.46,Successful
10007,Future Date: Payment_Date,PAY0010006,INV0010006,C010007,2027-06-01,Card,4202.0,75.64,Successful
10008,Invalid Foreign Key: Invoice_ID,PAY0010007,INV0010007,C010008,2026-02-20,Bank Transfer,4319.0,77.74,Successful
10010,Invalid Foreign Key: Invoice_ID,PAY0010009,INV0010009,C010010,2026-02-22,Wallet,4553.0,81.95,Successful
10231,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0010230,INV0010230,C010231,2025-10-01,UPI,7010.0,126.18,Successful
10251,Invalid Foreign Key: Invoice_ID,PAY0010250,INV0010250,C010251,2025-10-21,UPI,9350.0,168.3,Successful
10663,Invalid Foreign Key: Invoice_ID,PAY0010662,INV0010662,C010663,2025-12-07,Wallet,10754.0,193.57,Successful
10751,Invalid Foreign Key: Invoice_ID,PAY0010750,INV0010750,C010751,2026-03-05,Card,21050.0,378.9,Successful
10967,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0010966,INV0010966,C010967,2025-10-07,UPI,22922.0,412.6,Successful
11004,Duplicate Primary Key,PAY0011002,INV0011003,C011004,2025-11-13,Card,3851.0,69.32,Successful
11006,Invalid Foreign Key: Invoice_ID,PAY0011005,INV0011005,C011006,2025-11-15,UPI,4085.0,73.53,Successful
11018,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0011017,INV0011017,C011018,2025-11-27,Card,5489.0,98.8,Successful
11251,Invalid Foreign Key: Invoice_ID,PAY0011250,INV0011250,C011251,2026-07-18,Wallet,9350.0,168.3,Successful
11751,Invalid Foreign Key: Invoice_ID,PAY0011750,INV0011750,C011751,2025-11-30,Card,21050.0,378.9,Successful
11805,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0011804,INV0011804,C011805,2026-01-23,Card,3968.0,71.42,Successful
11964,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0011963,INV0011963,C011964,2026-07-01,Card,22571.0,406.28,Successful
12251,Invalid Foreign Key: Invoice_ID,PAY0012250,INV0012250,C012251,2026-04-14,Card,9350.0,168.3,Successful
12440,Invalid Foreign Key: Invoice_ID,PAY0012439,INV0012439,C012440,2025-10-20,UPI,8063.0,145.13,Successful
12592,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0012591,INV0012591,C012592,2026-03-21,Wallet,25847.0,465.25,Successful
12751,Invalid Foreign Key: Invoice_ID,PAY0012750,INV0012750,C012751,2026-08-27,Bank Transfer,21050.0,378.9,Failed
12961,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0012960,INV0012960,C012961,2026-03-25,Bank Transfer,22220.0,399.96,Successful
13207,Invalid Foreign Key: Invoice_ID,PAY0013206,INV0013206,C013207,2025-11-26,UPI,4202.0,75.64,Successful
13251,Invalid Foreign Key: Invoice_ID,PAY0013250,INV0013250,C013251,2026-01-09,Bank Transfer,9350.0,168.3,Successful
13325,Invalid Foreign Key: Invoice_ID,PAY0013324,INV0013324,C013325,2026-03-24,Card,18008.0,324.14,Successful
13379,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0013378,INV0013378,C013379,2026-05-17,Card,24326.0,437.87,Successful
13751,Invalid Foreign Key: Invoice_ID,PAY0013750,INV0013750,C013751,2026-05-24,Bank Transfer,21050.0,378.9,Successful
13958,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0013957,INV0013957,C013958,2025-12-17,Bank Transfer,21869.0,393.64,Failed
14003,Invalid Foreign Key: Invoice_ID,PAY0014002,INV9999999,C014003,2026-01-31,Card,3734.0,67.21,Successful
14166,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0014165,INV0014165,C014166,2026-07-13,Wallet,22805.0,410.49,Successful
14217,Invalid Foreign Key: Invoice_ID,PAY0014216,INV0014216,C014217,2025-09-02,UPI,5372.0,96.7,Successful
14251,Invalid Foreign Key: Invoice_ID,PAY0014250,INV0014250,C014251,2025-10-06,Bank Transfer,9350.0,168.3,Successful
14751,Invalid Foreign Key: Invoice_ID,PAY0014750,INV0014750,C014751,2026-02-18,Bank Transfer,21050.0,378.9,Successful
14953,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0014952,INV0014952,C014953,2025-09-08,Wallet,21284.0,383.11,Successful
14955,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0014954,INV0014954,C014955,2025-09-10,Card,21518.0,387.32,Successful
15010,Future Date: Payment_Date,PAY0015009,INV0015009,C015010,2027-06-01,Card,4553.0,81.95,Successful
15251,Invalid Foreign Key: Invoice_ID,PAY0015250,INV0015250,C015251,2026-07-03,Bank Transfer,9350.0,168.3,Successful
15408,Invalid Foreign Key: Invoice_ID,PAY0015407,INV0015407,C015408,2025-12-07,Card,4319.0,77.74,Successful
15740,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0015739,INV0015739,C015740,2025-11-04,Card,19763.0,355.73,Successful
15751,Invalid Foreign Key: Invoice_ID,PAY0015750,INV0015750,C015751,2025-11-15,UPI,21050.0,378.9,Successful
15952,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0015951,INV0015951,C015952,2026-06-04,Wallet,21167.0,381.01,Successful
15994,Invalid Foreign Key: Invoice_ID,PAY0015993,INV0015993,C015994,2026-07-16,Wallet,26081.0,469.46,Successful
16251,Invalid Foreign Key: Invoice_ID,PAY0016250,INV0016250,C016251,2026-03-30,Card,9350.0,168.3,Successful
16527,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0016526,INV0016526,C016527,2025-12-31,UPI,18242.0,328.36,Successful
16656,Invalid Foreign Key: Invoice_ID,PAY0016655,INV0016655,C016656,2026-05-09,UPI,9935.0,178.83,Successful
16751,Invalid Foreign Key: Invoice_ID,PAY0016750,INV0016750,C016751,2026-08-12,Bank Transfer,21050.0,378.9,Successful
16949,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0016948,INV0016948,C016949,2026-02-26,Wallet,20816.0,374.69,Successful
17251,Invalid Foreign Key: Invoice_ID,PAY0017250,INV0017250,C017251,2025-12-25,Bank Transfer,9350.0,168.3,Successful
17314,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0017313,INV0017313,C017314,2026-02-26,Wallet,16721.0,300.98,Successful
17609,Invalid Foreign Key: Invoice_ID,PAY0017608,INV0017608,C017609,2025-12-18,UPI,4436.0,79.85,Successful
17751,Invalid Foreign Key: Invoice_ID,PAY0017750,INV0017750,C017751,2026-05-09,UPI,21050.0,378.9,Successful
17771,Invalid Foreign Key: Invoice_ID,PAY0017770,INV0017770,C017771,2026-05-29,Bank Transfer,23390.0,421.02,Successful
17946,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0017945,INV0017945,C017946,2025-11-20,UPI,20465.0,368.37,Successful
18101,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0018100,INV0018100,C018101,2026-04-24,Card,15200.0,273.6,Successful
18251,Invalid Foreign Key: Invoice_ID,PAY0018250,INV0018250,C018251,2025-09-21,UPI,9350.0,168.3,Successful
18751,Invalid Foreign Key: Invoice_ID,PAY0018750,INV0018750,C018751,2026-02-03,UPI,21050.0,378.9,Successful
18888,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0018887,INV0018887,C018888,2026-06-20,Bank Transfer,13679.0,246.22,Failed
18943,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0018942,INV0018942,C018943,2026-08-14,Card,20114.0,362.05,Successful
19251,Invalid Foreign Key: Invoice_ID,PAY0019250,INV0019250,C019251,2026-06-18,UPI,9350.0,168.3,Successful
19548,Invalid Foreign Key: Invoice_ID,PAY0019547,INV0019547,C019548,2026-04-11,Wallet,20699.0,372.58,Successful
19675,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0019674,INV0019674,C019675,2026-08-16,Bank Transfer,12158.0,218.84,Successful
19751,Invalid Foreign Key: Invoice_ID,PAY0019750,INV0019750,C019751,2025-10-31,UPI,21050.0,378.9,Successful
19810,Invalid Foreign Key: Invoice_ID,PAY0019809,INV0019809,C019810,2025-12-29,UPI,4553.0,81.95,Successful
19940,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0019939,INV0019939,C019940,2026-05-08,Wallet,19763.0,355.73,Successful
19987,Invalid Foreign Key: Invoice_ID,PAY0019986,INV0019986,C019987,2026-06-24,UPI,25262.0,454.72,Successful
20013,Future Date: Payment_Date,PAY0020012,INV0020012,C000013,2027-06-01,Wallet,4904.0,88.27,Successful
20015,Invalid Foreign Key: Invoice_ID,PAY0020014,INV0020014,C000015,2026-07-22,Card,5138.0,92.48,Successful
20019,Invalid Foreign Key: Invoice_ID,PAY0020018,INV0020018,C000019,2026-07-26,Card,5606.0,100.91,Successful
20251,Invalid Foreign Key: Invoice_ID,PAY0020250,INV0020250,C000251,2026-03-15,Bank Transfer,9350.0,168.3,Successful
20751,Invalid Foreign Key: Invoice_ID,PAY0020750,INV0020750,C000751,2026-07-28,Card,21050.0,378.9,Successful
20787,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0020786,INV0020786,C000787,2025-09-02,Bank Transfer,25262.0,454.72,Successful
20997,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0020996,INV0020996,C000997,2026-03-31,Bank Transfer,26432.0,475.78,Successful
21004,Invalid Foreign Key: Invoice_ID,PAY0021003,INV9999999,C001004,2026-04-07,Card,3851.0,69.32,Successful
21251,Invalid Foreign Key: Invoice_ID,PAY0021250,INV0021250,C001251,2025-12-10,Bank Transfer,9350.0,168.3,Failed
21325,Invalid Foreign Key: Invoice_ID,PAY0021324,INV0021324,C001325,2026-02-22,Bank Transfer,18008.0,324.14,Successful
21574,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0021573,INV0021573,C001574,2025-10-29,UPI,23741.0,427.34,Failed
21751,Invalid Foreign Key: Invoice_ID,PAY0021750,INV0021750,C001751,2026-04-24,Wallet,21050.0,378.9,Successful
21994,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0021993,INV0021993,C001994,2025-12-23,Bank Transfer,26081.0,469.46,Successful
22007,Duplicate Primary Key,PAY0022005,INV0022006,C002007,2026-01-05,Card,4202.0,75.64,Successful
22011,Invalid Foreign Key: Invoice_ID,PAY0022010,INV0022010,C002011,2026-01-09,UPI,4670.0,84.06,Successful
22251,Invalid Foreign Key: Invoice_ID,PAY0022250,INV0022250,C002251,2025-09-06,UPI,9350.0,168.3,Successful
22361,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0022360,INV0022360,C002361,2025-12-25,Card,22220.0,399.96,Successful
22751,Invalid Foreign Key: Invoice_ID,PAY0022750,INV0022750,C002751,2026-01-19,Card,21050.0,378.9,Successful
22991,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0022990,INV0022990,C002991,2025-09-16,UPI,25730.0,463.14,Successful
23102,Invalid Foreign Key: Invoice_ID,PAY0023101,INV0023101,C003102,2026-01-05,UPI,15317.0,275.71,Successful
23148,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0023147,INV0023147,C003148,2026-02-20,Bank Transfer,20699.0,372.58,Successful
23251,Invalid Foreign Key: Invoice_ID,PAY0023250,INV0023250,C003251,2026-06-03,Wallet,9350.0,168.3,Successful
23318,Invalid Foreign Key: Invoice_ID,PAY0023317,INV0023317,C003318,2026-08-09,Wallet,17189.0,309.4,Successful
23751,Invalid Foreign Key: Invoice_ID,PAY0023750,INV0023750,C003751,2025-10-16,Bank Transfer,21050.0,378.9,Successful
23935,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0023934,INV0023934,C003935,2026-04-18,UPI,19178.0,345.2,Successful
23988,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0023987,INV0023987,C003988,2026-06-10,Wallet,25379.0,456.82,Failed
24212,Invalid Foreign Key: Invoice_ID,PAY0024211,INV0024211,C004212,2026-01-20,Bank Transfer,4787.0,86.17,Successful
24251,Invalid Foreign Key: Invoice_ID,PAY0024250,INV0024250,C004251,2026-02-28,UPI,9350.0,168.3,Successful
24722,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0024721,INV0024721,C004722,2026-06-14,Wallet,17657.0,317.83,Successful
24751,Invalid Foreign Key: Invoice_ID,PAY0024750,INV0024750,C004751,2026-07-13,UPI,21050.0,378.9,Successful
24879,Invalid Foreign Key: Invoice_ID,PAY0024878,INV0024878,C004879,2025-11-18,Bank Transfer,12626.0,227.27,Successful
24985,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0024984,INV0024984,C004985,2026-03-04,Card,25028.0,450.5,Successful
25016,Future Date: Payment_Date,PAY0025015,INV0025015,C005016,2027-06-01,UPI,5255.0,94.59,Successful
25251,Invalid Foreign Key: Invoice_ID,PAY0025250,INV0025250,C005251,2025-11-25,UPI,9350.0,168.3,Successful
25509,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0025508,INV0025508,C005509,2026-08-10,Bank Transfer,16136.0,290.45,Successful
25751,Invalid Foreign Key: Invoice_ID,PAY0025750,INV0025750,C005751,2026-04-09,UPI,21050.0,378.9,Successful
25982,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0025981,INV0025981,C005982,2025-11-26,UPI,24677.0,444.19,Successful
26251,Invalid Foreign Key: Invoice_ID,PAY0026250,INV0026250,C006251,2026-08-22,Card,9350.0,168.3,Successful
26296,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0026295,INV0026295,C006296,2025-10-06,UPI,14615.0,263.07,Successful
26413,Invalid Foreign Key: Invoice_ID,PAY0026412,INV0026412,C006413,2026-01-31,Bank Transfer,4904.0,88.27,Successful
26649,Invalid Foreign Key: Invoice_ID,PAY0026648,INV0026648,C006649,2025-09-24,Wallet,9116.0,164.09,Successful
26656,Invalid Foreign Key: Invoice_ID,PAY0026655,INV0026655,C006656,2025-10-01,Card,9935.0,178.83,Successful
26751,Invalid Foreign Key: Invoice_ID,PAY0026750,INV0026750,C006751,2026-01-04,Bank Transfer,21050.0,378.9,Successful
26979,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0026978,INV0026978,C006979,2026-08-20,Wallet,24326.0,437.87,Successful
27083,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0027082,INV0027082,C007083,2025-12-02,Wallet,13094.0,235.69,Successful
27251,Invalid Foreign Key: Invoice_ID,PAY0027250,INV0027250,C007251,2026-05-19,Bank Transfer,9350.0,168.3,Successful
27751,Invalid Foreign Key: Invoice_ID,PAY0027750,INV0027750,C007751,2025-10-01,Card,21050.0,378.9,Successful
27870,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0027869,INV0027869,C007870,2026-01-28,Bank Transfer,11573.0,208.31,Successful
27976,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0027975,INV0027975,C007976,2026-05-14,Wallet,23975.0,431.55,Successful
28005,Invalid Foreign Key: Invoice_ID,PAY0028004,INV9999999,C008005,2026-06-12,UPI,3968.0,71.42,Successful
28251,Invalid Foreign Key: Invoice_ID,PAY0028250,INV0028250,C008251,2026-02-13,Card,9350.0,168.3,Successful
28433,Invalid Foreign Key: Invoice_ID,PAY0028432,INV0028432,C008433,2026-08-14,Wallet,7244.0,130.39,Successful
28614,Invalid Foreign Key: Invoice_ID,PAY0028613,INV0028613,C008614,2026-02-11,Wallet,5021.0,90.38,Successful
28657,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0028656,INV0028656,C008657,2026-03-26,Bank Transfer,10052.0,180.94,Successful
28751,Invalid Foreign Key: Invoice_ID,PAY0028750,INV0028750,C008751,2026-06-28,Wallet,21050.0,378.9,Successful
28973,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0028972,INV0028972,C008973,2026-02-05,Bank Transfer,23624.0,425.23,Successful
29251,Invalid Foreign Key: Invoice_ID,PAY0029250,INV0029250,C009251,2025-11-10,Card,9350.0,168.3,Successful
29444,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0029443,INV0029443,C009444,2026-05-22,UPI,8531.0,153.56,Successful
29751,Invalid Foreign Key: Invoice_ID,PAY0029750,INV0029750,C009751,2026-03-25,Card,21050.0,378.9,Failed
29970,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0029969,INV0029969,C009970,2025-10-30,Wallet,23273.0,418.91,Successful
29980,Invalid Foreign Key: Invoice_ID,PAY0029979,INV0029979,C009980,2025-11-09,Card,24443.0,439.97,Successful
30019,Future Date: Payment_Date,PAY0030018,INV0030018,C010019,2027-06-01,Card,5606.0,100.91,Successful
30022,Invalid Foreign Key: Invoice_ID,PAY0030021,INV0030021,C010022,2025-12-21,Wallet,5957.0,107.23,Successful
30028,Invalid Foreign Key: Invoice_ID,PAY0030027,INV0030027,C010028,2025-12-27,Card,6659.0,119.86,Successful
30210,Invalid Foreign Key: Invoice_ID,PAY0030209,INV0030209,C010210,2026-06-27,UPI,4553.0,81.95,Failed
30231,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0030230,INV0030230,C010231,2026-07-18,Bank Transfer,7010.0,126.18,Successful
30251,Invalid Foreign Key: Invoice_ID,PAY0030250,INV0030250,C010251,2026-08-07,UPI,9350.0,168.3,Successful
30751,Invalid Foreign Key: Invoice_ID,PAY0030750,INV0030750,C010751,2025-12-20,Bank Transfer,21050.0,378.9,Successful
30815,Invalid Foreign Key: Invoice_ID,PAY0030814,INV0030814,C010815,2026-02-22,Card,5138.0,92.48,Successful
30967,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0030966,INV0030966,C010967,2026-07-24,Card,22922.0,412.6,Successful
31018,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0031017,INV0031017,C011018,2025-09-13,Wallet,5489.0,98.8,Successful
31251,Invalid Foreign Key: Invoice_ID,PAY0031250,INV0031250,C011251,2026-05-04,Wallet,9350.0,168.3,Successful
31751,Invalid Foreign Key: Invoice_ID,PAY0031750,INV0031750,C011751,2025-09-16,Wallet,21050.0,378.9,Successful
31805,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0031804,INV0031804,C011805,2025-11-09,Card,3968.0,71.42,Successful
31964,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0031963,INV0031963,C011964,2026-04-17,Wallet,22571.0,406.28,Successful
31987,Invalid Foreign Key: Invoice_ID,PAY0031986,INV0031986,C011987,2026-05-10,Wallet,25262.0,454.72,Successful
32251,Invalid Foreign Key: Invoice_ID,PAY0032250,INV0032250,C012251,2026-01-29,Bank Transfer,9350.0,168.3,Successful
32592,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0032591,INV0032591,C012592,2026-01-05,Wallet,25847.0,465.25,Successful
