Source_Row,Reject_Reasons,Invoice_ID,Order_ID,Customer_ID,Invoice_Date,Due_Date,Invoice_Amount,Tax_Amount,Invoice_Status
9251,Invalid Foreign Key: Order_ID,INV0009250,O0009250,C009251,2026-01-04,2026-02-03,1942.36,349.62,Issued
9444,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0009443,O0009443,C009444,2026-07-16,2026-08-15,6786.99,1221.66,Issued
9751,Invalid Foreign Key: Order_ID,INV0009750,O0009750,C009751,2026-05-19,2026-06-18,1928.96,347.21,Issued
9970,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0009969,O0009969,C009970,2025-12-24,2026-01-23,13157.24,2368.3,Issued
9994,Invalid Foreign Key: Order_ID,INV0009993,O0009993,C009994,2026-01-17,2026-02-16,14284.3,2571.17,Issued
10008,Invalid Foreign Key: Order_ID,INV0010007,O0010007,C010008,2026-01-31,2026-03-02,1101.66,198.3,Issued
10010,Duplicate Primary Key,INV0010008,O0010009,C010010,2026-02-02,2026-03-04,2163.56,389.44,Issued
10231,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0010230,O0010230,C010231,2025-09-11,2025-10-11,1207.41,217.33,Overdue
10251,Invalid Foreign Key: Order_ID,INV0010250,O0010250,C010251,2025-10-01,2025-10-31,1962.45,353.24,Issued
10663,Invalid Foreign Key: Order_ID,INV0010662,O0010662,C010663,2025-11-17,2025-12-17,7125.31,1282.56,Issued
10751,Invalid Foreign Key: Order_ID,INV0010750,O0010750,C010751,2026-02-13,2026-03-15,1949.05,350.83,Issued
10967,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0010966,O0010966,C010967,2025-09-17,2025-10-17,5130.43,923.48,Issued
11006,Invalid Foreign Key: Order_ID,INV0011005,O0011005,C011006,2025-10-26,2025-11-25,287.73,51.79,Issued
11018,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0011017,O0011017,C011018,2025-11-07,2025-12-07,2173.99,391.32,Issued
11251,Invalid Foreign Key: Order_ID,INV0011250,O0011250,C011251,2026-06-28,2026-07-28,1935.66,348.42,Issued
11751,Invalid Foreign Key: Order_ID,INV0011750,O0011750,C011751,2025-11-10,2025-12-10,1969.15,354.45,Issued
11805,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0011804,O0011804,C011805,2026-01-03,2026-02-02,1272.94,229.13,Issued
11964,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0011963,O0011963,C011964,2026-06-11,2026-07-11,9747.04,1754.47,Issued
12251,Invalid Foreign Key: Order_ID,INV0012250,O0012250,C012251,2026-03-25,2026-04-24,1955.75,352.04,Issued
12440,Invalid Foreign Key: Order_ID,INV0012439,O0012439,C012440,2025-09-30,2025-10-30,7743.72,1393.87,Issued
12592,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0012591,O0012591,C012592,2026-03-01,2026-03-31,6921.77,1245.92,Issued
12751,Invalid Foreign Key: Order_ID,INV0012750,O0012750,C012751,2026-08-07,2026-09-06,1942.36,349.62,Issued
12961,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0012960,O0012960,C012961,2026-03-05,2026-04-04,2309.83,415.77,Issued
13207,Invalid Foreign Key: Order_ID,INV0013206,O0013206,C013207,2025-11-06,2025-12-06,659.93,118.79,Issued
13251,Invalid Foreign Key: Order_ID,INV0013250,O0013250,C013251,2025-12-20,2026-01-19,1928.96,347.21,Issued
13325,Invalid Foreign Key: Order_ID,INV0013324,O0013324,C013325,2026-03-04,2026-04-03,4934.63,888.23,Issued
13379,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0013378,O0013378,C013379,2026-04-27,2026-05-27,11844.13,2131.94,Issued
13751,Invalid Foreign Key: Order_ID,INV0013750,O0013750,C013751,2026-05-04,2026-06-03,1962.45,353.24,Overdue
13958,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0013957,O0013957,C013958,2025-11-27,2025-12-27,6553.25,1179.59,Issued
14166,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0014165,O0014165,C014166,2026-06-23,2026-07-23,2527.96,455.03,Issued
14217,Invalid Foreign Key: Order_ID,INV0014216,O0014216,C014217,2026-08-13,2026-09-12,1376.34,247.74,Issued
14251,Invalid Foreign Key: Order_ID,INV0014250,O0014250,C014251,2025-09-16,2025-10-16,1949.05,350.83,Issued
14751,Invalid Foreign Key: Order_ID,INV0014750,O0014750,C014751,2026-01-29,2026-02-28,1935.66,348.42,Issued
14953,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0014952,O0014952,C014953,2026-08-19,2026-09-18,6089.26,1096.07,Issued
14955,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0014954,O0014954,C014955,2026-08-21,2026-09-20,10554.79,1899.86,Issued
15251,Invalid Foreign Key: Order_ID,INV0015250,O0015250,C015251,2026-06-13,2026-07-13,1969.15,354.45,Issued
15408,Invalid Foreign Key: Order_ID,INV0015407,O0015407,C015408,2025-11-17,2025-12-17,1094.16,196.95,Issued
15740,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0015739,O0015739,C015740,2025-10-15,2025-11-14,7690.68,1384.32,Issued
15751,Invalid Foreign Key: Order_ID,INV0015750,O0015750,C015751,2025-10-26,2025-11-25,1955.75,352.04,Issued
15952,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0015951,O0015951,C015952,2026-05-15,2026-06-14,3971.86,714.93,Issued
15994,Invalid Foreign Key: Order_ID,INV0015993,O0015993,C015994,2026-06-26,2026-07-26,14138.54,2544.94,Issued
16251,Invalid Foreign Key: Order_ID,INV0016250,O0016250,C016251,2026-03-10,2026-04-09,1942.36,349.62,Issued
16527,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0016526,O0016526,C016527,2025-12-11,2026-01-10,2106.22,379.12,Issued
16656,Invalid Foreign Key: Order_ID,INV0016655,O0016655,C016656,2026-04-19,2026-05-19,2148.09,386.66,Issued
16751,Invalid Foreign Key: Order_ID,INV0016750,O0016750,C016751,2026-07-23,2026-08-22,1928.96,347.21,Issued
16949,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0016948,O0016948,C016949,2026-02-06,2026-03-08,7449.67,1340.94,Issued
17251,Invalid Foreign Key: Order_ID,INV0017250,O0017250,C017251,2025-12-05,2026-01-04,1962.45,353.24,Issued
17314,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0017313,O0017313,C017314,2026-02-06,2026-03-08,2354.94,423.89,Issued
17609,Invalid Foreign Key: Order_ID,INV0017608,O0017608,C017609,2025-11-28,2025-12-28,1595.88,287.26,Issued
17751,Invalid Foreign Key: Order_ID,INV0017750,O0017750,C017751,2026-04-19,2026-05-19,1949.05,350.83,Issued
17771,Invalid Foreign Key: Order_ID,INV0017770,O0017770,C017771,2026-05-09,2026-06-08,2714.23,488.56,Issued
17946,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0017945,O0017945,C017946,2025-10-31,2025-11-30,1782.88,320.92,Issued
18101,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0018100,O0018100,C018101,2026-04-04,2026-05-04,105.35,18.96,Issued
18251,Invalid Foreign Key: Order_ID,INV0018250,O0018250,C018251,2025-09-01,2025-10-01,1935.66,348.42,Issued
18751,Invalid Foreign Key: Order_ID,INV0018750,O0018750,C018751,2026-01-14,2026-02-13,1969.15,354.45,Issued
18888,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0018887,O0018887,C018888,2026-05-31,2026-06-30,9871.86,1776.93,Overdue
18943,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0018942,O0018942,C018943,2026-07-25,2026-08-24,4979.24,896.26,Overdue
19251,Invalid Foreign Key: Order_ID,INV0019250,O0019250,C019251,2026-05-29,2026-06-28,1955.75,352.04,Overdue
19548,Invalid Foreign Key: Order_ID,INV0019547,O0019547,C019548,2026-03-22,2026-04-21,5496.34,989.34,Overdue
19675,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0019674,O0019674,C019675,2026-07-27,2026-08-26,14316.23,2576.92,Issued
19751,Invalid Foreign Key: Order_ID,INV0019750,O0019750,C019751,2025-10-11,2025-11-10,1942.36,349.62,Issued
19810,Invalid Foreign Key: Order_ID,INV0019809,O0019809,C019810,2025-12-09,2026-01-08,2163.56,389.44,Issued
19940,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0019939,O0019939,C019940,2026-04-18,2026-05-18,7690.68,1384.32,Issued
19987,Invalid Foreign Key: Order_ID,INV0019986,O0019986,C019987,2026-06-04,2026-07-04,6508.0,1171.44,Issued
20015,Invalid Foreign Key: Order_ID,INV0020014,O0020014,C000015,2026-07-02,2026-08-01,3086.59,555.59,Issued
20019,Duplicate Primary Key,INV0020017,O0020018,C000019,2026-07-06,2026-08-05,3076.34,553.74,Issued
20251,Invalid Foreign Key: Order_ID,INV0020250,O0020250,C000251,2026-02-23,2026-03-25,1928.96,347.21,Issued
20751,Invalid Foreign Key: Order_ID,INV0020750,O0020750,C000751,2026-07-08,2026-08-07,1962.45,353.24,Issued
20787,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0020786,O0020786,C000787,2026-08-13,2026-09-12,6530.52,1175.49,Issued
20997,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0020996,O0020996,C000997,2026-03-11,2026-04-10,7265.46,1307.78,Issued
21251,Invalid Foreign Key: Order_ID,INV0021250,O0021250,C001251,2025-11-20,2025-12-20,1949.05,350.83,Issued
21325,Invalid Foreign Key: Order_ID,INV0021324,O0021324,C001325,2026-02-02,2026-03-04,4985.68,897.42,Issued
21574,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0021573,O0021573,C001574,2025-10-09,2025-11-08,11073.27,1993.19,Issued
21751,Invalid Foreign Key: Order_ID,INV0021750,O0021750,C001751,2026-04-04,2026-05-04,1935.66,348.42,Issued
21994,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0021993,O0021993,C001994,2025-12-03,2026-01-02,13992.78,2518.7,Issued
22011,Invalid Foreign Key: Order_ID,INV0022010,O0022010,C002011,2025-12-20,2026-01-19,477.35,85.92,Issued
22251,Invalid Foreign Key: Order_ID,INV0022250,O0022250,C002251,2026-08-17,2026-09-16,1969.15,354.45,Issued
22361,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0022360,O0022360,C002361,2025-12-05,2026-01-04,2333.72,420.07,Issued
22751,Invalid Foreign Key: Order_ID,INV0022750,O0022750,C002751,2025-12-30,2026-01-29,1955.75,352.04,Issued
22991,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0022990,O0022990,C002991,2026-08-27,2026-09-26,3447.55,620.56,Overdue
23102,Invalid Foreign Key: Order_ID,INV0023101,O0023101,C003102,2025-12-16,2026-01-15,282.5,50.85,Issued
23148,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0023147,O0023147,C003148,2026-01-31,2026-03-02,5515.29,992.75,Issued
23251,Invalid Foreign Key: Order_ID,INV0023250,O0023250,C003251,2026-05-14,2026-06-13,1942.36,349.62,Issued
23318,Invalid Foreign Key: Order_ID,INV0023317,O0023317,C003318,2026-07-20,2026-08-19,2204.18,396.75,Issued
23751,Invalid Foreign Key: Order_ID,INV0023750,O0023750,C003751,2025-09-26,2025-10-26,1928.96,347.21,Issued
23935,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0023934,O0023934,C003935,2026-03-29,2026-04-28,6748.65,1214.76,Issued
23988,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0023987,O0023987,C003988,2026-05-21,2026-06-20,9940.17,1789.23,Issued
24212,Invalid Foreign Key: Order_ID,INV0024211,O0024211,C004212,2025-12-31,2026-01-30,1021.94,183.95,Overdue
24251,Invalid Foreign Key: Order_ID,INV0024250,O0024250,C004251,2026-02-08,2026-03-10,1962.45,353.24,Issued
24722,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0024721,O0024721,C004722,2026-05-25,2026-06-24,1777.55,319.96,Issued
24751,Invalid Foreign Key: Order_ID,INV0024750,O0024750,C004751,2026-06-23,2026-07-23,1949.05,350.83,Overdue
24879,Invalid Foreign Key: Order_ID,INV0024878,O0024878,C004879,2025-10-29,2025-11-28,11967.08,2154.08,Issued
24985,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0024984,O0024984,C004985,2026-02-12,2026-03-14,15903.79,2862.68,Issued
25251,Invalid Foreign Key: Order_ID,INV0025250,O0025250,C005251,2025-11-05,2025-12-05,1935.66,348.42,Issued
25509,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0025508,O0025508,C005509,2026-07-21,2026-08-20,1606.89,289.24,Issued
25751,Invalid Foreign Key: Order_ID,INV0025750,O0025750,C005751,2026-03-20,2026-04-19,1969.15,354.45,Issued
25982,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0025981,O0025981,C005982,2025-11-06,2025-12-06,6248.05,1124.65,Issued
26251,Invalid Foreign Key: Order_ID,INV0026250,O0026250,C006251,2026-08-02,2026-09-01,1955.75,352.04,Issued
26296,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0026295,O0026295,C006296,2025-09-16,2025-10-16,3595.98,647.28,Issued
26413,Invalid Foreign Key: Order_ID,INV0026412,O0026412,C006413,2026-01-11,2026-02-10,1632.23,293.8,Issued
26649,Invalid Foreign Key: Order_ID,INV0026648,O0026648,C006649,2025-09-04,2025-10-04,7423.89,1336.3,Issued
26656,Invalid Foreign Key: Order_ID,INV0026655,O0026655,C006656,2025-09-11,2025-10-11,2111.43,380.06,Issued
26751,Invalid Foreign Key: Order_ID,INV0026750,O0026750,C006751,2025-12-15,2026-01-14,1942.36,349.62,Issued
26979,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0026978,O0026978,C006979,2026-07-31,2026-08-30,11967.08,2154.08,Issued
27083,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0027082,O0027082,C007083,2025-11-12,2025-12-12,9290.29,1672.25,Overdue
27251,Invalid Foreign Key: Order_ID,INV0027250,O0027250,C007251,2026-04-29,2026-05-29,1928.96,347.21,Issued
27751,Invalid Foreign Key: Order_ID,INV0027750,O0027750,C007751,2025-09-11,2025-10-11,1962.45,353.24,Issued
27870,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0027869,O0027869,C007870,2026-01-08,2026-02-07,13339.35,2401.08,Issued
27976,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0027975,O0027975,C007976,2026-04-24,2026-05-24,2861.04,514.99,Issued
28251,Invalid Foreign Key: Order_ID,INV0028250,O0028250,C008251,2026-01-24,2026-02-23,1949.05,350.83,Issued
28433,Invalid Foreign Key: Order_ID,INV0028432,O0028432,C008433,2026-07-25,2026-08-24,3855.97,694.07,Issued
28614,Invalid Foreign Key: Order_ID,INV0028613,O0028613,C008614,2026-01-22,2026-02-21,2362.98,425.34,Issued
28657,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0028656,O0028656,C008657,2026-03-06,2026-04-05,4340.6,781.31,Issued
28751,Invalid Foreign Key: Order_ID,INV0028750,O0028750,C008751,2026-06-08,2026-07-08,1935.66,348.42,Issued
28973,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0028972,O0028972,C008973,2026-01-16,2026-02-15,8195.47,1475.19,Issued
29251,Invalid Foreign Key: Order_ID,INV0029250,O0029250,C009251,2025-10-21,2025-11-20,1969.15,354.45,Issued
29444,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0029443,O0029443,C009444,2026-05-02,2026-06-01,6717.26,1209.11,Issued
29751,Invalid Foreign Key: Order_ID,INV0029750,O0029750,C009751,2026-03-05,2026-04-04,1955.75,352.04,Issued
29970,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0029969,O0029969,C009970,2025-10-10,2025-11-09,13339.35,2401.08,Issued
29980,Invalid Foreign Key: Order_ID,INV0029979,O0029979,C009980,2025-10-20,2025-11-19,15092.0,2716.56,Issued
30022,Invalid Foreign Key: Order_ID,INV0030021,O0030021,C010022,2025-12-01,2025-12-31,1759.42,316.69,Issued
30028,Duplicate Primary Key,INV0030026,O0030027,C010028,2025-12-07,2026-01-06,3336.91,600.64,Issued
30210,Invalid Foreign Key: Order_ID,INV0030209,O0030209,C010210,2026-06-07,2026-07-07,2208.64,397.55,Issued
30231,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0030230,O0030230,C010231,2026-06-28,2026-07-28,1224.06,220.33,Issued
30251,Invalid Foreign Key: Order_ID,INV0030250,O0030250,C010251,2026-07-18,2026-08-17,1942.36,349.62,Overdue
30751,Invalid Foreign Key: Order_ID,INV0030750,O0030750,C010751,2025-11-30,2025-12-30,1928.96,347.21,Issued
30815,Invalid Foreign Key: Order_ID,INV0030814,O0030814,C010815,2026-02-02,2026-03-04,3118.63,561.35,Issued
30967,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0030966,O0030966,C010967,2026-07-04,2026-08-03,5078.07,914.05,Issued
31018,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0031017,O0031017,C011018,2026-08-24,2026-09-23,2204.18,396.75,Issued
31251,Invalid Foreign Key: Order_ID,INV0031250,O0031250,C011251,2026-04-14,2026-05-14,1962.45,353.24,Issued
31751,Invalid Foreign Key: Order_ID,INV0031750,O0031750,C011751,2026-08-27,2026-09-26,1949.05,350.83,Issued
31805,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0031804,O0031804,C011805,2025-10-20,2025-11-19,1259.91,226.78,Issued
31964,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0031963,O0031963,C011964,2026-03-28,2026-04-27,9646.9,1736.44,Issued
31987,Invalid Foreign Key: Order_ID,INV0031986,O0031986,C011987,2026-04-20,2026-05-20,6530.52,1175.49,Issued
32251,Invalid Foreign Key: Order_ID,INV0032250,O0032250,C012251,2026-01-09,2026-02-08,1935.66,348.42,Issued
32592,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0032591,O0032591,C012592,2025-12-16,2026-01-15,6850.42,1233.07,Issued
32751,Invalid Foreign Key: Order_ID,INV0032750,O0032750,C012751,2026-05-24,2026-06-23,1969.15,354.45,Issued
32961,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0032960,O0032960,C012961,2025-12-20,2026-01-19,2341.69,421.5,Issued
33016,Invalid Foreign Key: Order_ID,INV0033015,O0033015,C013016,2026-02-13,2026-03-15,656.2,118.12,Issued
33251,Invalid Foreign Key: Order_ID,INV0033250,O0033250,C013251,2025-10-06,2025-11-05,1955.75,352.04,Issued
33311,Invalid Foreign Key: Order_ID,INV0033310,O0033310,C013311,2025-12-05,2026-01-04,478.98,86.22,Issued
33379,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0033378,O0033378,C013379,2026-02-11,2026-03-13,12008.07,2161.45,Issued
33751,Invalid Foreign Key: Order_ID,INV0033750,O0033750,C013751,2026-02-18,2026-03-20,1942.36,349.62,Issued
33764,Invalid Foreign Key: Order_ID,INV0033763,O0033763,C013764,2026-03-03,2026-04-02,9780.42,1760.48,Issued
33958,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0033957,O0033957,C013958,2025-09-13,2025-10-13,6644.27,1195.97,Overdue
34166,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0034165,O0034165,C014166,2026-04-09,2026-05-09,2502.16,450.39,Issued
34251,Invalid Foreign Key: Order_ID,INV0034250,O0034250,C014251,2026-07-03,2026-08-02,1928.96,347.21,Issued
34751,Invalid Foreign Key: Order_ID,INV0034750,O0034750,C014751,2025-11-15,2025-12-15,1962.45,353.24,Issued
34953,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0034952,O0034952,C014953,2026-06-05,2026-07-05,6026.7,1084.81,Issued
34955,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0034954,O0034954,C014955,2026-06-07,2026-07-07,10446.72,1880.41,Issued
