Source_Row,Reject_Reasons,Event_ID,Customer_ID,Session_ID,Event_Time,Channel,Event_Type,Page,Experiment_Group,Converted,Order_ID
20787,Invalid Foreign Key: Customer_ID,EV00020786,C000787,SES00005197,2026-08-13 02:26:00,Instagram,Product View,/cart,Treatment,0,
20997,Invalid Foreign Key: Customer_ID,EV00020996,C000997,SES00005250,2026-03-11 20:56:00,Instagram,Add to Cart,/cart,Treatment,0,
21994,Invalid Foreign Key: Customer_ID,EV00021993,C001994,SES00005499,2025-12-03 09:33:00,Referral,Product View,/home,Control,0,
22361,Invalid Foreign Key: Customer_ID,EV00022360,C002361,SES00005591,2025-12-05 16:40:00,Google Ads,Page View,/home,Treatment,0,
22991,Invalid Foreign Key: Customer_ID,EV00022990,C002991,SES00005748,2026-08-27 22:10:00,Google Ads,Product View,/product,Treatment,0,
23148,Invalid Foreign Key: Customer_ID,EV00023147,C003148,SES00005787,2026-01-31 11:47:00,Email,Page View,/cart,Control,0,
23935,Invalid Foreign Key: Customer_ID,EV00023934,C003935,SES00005984,2026-03-29 06:54:00,Organic Search,Checkout,/checkout,Treatment,0,
24722,Invalid Foreign Key: Customer_ID,EV00024721,C004722,SES00006181,2026-05-25 01:01:00,Instagram,Page View,/product,Control,0,
24985,Invalid Foreign Key: Customer_ID,EV00024984,C004985,SES00006247,2026-02-12 00:24:00,Organic Search,Checkout,/checkout,Treatment,0,
25508,Invalid Foreign Key: Order_ID,EV00025507,C005508,SES00006377,2026-07-20 19:07:00,Email,Purchase,/checkout,Control,1,O0025508
25509,Invalid Foreign Key: Customer_ID,EV00025508,C005509,SES00006378,2026-07-21 20:08:00,Referral,Page View,/checkout,Treatment,0,
25982,Invalid Foreign Key: Customer_ID,EV00025981,C005982,SES00006496,2025-11-06 13:01:00,Instagram,Add to Cart,/product,Control,0,
26296,Invalid Foreign Key: Customer_ID,EV00026295,C006296,SES00006574,2025-09-16 15:15:00,Google Ads,Product View,/product,Control,0,
26750,Invalid Foreign Key: Order_ID,EV00026749,C006750,SES00006688,2025-12-14 13:49:00,Organic Search,Purchase,/product,Control,1,O0026750
26979,Invalid Foreign Key: Customer_ID,EV00026978,C006979,SES00006745,2026-07-31 02:38:00,Referral,Product View,/product,Treatment,0,
27083,Invalid Foreign Key: Customer_ID,EV00027082,C007083,SES00006771,2025-11-12 10:22:00,Email,Product View,/checkout,Treatment,0,
27870,Invalid Foreign Key: Customer_ID,EV00027869,C007870,SES00006968,2026-01-08 05:29:00,Organic Search,Checkout,/product,Control,0,
27976,Invalid Foreign Key: Customer_ID,EV00027975,C007976,SES00006994,2026-04-24 15:15:00,Google Ads,Product View,/product,Control,0,
28613,Invalid Foreign Key: Order_ID,EV00028612,C008613,SES00007154,2026-01-21 04:52:00,Email,Purchase,/checkout,Treatment,1,O0028613
28657,Invalid Foreign Key: Customer_ID,EV00028656,C008657,SES00007165,2026-03-06 00:36:00,Instagram,Page View,/product,Treatment,0,
28973,Invalid Foreign Key: Customer_ID,EV00028972,C008973,SES00007244,2026-01-16 04:52:00,Email,Page View,/home,Treatment,0,
29444,Invalid Foreign Key: Customer_ID,EV00029443,C009444,SES00007361,2026-05-02 19:43:00,Referral,Product View,/product,Control,0,
29970,Invalid Foreign Key: Customer_ID,EV00029969,C009970,SES00007493,2025-10-10 17:29:00,Organic Search,Purchase,/checkout,Control,1,O0029970
30231,Invalid Foreign Key: Customer_ID,EV00030230,C010231,SES00007558,2026-06-28 14:50:00,Google Ads,Checkout,/home,Treatment,0,
30967,Invalid Foreign Key: Customer_ID,EV00030966,C010967,SES00007742,2026-07-04 06:06:00,Instagram,Product View,/product,Treatment,0,
31018,Invalid Foreign Key: Customer_ID,EV00031017,C011018,SES00007755,2026-08-24 09:57:00,Email,Add to Cart,/cart,Control,0,
31805,Invalid Foreign Key: Customer_ID,EV00031804,C011805,SES00007952,2025-10-20 04:04:00,Organic Search,Product View,/checkout,Treatment,0,
31964,Invalid Foreign Key: Customer_ID,EV00031963,C011964,SES00007991,2026-03-28 19:43:00,Referral,Product View,/product,Control,0,
32592,Invalid Foreign Key: Customer_ID,EV00032591,C012592,SES00008148,2025-12-16 23:11:00,Instagram,Purchase,/checkout,Control,1,O0032592
32960,Invalid Foreign Key: Order_ID,EV00032959,C012960,SES00008240,2025-12-19 07:19:00,Organic Search,Purchase,/checkout,Control,1,O0032960
32961,Invalid Foreign Key: Customer_ID,EV00032960,C012961,SES00008241,2025-12-20 08:20:00,Google Ads,Checkout,/cart,Treatment,0,
33379,Invalid Foreign Key: Customer_ID,EV00033378,C013379,SES00008345,2026-02-11 18:18:00,Referral,Page View,/checkout,Treatment,0,
33958,Invalid Foreign Key: Customer_ID,EV00033957,C013958,SES00008490,2025-09-13 21:57:00,Email,Product View,/product,Control,0,
34166,Invalid Foreign Key: Customer_ID,EV00034165,C014166,SES00008542,2026-04-09 13:25:00,Google Ads,Add to Cart,/product,Control,0,
34955,Invalid Foreign Key: Customer_ID,EV00034954,C014955,SES00008739,2026-06-07 10:34:00,Organic Search,Add to Cart,/checkout,Treatment,0,
35740,Invalid Foreign Key: Customer_ID,EV00035739,C015740,SES00008935,2026-08-01 03:39:00,Organic Search,Checkout,/home,Control,0,
35952,Invalid Foreign Key: Customer_ID,EV00035951,C015952,SES00008988,2026-03-01 23:11:00,Instagram,Page View,/home,Control,0,
36527,Invalid Foreign Key: Customer_ID,EV00036526,C016527,SES00009132,2025-09-27 22:46:00,Instagram,Product View,/home,Treatment,0,
36949,Invalid Foreign Key: Customer_ID,EV00036948,C016949,SES00009238,2025-11-23 12:48:00,Referral,Checkout,/cart,Treatment,0,
37314,Invalid Foreign Key: Customer_ID,EV00037313,C017314,SES00009329,2025-11-23 17:53:00,Referral,Product View,/product,Control,0,
37946,Invalid Foreign Key: Customer_ID,EV00037945,C017946,SES00009487,2026-08-17 01:25:00,Google Ads,Product View,/product,Control,0,
38101,Invalid Foreign Key: Customer_ID,EV00038100,C018101,SES00009526,2026-01-19 12:00:00,Google Ads,Add to Cart,/cart,Treatment,0,
38250,Invalid Foreign Key: Order_ID,EV00038249,C018250,SES00009563,2026-06-17 17:29:00,Organic Search,Purchase,/product,Control,1,O0038250
38888,Invalid Foreign Key: Customer_ID,EV00038887,C018888,SES00009722,2026-03-17 07:07:00,Email,Page View,/home,Control,0,
38943,Invalid Foreign Key: Customer_ID,EV00038942,C018943,SES00009736,2026-05-11 14:02:00,Email,Add to Cart,/home,Treatment,0,
39675,Invalid Foreign Key: Customer_ID,EV00039674,C019675,SES00009919,2026-05-13 02:14:00,Organic Search,Add to Cart,/product,Treatment,0,
39940,Invalid Foreign Key: Customer_ID,EV00039939,C019940,SES00009985,2026-02-02 03:39:00,Organic Search,Checkout,/cart,Control,0,
40787,Invalid Foreign Key: Customer_ID,EV00040786,C000787,SES00010197,2026-05-30 10:46:00,Instagram,Checkout,/product,Treatment,0,
40997,Invalid Foreign Key: Customer_ID,EV00040996,C000997,SES00010250,2025-12-26 04:16:00,Instagram,Page View,/cart,Treatment,0,
41574,Invalid Foreign Key: Customer_ID,EV00041573,C001574,SES00010394,2026-07-26 05:53:00,Referral,Product View,/product,Control,0,
41994,Invalid Foreign Key: Customer_ID,EV00041993,C001994,SES00010499,2025-09-19 17:53:00,Referral,Add to Cart,/product,Control,0,
42361,Invalid Foreign Key: Customer_ID,EV00042360,C002361,SES00010591,2025-09-21 00:00:00,Google Ads,Add to Cart,/checkout,Treatment,0,
42991,Invalid Foreign Key: Customer_ID,EV00042990,C002991,SES00010748,2026-06-13 06:30:00,Google Ads,Page View,/cart,Treatment,0,
43148,Invalid Foreign Key: Customer_ID,EV00043147,C003148,SES00010787,2025-11-17 19:07:00,Email,Checkout,/cart,Control,0,
43935,Invalid Foreign Key: Customer_ID,EV00043934,C003935,SES00010984,2026-01-13 14:14:00,Organic Search,Add to Cart,/home,Treatment,0,
43988,Invalid Foreign Key: Customer_ID,EV00043987,C003988,SES00010997,2026-03-07 19:07:00,Email,Checkout,/checkout,Control,0,
44722,Invalid Foreign Key: Customer_ID,EV00044721,C004722,SES00011181,2026-03-11 09:21:00,Instagram,Product View,/product,Control,0,
44985,Invalid Foreign Key: Customer_ID,EV00044984,C004985,SES00011247,2025-11-29 08:44:00,Organic Search,Checkout,/home,Treatment,0,
45509,Invalid Foreign Key: Customer_ID,EV00045508,C005509,SES00011378,2026-05-07 04:28:00,Referral,Product View,/cart,Treatment,0,
45982,Invalid Foreign Key: Customer_ID,EV00045981,C005982,SES00011496,2026-08-23 21:21:00,Instagram,Page View,/cart,Control,0,
46296,Invalid Foreign Key: Customer_ID,EV00046295,C006296,SES00011574,2026-07-03 23:35:00,Google Ads,Checkout,/product,Control,0,
46979,Invalid Foreign Key: Customer_ID,EV00046978,C006979,SES00011745,2026-05-17 10:58:00,Referral,Product View,/cart,Treatment,0,
47082,Invalid Foreign Key: Order_ID,EV00047081,C007082,SES00011771,2026-08-28 17:41:00,Instagram,Purchase,/home,Control,1,O0047082
47083,Invalid Foreign Key: Customer_ID,EV00047082,C007083,SES00011771,2026-08-29 18:42:00,Email,Checkout,/product,Treatment,0,
47870,Invalid Foreign Key: Customer_ID,EV00047869,C007870,SES00011968,2025-10-25 13:49:00,Organic Search,Page View,/checkout,Control,0,
47976,Invalid Foreign Key: Customer_ID,EV00047975,C007976,SES00011994,2026-02-08 23:35:00,Google Ads,Page View,/product,Control,0,
47979,Invalid Foreign Key: Order_ID,EV00047978,C007979,SES00011995,2026-02-11 02:38:00,Referral,Purchase,/cart,Treatment,1,O0047979
48657,Invalid Foreign Key: Customer_ID,EV00048656,C008657,SES00012165,2025-12-21 08:56:00,Instagram,Product View,/checkout,Treatment,0,
48973,Invalid Foreign Key: Customer_ID,EV00048972,C008973,SES00012244,2025-11-02 12:12:00,Email,Checkout,/checkout,Treatment,0,
49444,Invalid Foreign Key: Customer_ID,EV00049443,C009444,SES00012361,2026-02-16 03:03:00,Referral,Page View,/home,Control,0,
49750,Invalid Foreign Key: Order_ID,EV00049749,C009750,SES00012438,2025-12-19 21:09:00,Organic Search,Purchase,/home,Control,1,O0049750
49970,Invalid Foreign Key: Customer_ID,EV00049969,C009970,SES00012493,2026-07-27 01:49:00,Organic Search,Product View,/checkout,Control,0,
50231,Invalid Foreign Key: Customer_ID,EV00050230,C010231,SES00012558,2026-04-14 22:10:00,Google Ads,Checkout,/home,Treatment,0,
51805,Invalid Foreign Key: Customer_ID,EV00051804,C011805,SES00012952,2026-08-06 12:24:00,Organic Search,Page View,/home,Treatment,0,
51964,Invalid Foreign Key: Customer_ID,EV00051963,C011964,SES00012991,2026-01-12 03:03:00,Referral,Product View,/product,Control,0,
52592,Invalid Foreign Key: Customer_ID,EV00052591,C012592,SES00013148,2025-10-02 07:31:00,Instagram,Product View,/checkout,Control,0,
52961,Invalid Foreign Key: Customer_ID,EV00052960,C012961,SES00013241,2025-10-06 16:40:00,Google Ads,Page View,/checkout,Treatment,0,
53379,Invalid Foreign Key: Customer_ID,EV00053378,C013379,SES00013345,2025-11-28 02:38:00,Referral,Page View,/home,Treatment,0,
53958,Invalid Foreign Key: Customer_ID,EV00053957,C013958,SES00013490,2026-06-30 05:17:00,Email,Checkout,/checkout,Control,0,
54166,Invalid Foreign Key: Customer_ID,EV00054165,C014166,SES00013542,2026-01-24 21:45:00,Google Ads,Purchase,/cart,Control,1,O0054166
54953,Invalid Foreign Key: Customer_ID,EV00054952,C014953,SES00013739,2026-03-22 16:52:00,Email,Checkout,/checkout,Treatment,0,
54955,Invalid Foreign Key: Customer_ID,EV00054954,C014955,SES00013739,2026-03-24 18:54:00,Organic Search,Checkout,/cart,Treatment,0,
55740,Invalid Foreign Key: Customer_ID,EV00055739,C015740,SES00013935,2026-05-18 11:59:00,Organic Search,Product View,/checkout,Control,0,
55952,Invalid Foreign Key: Customer_ID,EV00055951,C015952,SES00013988,2025-12-16 07:31:00,Instagram,Page View,/product,Control,0,
56527,Invalid Foreign Key: Customer_ID,EV00056526,C016527,SES00014132,2026-07-14 06:06:00,Instagram,Add to Cart,/home,Treatment,0,
56627,Invalid Foreign Key: Order_ID,EV00056626,C016627,SES00014157,2025-10-22 10:46:00,Instagram,Purchase,/cart,Treatment,1,O0056627
56949,Invalid Foreign Key: Customer_ID,EV00056948,C016949,SES00014238,2025-09-09 20:08:00,Referral,Purchase,/home,Treatment,1,O0056949
57314,Invalid Foreign Key: Customer_ID,EV00057313,C017314,SES00014329,2025-09-09 01:13:00,Referral,Checkout,/checkout,Control,0,
57946,Invalid Foreign Key: Customer_ID,EV00057945,C017946,SES00014487,2026-06-03 09:45:00,Google Ads,Page View,/product,Control,0,
58101,Invalid Foreign Key: Customer_ID,EV00058100,C018101,SES00014526,2025-11-05 20:20:00,Google Ads,Checkout,/home,Treatment,0,
58888,Invalid Foreign Key: Customer_ID,EV00058887,C018888,SES00014722,2026-01-01 15:27:00,Email,Page View,/product,Control,0,
58943,Invalid Foreign Key: Customer_ID,EV00058942,C018943,SES00014736,2026-02-25 22:22:00,Email,Checkout,/cart,Treatment,0,
59675,Invalid Foreign Key: Customer_ID,EV00059674,C019675,SES00014919,2026-02-27 10:34:00,Organic Search,Add to Cart,/cart,Treatment,0,
59939,Invalid Foreign Key: Order_ID,EV00059938,C019939,SES00014985,2025-11-18 10:58:00,Referral,Purchase,/cart,Treatment,1,O0059939
59940,Invalid Foreign Key: Customer_ID,EV00059939,C019940,SES00014985,2025-11-19 11:59:00,Organic Search,Checkout,/home,Control,0,
60787,Invalid Foreign Key: Customer_ID,EV00060786,C000787,SES00015197,2026-03-16 18:06:00,Instagram,Checkout,/checkout,Treatment,0,
61250,Invalid Foreign Key: Order_ID,EV00061249,C001250,SES00015313,2026-06-22 01:49:00,Organic Search,Purchase,/checkout,Control,1,O0061250
61574,Invalid Foreign Key: Customer_ID,EV00061573,C001574,SES00015394,2026-05-12 13:13:00,Referral,Product View,/home,Control,0,
61994,Invalid Foreign Key: Customer_ID,EV00061993,C001994,SES00015499,2026-07-06 01:13:00,Referral,Add to Cart,/product,Control,0,
62361,Invalid Foreign Key: Customer_ID,EV00062360,C002361,SES00015591,2026-07-08 08:20:00,Google Ads,Checkout,/home,Treatment,0,
62991,Invalid Foreign Key: Customer_ID,EV00062990,C002991,SES00015748,2026-03-30 14:50:00,Google Ads,Page View,/product,Treatment,0,
63148,Invalid Foreign Key: Customer_ID,EV00063147,C003148,SES00015787,2025-09-03 03:27:00,Email,Product View,/home,Control,0,
63935,Invalid Foreign Key: Customer_ID,EV00063934,C003935,SES00015984,2025-10-30 22:34:00,Organic Search,Page View,/product,Treatment,0,
63987,Invalid Foreign Key: Order_ID,EV00063986,C003987,SES00015997,2025-12-21 02:26:00,Instagram,Purchase,/product,Treatment,1,O0063987
63988,Invalid Foreign Key: Customer_ID,EV00063987,C003988,SES00015997,2025-12-22 03:27:00,Email,Product View,/cart,Control,0,
64722,Invalid Foreign Key: Customer_ID,EV00064721,C004722,SES00016181,2025-12-26 17:41:00,Instagram,Page View,/checkout,Control,0,
64985,Invalid Foreign Key: Customer_ID,EV00064984,C004985,SES00016247,2025-09-15 16:04:00,Organic Search,Add to Cart,/checkout,Treatment,0,
65509,Invalid Foreign Key: Customer_ID,EV00065508,C005509,SES00016378,2026-02-21 12:48:00,Referral,Checkout,/product,Treatment,0,
65982,Invalid Foreign Key: Customer_ID,EV00065981,C005982,SES00016496,2026-06-09 05:41:00,Instagram,Page View,/checkout,Control,0,
66296,Invalid Foreign Key: Customer_ID,EV00066295,C006296,SES00016574,2026-04-19 07:55:00,Google Ads,Page View,/checkout,Control,0,
66979,Invalid Foreign Key: Customer_ID,EV00066978,C006979,SES00016745,2026-03-03 18:18:00,Referral,Product View,/checkout,Treatment,0,
67870,Invalid Foreign Key: Customer_ID,EV00067869,C007870,SES00016968,2026-08-11 21:09:00,Organic Search,Add to Cart,/home,Control,0,
67976,Invalid Foreign Key: Customer_ID,EV00067975,C007976,SES00016994,2025-11-25 07:55:00,Google Ads,Page View,/home,Control,0,
68656,Invalid Foreign Key: Order_ID,EV00068655,C008656,SES00017164,2025-10-06 15:15:00,Google Ads,Purchase,/checkout,Control,1,O0068656
68657,Invalid Foreign Key: Customer_ID,EV00068656,C008657,SES00017165,2025-10-07 16:16:00,Instagram,Page View,/product,Treatment,0,
68973,Invalid Foreign Key: Customer_ID,EV00068972,C008973,SES00017244,2026-08-19 20:32:00,Email,Checkout,/checkout,Treatment,0,
69444,Invalid Foreign Key: Customer_ID,EV00069443,C009444,SES00017361,2025-12-03 11:23:00,Referral,Product View,/checkout,Control,0,
69970,Invalid Foreign Key: Customer_ID,EV00069969,C009970,SES00017493,2026-05-13 09:09:00,Organic Search,Checkout,/cart,Control,0,
70231,Invalid Foreign Key: Customer_ID,EV00070230,C010231,SES00017558,2026-01-29 06:30:00,Google Ads,Add to Cart,/product,Treatment,0,
70967,Invalid Foreign Key: Customer_ID,EV00070966,C010967,SES00017742,2026-02-04 22:46:00,Instagram,Checkout,/checkout,Treatment,0,
71018,Invalid Foreign Key: Customer_ID,EV00071017,C011018,SES00017755,2026-03-27 01:37:00,Email,Page View,/cart,Control,0,
71805,Invalid Foreign Key: Customer_ID,EV00071804,C011805,SES00017952,2026-05-23 20:44:00,Organic Search,Checkout,/product,Treatment,0,
71964,Invalid Foreign Key: Customer_ID,EV00071963,C011964,SES00017991,2025-10-29 11:23:00,Referral,Page View,/cart,Control,0,
72592,Invalid Foreign Key: Customer_ID,EV00072591,C012592,SES00018148,2026-07-19 15:51:00,Instagram,Product View,/product,Control,0,
72750,Invalid Foreign Key: Order_ID,EV00072749,C012750,SES00018188,2025-12-24 05:29:00,Organic Search,Purchase,/checkout,Control,1,O0072750
72961,Invalid Foreign Key: Customer_ID,EV00072960,C012961,SES00018241,2026-07-23 00:00:00,Google Ads,Page View,/cart,Treatment,0,
73379,Invalid Foreign Key: Customer_ID,EV00073378,C013379,SES00018345,2025-09-14 10:58:00,Referral,Checkout,/cart,Treatment,0,
73958,Invalid Foreign Key: Customer_ID,EV00073957,C013958,SES00018490,2026-04-16 13:37:00,Email,Add to Cart,/product,Control,0,
74166,Invalid Foreign Key: Customer_ID,EV00074165,C014166,SES00018542,2025-11-10 05:05:00,Google Ads,Page View,/cart,Control,0,
74953,Invalid Foreign Key: Customer_ID,EV00074952,C014953,SES00018739,2026-01-06 00:12:00,Email,Checkout,/cart,Treatment,0,
74955,Invalid Foreign Key: Customer_ID,EV00074954,C014955,SES00018739,2026-01-08 02:14:00,Organic Search,Page View,/home,Treatment,0,
75740,Invalid Foreign Key: Customer_ID,EV00075739,C015740,SES00018935,2026-03-04 19:19:00,Organic Search,Purchase,/home,Control,1,O0075740
75952,Invalid Foreign Key: Customer_ID,EV00075951,C015952,SES00018988,2025-10-02 15:51:00,Instagram,Checkout,/home,Control,0,
76527,Invalid Foreign Key: Customer_ID,EV00076526,C016527,SES00019132,2026-04-30 14:26:00,Instagram,Page View,/checkout,Treatment,0,
76949,Invalid Foreign Key: Customer_ID,EV00076948,C016949,SES00019238,2026-06-26 04:28:00,Referral,Page View,/product,Treatment,0,
77314,Invalid Foreign Key: Customer_ID,EV00077313,C017314,SES00019329,2026-06-26 09:33:00,Referral,Checkout,/cart,Control,0,
78101,Invalid Foreign Key: Customer_ID,EV00078100,C018101,SES00019526,2026-08-22 04:40:00,Google Ads,Product View,/home,Treatment,0,
78888,Invalid Foreign Key: Customer_ID,EV00078887,C018888,SES00019722,2025-10-18 23:47:00,Email,Product View,/home,Control,0,
78943,Invalid Foreign Key: Customer_ID,EV00078942,C018943,SES00019736,2025-12-12 06:42:00,Email,Add to Cart,/product,Treatment,0,
79236,Invalid Foreign Key: Order_ID,EV00079235,C019236,SES00019809,2025-10-01 11:35:00,Google Ads,Purchase,/cart,Control,1,O0079236
79675,Invalid Foreign Key: Customer_ID,EV00079674,C019675,SES00019919,2025-12-14 18:54:00,Organic Search,Checkout,/home,Treatment,0,
79940,Invalid Foreign Key: Customer_ID,EV00079939,C019940,SES00019985,2025-09-05 19:19:00,Organic Search,Page View,/cart,Control,0,
80787,Invalid Foreign Key: Customer_ID,EV00080786,C000787,SES00020197,2025-12-31 02:26:00,Instagram,Add to Cart,/cart,Treatment,0,
80997,Invalid Foreign Key: Customer_ID,EV00080996,C000997,SES00020250,2026-07-29 20:56:00,Instagram,Page View,/cart,Treatment,0,
81574,Invalid Foreign Key: Customer_ID,EV00081573,C001574,SES00020394,2026-02-26 21:33:00,Referral,Page View,/cart,Control,0,
81994,Invalid Foreign Key: Customer_ID,EV00081993,C001994,SES00020499,2026-04-22 09:33:00,Referral,Checkout,/home,Control,0,
82361,Invalid Foreign Key: Customer_ID,EV00082360,C002361,SES00020591,2026-04-24 16:40:00,Google Ads,Checkout,/home,Treatment,0,
82991,Invalid Foreign Key: Customer_ID,EV00082990,C002991,SES00020748,2026-01-14 22:10:00,Google Ads,Checkout,/home,Treatment,0,
