Source_Row,Reject_Reasons,Inventory_ID,Snapshot_Date,Warehouse_ID,Product_ID,Opening_Stock,Purchases,Units_Sold,Returns_In,Adjustments,Closing_Stock,Unit_Cost,Stock_Value,Stockout_Flag
12842,Invalid Foreign Key: Product_ID,ST00012841,2025-11-06,W002,P00842,391,241,7,7,0,632,4810,3039920.0,0
12921,Invalid Foreign Key: Product_ID,ST00012920,2026-01-24,W001,P00921,470,20,140,5,2,357,2500,892500.0,0
12998,Invalid Foreign Key: Product_ID,ST00012997,2026-04-11,W018,P00998,547,97,259,1,2,388,10970,4256360.0,0
13307,Invalid Foreign Key: Product_ID,ST00013306,2026-02-14,W007,P00307,356,106,322,4,3,147,960,141120.0,0
13421,Invalid Foreign Key: Product_ID,ST00013420,2026-06-08,W001,P00421,470,220,280,1,-2,409,2500,1022500.0,0
13499,Invalid Foreign Key: Product_ID,ST00013498,2026-08-25,W019,P00499,548,298,406,7,-1,446,11080,4941680.0,0
13577,Invalid Foreign Key: Product_ID,ST00013576,2025-11-11,W017,P00577,126,76,112,4,0,94,8660,814040.0,0
13614,Invalid Foreign Key: Product_ID,ST00013613,2025-12-18,W014,P00614,163,113,371,5,2,-88,1730,-152240.0,1
13842,Invalid Foreign Key: Product_ID,ST00013841,2026-08-03,W002,P00842,391,41,287,8,-1,152,4810,731120.0,0
13921,Invalid Foreign Key: Product_ID,ST00013920,2025-10-21,W001,P00921,470,120,0,6,1,597,2500,1492500.0,0
13998,Invalid Foreign Key: Product_ID,ST00013997,2026-01-06,W018,P00998,547,197,119,2,1,628,10970,6889160.0,0
14307,Invalid Foreign Key: Product_ID,ST00014306,2025-11-11,W007,P00307,356,206,182,5,2,387,960,371520.0,0
14421,Invalid Foreign Key: Product_ID,ST00014420,2026-03-05,W001,P00421,470,20,140,2,-3,349,2500,872500.0,0
14499,Invalid Foreign Key: Product_ID,ST00014498,2026-05-22,W019,P00499,548,98,266,8,-2,386,11080,4276880.0,0
14577,Invalid Foreign Key: Product_ID,ST00014576,2026-08-08,W017,P00577,126,176,392,5,-1,-86,8660,-744760.0,1
14614,Invalid Foreign Key: Product_ID,ST00014613,2025-09-14,W014,P00614,163,213,231,6,1,152,1730,262960.0,0
14842,Invalid Foreign Key: Product_ID,ST00014841,2026-04-30,W002,P00842,391,141,147,0,-2,383,4810,1842230.0,0
14921,Invalid Foreign Key: Product_ID,ST00014920,2026-07-18,W001,P00921,470,220,280,7,0,417,2500,1042500.0,0
14998,Invalid Foreign Key: Product_ID,ST00014997,2025-10-03,W018,P00998,547,297,399,3,0,448,10970,4914560.0,0
15307,Invalid Foreign Key: Product_ID,ST00015306,2026-08-08,W007,P00307,356,6,42,6,1,327,960,313920.0,0
15421,Invalid Foreign Key: Product_ID,ST00015420,2025-11-30,W001,P00421,470,120,0,3,3,596,2500,1490000.0,0
15499,Invalid Foreign Key: Product_ID,ST00015498,2026-02-16,W019,P00499,548,198,126,0,-3,617,11080,6836360.0,0
15577,Invalid Foreign Key: Product_ID,ST00015576,2026-05-05,W017,P00577,126,276,252,6,-2,154,8660,1333640.0,0
15614,Invalid Foreign Key: Product_ID,ST00015613,2026-06-11,W014,P00614,163,13,91,7,0,92,1730,159160.0,0
15842,Invalid Foreign Key: Product_ID,ST00015841,2026-01-25,W002,P00842,391,241,7,1,-3,623,4810,2996630.0,0
15921,Invalid Foreign Key: Product_ID,ST00015920,2026-04-14,W001,P00921,470,20,140,8,-1,357,2500,892500.0,0
15998,Invalid Foreign Key: Product_ID,ST00015997,2026-06-30,W018,P00998,547,97,259,4,-1,388,10970,4256360.0,0
16307,Invalid Foreign Key: Product_ID,ST00016306,2026-05-05,W007,P00307,356,106,322,7,0,147,960,141120.0,0
16421,Invalid Foreign Key: Product_ID,ST00016420,2026-08-27,W001,P00421,470,220,280,4,2,416,2500,1040000.0,0
16499,Invalid Foreign Key: Product_ID,ST00016498,2025-11-13,W019,P00499,548,298,406,1,3,444,11080,4919520.0,0
16577,Invalid Foreign Key: Product_ID,ST00016576,2026-01-30,W017,P00577,126,76,112,7,-3,94,8660,814040.0,0
16614,Invalid Foreign Key: Product_ID,ST00016613,2026-03-08,W014,P00614,163,113,371,8,-1,-88,1730,-152240.0,1
16842,Invalid Foreign Key: Product_ID,ST00016841,2025-10-22,W002,P00842,391,41,287,2,3,150,4810,721500.0,0
16921,Invalid Foreign Key: Product_ID,ST00016920,2026-01-09,W001,P00921,470,120,0,0,-2,588,2500,1470000.0,0
16998,Invalid Foreign Key: Product_ID,ST00016997,2026-03-27,W018,P00998,547,197,119,5,-2,628,10970,6889160.0,0
17307,Invalid Foreign Key: Product_ID,ST00017306,2026-01-30,W007,P00307,356,206,182,8,-1,387,960,371520.0,0
17421,Invalid Foreign Key: Product_ID,ST00017420,2026-05-24,W001,P00421,470,20,140,5,1,356,2500,890000.0,0
17499,Invalid Foreign Key: Product_ID,ST00017498,2026-08-10,W019,P00499,548,98,266,2,2,384,11080,4254720.0,0
17577,Invalid Foreign Key: Product_ID,ST00017576,2025-10-27,W017,P00577,126,176,392,8,3,-79,8660,-684140.0,1
17614,Invalid Foreign Key: Product_ID,ST00017613,2025-12-03,W014,P00614,163,213,231,0,-2,143,1730,247390.0,0
17842,Invalid Foreign Key: Product_ID,ST00017841,2026-07-19,W002,P00842,391,141,147,3,2,390,4810,1875900.0,0
17921,Invalid Foreign Key: Product_ID,ST00017920,2025-10-06,W001,P00921,470,220,280,1,-3,408,2500,1020000.0,0
17998,Invalid Foreign Key: Product_ID,ST00017997,2025-12-22,W018,P00998,547,297,399,6,-3,448,10970,4914560.0,0
18307,Invalid Foreign Key: Product_ID,ST00018306,2025-10-27,W007,P00307,356,6,42,0,-2,318,960,305280.0,0
18421,Invalid Foreign Key: Product_ID,ST00018420,2026-02-18,W001,P00421,470,120,0,6,0,596,2500,1490000.0,0
18499,Invalid Foreign Key: Product_ID,ST00018498,2026-05-07,W019,P00499,548,198,126,3,1,624,11080,6913920.0,0
18577,Invalid Foreign Key: Product_ID,ST00018576,2026-07-24,W017,P00577,126,276,252,0,2,152,8660,1316320.0,0
18614,Invalid Foreign Key: Product_ID,ST00018613,2026-08-30,W014,P00614,163,13,91,1,-3,83,1730,143590.0,0
18842,Invalid Foreign Key: Product_ID,ST00018841,2026-04-15,W002,P00842,391,241,7,4,1,630,4810,3030300.0,0
18921,Invalid Foreign Key: Product_ID,ST00018920,2026-07-03,W001,P00921,470,20,140,2,3,355,2500,887500.0,0
18998,Invalid Foreign Key: Product_ID,ST00018997,2025-09-18,W018,P00998,547,97,259,7,3,395,10970,4333150.0,0
19307,Invalid Foreign Key: Product_ID,ST00019306,2026-07-24,W007,P00307,356,106,322,1,-3,138,960,132480.0,0
19421,Invalid Foreign Key: Product_ID,ST00019420,2025-11-15,W001,P00421,470,220,280,7,-1,416,2500,1040000.0,0
19499,Invalid Foreign Key: Product_ID,ST00019498,2026-02-01,W019,P00499,548,298,406,4,0,444,11080,4919520.0,0
19577,Invalid Foreign Key: Product_ID,ST00019576,2026-04-20,W017,P00577,126,76,112,1,1,92,8660,796720.0,0
19614,Invalid Foreign Key: Product_ID,ST00019613,2026-05-27,W014,P00614,163,113,371,2,3,-90,1730,-155700.0,1
19842,Invalid Foreign Key: Product_ID,ST00019841,2026-01-10,W002,P00842,391,41,287,5,0,150,4810,721500.0,0
19921,Invalid Foreign Key: Product_ID,ST00019920,2026-03-30,W001,P00921,470,120,0,3,2,595,2500,1487500.0,0
19998,Invalid Foreign Key: Product_ID,ST00019997,2026-06-15,W018,P00998,547,197,119,8,2,635,10970,6965950.0,0
20307,Invalid Foreign Key: Product_ID,ST00020306,2026-04-20,W007,P00307,356,206,182,2,3,385,960,369600.0,0
20421,Invalid Foreign Key: Product_ID,ST00020420,2026-08-12,W001,P00421,470,20,140,8,-2,356,2500,890000.0,0
20499,Invalid Foreign Key: Product_ID,ST00020498,2025-10-29,W019,P00499,548,98,266,5,-1,384,11080,4254720.0,0
20577,Invalid Foreign Key: Product_ID,ST00020576,2026-01-15,W017,P00577,126,176,392,2,0,-88,8660,-762080.0,1
20614,Invalid Foreign Key: Product_ID,ST00020613,2026-02-21,W014,P00614,163,213,231,3,2,150,1730,259500.0,0
20842,Invalid Foreign Key: Product_ID,ST00020841,2025-10-07,W002,P00842,391,141,147,6,-1,390,4810,1875900.0,0
20921,Invalid Foreign Key: Product_ID,ST00020920,2025-12-25,W001,P00921,470,220,280,4,1,415,2500,1037500.0,0
20998,Invalid Foreign Key: Product_ID,ST00020997,2026-03-12,W018,P00998,547,297,399,0,1,446,10970,4892620.0,0
21307,Invalid Foreign Key: Product_ID,ST00021306,2026-01-15,W007,P00307,356,6,42,3,2,325,960,312000.0,0
21421,Invalid Foreign Key: Product_ID,ST00021420,2026-05-09,W001,P00421,470,120,0,0,-3,587,2500,1467500.0,0
21499,Invalid Foreign Key: Product_ID,ST00021498,2026-07-26,W019,P00499,548,198,126,6,-2,624,11080,6913920.0,0
21577,Invalid Foreign Key: Product_ID,ST00021576,2025-10-12,W017,P00577,126,276,252,3,-1,152,8660,1316320.0,0
21614,Invalid Foreign Key: Product_ID,ST00021613,2025-11-18,W014,P00614,163,13,91,4,1,90,1730,155700.0,0
21842,Invalid Foreign Key: Product_ID,ST00021841,2026-07-04,W002,P00842,391,241,7,7,-2,630,4810,3030300.0,0
21921,Invalid Foreign Key: Product_ID,ST00021920,2025-09-21,W001,P00921,470,20,140,5,0,355,2500,887500.0,0
21998,Invalid Foreign Key: Product_ID,ST00021997,2025-12-07,W018,P00998,547,97,259,1,0,386,10970,4234420.0,0
22307,Invalid Foreign Key: Product_ID,ST00022306,2025-10-12,W007,P00307,356,106,322,4,1,145,960,139200.0,0
22421,Invalid Foreign Key: Product_ID,ST00022420,2026-02-03,W001,P00421,470,220,280,1,3,414,2500,1035000.0,0
22499,Invalid Foreign Key: Product_ID,ST00022498,2026-04-22,W019,P00499,548,298,406,7,-3,444,11080,4919520.0,0
22577,Invalid Foreign Key: Product_ID,ST00022576,2026-07-09,W017,P00577,126,76,112,4,-2,92,8660,796720.0,0
22614,Invalid Foreign Key: Product_ID,ST00022613,2026-08-15,W014,P00614,163,113,371,5,0,-90,1730,-155700.0,1
22842,Invalid Foreign Key: Product_ID,ST00022841,2026-03-31,W002,P00842,391,41,287,8,-3,150,4810,721500.0,0
22921,Invalid Foreign Key: Product_ID,ST00022920,2026-06-18,W001,P00921,470,120,0,6,-1,595,2500,1487500.0,0
22998,Invalid Foreign Key: Product_ID,ST00022997,2025-09-03,W018,P00998,547,197,119,2,-1,626,10970,6867220.0,0
23307,Invalid Foreign Key: Product_ID,ST00023306,2026-07-09,W007,P00307,356,206,182,5,0,385,960,369600.0,0
23421,Invalid Foreign Key: Product_ID,ST00023420,2025-10-31,W001,P00421,470,20,140,2,2,354,2500,885000.0,0
23499,Invalid Foreign Key: Product_ID,ST00023498,2026-01-17,W019,P00499,548,98,266,8,3,391,11080,4332280.0,0
23577,Invalid Foreign Key: Product_ID,ST00023576,2026-04-05,W017,P00577,126,176,392,5,-3,-88,8660,-762080.0,1
23614,Invalid Foreign Key: Product_ID,ST00023613,2026-05-12,W014,P00614,163,213,231,6,-1,150,1730,259500.0,0
23842,Invalid Foreign Key: Product_ID,ST00023841,2025-12-26,W002,P00842,391,141,147,0,3,388,4810,1866280.0,0
23921,Invalid Foreign Key: Product_ID,ST00023920,2026-03-15,W001,P00921,470,220,280,7,-2,415,2500,1037500.0,0
23998,Invalid Foreign Key: Product_ID,ST00023997,2026-05-31,W018,P00998,547,297,399,3,-2,446,10970,4892620.0,0
24307,Invalid Foreign Key: Product_ID,ST00024306,2026-04-05,W007,P00307,356,6,42,6,-1,325,960,312000.0,0
24421,Invalid Foreign Key: Product_ID,ST00024420,2026-07-28,W001,P00421,470,120,0,3,1,594,2500,1485000.0,0
24499,Invalid Foreign Key: Product_ID,ST00024498,2025-10-14,W019,P00499,548,198,126,0,2,622,11080,6891760.0,0
24577,Invalid Foreign Key: Product_ID,ST00024576,2025-12-31,W017,P00577,126,276,252,6,3,159,8660,1376940.0,0
24614,Invalid Foreign Key: Product_ID,ST00024613,2026-02-06,W014,P00614,163,13,91,7,-2,90,1730,155700.0,0
24842,Invalid Foreign Key: Product_ID,ST00024841,2025-09-22,W002,P00842,391,241,7,1,2,628,4810,3020680.0,0
24921,Invalid Foreign Key: Product_ID,ST00024920,2025-12-10,W001,P00921,470,20,140,8,-3,355,2500,887500.0,0
24998,Invalid Foreign Key: Product_ID,ST00024997,2026-02-25,W018,P00998,547,97,259,4,-3,386,10970,4234420.0,0
25307,Invalid Foreign Key: Product_ID,ST00025306,2025-12-31,W007,P00307,356,106,322,7,-2,145,960,139200.0,0
25421,Invalid Foreign Key: Product_ID,ST00025420,2026-04-24,W001,P00421,470,220,280,4,0,414,2500,1035000.0,0
25499,Invalid Foreign Key: Product_ID,ST00025498,2026-07-11,W019,P00499,548,298,406,1,1,442,11080,4897360.0,0
25577,Invalid Foreign Key: Product_ID,ST00025576,2025-09-27,W017,P00577,126,76,112,7,2,99,8660,857340.0,0
25614,Invalid Foreign Key: Product_ID,ST00025613,2025-11-03,W014,P00614,163,113,371,8,-3,-90,1730,-155700.0,1
25842,Invalid Foreign Key: Product_ID,ST00025841,2026-06-19,W002,P00842,391,41,287,2,1,148,4810,711880.0,0
25921,Invalid Foreign Key: Product_ID,ST00025920,2025-09-06,W001,P00921,470,120,0,0,3,593,2500,1482500.0,0
25998,Invalid Foreign Key: Product_ID,ST00025997,2025-11-22,W018,P00998,547,197,119,5,3,633,10970,6944010.0,0
26307,Invalid Foreign Key: Product_ID,ST00026306,2025-09-27,W007,P00307,356,206,182,8,-3,385,960,369600.0,0
26421,Invalid Foreign Key: Product_ID,ST00026420,2026-01-19,W001,P00421,470,20,140,5,-1,354,2500,885000.0,0
26499,Invalid Foreign Key: Product_ID,ST00026498,2026-04-07,W019,P00499,548,98,266,2,0,382,11080,4232560.0,0
26577,Invalid Foreign Key: Product_ID,ST00026576,2026-06-24,W017,P00577,126,176,392,8,1,-81,8660,-701460.0,1
26614,Invalid Foreign Key: Product_ID,ST00026613,2026-07-31,W014,P00614,163,213,231,0,3,148,1730,256040.0,0
26842,Invalid Foreign Key: Product_ID,ST00026841,2026-03-16,W002,P00842,391,141,147,3,0,388,4810,1866280.0,0
26921,Invalid Foreign Key: Product_ID,ST00026920,2026-06-03,W001,P00921,470,220,280,1,2,413,2500,1032500.0,0
26998,Invalid Foreign Key: Product_ID,ST00026997,2026-08-19,W018,P00998,547,297,399,6,2,453,10970,4969410.0,0
27307,Invalid Foreign Key: Product_ID,ST00027306,2026-06-24,W007,P00307,356,6,42,0,3,323,960,310080.0,0
27421,Invalid Foreign Key: Product_ID,ST00027420,2025-10-16,W001,P00421,470,120,0,6,-2,594,2500,1485000.0,0
