Product_ID,Product_Name,Category,Subcategory,Opening_Stock,Closing_Stock,Closing_Stock_Value,Warehouse_Count,Average_Inventory_Units,Average_Inventory_Value,Inventory_Observations,Stockout_Observations,Stockout_Rate_Percentage,Purchased_Units,Purchase_Orders,Average_Lead_Time_Days,Average_Delivery_Delay_Days,On_Time_Delivery_Rate,On_Time_Delivery_Rate_Percentage,Returned_Units,Units_Sold,Cost_Of_Goods_Sold,Revenue,Net_Profit,First_Sale_Date,Last_Sale_Date,Average_Daily_Demand,Inventory_Turnover,Days_Inventory,Return_Rate_Percentage,Average_Unit_Stock_Value,Target_Stock_Units,Excess_Inventory_Units,Excess_Inventory_Value,Expected_Closing_Stock,Inventory_Reconciliation_Difference,Inventory_Status,Priority,Recommended_Action
P00016,Accessories Product 0016,Accessories,Subcategory 16,65,-19,-37050.0,1,-102.95,-200743.15,120,80,66.67,6425,25,25.04,0.0,0.0,0.0,14.0,243.0,34649.0,53473.4,-16524.53,2025-09-01,2026-08-27,0.67,0.0,-28.54,5.76,0.0,59.92,0.0,0.0,6261.0,-6280.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00017,IT Equipment Product 0017,IT Equipment,Subcategory 17,66,-22,-45320.0,1,-111.21,-229083.29,120,80,66.67,6450,25,24.48,0.0,0.0,0.0,15.0,496.0,74705.16,115235.66,-19015.88,2025-09-02,2026-08-28,1.36,0.0,-16.19,3.02,0.0,122.3,0.0,0.0,6035.0,-6057.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00018,Electronics Product 0018,Electronics,Subcategory 18,67,-25,-54250.0,1,-119.47,-259240.68,120,80,66.67,6475,25,25.12,0.0,0.0,0.0,14.0,708.0,112370.0,173241.49,-20814.95,2025-09-03,2026-08-29,1.94,0.0,-12.89,1.98,0.0,174.58,0.0,0.0,5848.0,-5873.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00019,Furniture Product 0019,Furniture,Subcategory 19,68,-240,-547200.0,1,-127.82,-291433.97,120,80,66.67,6500,25,24.32,0.0,0.0,0.0,14.0,988.0,164703.09,253949.93,-22855.82,2025-09-04,2026-08-30,2.71,0.0,-88.66,1.42,0.0,243.62,0.0,0.0,5594.0,-5834.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00020,Office Supplies Product 0020,Office Supplies,Subcategory 20,69,-47,-112330.0,1,-135.96,-324941.78,120,80,66.67,6106,24,23.62,0.0,0.0,0.0,15.0,1240.0,216676.54,334017.35,-25498.61,2025-09-05,2026-08-31,3.4,0.0,-13.83,1.21,0.0,305.75,0.0,0.0,4950.0,-4997.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00021,Home Appliances Product 0021,Home Appliances,Subcategory 21,70,14,35000.0,1,86.04,215102.74,120,40,33.33,6550,25,23.6,0.0,0.0,0.0,15.0,245.0,44786.77,68985.54,-18690.52,2025-09-01,2026-08-27,0.67,0.21,20.86,6.12,2500.0,60.41,0.0,0.0,6390.0,-6376.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00022,Accessories Product 0022,Accessories,Subcategory 22,71,11,28710.0,1,77.81,203079.45,120,40,33.33,6154,24,25.04,0.0,0.0,0.0,15.0,488.0,93133.62,143377.32,-21136.27,2025-09-02,2026-08-28,1.34,0.46,8.23,3.07,2610.0,120.33,0.0,0.0,5752.0,-5741.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00023,IT Equipment Product 0023,IT Equipment,Subcategory 23,72,190,516800.0,1,69.58,189244.93,120,50,41.67,6600,25,24.48,0.0,0.0,0.0,15.0,741.0,147364.26,226922.95,-22829.98,2025-09-03,2026-08-29,2.03,0.78,93.59,2.02,2720.0,182.71,7.29,19822.47,5946.0,-5756.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00024,Electronics Product 0024,Electronics,Subcategory 0,73,-4,-11320.0,1,61.44,173870.55,120,66,55.0,6625,25,25.12,0.0,0.0,0.0,15.0,992.0,205255.64,316023.86,-27143.23,2025-09-04,2026-08-30,2.72,1.18,-1.47,1.51,0.0,244.6,0.0,0.0,5721.0,-5725.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00025,Furniture Product 0025,Furniture,Subcategory 1,74,168,493920.0,1,53.3,156706.03,120,78,65.0,5852,23,23.74,0.0,0.0,0.0,15.0,1235.0,265474.56,408806.31,-30195.95,2025-09-05,2026-08-31,3.38,1.69,49.65,1.21,2940.0,304.52,0.0,0.0,4706.0,-4538.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00026,Office Supplies Product 0026,Office Supplies,Subcategory 2,75,-71,-216550.0,1,44.95,137082.88,120,80,66.67,6250,24,25.04,0.0,0.0,0.0,15.0,246.0,54661.19,84462.17,-20619.53,2025-09-01,2026-08-27,0.67,0.4,-105.35,6.1,0.0,60.66,0.0,0.0,6094.0,-6165.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00027,Home Appliances Product 0027,Home Appliances,Subcategory 3,76,-12,-37920.0,1,36.68,115924.38,120,80,66.67,6274,24,24.42,0.0,0.0,0.0,15.0,496.0,114180.39,176396.2,-22264.06,2025-09-02,2026-08-28,1.36,0.98,-8.83,3.02,0.0,122.3,0.0,0.0,5869.0,-5881.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00028,Accessories Product 0028,Accessories,Subcategory 4,77,-285,-931950.0,1,28.42,92948.63,120,80,66.67,6298,24,25.04,0.0,0.0,0.0,13.0,741.0,176522.15,272579.86,-25551.4,2025-09-03,2026-08-29,2.03,1.9,-140.38,1.75,0.0,182.71,0.0,0.0,5647.0,-5932.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00029,IT Equipment Product 0029,IT Equipment,Subcategory 5,78,-89,-300820.0,1,20.19,68248.22,120,80,66.67,6322,24,23.0,0.0,0.0,0.0,14.0,980.0,242202.09,372429.85,-29655.05,2025-09-04,2026-08-30,2.68,3.55,-33.15,1.43,0.0,241.64,0.0,0.0,5434.0,-5523.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00030,Electronics Product 0030,Electronics,Subcategory 6,79,-37,-129130.0,1,11.96,41736.58,120,80,66.67,6346,24,24.58,0.0,0.0,0.0,15.0,1240.0,316404.16,486694.25,-32660.27,2025-09-05,2026-08-31,3.4,7.58,-10.89,1.21,0.0,305.75,0.0,0.0,5200.0,-5237.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00031,Furniture Product 0031,Furniture,Subcategory 7,80,144,518400.0,1,3.82,13758.9,120,80,66.67,6800,25,24.32,0.0,0.0,0.0,14.0,244.0,64230.0,98791.74,-22334.66,2025-09-01,2026-08-27,0.67,4.67,215.41,5.74,3600.0,60.16,83.84,301808.22,6650.0,-6506.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00032,Office Supplies Product 0032,Office Supplies,Subcategory 8,81,141,523110.0,1,-4.32,-16008.9,120,80,66.67,6825,25,24.96,0.0,0.0,0.0,15.0,496.0,134539.78,206959.68,-26559.78,2025-09-02,2026-08-28,1.36,0.0,103.76,3.02,3710.0,122.3,18.7,69371.92,6425.0,-6284.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00033,Home Appliances Product 0033,Home Appliances,Subcategory 9,82,129,492780.0,1,-12.55,-47933.15,120,80,66.67,6850,25,24.4,0.0,0.0,0.0,15.0,744.0,207793.62,319608.75,-29961.78,2025-09-03,2026-08-29,2.04,0.0,63.29,2.02,3820.0,183.45,0.0,0.0,6203.0,-6074.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00034,Accessories Product 0034,Accessories,Subcategory 10,83,126,495180.0,1,-20.68,-81291.78,120,80,66.67,6492,24,24.42,0.0,0.0,0.0,15.0,988.0,283893.25,436657.91,-31923.1,2025-09-04,2026-08-30,2.71,0.0,46.55,1.52,3930.0,243.62,0.0,0.0,5602.0,-5476.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00035,IT Equipment Product 0035,IT Equipment,Subcategory 11,84,123,496920.0,1,-28.95,-116938.63,120,80,66.67,6900,25,24.48,0.0,0.0,0.0,15.0,1240.0,366266.76,563081.47,-36388.48,2025-09-05,2026-08-31,3.4,0.0,36.21,1.21,4040.0,305.75,0.0,0.0,5759.0,-5636.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00036,Electronics Product 0036,Electronics,Subcategory 12,85,-116,-481400.0,1,-37.3,-154800.68,120,80,66.67,6540,24,25.12,0.0,0.0,0.0,14.0,244.0,74042.34,113786.7,-26016.39,2025-09-01,2026-08-27,0.67,0.0,-173.52,5.74,0.0,60.16,0.0,0.0,6395.0,-6511.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00037,Furniture Product 0037,Furniture,Subcategory 13,86,-330,-1405800.0,1,-45.66,-194501.1,120,80,66.67,6950,25,24.32,0.0,0.0,0.0,15.0,496.0,154483.84,237484.03,-30065.89,2025-09-02,2026-08-28,1.36,0.0,-242.84,3.02,0.0,122.3,0.0,0.0,6555.0,-6885.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00038,Office Supplies Product 0038,Office Supplies,Subcategory 14,87,-76,-332120.0,1,-53.79,-235082.05,120,80,66.67,6975,25,24.28,0.0,0.0,0.0,15.0,747.0,238661.3,366836.51,-33523.2,2025-09-03,2026-08-29,2.05,0.0,-37.14,2.01,0.0,184.19,0.0,0.0,6330.0,-6406.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00039,Home Appliances Product 0039,Home Appliances,Subcategory 15,88,-141,-631680.0,1,-61.93,-277453.15,120,80,66.67,6274,23,22.96,0.0,0.0,0.0,15.0,996.0,326225.6,501512.25,-37482.29,2025-09-04,2026-08-30,2.73,0.0,-51.67,1.51,0.0,245.59,0.0,0.0,5381.0,-5522.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00040,Accessories Product 0040,Accessories,Subcategory 16,89,-82,-376380.0,1,-70.16,-322054.52,120,80,66.67,6636,24,25.12,0.0,0.0,0.0,15.0,1240.0,414630.07,639600.89,-40582.13,2025-09-05,2026-08-31,3.4,0.0,-24.14,1.21,0.0,305.75,0.0,0.0,5500.0,-5582.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00041,IT Equipment Product 0041,IT Equipment,Subcategory 17,90,99,465300.0,1,154.59,726568.49,120,40,33.33,6660,24,24.5,0.0,0.0,0.0,14.0,247.0,84573.55,130453.66,-17595.85,2025-09-01,2026-08-27,0.68,0.12,146.3,5.67,4700.0,60.9,38.1,179050.68,6517.0,-6418.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00042,Electronics Product 0042,Electronics,Subcategory 18,91,-149,-716690.0,1,146.42,704302.6,120,40,33.33,6684,24,25.12,0.0,0.0,0.0,15.0,498.0,174500.17,269056.73,-20485.07,2025-09-02,2026-08-28,1.36,0.25,-109.21,3.01,0.0,122.79,0.0,0.0,6292.0,-6441.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00043,Furniture Product 0043,Furniture,Subcategory 19,92,84,413280.0,1,138.16,679768.77,120,40,33.33,6708,24,23.67,0.0,0.0,0.0,15.0,738.0,265485.5,407709.84,-27439.38,2025-09-03,2026-08-29,2.02,0.39,41.54,2.03,4920.0,181.97,0.0,0.0,6077.0,-5993.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00044,Office Supplies Product 0044,Office Supplies,Subcategory 20,93,-164,-824920.0,1,129.88,653279.86,120,40,33.33,6732,24,25.12,0.0,0.0,0.0,14.0,996.0,366275.85,562769.88,-30981.87,2025-09-04,2026-08-30,2.73,0.56,-60.1,1.41,0.0,245.59,0.0,0.0,5843.0,-6007.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00045,Home Appliances Product 0045,Home Appliances,Subcategory 21,94,-167,-858380.0,1,121.59,624967.67,120,40,33.33,6756,24,24.5,0.0,0.0,0.0,15.0,1245.0,467857.38,718770.99,-35073.46,2025-09-05,2026-08-31,3.41,0.75,-48.96,1.2,0.0,306.99,0.0,0.0,5620.0,-5787.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00046,Accessories Product 0046,Accessories,Subcategory 22,95,314,1648500.0,1,113.3,594832.19,120,40,33.33,7175,25,25.04,0.0,0.0,0.0,15.0,245.0,94050.54,144493.47,-19918.79,2025-09-01,2026-08-27,0.67,0.16,467.8,6.12,5250.0,60.41,253.59,1331342.47,7040.0,-6726.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00047,IT Equipment Product 0047,IT Equipment,Subcategory 23,96,302,1618720.0,1,105.14,563534.25,120,40,33.33,7200,25,23.68,0.0,0.0,0.0,15.0,498.0,195152.52,299842.09,-25312.92,2025-09-02,2026-08-28,1.36,0.35,221.35,3.01,5360.0,122.79,179.21,960541.37,6813.0,-6511.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00048,Electronics Product 0048,Electronics,Subcategory 0,97,299,1635530.0,1,96.97,530440.14,120,40,33.33,6878,24,23.79,0.0,0.0,0.0,15.0,747.0,298737.9,458950.48,-29445.94,2025-09-03,2026-08-29,2.05,0.56,146.1,2.01,5470.0,184.19,114.81,628000.96,6243.0,-5944.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00049,Furniture Product 0049,Furniture,Subcategory 1,98,289,1612620.0,1,88.81,495549.86,120,40,33.33,7250,25,24.32,0.0,0.0,0.0,15.0,992.0,404705.98,621494.48,-31783.99,2025-09-04,2026-08-30,2.72,0.82,106.34,1.51,5580.0,244.6,44.4,247736.71,6371.0,-6082.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00050,Office Supplies Product 0050,Office Supplies,Subcategory 2,99,286,1627340.0,1,80.55,458317.81,120,40,33.33,7275,25,24.96,0.0,0.0,0.0,15.0,1235.0,513791.9,788882.57,-38069.89,2025-09-05,2026-08-31,3.38,1.12,84.53,1.21,5690.0,304.52,0.0,0.0,6154.0,-5868.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00051,Home Appliances Product 0051,Home Appliances,Subcategory 3,100,38,220400.0,1,72.38,419824.66,120,40,33.33,5950,25,24.4,0.0,0.0,0.0,15.0,249.0,105586.8,162168.72,-18868.63,2025-09-01,2026-08-27,0.68,0.25,55.7,6.02,5800.0,61.4,0.0,0.0,5816.0,-5778.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00052,Accessories Product 0052,Accessories,Subcategory 4,101,-203,-1199730.0,1,64.22,379535.34,120,40,33.33,5975,25,25.04,0.0,0.0,0.0,15.0,496.0,214320.9,329104.9,-26530.11,2025-09-02,2026-08-28,1.36,0.56,-149.39,3.02,0.0,122.3,0.0,0.0,5595.0,-5798.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00053,IT Equipment Product 0053,IT Equipment,Subcategory 5,102,32,192640.0,1,55.93,336707.67,120,40,33.33,5698,24,23.83,0.0,0.0,0.0,15.0,747.0,328776.21,505018.54,-31007.0,2025-09-03,2026-08-29,2.05,0.98,15.64,2.01,6020.0,184.19,0.0,0.0,5068.0,-5036.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00054,Electronics Product 0054,Electronics,Subcategory 6,103,29,177770.0,1,47.64,292056.71,120,40,33.33,5672,24,25.21,0.0,0.0,0.0,13.0,996.0,444774.53,685604.48,-35472.56,2025-09-04,2026-08-30,2.73,1.52,10.63,1.31,6130.0,245.59,0.0,0.0,4792.0,-4763.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00055,Furniture Product 0055,Furniture,Subcategory 7,104,-219,-1366560.0,1,39.36,245582.47,120,40,33.33,5696,24,24.33,0.0,0.0,0.0,15.0,1240.0,563681.34,868917.81,-42537.9,2025-09-05,2026-08-31,3.4,2.3,-64.46,1.21,0.0,305.75,0.0,0.0,4575.0,-4794.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00056,Office Supplies Product 0056,Office Supplies,Subcategory 8,105,253,1606550.0,1,31.19,198067.81,120,40,33.33,5720,24,24.25,0.0,0.0,0.0,15.0,249.0,115598.74,177472.86,-21387.03,2025-09-01,2026-08-27,0.68,0.58,370.86,6.02,6350.0,61.4,191.6,1216677.4,5591.0,-5338.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00057,Home Appliances Product 0057,Home Appliances,Subcategory 9,106,12,77520.0,1,22.93,148137.53,120,40,33.33,5744,24,22.92,0.0,0.0,0.0,15.0,494.0,233327.15,358163.32,-28116.16,2025-09-02,2026-08-28,1.35,1.58,8.87,3.04,6460.0,121.81,0.0,0.0,5371.0,-5359.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00058,Accessories Product 0058,Accessories,Subcategory 10,107,9,59130.0,1,14.77,97020.0,120,40,33.33,5768,24,25.21,0.0,0.0,0.0,14.0,744.0,357381.38,548745.13,-33819.06,2025-09-03,2026-08-29,2.04,3.68,4.42,1.88,6570.0,183.45,0.0,0.0,5145.0,-5136.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00059,IT Equipment Product 0059,IT Equipment,Subcategory 11,108,244,1629920.0,1,6.6,44106.3,120,44,36.67,5792,24,24.58,0.0,0.0,0.0,15.0,996.0,486426.62,746821.1,-41310.14,2025-09-04,2026-08-30,2.73,11.03,89.42,1.51,6680.0,245.59,0.0,0.0,4919.0,-4675.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00060,Electronics Product 0060,Electronics,Subcategory 12,109,-4,-27160.0,1,-1.56,-10603.56,120,70,58.33,5816,24,25.21,0.0,0.0,0.0,15.0,1245.0,618046.44,949102.0,-45621.31,2025-09-05,2026-08-31,3.41,0.0,-1.17,1.2,0.0,306.99,0.0,0.0,4695.0,-4699.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00061,Furniture Product 0061,Furniture,Subcategory 13,110,168,1159200.0,1,220.41,1520835.62,120,40,33.33,6200,25,24.32,0.0,0.0,0.0,15.0,247.0,124609.0,191324.04,-24563.68,2025-09-01,2026-08-27,0.68,0.08,248.26,6.07,6900.0,60.9,107.1,738961.64,6078.0,-5910.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00062,Office Supplies Product 0062,Office Supplies,Subcategory 14,111,165,1156650.0,1,212.12,1486984.25,120,40,33.33,5914,24,24.33,0.0,0.0,0.0,15.0,498.0,255229.12,391883.26,-33909.19,2025-09-02,2026-08-28,1.36,0.17,120.93,3.01,7010.0,122.79,42.21,295860.41,5542.0,-5377.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00063,Home Appliances Product 0063,Home Appliances,Subcategory 15,112,162,1153440.0,1,203.84,1451309.59,120,40,33.33,6250,25,24.4,0.0,0.0,0.0,15.0,747.0,388850.36,596832.23,-40155.79,2025-09-03,2026-08-29,2.05,0.27,79.16,2.01,7120.0,184.19,0.0,0.0,5630.0,-5468.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00064,Accessories Product 0064,Accessories,Subcategory 16,113,159,1149570.0,1,195.45,1413118.36,120,40,33.33,6275,25,25.04,0.0,0.0,0.0,15.0,988.0,522278.49,801554.11,-46215.41,2025-09-04,2026-08-30,2.71,0.37,58.74,1.52,7230.0,243.62,0.0,0.0,5415.0,-5256.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00065,IT Equipment Product 0065,IT Equipment,Subcategory 17,114,156,1145040.0,1,187.29,1374691.51,120,40,33.33,6300,25,23.68,0.0,0.0,0.0,15.0,1250.0,670772.54,1029683.25,-53963.1,2025-09-05,2026-08-31,3.42,0.49,45.55,1.2,7340.0,308.22,0.0,0.0,5179.0,-5023.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00066,Electronics Product 0066,Electronics,Subcategory 18,115,-37,-275650.0,1,179.12,1334468.49,120,40,33.33,6325,25,24.44,0.0,0.0,0.0,15.0,250.0,136165.88,209033.62,-27704.79,2025-09-01,2026-08-27,0.68,0.1,-54.02,6.0,0.0,61.64,0.0,0.0,6205.0,-6242.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00067,Furniture Product 0067,Furniture,Subcategory 19,116,205,1549800.0,1,170.96,1292449.32,120,40,33.33,6084,24,23.67,0.0,0.0,0.0,15.0,498.0,275253.02,422602.41,-35667.03,2025-09-02,2026-08-28,1.36,0.21,150.25,3.01,7560.0,122.79,82.21,621473.42,5717.0,-5512.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
